"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"鈷蓝星","男","江苏","346269216","6","洛天依·最美的夜","10000","12797","","虽然一直很喜欢HOYO-MIX的音乐，但此前专心欣赏这些配乐仅限于在游戏外，而须弥的配乐，是我第一次在游戏进行到一半时愿意停下来去欣赏的，而且还是多次。相对于蒙德的舒缓，璃月的恢宏，稻妻的神秘，须弥音乐兼具欢快和幽远。,在我的内心深处一直有一个梦，一个现实中找不到的地方。想起来可能是从小玩摩尔庄园，看吉卜力动画和爱尔兰童话糅合出来的想象。那里有郁郁葱葱的浆果丛林，溪水两边长着五颜六色的蘑菇，每到黄昏时有漫天的萤火虫飞舞。登上丛林最高的树冠可以远眺一望无际的平原，平原尽头是古国的遗迹，那些高耸的石柱诉说着它们曾经的辉煌。感谢“原神须弥”，让我和童年幻想如此之近。,我在须弥最喜欢四段配乐。第一段是奥摩斯港的配乐，我应该和大多数人一样，是在主线推进到奥摩斯港的时候注意到的。欢快的曲调显得整个港口都非常有活力。第二段是桓那兰那的配乐，贯穿整个森林书，虽然解密到处都有但从来听不腻。第三段是须弥主城的某个配乐，简谱“67176523”，第四段是降诸魔山的配乐，简谱“6271(高)765452”，这两段讨论的人较少，名字也没有，留个简谱给懂乐理的人看。它们共同的特点是都是很旷远，仿佛独自坐在港口的高塔上眺望着载满梦想的船消失在地平线。"
"教皇方济各一世","保密","广东","4148991","6","","10000","5753","","科普一下音乐知识，,“主题”：一段可以辨认的旋律，是作品的核心，可以由音乐动机组成，可以用来象征某物某人,“模进”：类似把同样一句话轮流交给不同的人去说,“非均分律动”：把句子重音节奏等等进行不规则划分。假如简单理解唐诗是“均分律动”，那么宋词就是“非均分律动”"
"荧之空-我们终将重逢","男","陕西","424163759","5","","10000","833","","有谁和我一样在每次登录的时候听着那飘渺的音乐想去天空岛上看看的[原神_哼][原神_嗯]"
"知无卡夫卡","保密","湖北","20523806","6","","10000","8861","","感觉这次不止是侧重陈老师，介绍了更多团队人员"
"宁宁的桌角和起爆器","保密","河南","1313169785","5","","10000","3066","","可以看出来mihoyo一直是在进步的，从开始的蒙德到现在的须弥雨林沙漠，在地图越来越精美的同时音乐也是越做越好，这次须弥的音乐是真的做的很有感觉，沙漠的苍凉雄浑和雨林的生机和美丽还有城市的烟火气息都很好的体现了出来，期待下一次的音乐！"
"莲心火羽","女","上海","10385627","6","","10000","90","","苑迪萌老师终于出镜了呜呜呜！！！希望大家能多看看他！！！老师真的很专业，也是和陈老师一样在音乐上追求极致的人！他的作曲、编曲及演奏都是一流的！一直以来和陈老师一起合作了很多作品，真的是很优秀的人！他本人真的很高很帅，但是为人真的太低调了！在古典乐和民乐方面的造诣也颇深！真的非常宝藏！"
"HOYO-MiX","保密","上海","1401735960","6","","10000","947","","一起来了解须弥音乐的创作理念跟制作的跨文化合作历程吧～"
"所以说直男很无趣","保密","北京","335838347","5","citrus","10000","169","","5:07sitar演奏家说的是其他27根弦在主弦的作用下共振，所以英文应该是main string而不是mainstream[脱单doge]1600原石不过分吧[脱单doge][吃瓜]"
"晨雨与星光","保密","贵州","228198227","6","","10000","67","","不知道为什么，日推听到很多音乐，包括古典交响乐啥的，可一旦听到原神的音乐，明明没听过，却能立马认出来（其实是刚听到时候怀疑是不是原神的曲子，点进去看真是）是原神曲子。,原神曲子似乎有一种辨识度很高的特征、能够让我一听就大致知道是原神曲子，但是我却不知道从何说起"
"Angelい雪姬","保密","河南","109887410","5","","10000","139","","赛诺：你知道为什么阴宅里都有钢琴和邮箱吗？,提纳里表面上：不知道。内心os：拜托，不是谐音梗不是谐音梗。,赛诺：因为，钢琴住了几个妖，邮箱住了几个魔。（无慈悲）（唱）,提纳里：cool。放到南极一定会大卖的。"
"随君逐月华","女","上海","5016588","5","","10000","158","","“把中式的语感和审美融入不同文化地区的标准”,      音乐是对生活的经验性模仿，平时听到的声音影响着对声音的偏好。除开自然环境（如雨声、鸟鸣、汽笛、土壤），语音是人聆听的最丰富、最细致的对象。语言环境不同，对音乐的审美偏好不同。以民间-流行音乐为例，表音语言（如英语）的语音学特点就是辅音承载的信息更多，映射到器乐演奏上就是音头的处理，而且重音和停顿影响表达效率而不影响表意，韵母部分就可以拿来自由发挥搞和声层次。表意语言（如汉语）里面元音的调值、timing和dynamic都影响表意，所以器乐演奏更重旋律性。即使音乐是世界通行的语言，但各地都有方言呢（笑,    小蔡总的这句话让我想起了米哈游最初吸引我的东西——用音乐诉说中国人眼中的世界！你现在有这份野心，也有支持这份野心的实力和影响力。同道者，加油！！！"
"faustcao","保密","浙江","383624951","5","2021拜年纪","10000","417","","省流：须弥音乐2019年原神没公测就已经开始做了，所以可以大致确定须弥在2020年刚开服那会儿就做了不少然后靠开服流水质量迅速起飞，然后2021年开稻妻那会儿传的在做枫丹也验证了，再结合2.8海岛秘境里面辛焱火山向秘境可以推断现在在做纳塔了已经，至冬也已经提上日程[脱单doge]"
"粥不好喝是米的错","保密","河北","1153772186","4","","10000","578","","“我们参观了大英博物馆，见到了古埃及与苏美尔文明的历史文物。”"
"KKOMDA","女","安徽","1740827542","6","","10000","908","","喜欢把团队都介绍的氛围。[打call]"
"昌昌名字四个日","保密","中国台湾","185549245","5","","10000","409","","09:53 的Fibonacci数列有大佬做了解释～[保卫萝卜_哇],BV1A841147Tv 有空大家也能多多看看原音玩家的创作，hoyo-mix团队的创作手法和音乐评鉴都有许多新知识和乐趣[惊喜]"
"dEmo丶蝶梦","保密","浙江","620124354","5","","10000","557","","回顾一下前三国的音乐吧[原神_欸嘿],BV1eA411v78z,BV1xp4y16761,BV13R4y1p7ZK,还有发现音乐幕后的题目都是旅人的[原神_哇]"
"听说改完名就能中奖","保密","广东","360222848","5","","10000","63","","我想起来须弥有一段战斗音乐解析出来后发现每一小节是以斐波那契数列进行递增的，当时就一整个人被震惊到了，很难想象音乐居然能与数学进行这样的结合。也不得不佩服陈致逸老师以及众多hoyo-mix的大佬的奇思妙想[打call]"
"A--迪sh马斯克","男","北京","501543623","5","","10000","212","","正常玩家可能不懂原音玩家看完这个视频有多激动"
"胭脂脂","女","陕西","1953102","6","HIME","10000","294","","笑死了，陈老师：很惊喜我们在英国大英博物馆见到了埃及与苏美尔的文物"
"laiit","男","上海","3250135","6","","10000","455","","“我们参观了大英博物馆，见到了古埃及与苏美尔文明的历史文物。”,看到这里有点没绷住[doge]"
"折腾5号","男","广东","927687","6","原神","10000","273","10","10分左右的内容我建议大家看这个视频！https://www.bilibili.com/video/BV1A841147Tv/?spm_id_from=333.999.0.0&vd_source=b199c42398471d9bb637ca1b5bbb2f50"
"拿弓子的波塞东","保密","浙江","504090336","6","","10000","166","","Y Y D S！ 中国的就是世界的，世界的就是中国的"
"钛合金鱼缸","男","江苏","2161323","6","","10000","160","","您团队突破需要什么材料 我去给您采[崩坏3_你好]"
"爱你绝非谎言","男","江苏","439237529","5","","10000","117","","“内行看门道，外行说woc”谁想出来的啊哈哈哈[热词系列_知识增加]"
"二当家芙兰朵露","保密","四川","10021","6","","10000","94","10","希望各位尊重团队。不要老是说陈致逸yyds我觉得应该说hoyomix yyds。陈老师一个人没有团队的头脑风暴是很难创作出这么牛逼的曲子的。"
"匣匣苜","保密","北京","472085818","5","","10000","41","","蒙德——旅人的韵律,璃月——旅人的弦歌,稻妻——旅人的幽思,须弥——旅人的遐想,[原神_哇]"
"Will6w","男","广东","436916252","5","春原庄的管理人小姐","10000","36","","原宝经典12点发视频下饭，太高雅了（确信[原神_鸽子]"
"沐星dawn","保密","湖南","422802732","5","约战·白之女王","10000","30","6","外行说woc，其实内行也说woc[热词系列_知识增加]"
"席德D","男","广东","252096333","6","灵笼","10000","53","","14分钟？我要半小时！[傲娇]"
"豌豆汤","保密","江西","666194","6","","10000","37","","等等还没解说兰那罗们的音乐呢！！那么可爱温暖的音乐！"
"せいおん决战","保密","湖南","471999244","5","","10000","28","","3.2兑换码,SSZ4FZLJYUK2,JSGMWHMKGU3N,PBGMFY4JHCMA"
"空之律者-律化娜","保密","浙江","183787390","6","原神","10000","25","","就爱看幕后创作，感谢hoyomix和音乐家们的精彩演绎[星尘_永远滴神][星尘_永远滴神]"
"扦殇","保密","湖北","435785516","6","2021拜年纪","10000","25","12","带节奏的逝一逝[傲娇]"
"不哭不哭继续努力","保密","贵州","244402005","5","","10000","27","","来来来那些带原神音乐会节奏的来好好瞅瞅[藏狐]"
"兵长踮脚一米七","保密","江西","34057315","6","刺客伍六七","10000","27","","我说怎么最近上线专辑里的那个曲子不叫狮尾之舞，而且万磁王吹的那一段旋律也有点不一样，原来雨林和沙漠的这首曲子是不一样的[藏狐]"
"强风吹拂箱根山","男","黑龙江","62508025","6","碧蓝之海","10000","243","","还记得蔡老师在崩坏三五周年说过的：音乐只有在被人听到的一刻才是真的完满。这句话放在原神也非常适用啊"
"昙山_Dre","男","北京","40059647","6","拉文克劳","10000","27","","球球原宝再生一个吧！不够看不够看，感觉须弥每一首曲子都可以拿来讲讲。比如妮露花神之舞的配乐那种BosaNova的感觉，比如森林书高潮那个两个版本相互嵌套的战斗音乐……不如直接开个几个小时纪录片吧（大胆发言）"
