"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"稚冰丶德玛拉","保密","广东","289649791","5","雪未来","10000","376","","好耶！就是不知道有没有无忧节的那首歌，也不知道有没有隔壁崩崩崩的音乐节那么让人激动（指的就是想要有个跟崩崩崩音乐节最后那部分全球合唱，要是全程只是纯乐队演奏的话。。。我应该兴趣不大）"
"Miku几何","男","陕西","427648575","5","","10000","452","","理性分析一波，这次应该是璃月稻妻主题音乐为主，蒙德加以点缀，须弥应该不会出现"
"把光芒戴在身上","保密","江西","1058729702","5","","10000","2884","","我超，原。。。,原宝又有新的音乐会了，氪佬请我听音乐系列[doge][热词系列_不愧是你]"
"礼堂最传说源真谷一郎","保密","山东","252980045","5","","10000","18662","","2.1:你们稻妻先反抗着，我会璃月过个节,3.1:你们须弥先反抗着，我回蒙德过个节，顺便听个音乐会"
"铁锅炖自己_OVO","女","河北","400471083","5","","10000","1164","","原宝，我想要前瞻刚开始四神坐在草地上的那张壁纸！！[奥比岛_喜欢][奥比岛_喜欢]"
"阿散的钱包","保密","吉林","1864089302","4","","10000","322","","多年后，我打开了视频给女儿:“看，这就是你爸当年的女神。”女儿歪了歪脑袋:“爸爸骗人，这明明是妈妈。”这时正在厨房做饭的妮露突然回头一笑，与我对视，心照不宣的温暖瞬间融化。[喜欢][喜欢][喜欢][喜欢][喜欢][喜欢][喜欢][喜欢]"
"元耒昔","男","湖北","7890896","6","","10000","358","","在枫丹能有一个电视能外接官方直播就好了，在游戏里就能看，感觉会很有体验感"
"水果篮子的米饭团子","女","北京","8247614","6","萌妻食神","10000","893","","《关于因为昨天因为要出动漫太震撼所以没注意到音乐节这件事》[崩坏3·光辉矢愿_擦地]"
"名字就叫大梦一场","保密","湖北","312760509","6","","10000","6032","","高强度更新[笑哭]"
"Kirakira四季春","保密","黑龙江","554767736","5","","10000","207","","看简介，这次音乐会的音乐好像是原曲的remix版？那要是真有桓那兰那的主题曲，是不是也是high到不行那种的[tv_doge]"
"意小邪","男","四川","397496014","5","","10000","229","","可惜二周年还是没有线下的[辣眼睛]去年一周年开始筹备还激动的，二周年也只能线上，希望三周年能吧"
"空心结衣","女","安徽","5681915","6","","10000","265","9","居然都两周年了，和群友吐二三测黑泥的时光仍然历历在目[笑哭]"
"咸鱼の猫粮","保密","海南","349272979","5","","10000","520","10","卧槽卧槽我最喜欢的音乐会啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊[打call][打call][打call][打call][打call]"
"酸菜胖头鱼rua","男","山西","9468654","6","原神","10000","72","7","入坑半年励志全图鉴的玩家感觉到了自己钱真的花的值"
"璟諾","男","浙江","1000377849","5","","10000","518","10","《周年快乐》看到此评论，十连三黄[doge]"
"熊熊之王","男","浙江","288524979","6","异常生物","10000","37","","《原神》及HOYO-MiX邀请多位出色的流行乐手与流行音乐组合，将以全新的方式重新演绎游戏中旅行者们熟知的背景旋律。"
"小七儿啊","保密","上海","1391515705","5","赫奇帕奇","10000","82","","哇！刚刚！"
"猫宫又奈","保密","江西","368893740","6","猫又","10000","585","","各位旅行者请有序入座[Hiiro二周年_大的要来了][Hiiro二周年_大的要来了][Hiiro二周年_大的要来了]"
"厦门胡歌","男","福建","26746557","6","","10000","91","12","我的可乐变红酒了[崩坏3·光辉矢愿_大佬喝可乐]"
"作品35","男","浙江","1846212","5","","10000","9","","Arch Echo和Angel Vivaldi……这次的主题估计是非管弦的劲爆流行音乐"
"爱坤才会贏","男","福建","1879471245","5","","10000","191","",""
"黑色森林的微光","女","江西","2096197","6","","10000","118","","[热词系列_三连][热词系列_三连][热词系列_三连][热词系列_三连]"
"厦门胡歌","男","福建","26746557","6","","10000","91","12","我的可乐变红酒了[崩坏3·光辉矢愿_大佬喝可乐]"
"小七儿啊","保密","上海","1391515705","5","赫奇帕奇","10000","82","","哇！刚刚！"
"酸菜胖头鱼rua","男","山西","9468654","6","原神","10000","72","7","入坑半年励志全图鉴的玩家感觉到了自己钱真的花的值"
"Silk丶song","男","上海","20572331","5","崩坏：星穹铁道","10000","53","","当时大家都惊讶于动画pv而忽略了紧随其后的音乐会预告，都以为是过场呢[藏狐]"
"白泽_1795","男","云南","1350072952","5","明日方舟音律系列","10000","44","","好不容易来早一次却不知道说什么[捂脸],那就祝大家都能小保底不歪，十连双黄[音律联觉_赞]"
"曼波道长没尾巴","保密","山东","24369385","6","","10000","42","","无际之旅的旋律：没有尽头的旅程，旅行者找不到哥哥，索性在须弥摆烂听着奥摩斯港的旋律当蛇扭挣路费的一个pv[2233娘_耶]"
"Level_0","保密","湖北","26140102","6","魔法学院","10000","38","10","妮露啊，爷今年Fifty-eight了，離婚する带Ⅱ瓜娃子，life的磨没了爷的钝角，但磨no掉爷向往love与自由的靈魂。爷前生很苦，在大润kill了④十多年的fish，本来以为my的heart已经跟一样冷たい，但是look到you，爷就know其实我还young ，没啥给you的，也没啥能给的，只有一个small保底，一个月干，还有亿点非，别嫌弃爷，爷every day都觉得time is gogogo，听着时钟滴答滴答的声音擦眼泪，爷真的好累，◇好侑尔，怀苒郩骜怀丅祛艻。[热][脱单doge]"
"熊熊之王","男","浙江","288524979","6","异常生物","10000","37","","《原神》及HOYO-MiX邀请多位出色的流行乐手与流行音乐组合，将以全新的方式重新演绎游戏中旅行者们熟知的背景旋律。"
"惩疯破烂","保密","广东","413065080","5","","10000","24","","上次错过了，这次已经上大学了，一定不能错过！[保卫萝卜_哇]"
"来克Y","保密","四川","1649136490","4","","10000","23","","[热词系列_好耶]须弥人别急，我先听个音乐会[原神_小事一桩]"
"清色の风","保密","重庆","544235524","5","","10000","21","6","《原神》及HOYO-MiX邀请多位出色的流行乐手与流行音乐组合，将以全新的方式重新演绎游戏中旅行者们熟知的背景旋律。"
"EchoOv0","保密","北京","10281173","6","","10000","20","11","昨天过于激动以至于看到音乐会还没反应过来"
"V依和绫牙弦柯V","男","河南","667655196","5","洛天依9th生日纪念","10000","20","","原宝是好拉娜，原石多多，但是不够不够[妙啊]"
"瞅谁谁疯","保密","辽宁","2130545220","4","","10000","19","","1755条评论却没有一个人问是哪一天…"
"李咕咕爱睡觉","男","山西","499849877","5","异常生物","10000","19","10","昨天前瞻直播结束的时候暗示音乐会，还真有，不会有有翅膀把，他真的我哭死,[原神_哭哭][原神_哭哭][原神_哭哭]"
"奥赛尔虞我诈","女","广东","386380022","5","崩坏3·天穹流星","10000","19","","音乐会在家看，椅子不花钱[大笑]"
"o琉明o","保密","天津","82651071","5","","10000","18","","好希望动画讲五百年前，圣遗物，武器的故事比主线的12+剧情好多了。"
"Stanco-o","保密","江苏","252100553","5","","10000","16","","我好像看到Arch Echo那个队了，封面是他们吗?[哦呼]"
"在线等温迪","保密","陕西","2077559472","4","","10000","15","","原宝你是不是没完没了的更吧！[辣眼睛]"
"安溺的夏桦","保密","湖南","32652165","5","","10000","15","10","槽卧！"
"常说下次一定的青年丶","男","四川","47736651","6","格兰芬多","10000","14","","马上网购一套礼服！！！[脱单doge],,诶！我有一套啊！[捂眼]"
"顾小奈奈奈奈","女","辽宁","476280968","5","","10000","14","","哇，原神又发新视频了，赶紧分享一下自己的看法,....,算了...说不好又要被喷...,....,不行我一定要发,....,算了，看看就走吧..."
"我家猫出门散步丢了","保密","辽宁","505419745","4","","10000","13","","原宝你这是吃了华莱士吗？[doge][doge]"
"晨曦清露_","保密","湖北","89869901","4","","10000","13","","妈耶，一周年音乐会，二周年音乐会加动画化，三周年会是什么？不敢想不敢想"
"倘若天上没有云","男","中国香港","49545402","6","","10000","13","","还是更期待大编制的管弦音乐会，这个只能当小甜品看看"
"cold_eve","保密","江苏","12065353","6","咩栗","10000","13","","几号几号几号几号几号几号几号几号几号几号几号几号几号几号几号几号几号几号几号几号几号几号几号几号几号几号几号几号几号几号几号几号几号几号几号几号"
"那年上桥你我共步","保密","广西","472112754","5","中野三玖","10000","11","","又是跟飞碟社合作搞动漫化又是音乐会的，老米你真是有钱没地方烧吗？请多来一点[脱单doge]"
"陈卫之问","保密","内蒙古","620217726","5","","10000","9","","【【2022原神生日会】预告来袭！】 【2022原神生日会】预告来袭！,【特别定档！2022原神生日庆典】 特别定档！2022原神生日庆典,【HoYoFair2022原神生日会国际版预告】 HoYoFair2022原神生日会国际版预告,【企划公开！原神二周年二创音乐会《音随流年》宣传影片】 企划公开！原神二周年二创音乐会《音随流年》宣传影片,【《原神》线上音乐会2022 - 无际之旅的旋律（预告）】 《原神》线上音乐会2022 - 无际之旅的旋律（预告）[跪了][跪了][跪了]"
"上井草美咲","保密","北京","297682571","4","","10000","9","","有机会成为新的播放量最低的视频[脱单doge]"
"账号已注销","保密","新疆","475635375","0","","5000","9","","米哈游你能不能给游戏道具上密码锁啊，好些人被融号给害了[热]"
"作品35","男","浙江","1846212","5","","10000","9","","Arch Echo和Angel Vivaldi……这次的主题估计是非管弦的劲爆流行音乐"
"破碎执念","男","江苏","554473923","5","汉化日记","10000","9","","期待，能不能直接到10天后[tv_色]"
"夏烁一暇","男","浙江","1099194623","5","","10000","9","","你们最近到底吃了多少华莱士！[原神_嗯]"
"士织吖","保密","北京","88914391","6","崩坏：星穹铁道","10000","9","","这也太快了吧，已经跟不上更新的节奏了[原神_躺平][原神_躺平]"
"零铛-零辉音耀","保密","海南","67297310","6","","10000","8","","蒙德的摸鱼，璃月的退休，稻妻的前不久是个宅，须弥的才刚上岗。他们都有一个共同特点，“身上”都没有摩拉[doge]"
"w4587","保密","河北","248623479","5","","10000","8","","真的很期待,原神已经二周年了啊，时间过的太快了"
"亥帕瑞恩","保密","湖北","698469","6","","10000","7","","有没有考虑再多出几张实体ost啊，风与牧歌之城之后的都安排一下吧"
"Den爷爷","男","安徽","1954283","6","","10000","7","","太期待了！什么时候可以有线下啊，看舟舟的线下感觉好嗨的样子[星星眼]"
"Q-Arunk","男","广东","547327046","5","星座系列：双鱼座","10000","7","","刚刚"
"黎睿雨","保密","云南","49387227","4","","10000","6","","什么时候放啊？？？"
"原神手游官方","保密","广东","2078007870","4","","10000","6","","这不会是你放量最低的视频了吧"
"司南Vati","男","四川","13881845","5","原神","10000","6","","宝 我希望你能给Hoyo Mix单独做一个app好吗，我手机很大，永远会有他的位置，好吗？"
"夜刀枫挽歌","保密","山东","498161708","4","","10000","6","","我的宝你是有多高产啊"
"毕竟张重阳","保密","河南","215126694","5","","10000","6","","蛇精手里拿着一个瓷瓶子，对着抓来的爷爷笑道：“哈哈，我这瓶子中可是有三味真火，可以将葫芦娃直接炼化……”爷爷听后，眉头一紧，不禁担心起来，不知道哪个孙子会上热瓶[doge]"
"踏雪吟秋寒","保密","山东","391646368","5","","10000","6","","这可是爷花钱请的乐队，都给我低调一些[doge][doge]"
"ZARDの犬薇黨","男","广东","397344099","6","星座系列：射手座","10000","6","","感谢氪佬让我们得以看到这样精彩的表演 芜湖 好耶 欸嘿 [原神_欸嘿][原神_欸嘿][原神_欸嘿]"
"整天瞎说话","男","浙江","647873258","5","","10000","6","","华莱士几块钱一斤？[脱单doge]"
"Chrevenie","女","浙江","32841977","5","","10000","5","","所以这个音乐会是摇滚风音乐会吗？感觉好像不用穿西装喝红酒了，虽然我还是更喜欢西装红酒的感觉[妙啊]"
"无相之非-lei98","保密","福建","346302271","5","","10000","5","","已阅，我会出席的[脱单doge]"
"徽茹拾壹","保密","贵州","383063547","6","","10000","5","","厉害了，原宝！,你！是！我！滴！神！,[打call][打call][打call][打call][打call][打call][打call]"
"丶无名丶人士丶","男","湖南","182840063","5","","10000","5","","只想问一下还有谱子卖吗？还想买，想买齐七国的[doge]"
"桃宝超级大会员","保密","江西","571733294","4","公主连结可可萝","10000","5","","草史莱姆触电蔓激化了属于是,[热词系列_知识增加]"
"落花投于暖炉之上","男","浙江","700200580","5","时光代理人","10000","5","12","原宝获赞总数1亿了！"
"白彦少佐","保密","广东","59496061","6","登乐V计划","10000","5","","哇哦，线上音乐会"
"Valerieky","男","湖北","88177283","6","雫るる","10000","5","","那么，在哪里才能听到呢[東雪蓮_喂喂喂]"
"向日葵味道的鸽子","保密","天津","256871850","6","","10000","5","","你还有什么惊喜是朕不知道的"
"XRegulus","保密","日本","333583431","6","","10000","5","","这就是两周年的力度吗？很好，请务必继续[脱单doge]"
"黄大邪","保密","中国香港","245547513","5","","10000","4","","在？妮露专武外观改一下[原神_哼]实在不行跟四星互换模也可"
"艾耶子","保密","河南","95329169","5","","10000","4","","要不是手机现在有点带不动了，也不会退游的。现在是攒钱买电脑，慢慢攒吧，过年大概就差不多了。"
"青丝桐雨","保密","广东","347160334","5","","10000","4","","希望原宝能像隔壁三蹦子一样多出些印象曲[妙啊]"
"重名的银河球棒侠","保密","辽宁","19107901","6","至尊戒","10000","4","9","坐下，都是股东，沉稳一点[doge]"
"独孤久期","男","内蒙古","401929724","5","","10000","4","","去年给了翅膀，今年嘿嘿嘿嘿嘿嘿嘿[脱单doge]"
"灬灬和泉纱雾灬灬","保密","北京","11082670","5","原神","10000","4","","所以什么时候音乐会！,我提前沐浴更衣斋戒焚香,穿西服喝红酒坐在我的一百寸电视前面看[doge][doge]"
"神之键-羽渡尘","女","山东","33573729","6","hanser","10000","4","8","噗叽啪(指原宝更新动态快的像脱*的声音)"
"半分行迹_","保密","河北","34799946","6","","10000","4","","一年一次的音乐会有了，那是不是翅膀也[doge]"
"byebyemadao","男","安徽","7079276","6","","10000","4","","原宝你又在炫华莱士[妙啊]"
"雨神の右手","男","山东","108175745","6","","10000","4","","！槽卧"
"爆料酱","保密","福建","525298385","5","","10000","4","","太棒了！！！原宝！！！"
"Dawnnnnn_","男","浙江","1431569121","5","","10000","4","8","兰迦鲁，兰纳迦，兰纳真，兰加惟，兰耶裟，兰修提袈，兰迦卢，兰那库拉，兰般度，兰贡迪，兰百梨迦，兰帕卡提，兰萨卡，兰茶荼，兰阿帕斯，兰非拉，兰玛尼，兰梨娄，兰难世，兰卑浮，兰利遮，兰拉迦，兰拉娜，兰穆护昆达，兰拉吉，兰伊舍，兰腱多，兰陀裟，兰罗摩表示一定到场[tv_点赞]"
"加藤惠第一可爱呢","男","江苏","666293031","5","夏日萌菜头像框","10000","4","","好耶[崩坏3·光辉矢愿_遨游][崩坏3·光辉矢愿_遨游]"
"话多的阿诺","男","河北","356286381","5","明日方舟","10000","4","","有钱，嘿，就是发预告玩[脱单doge][脱单doge][脱单doge]"
"猫宫又奈","保密","江西","368893740","6","猫又","10000","4","","好耶"
"Hiiro想吃的三文鱼","保密","浙江","418429413","6","希萝Hiiro","10000","3","11","你时间是不是忘记写了，好突然的播"
"00在18L","女","安徽","478103189","5","","10000","3","","辛焱：我的主场！"
"玉玉薯不蘸番茄酱","保密","陕西","1285722910","4","","10000","3","","芭芭拉冲鸭[原神_鸽子]"
"辽宁超级摆烂人","保密","辽宁","1049134430","4","","10000","3","","崩三整完音乐会了，原神又来了，期待[脱单doge][脱单doge][脱单doge]"
"小风lpflight","男","北京","1315110439","4","魔法学院","10000","3","","哇塞，有越来越多的原神up主被开盒了"
"zhuyaoxin520","男","未知","482135478","5","","10000","3","","哦吼!!!!!"
"好事者言","男","江苏","6600724","6","","10000","3","","二十三秒弹吉他的有点像泽连斯基[doge][doge][doge]"
"MattX","保密","北京","6090452","6","","10000","3","","给各位听重型的朋友们科普一下，流行乐手=Arch Echo"
"拼音的poer","男","天津","261682","6","至尊戒","10000","3","","？？？？感觉 不如上海交响乐那次的专业啊 更像是同好的狂欢 他们怎么这么嗨啊"
"睡梦被哈皮","男","广东","586721316","5","","10000","3","","4.1：你们枫丹先反抗着，我回稻妻过个节5.1：你们纳塔先反抗着，我回须弥过个节6.1：你们至东先反抗着，我回枫丹纳塔过个节[脱单doge]"
"云游清梦","保密","江西","436622312","5","2233十一周年纪念","10000","3","","原宝！冲啊！"
"撒旦在傻笑","保密","湖南","12728160","6","","10000","3","7","卧槽！又来？？？ 我氪不起了啊！原宝！！！"
"叶枫鸽鸽","保密","广西","384416621","5","神乐七奈","10000","3","","槽卧！"
"帅气的多肉君","男","浙江","59693513","6","神乐七奈","10000","3","","到底还有多少，全发出来吧，我受得住[热]"
"秋落银叶","女","天津","386093982","5","星尘","10000","3","11","槽卧！！！[给心心]"
"量子跃迁丶","男","山西","104488526","6","凹凸世界","10000","3","11","好耶！"
"崩坏-zx","保密","陕西","1692293120","2","","10000","2","","对了，今年还有音乐会礼盒啊[大哭]"
"DJENTY_颖","男","日本","29124181","6","EveOneCat2","10000","2","","arch echo是流行乐队是吧"
"如吻秦书","保密","新疆","128588367","5","","10000","2","","我也，甚至我还偷偷攒了2k准备国庆买票再玩两天，结果线上了我真的很伤心（但是转念一想挣了2k我一下就看开了"
"萱花瑶影","保密","浙江","4039219","5","","10000","2","","我真的好想去原神的线下音乐会555"
"羽安des","保密","美国","601646015","5","","10000","2","","好耶！"
"瀏柒夏","男","湖南","309560605","6","三周年恋曲","10000","2","","想要在音乐会上听阿馏的歌，我尘歌壶就是拿阿馏的歌当背景音乐，阿馏的声线真的好美。"
"依始如初","保密","甘肃","1565241597","5","洛天依9th生日纪念","10000","2","9","原宝我求你我求你要么放在法定节假日那一天（指十月一号）要么放周天可以吗我是单休高中牲，国庆好像就放三天还是四天，我真的很喜欢看你的直播不论是前瞻还是音乐会，前瞻我只有三次不是直播（一次有事一次来迟了还有一次就是昨天我在上晚自习），每天十一点到家六点半出门，周围生活好了但没有完全好，真的很喜欢原神，我不算开服玩家，我是20年11月入坑的，虽然还不及他们但是时长我真的觉得也不少了我真的好喜欢音乐会，看完后真的会感慨很久"
"时_礼","男","浙江","173541215","5","","10000","2","","散发思维大胆猜测！小吉祥草王就是大慈树王！,森林书任务在往昔的桓那兰那里兰那罗在释放力量后就会失去记忆和变弱。因此也映射出大慈树王在500年前的战争中用尽所有力量，最后失去记忆变成小吉祥草王。"
"n次性用户名","保密","广东","7841904","6","","10000","2","","虽然，但是好想看交响乐团，没有拉踩的意思，这样也很好听而且风格很独特，而且上次前瞻已经有过交响乐团了，但是我可以莫多莫多啊！"
"KINGOFNINE","男","福建","382302382","5","崩坏3·天穹流星","10000","2","","这评论赞过500我手抄胡桃名字一百三十一万四千五百二十遍（1314520），附赠一个cos胡桃视频[tv_doge]"
