"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"温暖寒冰-霜冰","保密","广东","296894221","6","","10000","13636","","请大家在入场前把身上的圣遗物套装更换为流浪大地的乐团，以示对各位的尊重"
"怪我咯829","保密","上海","3962381","6","至尊戒","10000","1224","11","在音乐会网页活动拉到最后有一排特别鸣谢！,爱尔兰著名作曲家、指挥家、VGL乐队指挥：Eimear Noone,2014年，Eimear为经典网络游戏《魔兽世界》资料篇《德拉诺之王》作曲，获得,2014年好莱坞音乐传媒奖最佳游戏配乐，并获得2014年5大年度游戏音乐奖提名。曾,指挥费城交响乐团、达拉斯交响乐团、皇家爱乐乐团、悉尼交响乐团、国家交响乐团等,著名乐团。,这位女指挥家也在鸣谢名单里，这份名单还有很多大佬，期待了！"
"王six水","男","山东","543426701","5","","10000","905","","《原神》及HOYO-MiX将联合多位音乐家，共同开启又一段美妙的音乐之旅。延续着往年的余音，那些在提瓦特大陆中回荡的动人旋律即将再次回响。,,音乐会将于10月2日12:00开始，旅行者可前往《原神》官方直播间收看。[脱单doge]"
"著名拔刀演员雷电师傅","保密","吉林","428052020","5","","10000","6041","","以前去听音乐会，觉得音乐虽然好听但是无法理解，现在有了原神的音乐会，每一个音符我都能理解其中的感情[微笑]"
"huyou-mix","保密","河南","336165937","5","","10000","487","11","海岛live版！！！[热词表情_哎呦不错哦][热词系列_好耶],还想要：,激流逐浪live版,难逃之阵live版,渊下宫战斗曲live版（这个好歹有二创了，前两个根本没二创，惨）,层岩战斗曲live版,层岩地上国风曲live版,女士战斗曲live版！！,稻妻鹤观、清籁岛等组曲live版,等等,这次肯定没须弥，就先不提须弥了"
"在Ngranek看雕像","保密","福建","518162276","5","","10000","1874","","大家注意！！！,10月二日中午十二点！十月二日十二点！十月二日十二点！,想看直播的提前设置个提醒，规划好日程安排哦,[星星眼][星星眼][星星眼][星星眼][星星眼]"
"西蒙Sivan","男","安徽","133417256","6","","10000","2204","8","优雅永不过时[脱单doge][脱单doge]"
"KKOMDA","女","安徽","1740827542","6","","10000","5551","","海岛！"
"而他说人民万岁","保密","江苏","22533509","6","","10000","1430","","手中的蜜雪冰城柠檬水突然就变成了红酒[doge]"
"拿弓子的波塞东","保密","上海","504090336","6","","10000","465","","想一起看么？"
"可莉要吃可丽饼","男","海南","32904065","6","雪未来","10000","535","9","手里的炸鸡变成了牛排，手中的可乐变成了红酒，身上的格子衬衫变成了燕尾服[doge],总结：上流[doge]"
"阿玖爱做梦","保密","浙江","37896174","6","碧蓝之海","10000","112","","我曾见过蒙德的风精灵叫乌云散尽，云破天开。,我曾见过龙脊雪山上冰封万里和银白色的哀伤。,我曾见过风龙废墟东风之龙的无尽怒火与憎恶。,我曾见过璃月的岩王无边杀伐之相，岩雨镇魔。,我曾见过层岩巨渊下纵深千里和漆黑色的怒火。,我曾见过伏龙南天无目岩龙的刹那觉醒和意志。,我曾见过稻妻的御建鸣神无想一刀，可裂山河。,我曾见过清赖鹤观中迷雾漫天和深紫色的妒怨。,我曾见过神樱大社九尾灵狐的大道显真和神策。,现在正漫步在林海，疾行于荒漠，只为匡扶须弥。,不畏前行的黑夜，且待重逢的夕阳和相遇的黎明。"
"圣剑灭杀皇","保密","广西","214642204","6","公主连结凯露","10000","404","","我在游戏里充钱不叫盲目氪金，那叫购买观看外国音乐会的演出门票！"
"UnLaUgh","保密","湖南","305584912","5","","10000","481","","又到了一年一度觉得自己钱没白花的现场"
"时间之类","保密","江西","86123717","6","","10000","187","","手中的奶茶突然变成了红茶[doge]"
"绫华的犬太郎","保密","上海","1166775682","4","","10000","161","","回忆，是迷迭香的花语(doge)[脱单doge]"
"堕落之太阳羽翼","保密","中国香港","52833230","5","","10000","35","","有兰那罗们的大合唱完整版吗"
"是七宝捏","女","四川","391619353","5","","10000","81","6","在这里摆一只小猫咪 大家可以拍拍它,　／l、,（° 。 ７, 　l、 ~ヽ,　じしf_, )ノ"
"小紫的小号","女","江苏","14829832","6","","10000","81","29","好耶"
"迷黎君哟","保密","天津","1070258714","5","","10000","54","","浅发一下：官B可以互相联机[打call]"
"堕落之太阳羽翼","保密","中国香港","52833230","5","","10000","35","","有兰那罗们的大合唱完整版吗"
"烟雨绮丽_","女","河南","23318919","6","国民老公带回家","10000","23","","不错 3.1前瞻刚好设在了我要死线交作业的那天 10月2号也刚好是我作业截止后的一天 看不了前瞻的痛 终于可以弥补在音乐会啦[大哭]"
"白彦少佐","保密","广东","59496061","6","登乐V计划","10000","23","","太棒了，是音乐会，好耶！,云堇、申鹤、万宝、神子、芭芭拉还有辛焱的音乐服装好好看啊！"
"瀺萍","男","江苏","401633735","6","","10000","19","","排面[doge]"
"我是Dewey啦","男","黑龙江","471345968","5","","10000","14","11","https://b23.tv/BV1E44y1t7Kn ,等不及的小伙伴可以先欣赏去年的音乐会，解解馋[大笑]"
"X_inla","保密","广东","30317754","6","卡拉彼丘","10000","19","","你还记得去年的线下音乐会吗[阴险][阴险]"
"rhythmVanquisher","男","海南","629999307","5","","10000","13","8","好耶，所以说快点端上来罢，我已经等不急力（喜）"
"花生粘豆包","保密","天津","625072661","5","","10000","139","","厉害[热词系列_知识增加]"
"Sherlock陌","男","四川","45065363","6","","10000","12","11","这段旅途是由我们开始的故事，也将由我们走到结束，里面的每个音符都寄托着一段过往，你说我说的对不对，我的好伊甸"
"尤娅娅","女","湖北","438944712","5","初音未来13周年","10000","12","","一定要有大梦的曲调呀[初音未来_加油]"
"是七宝捏","女","四川","391619353","5","","10000","81","6","在这里摆一只小猫咪 大家可以拍拍它,　／l、,（° 。 ７, 　l、 ~ヽ,　じしf_, )ノ"
"小紫的小号","女","江苏","14829832","6","","10000","81","29","好耶"
"无心插柳柳成荫一","保密","浙江","2040144869","4","","10000","11","9","在你面前的是，原神音乐会赞助者，可控核聚变投资人，脑机接口的推动者（荧／空）[doge]"
"NAT酱","保密","北京","12609154","6","","10000","11","","既然是线上音乐会，把它搬进游戏里吧，每个人带着自己的角色加入一个大联机"
"_Lumine_","保密","江苏","1549646343","4","","10000","92","","卧槽"
"迷黎君哟","保密","天津","1070258714","5","","10000","54","","浅发一下：官B可以互相联机[打call]"
"科瑞林","保密","河南","33474027","6","梦100","10000","13","","最低播放[tv_笑哭]，不过这个视频内容也确实高不了"
"漪液泜清-逸晔郅磬","保密","四川","696536561","4","","10000","48","","！！！槽卧"
"生名蛋字","保密","湖南","671171632","5","","10000","49","","给这个播放最低的视频贡献点"
"stkkaa","男","四川","441497216","5","","10000","10","","请一定要有层岩巨渊地表的曲子，哪首无所谓但一定要有马头琴！！！"
"横冲直撞小青鸾","保密","浙江","404708115","5","","10000","10","","哦，我的老天，看我发现了什么？如此高雅，一定要开一瓶好酒，穿一身礼服，才配得上这份优雅[脱单doge]"
"昙山_Dre","男","北京","40059647","6","拉文克劳","10000","32","","我多希望我10月2日下午两点上课，这样我还能上课摸鱼听音乐会，但我不能，因为我是授课老师啊喂！（怒摔）"
"小紫的小号","女","江苏","14829832","6","","10000","12","29","是时候再次穿上西装倒上红酒了,[小A和小B_躺][小A和小B_躺][小A和小B_躺]"
"芽芽牙kk","保密","辽宁","44760019","6","Fulgur头像挂件","10000","32","","是时候拿出珍藏的八二年可乐了[脱单doge]"
"桜木の下","男","湖南","2051887468","5","","10000","43","","原神最低播放视频"
"落木乱","保密","河北","385442800","3","","10000","32","","无名的王者，为其他视频守护着播放量倒一的宝座"
"Daydream_Warrior","女","安徽","2503105","6","卡拉彼丘","10000","9","7","我一看，特别鸣谢第一个就是鹭巢诗郎，又公款追星是吧"
"盖浇饭厉害吧","男","湖北","174597561","6","星座系列：天蝎座","10000","9","","手里的肯德基联动套餐和必胜客比萨变成了牛排，喜茶变成了红酒，得物买的鞋变成了皮鞋，衣服变成了燕尾服。,上流！"
"梦游月","男","广东","92912408","6","早稻叽收藏集头像挂件","10000","9","11","好耶，还有音乐会，新耳机没白买[原神_哼哼]"
"麻瓜直视爷","男","广东","87228532","6","","10000","31","","请各位股东届时穿好西装、短裤、拖鞋，带着红酒杯和葡萄汁一起观看[脱单doge]"
"Hoshino_lchika","保密","四川","517720526","5","电子喵","10000","9","","这可是我一个一个一个的大小月卡换来的啊（悲[原神_哇]"
