"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"水色流流韵","保密","广东","5620705","6","卡拉彼丘","10000","3548","10","这次广告真的太逆天了[少年Pi_两眼一黑]"
"雷萤术士老公","男","广东","20668163","6","明日方舟","10000","3736","11","为什么不能是深境螺旋的白雪公子呢，他可特别喜欢和一群丘丘人和史莱姆玩，当然水史莱姆他估计就不喜欢[doge]"
"是sakana哦","保密","江西","601985841","5","","10000","22309","","去年：原来你也玩原神,今年：终于可以玩原神了"
"_--白日梦我--_","保密","山西","629243882","4","","10000","6519","","原宝开始吸收草之力。若没有护盾，将持续受到草元素伤害。[doge]"
"起个网名可真不容易","保密","江苏","524272135","5","","10000","1042","","来自深境螺旋的白雪公主有两个朋友，一个是原石，一个是纠缠之缘"
"情感大师小花","男","江苏","366729660","6","","10000","16784","","今天早上出门买菜看到一个穿璃月外套的大叔，当时我是震惊的[辣眼睛]"
"结雪付丧","男","江西","323070059","6","","10000","983","10","白飞飞，是好那拉的伙伴，但是脑子不灵光，上个月亮不发现在才发，不过没关系，反正兰那罗也没带两个圆圆的东西，但是。。。白飞飞应该知道兰那罗要说什么[脱单doge]"
"yuanchuanchen","保密","浙江","1942317","6","罗小黑战记","10000","3170","","woc立刻占座！说真的这次广告太真实了，社畜流泪[笑哭]"
"-万隆会议-","男","陕西","473012467","5","神乐七奈","10000","3398","","接下来我要讲一个故事叫《来着深境螺旋的白鹭公主》[脱单doge]"
"八重村的八重嘤","男","山东","24715465","6","我开动物园那些年","10000","10203","","来自深境螺旋的白雪公主和他的七个丘丘人[脱单doge][脱单doge]"
"LAWSON罗森","女","上海","361078062","5","","10000","4594","","太离谱了家人们哈哈哈哈哈呜呜呜呜"
"芙芙只要开心就好啦","女","广西","62565327","6","实验品家庭","10000","2346","10","原宝，你又在做逆天广告哦，去休息一下好不好[脱单doge]"
"郑诗砚一口吃掉小鸟游","男","北京","109809990","5","","10000","627","","不知道有没有些过度解读。之前全网黑，提起原神就是战争，那时玩家偷偷摸摸地玩，偶尔遇到同好，十分惊喜。“原来你也玩原神。”,而现在，经过又一年的洗礼和对游戏质量的检验，原神凭借巨大的热度，游戏体量和超高的游戏质量已经成为了中国游戏历史上里程碑级的作品。不管还有没有黑，反串，原神的优秀是客观的，有目共睹的。玩家们“终于可以玩原神了。”"
"愔嫕兮呀","女","四川","288521765","6","原神","10000","1290","","从一开始的“原来你也玩原神”说明了原神在逆境成长的艰难，那时候有很多人因为各种节奏而觉得原神也就那样而放弃玩原神，到现在“终于可以玩原神了”这说明了这款游戏正在被大多数人所接受，一句“终于可以玩了”这不仅让劳累的大家放下了对生活的重担，更是让大多数玩家产生共鸣的一句话，这一刻他是旅行者，一个行走在提瓦特的旅行者"
"爱璐酱的呆呆芯","女","江苏","45486447","6","崩坏：星穹铁道","10000","719","","记住原神的广告都是以“逆天”“尴尬”为卖点的[doge]，千万别太当一回事哦[doge]"
"PolarMan极","保密","北京","1823707","6","HINA","10000","327","","明年：讲述各路退坑老咸鱼生活/学习/失业不顺，而后由于各种机缘巧合回坑原神，一上线就看见曾经陪伴自己一路冒险的角色们一直在老地方等着自己，顿时老泪纵横，进而在现实中结识许多新朋旧友，并逐渐找回曾经的快乐。其名为《果然我还是喜欢玩原神》[脱单doge]"
"澪君ovo","保密","广东","9038789","6","春原庄的管理人小姐","10000","196","","《终于可以玩原神了》，分为「校园篇」、「职场篇」、「家庭篇」三条短片，讲述发生在《原神》玩家之间的趣味故事。,,虚构说明：短片内容与一切真实人物、事件、团体、组织均无关联。"
"小紫的小号","女","江苏","14829832","6","","10000","210","29","舍友玩的是真原神，主角玩的叫恋与提瓦特[藏狐][藏狐]"
"名字就叫大梦一场","保密","湖北","312760509","6","","10000","358","","评分9.9"
"绮夜伴象","男","广东","18381175","6","明日方舟音律系列","10000","116","","虽然很好笑，但是太真实了，上班之后真的没什么时间玩游戏，“终于可以玩原神了”真的说出了我的心里话"
"愔嫕兮呀","女","四川","288521765","6","原神","10000","1290","","从一开始的“原来你也玩原神”说明了原神在逆境成长的艰难，那时候有很多人因为各种节奏而觉得原神也就那样而放弃玩原神，到现在“终于可以玩原神了”这说明了这款游戏正在被大多数人所接受，一句“终于可以玩了”这不仅让劳累的大家放下了对生活的重担，更是让大多数玩家产生共鸣的一句话，这一刻他是旅行者，一个行走在提瓦特的旅行者"
"Bocchi_solo","保密","广西","44751693","6","三周年恋曲","10000","182","","原来越多原神up被开盒了啊！希望更多人能注意下这件事,当一群人毫无底线的时候，他们还要做出什么事？,BV1724y1Z7aj"
"捷古佛烈","男","湖北","2484410","6","原神","10000","119","","白雪公主，我TM莱纳，你根本不在深境螺旋，你躲哪去了[热]"
"茅台炖鳕鱼","保密","北京","67951221","5","实验品家庭","10000","107","","广告片（）,部分男玩家纪录片（）"
"爱璐酱的呆呆芯","女","江苏","45486447","6","崩坏：星穹铁道","10000","719","","记住原神的广告都是以“逆天”“尴尬”为卖点的[doge]，千万别太当一回事哦[doge]"
