"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"灵汐千言","保密","无IP","302502942","5","崩坏：星穹铁道","10000","10082","","菊花花为了保住直播间中间基本都没怎么说话，呜呜呜呜我好感动[崩坏3_划水][崩坏3_划水][崩坏3_划水]"
"翼皓阿伟","保密","无IP","383833748","5","","10000","28718","","我相信各位旅行者设计的关卡不会比ch阳间多少[笑哭]"
"骚橙丶","男","无IP","1876542","6","","10000","25840","","早在制造人偶时，影就考虑了所有潜在危险。,,她认为一切皆有可能，所以最坏的情况是…就连自身也可能在某一日成为「永恒」的威胁。,,……,,人偶的话语，正是来自过去的、她对自己的拷问：,,「你认为如今的自己比过去更坚定，所以现在这个你才是正确的。是吗？」,,「如今的你究竟是有了新的想法，还是受到了无可抵御的『磨损』？」,,相同的面孔，诉说着不同的意志。与自我、与过去的战斗迟早会到来。,,……,,——雷电将军·角色故事5,,[doge]这些智械危机了，有程序员解释一下么？"
"颜玖白","男","无IP","396299347","5","","10000","10871","","2.6出层岩，说明层岩已经做好了，那这就说明须弥已经差不多了，说明枫丹快做好了，说明纳塔已经在做了，说明至冬已经在准备了，说明天空岛已经在构思了，那我催一下坎瑞亚不过分吧[狗子][狗子][狗子][狗子]"
"烬归落","男","无IP","475590798","5","多多poi","10000","1466","12","马上就是七七up了，相信大家都很难歪到兼具美貌和智慧的八重神子大人，所以我给大家整理了一下七七需要的材料,摩拉x7050030,琉璃袋x168,大英雄的经验x419,哀叙冰玉碎屑x1,哀叙冰玉断片x9,哀叙冰玉块x9,哀叙冰玉x6,导能绘卷x36,封魔绘卷x96,禁咒绘卷x129,极寒之核x46,「繁荣」的教导x9,「繁荣」的指引x63,「繁荣」的哲学x114,智识之冕x3,北风之尾x18"
"现在我们逆转了局势","保密","无IP","28576534","6","","10000","2273","","我想知道一件事，无相系列作为最高级的元素生物，在无相岩的材料文本上明确的写出了岩元素是最沉重的元素，无相岩用柱子把自己顶上去是为了更加接近与自己无缘的天空。那么请问岩漂浮灵是怎么飘起来的？他是不是比无相系列还要高级？"
"YYSAAAAAA","保密","无IP","41383646","6","","10000","1683","11","蒙德可莉为您导航：,00:01：空、雷电将军、八重神子（和小狐狸）、甘雨稻妻茶会开场,01:45：2.5薄樱初绽时版本PV,04:40：第一期祈愿：八重神子；第二期祈愿：雷电将军、珊瑚宫心海,05:18：新长柄五星法器：神乐之真意,05:38：八重神子介绍（中：杜冥鸦、日：佐仓绫音）,11:10：传说任务：雷电将军第二章、八重神子第一章,13:47：新BOSS：影的分身？（雷电将军传说任务第二章解锁）,15:11：新原魔：黯色空壳,16:44：原神广告,17:22：版本活动：三界路飨祭（奖励四星武器证誓之明瞳）、神工天巧、曲生酌微梦、百人一揆复刻、精通移涌,25:00：层岩巨渊场景前瞻,旅行者们新年快乐！,兑换码:4AQNK5RWKXTJ、9S9NJMQF2FS6、PT8PJMQWJEDS"
"杉斯而后行","保密","无IP","448343085","5","","10000","1181","","以下是本人关于稻妻怪物的一些拙见，关于原神现在战斗交互性越来越低的一些建议。希望官方能够优化我们玩家的游戏体验来让战斗更有趣味和交互性。,       1.浮浪人和海乱鬼改动：现在他们都可以使用刀来格挡玩家的攻击，但是只能格挡身前120°的范围，并且每次格挡时会消耗刀的耐久，如果刀受到大剑等高削韧攻击会损耗更多耐久值，如果刀的耐久清零则直接碎裂，浮浪人大概率会直接原地投降，投降的怪物会原地慢慢消失，小概率直接攻击玩家，且攻击方式发生变化。,       1.5海乱鬼：同上，但是海乱鬼投降概率降低，并且狂暴状态下不会投降，处于狂暴状态下刀碎裂后会原地吟唱3秒凝聚一把自身属性的元素之刃继续攻击玩家。,        现在海乱鬼狂暴后全抗性降低10％，也不再免疫冰冻石化。,        海乱鬼和浮浪人的重量减轻，但他们也可以将刀插入地面进行固定自身，避免被吸附。,      2.飘浮灵现在如果受到被克制元素的攻击时，也会积蓄暴怒值，与之前的暴怒累计方式叠加计算，现在飘浮灵暴怒值积蓄满3秒后，就会失去全部韧性直接跌落至地面眩晕4秒，然后会慢慢飞起恢复正常状态，并且飘浮灵现在可以被风力吸取。,       岩飘浮灵的漂浮高度现在是所有飘浮灵中最低的，但暴怒值累计也是最慢的。风飘浮灵则是最高，但也是暴怒值累计最快的，同时所有飘浮灵现在会和史莱姆一样自带附着元素,       3.黯色空壳现在会拥有一个稀薄的自身元素属性的护盾，通过元素反应或许可以破除护盾。,        破除护盾后黯色空壳会进入眩晕状态5秒，并且吸盾，和打盾回血技能会暂时禁用，直到黯色空壳再次开启护盾。"
"Schwarzischild","保密","无IP","316062388","5","三周年恋曲","10000","3651","9","2.5版本汇总,2.5版本名称为薄樱初绽时,更新时间2022年2月16日6点,新角色八重神子,特有天赋  合成角色天赋素材时有概率增加,雷电将军进周本,Up  上半    八重神子,        下半  雷电将军和珊瑚宫心海,新武器   神乐之真意和正誓之明瞳（三界路飨祭获取）,雷电将军新任务,天下人之章第二幕,八重神子传说任务,仙狐之章第一慕（环城天下人之章第二幕解锁）,全新怪物  暗色空壳分为敬畏骑手和破阵,新版本活动  ,三界路飨祭,神工天巧,曲生酌微梦,百人一揆活动复制,天赋秘境双倍,2.6层岩巨渊开放,传说中岩王帝君与肥坨此一战,因疫情防控原因一周年音乐会延期二周年举办,兑换码,4AQNK5RWKXTJ,9S9NJMQFFS6,PT8PJMQWJEDS,兑换码有效期至2022年2月5日12点,祝大家新年快乐"
"芒果不芒芒是芒","保密","无IP","403642221","5","原神","10000","1200","","观看新周本Boss片段真的就会被这完全不像是一个机械人可以爆发出的强烈感情，震撼到起鸡皮疙瘩……,个人理解：,雷电将军这个造物不仅仅是愤怒，更多的是那种悲伤。,因为自己的造物主不打算永恒了，等于说把自己给抛弃了……因为自己本来就是造物者为了永恒而制造的。,但是现在自己的造物者为了民众放弃了永恒，放弃了自己。,雷电将军真的想要杀了主角，让自己的造物主回心转意，,因为在雷电将军的认知里因为我们让自己的造物主改变了思想，因为我们才让自己的造物主抛弃了自己。,所以等于说只要除掉我们自己的造物者就会回心转意；,这，就是独属于机械人偶的认知。,,“我是万世不变的法则”,,“我是「永恒」的守护者！”,,「不要把我存在的意义给夺走」[热词系列_破防了]"
