"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"KarsisO-O","保密","辽宁","448702125","5","","10000","1243","","总结,1：兑换码FSCX9HBYDBFW ,               5TVFRHSZCBEJ,               STUFQHAYDSE6,2：卡池上半迪希雅，赛诺up，迪希雅进常驻,            下半神里绫华，申鹤up,3：出珐露珊邀约,4：活动「振晶的复核实验」「灵蕈棋阵」「有香自西来·寻味北地」「地脉移涌」6k音游、捡球子游戏,5：魔神任务「卡利贝尔」(凯亚出场,风花的呼吸「风花节」,必胜客联动(？？？)→风之翼,过主线送20个粉球，，，"
"全自动麻将姬","女","中国澳门","18208920","6","","10000","5780","","迪希雅：mhy是懂自由的"
"雨中幽兰Lancy","女","湖南","389618682","5","","10000","8046","","迪希雅命之座的蝎尾鬃狮，即“蝎尾狮”，名叫Manticore（曼提柯尔）。巴特洛迈乌斯安戈里克斯所著的《物之属性》记述：“它拥有红色的狮身、人面、人耳和蓝色的眼睛，上下颚各有三排利齿，尾端像蝎子一样长有致命的毒刺……”迪希雅的部分外形设计也应该来源于此。"
"voidwatchers","男","四川","39876771","6","","10000","11192","","“风车也可以看成一种‘大风机关’吧”,不愧是你啊赛诺[喜极而泣][喜极而泣][喜极而泣]"
"阿果果果子","女","广东","386883986","6","","10000","6517","","赛诺工作的时候掉水里了，提纳里热心帮他吹头发，但是感电与吹风机的大风发生了元素反应，赛诺吹得头疼，想让提纳里关掉，大喊：“大风机关！”"
"bdmbws","保密","未知","113157","5","","10000","1720","","赛诺的冷笑话的英文和日文和韩文解释：,英文：,...Why is this humble windmill such a great view?,Beca..."
"罪梦灵","保密","北京","382826167","5","","10000","625","","1.4蒙德风花节，达达利亚复刻;,2.2稻妻鹤观开放，胡桃复刻;,2.8海岛活动，宵宫复刻;,3.0须弥开放，钟离、甘雨、心海复刻;,(3.1的沙漠和妮露也不是完全无关，但妮露最好的up期应该是3.0或3.2的),3.4蒙德风花节，申鹤、绫华复刻。,剧情早已不能完全决定复刻角色，mhy是自由的[妙啊]"
"-渚歌-","保密","辽宁","400391889","5","良辰美景·不问天","10000","127","","看完我就知道肯定会有节奏了。这次下半复刻说实在的我也没想到。想来想去只有一种可能，就是mhy本来是要复刻优菈阿贝多。但是由于一些原因，可能是降低内鬼可信度？然后去更改了卡池，把原本的3.6甚至3.7配合稻妻和璃月的剧情的绫华和申鹤放到了3.5。但是有一说一这是一个昏招就是了。当然我说的都是建立在内鬼消息之上，不然没有内鬼谁都不知道会复刻谁"
"从天而落小兔子","保密","北京","195353240","5","","10000","95","","我大抵的确是疯了，但这可是坎瑞亚的剧情。,也许你们不知道，我是三分钟狂热的肝帝，于是果不其然我在一年多的游戏后淡了坑退了坑。,凯亚和戴因是我最后的牵挂。我想了解他们，他们的眼睛，他们的过去，他们谜语中的秘密。我欲在他们的深处探索，我曾预见他们一出现我就会回头，可这一次，这一历史性地会晤，这一场关于坎瑞亚的调查。,你看到了吗，他们和我坐在了一起。这一重聚，把我在外四处张望的头往提瓦特的地脉根部栽，把我仅剩的软肋往外挑出来挂在群玉阁的尾巴根子上。,我像被提起后颈的小猫。,我知道我逃不掉了。,我要把须弥好几章的主线补回来，去开图，去沙漠砍一通，重新做回旅行者。,我是那样凭借新鲜感为生的人。,我真是疯了。,我觉得我其实是受诅咒成为废材的坎瑞亚遗民。"
"帅逯","保密","河南","1861983799","4","","10000","72","","下版本原魔将迎来5.3版本，新五星角色冰之使徒登场，不仅拥有强力的护盾和高贵的冰系，输出能力也是一顶一建议抽取，新四星原魔角色斧头兵输出和坦度不错，如果达到三命以上，建议练，新版本的具体配对可以，选冰使徒火使徒雷丘丘王和北风狼，输出高，生存能力也不错，各角色相成相辅"
