"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"情感大师小花","男","江苏","366729660","6","","10000","4324","","焰色的少女举起弓箭，将烟花送上清朗的夜空，而绽于天际的烟火，点亮了身侧少女的眼眸。她自由、洒脱、活泼;她严谨、传承、艺术。她的心里，是天上闪闪繁星，更是人间的烟火与光芒。无论时间怎样流转，宵宫永远是这样。每次看到她的笑容，那一份甜蜜是溢出屏幕的美好。,希望大家的身边都能有一位像宵宫一样温柔美好的人做伴，永远幸福，永远守住心中最美好的事物。"
"河城似鸟","男","四川","1638566","6","","10000","7260","10","烟花来咯！"
"愿时光再慢些","男","广东","133056295","5","","10000","3476","","看到这一幕，听到这音乐，莫名想到：岁月静好，现世安隐。[妙啊]"
"li子木李","男","重庆","325050479","5","原神","10000","10208","5","外星日记 地球纪年2022.8.2今天又用陷阱捕获了不少人类。但当我看到一个叫宵宫的人的时候我愣住了。捕获了那么多人类，还是第一次被人类捕获了。"
"傻猫蘸酱","男","福建","265225007","5","","10000","3698","","英雄形态的宵宫姐姐登场!邪恶退散正义必胜!!"
"麦乐鸡贼Oo","保密","广东","1921242390","5","","10000","6770","","布谷～布谷～评论区时间十二点整～"
"TanVan_","女","江苏","502757180","5","","10000","1075","","英雄形态的烟花姐姐登场！[doge]"
"星影月曜","保密","河南","101130254","6","","10000","450","8","好耶！"
"民国豌豆","保密","湖南","484465441","5","","10000","3252","","有谁能想到在宵宫卡池前几天官方直接发了一部须弥的PV把热度抢光了[笑哭][笑哭]"
"多尼沃米里安","男","广东","1453654448","4","","10000","20352","","蒙德的军火商刚复刻，稻妻的军火商就要来了[doge]"
"折木是我的信仰","男","贵州","434153717","5","总之就是非常可爱","10000","367","","本来想抽可莉池子垫卡池的（可莉有了)，结果来了一命可莉，无缘了嘛宵宫[热]"
"暴躁滴狗子","保密","北京","165976727","5","","10000","348","","我十抽想垫个小保底结果垫出了万叶，都一命了[大哭]"
"知更鸟-R0bin","男","贵州","225441277","5","崩坏3·天穹流星","10000","451","10","我们中老年人喜欢宵宫 并不是想要图什么也不是完全为了消磨时光，我们是在追随时代的脚步展示真实的自我 记录美好的生活留下美好的回忆，我们虽然已经不再年轻但是我们有一颗永远年轻的心，与君共勉，亲人们"
"你硬币掉了_","男","河北","319891178","6","王子碰碰球","10000","439","","我突然在想，原宝可不可以增加可以互动待机动作，比如在「联机，多人共赏烟火」的时候，可以出发「特定角色动作+语音」，比如「宵宫」这个伸手指烟花的动作 03:25 03:36"
"A哈哈咳咳","保密","陕西","310624223","6","","10000","418","11","整理完信出酒庄从门出会遇到凯亚，千万别直接传送！,五封信位置：雪山营地，骑士团楼顶，骑士团办公室。,晨曦酒庄里有：迪卢克的收信（任务），凯亚给迪卢克的九封信。 ,BV1jr4y15746"
