"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"cookie-NANA","女","未知","30751170","6","","10000","39130","","收藏进心里"
"想吃影做的九转大肠","保密","广东","42851484","5","","10000","24426","","策划：“无关乎万众的理想，无关乎人类的未来，这一次，我会将第二章传说任务压进枪膛…..”,宵宫：“说人话，这次进池要我跟哪个神打”,策划：“星穹铁道”"
"Misaka12013","女","山东","487251588","5","","10000","14920","","杰瑞，汤姆，我看到了，这真的太棒了"
"颜晚醉晚","女","广东","84844429","6","","10000","10567","","真的很喜欢这句话，共鸣感太强了[大哭][大哭][大哭]"
"爱新觉罗-红利","男","北京","26853","6","公主连结凯露","10000","9816","","绫华：6"
"Nagi私が","保密","浙江","450063788","5","三周年恋曲","10000","8843","","这一帧显得两个人好纯情啊[保卫萝卜_哇]"
"是阿困呀","女","山东","313653700","6","","10000","8781","","烟花易逝，人情长存"
"KKOMDA","女","安徽","1740827542","6","","10000","5408","","好棒的视频！我特别喜欢！我也想再制作一期宵宫视频！"
"开心的王王","男","重庆","668198770","5","","10000","5192","","和其他三神的传说任务不一样，宵宫的任务不是“传说”，其实像是邀约。同样，宵宫也配不上“任务”这个词，不如说是和邻家女孩一起聊天、旅行，是享受的过程。,我已经记不得我是多久做完她的传说任务第一章，但是我记得她说的一段话：“童年曾经相信过的东西，经历过的事，慢慢都会变成无可替代的宝物，而且，对孩子来说，相信并且喜欢就好，真真假假什么的，不是那么重要的事啦”。所以宵宫并不是那种傻白甜，她明白现实的残酷和无情——花有绽放之时，也有枯萎之刻，流星划过天际展现出耀眼的光芒，但刹那间的闪耀后终究归于沉寂，人的一生也如此，来一趟红尘间，就算卷起千层浪，也不过若许年。,四神面对这个问题时，都给出来了不同的答案——钟离希望忘记自己，让人能活出自己，世世代代延续属于人的精彩，而不是依赖于神谕；雷电影试图无限放慢时间，以永恒对抗虚无；纳西妲不清楚……前者太宏大，后者太狂妄，而且放在每个渺小的人身上又太遥远，所以我只是觉得伟大或者传奇，并不能回答普通人的疑惑。,宵宫的答案则是相信。她知道童话的美好不可能在现实中被找到，但是她相信在寻找童话故事的过程中会发现更多的美好；她理解现实的残酷，但是她并不会失去信心，选择在现实中随波逐流。她会统筹好现实与想象，调和两者的矛盾，就像她制作的烟花一样，烟花既可以成为养家糊口的工具，也可以成为情感的寄托。,所以我听完故事后，只是觉得意犹未尽，恋恋不舍，并不会觉得悲伤或者失望，就像宵宫虽然只是虚拟世界的一个角色，但是我并不会对现实绝望，可能和宵宫一模一样的人不会存在，但是你知道吗？人生就像一个圆，我们知道完美的圆这个概念，但是我们永远不可能画出一个完美的圆，因为总会有误差。那么如同虚拟的宵宫，如同我们曾经相信过的美好事物，如同那些美好的梦想一样，并不能因为不会存在而放弃去追逐他们，没有他们，可能就根本不会踏上寻找之路，也就不会遇到沿途的风景，更不要说会达到终点。,因此我也会爱身边的人，保留儿时的美好回忆。当然也包括你在内，我也会好好珍惜的。,总之随便写写吧，一时半会不知道该说什么，宵宫很可爱，身材也好，最重要的是我喜欢她的性格，像一个小火苗一样，不过于耀眼，但是总会在身边跳跃，迸发出无尽的热情与温暖。"
"空宝美荧宝屑","女","江苏","2039224421","3","","10000","1084","","把宵宫的第二章传说任务放在须弥版本剧情的收尾阶段是个很不错的安排，你想过去一年间，主角在须弥的世界见证了各种悲欢离合和勾心斗角——主线前有愚昧贤者造神，后有大慈树王仙逝；支线则有兰罗摩奉献自己，婕德颠沛流离的人生，塔尼特的自取灭亡，花灵一族抵御深渊；传说任务里有机械与生命的定义，艺术的雅俗之争，教令院的冷血与傲慢，镀金旅团的快意恩仇，“小镇做题家”到大城市的不适应，即使长大，父母依旧牵挂自己的孩子，理想主义者面对现实的挣扎等等,太多令人遗憾的画面让玩家对这次须弥之旅多少会有些不开心，所以在离别之际需要有一个人出来治愈大家，那么这个最合适人选就是宵宫了！"
"吃甜軟糖兒1_30-1-0","保密","广东","447385326","6","","10000","438","","（ps：个人想法，有不同的想法可以反驳）,看完宵宫传说2，有点明白做完绫华传说那种怪怪的感觉是怎么回事了。绫华作为神里家族和社奉行的掌事人，无时无刻都得忙碌于家族事务中，受限于家族因素，与爷的交往没法像平民阶层的宵宫那样洒脱，这就导致明明是在同行约会，却会品出一种说不上来的伤感，这种伤感有不同的感悟，比如：林中分别那段，两人“背道而行”，爷和绫华都背负着各自的使命，即便绫华表现出了对爷的好感，但两人注定没法在一块（文学上是不是叫物哀来着？似乎物哀在稻妻剧情里很常见呢）；又或者品出一种很怪的感觉，比如：我等相识并不久，我只是拯救了蒙德和璃月后名声大躁，怎么我自踏进稻妻这片领土后，神里绫华就想跟爷套近乎呢（像这种感想就是最容易衍生出阴谋论的，我就看过相关的视频，但我有自己的判断能力，是不会随意相信啦[笑哭]）"
"司空烎","保密","江西","399905401","5","洛天依9th生日纪念","10000","847","","当我以为要先把小孩送回去才能看流星的时候，流星突然就冒出来了，甚至还是从地上往天上飞？,当我以为我只需要静静的看着的时候，宵宫直接拉着爷坐上去了？,几处意想不到带来的惊喜，我愿称之为原神最浪漫的童话"
