"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"是神韵诶","保密","黑龙江","349141523","6","碧蓝航线","10000","5158","","早上的毛概课，老师谈到文化生活领域，举了08年功夫熊猫ip成功的例子，明明功夫和熊猫都是中国元素，但我们当时却做不出来这样的动画。,15年后，轻涟的巨大反响，引用音乐团队大佬的话来说，我们也能突破语言风格异国元素的限制，为大家呈现多元的文化形式。"
"卡卡时令君","男","重庆","401630167","5","","10000","1918","","重点:传说任务写的是芙宁娜”后来”的生活，是故意在主线部分结尾留白提供想象空间的，所以会发现主角和芙宁娜的态度有很多转变，就像缺了什么一样，其实这和枫丹预言危机已经过去很久了"
"莫笑203","保密","江苏","16470722","6","碧蓝之海","10000","2618","","想到个问题，有么有高人解下惑。芙芙的出现和芙卡洛斯的消失是同时的，那龙王是谁带进枫丹并赋予身份的？如果龙王一开始接触的是芙卡洛斯的话，那他后面不可能感觉不出两人的分别啊  [思考]"
"山崖复远望","男","上海","19104000","6","","10000","5456","","视频里提到芙宁娜的服装设计参考了小美人鱼，而小美人鱼故事的主题就是“成为人”...米哈游，这也在你的计划之中吗？"
"Chihirokiven","男","江苏","474903570","5","碧蓝之海","10000","943","","我愿意称芙宁娜的传说任务是造价最高，同时也是花费最多心思的那一档，短短的一分多钟，需要跨国多团队合作，很不容易，最可贵的是这部作品是所有人倾注爱和热情制作的，仿佛芙宁娜在舞台后所做出的巨大努力一样，我想玩家应该将掌声送给项目组和枫丹的大明星芙宁娜[给心心]"
"Nikixcc","男","湖北","352633478","5","良辰美景·不问天","10000","623","","能在有生之年看到中国有原神和流浪地球这两大现象级IP是我的幸运，中国的文化崛起就是要靠这样的作品，把我们的理念传播出去。我们好的地方要讲述，国外好的地方也要讲述，讲好中国故事而并不仅限于中国本土的故事。"
"翰墨寻章","保密","江苏","1724250499","5","","10000","676","","不是同事，不是组员，而是“同学”。他们在一同学习，才能让自己的作品再创新高，希望能继续保持下去"
"从慀","保密","青海","269475273","6","明日方舟-愚夜密函","10000","6307","","刚弄出泪水效果时：别弄了，怪尴尬的,4.0优化后：这么好？多来点！,现在：别弄了，怪尴尬的[墨镜]"
"是流星雨啊","女","黑龙江","19649614","5","","10000","2669","","发现，米哈游的员工真的很爱自己创作的角色，在员工的工位是总是能看到大家摆的痛桌大阵哈哈哈哈[捂眼][捂眼]"
"YyyoBi","保密","山东","626187331","5","怪盗基德","10000","788","","芙宁娜是一位比较特殊的神——《原神原画师》（官方人员）。我看谁还说芙宁娜是水人，她就是水神"
