"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"试做型嘟嘟可","保密","河北","431053681","5","","10000","24911","","枫丹的到来 意味着3.0篇章正式落幕，正式和充满梦幻和童真的须弥说再见了.从3.0化城郭的相遇到3.8雨林乐园的别离，帮助迪娜泽黛治愈魔麟病、欣赏妮露的花神之舞 与兰纳罗们一同探险 和捷德探索沙漠中的奥秘 解救被封锁的小草神 让被神抛弃的人与被人抛弃的神相遇 见证拯救世界树而根除自己的她。须弥的旅行已画上句号 但旅行仍须向前，无论旅行何方 如果留念 请再次来到这片绿草如茵的国度 再见了须弥 森林会记住一切。"
"羽忱oukoe","男","黑龙江","375164704","6","","10000","17156","","注意，前瞻里说的，初入枫丹进入的是浅海，也就是说，后续地图会有深海[星星眼],期待深海巨物_(:з」∠)_"
"BV1134y1o7hi有惊喜","保密","重庆","486106105","5","嘉然今天吃什么","10000","13939","","看了枫丹前瞻的内容以后感觉像是，在没有提纳里的风场飞行——无狐起飞[妙啊]"
"樊七木","保密","山东","351979177","5","","10000","10866","","我已经迫不及待地想听戴因念猫猫帽和帽帽猫了"
"上官序","保密","湖南","73807100","6","","10000","10721","","为什么琳妮特是风系单手剑角色？,因为她是“风单”人。"
"文浙瑞","保密","四川","293775419","5","","10000","9938","","其实我感觉还是一步一步走向枫丹挺好的，这才是旅行的意义和乐趣，看到很多萌新基本上蒙德还没做完就已经跑到须弥了，哪边的图都没有开完。我犹记得当时须弥刚开时的激动，版本更新后做完其他杂七杂八的任务，才双手合十，口中大喊，须弥我来辣。那是走向新征程的快乐，一个阶段正式结束前往新的地方。"
"喜多海川","男","广东","1161365542","4","","10000","9014","7","公子来枫丹是因为可以在绵延几千米的瀑布冲浪了。"
"一加手机","保密","广东","9535164","6","","10000","5553","20","是我，我带着一加 Ace 2 Pro 原神派蒙主题礼盒，来啦来啦来啦[原神_干杯]"
"玖調","男","河北","622284845","5","","10000","4050","","为什么林尼表演魔术的时候观众被淋湿了，因为这是“淋你(林尼)魔术”(>ω<*)。"
"只因派蒙","保密","浙江","341961130","4","崩坏：星穹铁道","10000","3496","","感觉枫丹很适合维尔薇啊，魔术，表演，机械，工坊，最初的大魔术也有一种维尔薇的感觉，我建议维尔薇别在黄昏街变魔术了，应该在枫丹发展[崩坏：星穹铁道_举牌]"
"无凭-","女","四川","336128281","6","","10000","3472","","几千米的大瀑布 难怪鸭鸭会来枫丹哈哈"
"民国豌豆","保密","湖南","484465441","5","","10000","2041","","看完这一段 我就有一个想法里面的海底小动物能不能变身成为兽肉[doge][doge]"
