"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"Doctor_如坠冰窟","男","无IP","421668505","5","","10000","27515","","我看到这个角色到第一时间就要打电话给我朋友:“原神出了个一脸煞白的角色。”,,他那边比较吵 不知道是在干什么 ,,几分钟后 他看完pv回来跟我说:“新出的角色不是叫罗莎莉亚吗？哪来的伊丽莎白。 ”[无语]"
"白发戴花_君莫笑","女","无IP","17441580","6","","10000","16685","","她是冰系，她也是冰系,她身材曼妙，她也身材曼妙,她性子柔，她性子暴,她爱加班，她厌加班,[热词系列_好耶]我磕到了"
"炸洋芋片","保密","无IP","632518956","5","还有醒着的么","10000","54693","","建议日配演示直接这么来：,我的名字叫罗莎莉亚，今年33岁。住在蒙德北部的大教堂一带，未婚。我为风神教会服务。每天都不加班直接回家。我不抽烟，酒仅止于浅尝。早上7点睡，每天要睡足8个小时。睡前，我一定喝一杯早餐酒，然后翘掉20分钟的晨祷，上了床，马上熟睡，一觉到天黑，决不把疲劳和压力留到晚上，芭芭拉都说我不正常。,[doge]"
"羽翼莲华","男","无IP","844685","6","时空穿越头像框","10000","23797","","起初刚看到罗莎莉亚的时候有些人觉得罗莎莉亚不是什么好人，外表和行为都和教会截然相反，现在看这标题，这完全是风神巴巴托斯的忠诚的信徒啊，贯彻落实摸鱼的信念，把摸鱼进行到底[doge]"
"贤鱼咸者","保密","无IP","100678354","6","","10000","15080","","璃月：加班千年甘雨,         唯一夜叉魈,         荡涤四方钟大爷,蒙德：不干正事巴巴托斯,          绝不加班罗萨莉亚,          拆迁大户可莉,          不知道在干嘛凯亚,我直接实名心疼琴团长"
"蓦兰唱","男","无IP","40909509","6","原神","10000","14175","","罗莎一个E到甘雨脸上，“凭什么加班”,甘雨一个E逃开，“不行我得加班”,罗莎一个E到甘雨脸上，“凭什么加班”,甘雨一个E逃开，“不行我真得加班”,…………"
"酸性不可食用芋头切片","女","无IP","254386508","5","","10000","28670","","你和甘雨打一架吧[doge]"
"Goyathlay","女","无IP","21605616","6","","10000","9217","","打南边来了个萝莎莉娅，手里提拉着五斤布洛尼亚。,打北边来了个罗莎莉亚，腰里别着个可可利亚。,南边提拉着布洛尼亚的萝莎莉娅要拿布洛尼亚换北边别可可利亚罗莎莉亚的可可利亚。,罗莎莉亚不愿意拿可可利亚换萝莎莉娅的布洛尼亚，萝莎莉娅非要换别可可利亚罗莎莉亚的可可利亚。,萝莎莉娅抡起布洛尼亚抽了别可可利亚罗莎莉亚一布洛尼亚，罗莎莉亚摘下可可利亚打了提拉着布洛尼亚的萝莎莉娅一可可利亚。,也不知是提拉着布洛尼亚的萝莎莉娅抽了别可可利亚罗莎莉亚一布洛尼亚，还是别可可利亚罗莎莉亚打了提拉着布洛尼亚的萝莎莉娅一可可利亚。,萝莎莉娅炖布洛尼亚，罗莎莉亚嘀嘀哒哒吹可可利亚"
"水银与灯的祈舞","男","无IP","273974340","5","还有醒着的么","10000","10742","","今天，我重登了一下我的号。,突然，我发现号里有胡桃，她使用着长柄武器，冲刺时会短暂消失同时还会有蝴蝶。,而且战斗胜利后她还会讲：,布洛妮娅姐姐，还满意希尔的表现吗？,哈哈哈"
"42D2","保密","无IP","34088241","6","","10000","25653","","甘雨天天加班啥变化没有，罗莎莉亚从不加班却有黑眼圈，这说明什么？996是福报啊[tv_目瞪口呆]"
