"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"三三是我的世界","保密","无IP","36546416","6","约战·狂三","10000","2512","10","讲个鬼故事，如果你为了强度去满星深渊抽不喜欢的角色，那花的原石比你满星深渊得到的原石还多。所以XP抽卡天下第一[妙啊]"
"好果汁部部长","保密","无IP","1558805837","5","","10000","18399","10","视频时间长度   ：648"
"Afroty","男","无IP","88004789","5","","10000","10534","","强烈建议把斗虫游戏常驻在游戏里！最好还可以给自己抓到的虫取名字！我名字都想好了！,大幻梦森罗万象狂气断罪眼！兄弟们顶我上去让原宝看到！[脱单doge]"
"娃子的李云龙","男","无IP","196836212","5","时光代理人","10000","6623","","昨天做一斗任务：,一斗：追不上我,然后就掉下去了[藏狐][藏狐][藏狐]"
"白糖黑茶","女","无IP","67254913","6","","10000","1203","","我为了抽满命五郎，出了2个一斗1个琴，我朋友连抽3个一斗才1个五郎[Cat2_Boom!]您这五郎爆率离离原上谱"
"迎水瑶台","男","无IP","34126339","6","罗小黑战记","10000","5147","","第一次见角色视频里频频出场这么多不同角色，岩系团建了属于是[笑哭]"
"南宫红叶","男","无IP","18108457","6","","10000","2420","","我一直守在这里就是为了听戴因先生用一本正经的语气讲出“亮晶晶发现术”这句词.jpg[doge]"
"支玖","女","无IP","15834188","6","原神","10000","10270","","下次问卷我要加上一个，建议拾枝杂谈念完所有角色的技能名[傲娇]"
"_葳_蕤_","保密","无IP","98766610","6","","10000","12343","","戴因啊戴因，你是坎瑞亚的拾枝者啊，你怎么不念“亮晶晶发现术”！可恶，我等了好久[doge]"
"易知_QVQ","女","无IP","1560261121","5","","10000","1260","10","因为送的一把阿贝多专武抽了阿贝多，因为有阿贝多抽了一斗，因为有一斗补了五郎命座[捂脸]"
"carpe_dieeeem","保密","无IP","495626613","5","","10000","2439","","官方拿爱豆给自己当辅助，榜一大哥一斗人生巅峰了属于是[doge]"
"夏を生きる","保密","无IP","13640428","6","","10000","12645","","戴因不念技能了，怎么想都是因为之前介绍早柚技能你们拿他整活我要看说叠词的戴因"
