"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"汐沐KN","保密","广东","177716806","5","崩坏：星穹铁道","10000","5860","11","省流:原神4.1直播内容总结 ,一、兑换码: ,GCSYYDEJNYC6,MCAGYVX2NGFA,RCTGGDX26GEW,过期时间：23年09月16日24:00:00 ,二、卡池,上半卡池:新五星那维莱特(属性:水 武器:法器),下半卡池:新五星莱欧斯利(属性:冰 武器:法器),三、活动: ,1.周年庆签到送十连+邮箱送1600原石,2.游水酝诗籍(版本活动，赠送一把四星法器),3.嘟嘟可轰轰奇遇记,4.人生的波峰与波谷,5.集光撷彩,四、新增内容与系统优化,新增魔神任务第四章第三幕和第四幕,新增那维莱特，莱欧斯利传说任务,枫丹新增2个区域(指地图缩到最小的区域(共两个大区域)),委托新增历练点(可通过做活动或探索获取),详细请见：【【原神】4.1前瞻内容总结】 https://www.bilibili.com/video/BV1g8411v7Zz/?share_source=copy_web&vd_source=786cc1bf2a23077e94ec46ae477a5ca4"
"吃甜軟糖兒1_30-1-0","保密","广东","447385326","6","","10000","2840","","4.0的主线公子突然就跟我们提起他小时候在深渊的历炼以及师父的事，很值得注意啊。去看了下角色故事，三个月的深渊历练，现实却只过了三天，是时间执政伊斯塔露在出手吗？而且up天空岛的愚者也提到4.1的标题中的『晨星』与伊斯塔露有关。若是如此，公子提起往事是否暗示了接下来的主线伊斯塔露会出场或动用力量？我猜测会不会最后枫丹人真的会部溶解，然后伊斯塔露出手，创造了一处连接现在与过去的空间，在那处空间内，我们会见到前代水神，然后前代水神与现任水神的两个人格（也有可能是两任水神＋爷）一起合力复活枫丹人，就像复活无相水的三只史莱姆那样[思考]？"
"我是银枝大人的呜呜伯","女","四川","310764365","5","格兰芬多","10000","3973","","首先祝各位旅行者们三周年快乐，我们已经走过五个国家了,个人边看边整理的信息：,1.五神开头寄语,2.五神cv闲聊祝福（第一次见，排面拉满了）,温迪cv喵酱，钟离/特瓦林cv彭博，雷电将军cv菊花花，纳西妲/可莉cv花玲，芙宁娜cv钱琛,3.大伟哥出场尬聊,4.版本PV,开头进监狱，看起来很刺激，cool,莱欧斯利（五星冰法）BGM太酷辣，cv刘北辰,那维莱特（五星水法）BGM好诶，cv桑毓泽,那维莱特是美露莘？,仆人出场,信息量太大了，看起来有大活，期待期待，我现在就要玩4.1！,5.大伟哥和耶嘿前情回顾,后续剧透：仆人和那维莱特芙宁娜会面，要求旅行者潜入梅洛彼得堡确认公子情况,魔神任务第四章第三幕第四幕开启,6.公爵莱欧斯利，梅洛彼得堡最高负责人,同样是关于生命值的攻击，类似林尼琳妮特？但我总感觉更像刃（）,梅洛彼得堡建于枫丹水下,莱欧斯利传说任务,7.那维莱特，爱好品水（），十分喜爱美露莘，认为她们有人格，属下逐影庭,那维莱特传说任务,也是关于生命值的攻击，围绕重击,你们带龙属性的重击方式都这么离谱吗（）,8.上班池子：那维莱特，胡桃,下班池子：莱欧斯利，温迪,9.第一则兑换码,10.空/流浪者cv鹿喑，荧/七七/诺艾尔cv宴宁，派蒙cv多多，祝福整活闲聊,11.林尼/菲米尼cv锦鲤，琳妮特cv可可味，那维莱特cv桑毓泽，莱欧斯利/若陀cv刘北辰，闲聊祝福，我超刘老师声音太好听了,12.大伟哥和阿汤哥介绍新场景,旧枫丹科学院旧址（空中那些失重漂浮的水立方体），这技术要是让凝光知道……,全新大世界BOSS怪物展示（在旧址某处）,会遇到新愚人众成员，隶属于仆人,梅洛彼得堡（看似监狱，本质流放者聚集地），略带精致的工业风，蒸汽朋克,全新大世界BOSS怪物展示（在梅洛彼得堡）,13.经典小尬剧，甜甜甜甜甜,14.第二则兑换码"
"民国豌豆","保密","湖南","484465441","5","","10000","9084","","我有个想法，把菲谢尔叫到水之国和芙宁娜认识一下，她们两个绝对聊得通。[doge][doge]"
"无鎏月","保密","陕西","272280016","5","","10000","181","","那维不歪，玩到关服[脱单doge][脱单doge][脱单doge][脱单doge]"
"冰夜灵丶","保密","广东","85852648","6","崩坏：星穹铁道","10000","7289","","卡池：,上半：那维莱特胡桃,下半：莱欧斯利温迪,任务：4.1主线两幕,新武器：新增六把武器,新建筑物：,枫丹科学院遗址（在天上的）,梅洛彼得堡（监狱打工）,新角色：,莱欧斯利：五星冰系法器,那维莱特：五星水系法器,新BOSS：,实验性场力发生装置,千年珍珠骏麟,新怪物：,俩愚人众精英怪,活动：,游水酝诗籍（给四星法器）,（分三个小活动的大活动）,嘟嘟可轰轰奇遇记（炸鱼）,集光撷彩（收集逃跑的生物）,人生的波峰与波谷（上buff打怪）,铸境研炼（七圣召唤新关卡）,精通移涌（双倍天赋材料）,PS：,送十抽彩球,邮件送：（1600原石,四个脆弱树脂,两个特殊纪念道具）,去音乐会的礼包（带风之翼）,双倍重置,枫丹音乐OST,音乐公益项目,系统优化：,突破任务优化,每日任务优化"
"吃西瓜的群众大大","男","山西","386774428","5","公主连结凯露","10000","6886","","历经四个国家被通缉，旅行者终于进监狱了,虽然只是卧底吧。"
"表哥的游戏研究室","男","福建","179572417","6","崩坏：星穹铁道","10000","5093","","我现在就要看原神动画！"
"雷霄云亭","男","山东","170167472","6","","10000","3747","","对上次逐月节做了点小总结：,锅巴你坏，香菱无奈，,刻晴可爱，爷在拿筷，,北凝恩爱，天叔自在，,行秋使坏，重云被卖，,魈来去快，辛焱畅快，,流云嘴快，甘雨急迈，,往生无碍，堂主愉快，,七七最爱，椰奶无外，,白术不外，悬壶所爱，,烟绯不败，思寄亲外，,钟离等菜，故人不在。[doge]"
"磁爆步兵54","男","浙江","3443416","6","","10000","3702","","那维莱特在室内的时候会下雨吗[藏狐]"
"嘉德冥泉","男","江苏","1264101327","5","","10000","3496","","希望地图在探索度达到100%的时候，能在地图上立即显示该地图所有剩下的宝箱（包含挖掘箱，仙灵，挑战，萝卜箱，隐藏箱，灵宝幢，键纹，雷灵）以及摩拉堆，水钱箱，岩之印。梦之树满级后，可以获取兰纳罗的位置"
"兰拉娜那菈拉娜","保密","湖南","375537941","5","","10000","3044","6","1.1入坑几乎全勤到现在，很久之前就没新鲜感了，但是一点退坑的想法都没有，每天都很有动力上线清体力和日常，期待着以后的剧情和角色，很喜欢原神的世界观，想完整的经历这个故事，每个活动都不舍得错过，不得不说画大饼是有用的，一想到七个国家还有坎瑞亚天空岛，还有多少故事等待发掘，而现在才到第五个国家，很期待抵达终点的那一刻，到那时原神会变成什么样呢，再加上作为博爱党每个角色都喜欢都想抽，也许真的会玩到关服吧"
"蓝天籽","保密","广东","393658954","6","","10000","2433","","等温迪的第336天[打call]"
"爆炒神里绫华_","保密","湖北","647716789","5","原神","10000","2086","","原宝三周年快乐！这次多讲几个冷笑话吧,你知道魈玩什么游戏会笑吗？是开心魈魈乐,你知道为什么派蒙这么会讲冷笑话吗？因为她是早柚装的,你知道吗。万叶其实只有一岁，因为one year,你知道为什么妮露遇到水就不能动了吗 因为妮露遇到水就变成水泥路了,提纳里如果离开了柯莱，柯莱会怎么样？,会起飞，因为无狐（芜湖）起飞,钟离为什么爱给别人蘑菇？ 因为他是帝君（递菌）,赛诺和艾尔海森比赛讲笑话结果赛诺赢了，知道为什么吗？,因为艾尔海森输（大风）纪官啊！,天守阁停电了，影不想睡觉。但是电来了之后她却想睡觉了，为什么？因为影是“来电说困”（雷电将军：らいでんしょうぐん）,你知道为什么荧拿棍子会发光，空拿的不会吗？因为那是荧光棒,提瓦特情绪最容易失控的怪物是什么？,答案是急冻树，因为它很激动,防御歪多了的空哥会变成什么 答案是狐狸 因为成了御（驭）空,为什么指南针在须弥不管用？,因为大慈（磁）树王消失了,影拍出来的照片为什么很模糊？因为她失真了,温迪和酒馆里的人打赌，喝完一瓶酒给一个神之眼，但唯独旅行者喝完面前这瓶没有。,因为哲（这）平（瓶）拿不到神之眼,你知道赛诺带七圣召唤没带齐会变成什么吗？卡布奇诺,知道为什么赛诺和行秋演话剧时只是换了位置，背景环境就有很大变化吗。,因为“塞下秋来风景异”,为什么重云和申鹤不能一起坐船？,这样船很容易翻，因为友谊（有姨）的小船说翻就翻[doge][doge][doge]"
"AI视频小助理","保密","上海","1141159409","4","","10000","1522","","一、配音演员们为原神游戏中的角色配音，并分享了一些游戏中的冒险故事和角色特点，同时也为原神三周年庆典送上祝福。,00:24 - 勇者辛苦，需要休息,02:54 - 配音演员们分享配音经验,05:56 - 观赏新版本PV，探索新版本内容,二、游戏《魔神任务》4.1版本的故事情节和角色介绍，包括旅行者需要扮演囚犯在梅洛彼得堡中调查一系列的事件等内容。,08:30 - 不擅长表露情感，但能找到存在的意义,10:25 - 介绍新版本中出现的角色和故事,13:34 - 莱欧斯利实施改革，让梅洛彼得堡运作焕然一新,三、《原神》4.1版本新增角色纳维莱特的故事，以及他对正义和公正的追求。同时，还介绍了新版本中的一些活动和角色安排。,16:42 - 枫丹最高审判官纳维莱特介绍,19:05 - 纳维莱特与美路星的特别刑侦机构竹影庭介绍,21:06 - 新版本活动祈愿安排介绍，包括纳维莱特与胡桃在第一期活动起源出现，以及胡桃和温迪在第二期活动起源中复刻,22:56 - 派蒙的配音演员多多为派蒙庆祝生日，并感谢大家的陪伴,四、《原神》三周年庆典，并介绍了4.1版本中新增的许多场景区域，包括旧枫丹科学院和梅洛彼得堡等。,25:00 - 祝原神和旅行者们三周年快乐,26:46 - 旧枫丹科学院的中央实验室遗址,30:48 - 梅洛彼得堡是流放者的聚集地，具有威严的建筑风格,五、原神4.1版本的前瞻特别节目，涵盖了璃月举办的活动和系统设计师介绍的内容。其中包括两个特色活动和丰富的奖励，希望旅行者们能够参加并享受其中的乐趣。,33:20 - 邀请其他研发组同学分享更多内容,37:48 - 介绍璃月举办的活动内容,41:27 - 欢快的氛围与蒙德和璃月的大家一起度过难忘时光,六、介绍游戏中的有趣活动，如可莉发现入侵鱼类、极光结彩活动、冒险历练系统等，同时庆祝公测三周年，送出签到奖励和神秘物品。,41:40 - 可莉发现国酒湖出现入侵鱼类，骑士团需要处理。,43:10 - 旅行者可以通过极光结彩活动帮助商人姬肖恩。,45:14 - 在4.1版本推出冒险历练系统，旅行者可以通过完成任务获取委托奖励。,七,--本内容由AI视频小助理生成，关注解锁AI助理，由@小埋摸鱼 召唤发送"
"武灵潇","保密","天津","5434988","6","","10000","1217","","GCSYYDEJNYC6"
"栽下真菌籽","保密","重庆","690196307","5","","10000","848","","知道为什么我说芙芙比钟离强吗？,因为我上芙（浮）时，发现芙力（浮力）大于钟离（重力）[大笑][大笑][脱单doge]"
