"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"苓璃","保密","无IP","39158418","6","洛天依·最美的夜","10000","3034","","能给我留下很深的印象传说任务几乎都在璃月：钟离盐之魔神和若陀的故事，胡桃那轮回副本和阴阳界限，魈的业障和老友铜雀，甘雨的孤独。,蒙德是因为游戏刚开始，做的中规中矩。璃月可以说是传说任务的巅峰，每个都是精品。,但到了稻妻，目前四个角色，全是没啥大意义的逛街，即使描写的再细腻，也终归是逛街而已。总的说来，还是格局小了。[辣眼睛]"
"空酱全肯定bot","男","无IP","5647743","6","","10000","730","","有一说一整个稻妻我唯一觉得不错的剧情是万叶……然后宵宫一般般，其他人的都很尬……看钟离第一章的时候我觉得钟离对旅行者【记录者】的身份定位很妙，旅途的终点必然是离开，所以我不想成为所有人人生里的主角，我想成为他们一个友好的旅伴，成为他们人生孤旅磨损中美好的回忆，我不需要他们对我留下无望的爱情，因为旅行者不会停下前进的脚步。,不过倒也不会说原宝恰烂钱，因为对我来说四分剧情六分地图，稻妻地图确实做的很好，只是想说原宝至少我个人不需要你那不痛不痒叫人尴尬的媚俗讨好，与其拿出我们可能会喜欢的角色，不如把你们觉得美好的角色做出来展示给我们看。"
"影之侍","男","无IP","14075464","6","三周年恋曲","10000","4388","10","亲爱的旅行者，请问你的下个保底是：,女性,水属性,使用法器,智商超乎常人,能与水面互动,元素战技是放置类技能,元素战技可以对敌人持续造成伤害和水元素附着,元素爆发可以为敌人施加状态（增加己方造成的伤害）,吗？"
"静静欢喜","保密","无IP","3061865","5","","10000","2751","","稻妻的女角色都是一个模板出来的，需要有一个强大的背景身份，然后再让旅行者发现其实她们即便这么厉害也有脆弱的一面，其实她们对于自己的身份也不太适应，旅行者就可以在她们很迷茫的时候帮助她们，她们通过旅行者的帮助逐渐成长起来，女角色好感度upup，最后纳入后宫，计划通。[OK]"
"又见霜落","保密","无IP","475245939","5","","10000","4595","","愚人周每天都吃过期的食品，还要在前线为指挥官报仇，冰胖采摘树莓竟然是因为食物过期，背后原因令人暖心"
"福卡罗","保密","无IP","479677851","6","","10000","970","","我觉得完全可以塑造个新手军师形象。任务开始心海在谨慎考虑问题，然后适当出一些纰漏，旅者派蒙或她的部下借机提意见让心海明白自身的不足，然后心海集思广益不断完善自己的方案，之后再出点意外依靠随机应变取得胜利，这故事就差不多了，别的不说，起码能体现她在向军师方向努力。最后旅者客套一句你以后能成为一名优秀军师，心海再客套一句我会努力的，不会辜负岛上人民期待[doge]。"
"唯兔QAQ","男","无IP","13702782","5","梦塔·雪谜城","10000","428","","刚刚试玩了下,确实是芭芭拉上位，不过放水母会给自己先上个潮湿……跟行秋类似,大招有抗打断、加普攻重击伤害并重置水母cd,试玩的零命心海面板,生命：3w 水伤：80% 大招要70能量,大招后重击能有9000伤,因为不能暴击伤害比较稳定,算是个平时当奶开大能当下输出的角色,抽到后圣遗物直接去扒猫猫的就能用[藏狐]"
"OF黑白","保密","无IP","266715378","6","","10000","3424","","凝光在璃月剧情里也没多少剧情，但塑造出来的七星之高贵优雅，城府之深比算无遗策的现人神巫女好太多了"
"爱鲲的水滴","保密","无IP","309377519","5","","10000","2148","","我现在觉得，稻妻人物刻画最大的败笔不是不顾臣民的雷神，不是莽闯邪眼工厂的爷，不是脑抽找死的女士，而是心海……,雷神受了打击，消极避世不顾臣民可以勉强解释；爷脑热了，冲动进了虎穴可以解释；女士膨胀了，以为温蒂放水输给了自己就能单挑神造人偶找死可以接受。但是心海……,她最大的问题就是主线中并没有半点与“智慧”相关的提现。虽然说“大人物的智慧怎么可以泄露出来呢？”可以勉强说得过去，但是这就造成了人物刻画极其奇怪。,但凡在剧情刚开始面见心海的时候在她的话里多藏一点伏笔，最后一一揭晓也好啊[笑哭]学学福尔摩斯也行啊,总之，稻妻剧情败在反抗军，反抗军一部分败在心海，心海败在剧情。"
"超线程蜡烛","男","无IP","363273462","6","","10000","2260","","第一季:,PART 1 《苍风赞美之诗》 2020.9.28播送,PART 2 《火花的摇篮曲》 2020.10.20播送,PART 3 《异邦鲸天之弓》 2020.11.11播送,PART 4 《尘世玄岩之行》 2020.12.01播送,PART 5 《白垩中的灵感》 2020.12.23播送,PART 6 《仙麟循循守月》 2021.01.14播送,PART 7 《降魔者的傩舞》 2021.02.03播送,2021新年特别节目《玉衡星的祝福》2021.02.17播送,PART 8 《蝶引雪霁梅香》 2021.03.02播送,PART 9 《浪漫风色之歌》 2021.03.17播送,PART 10《鲸天归来之时》2021.04.06播送,PART 11《千岩聚散之地》2021.04.28播送,PART 12《罪人霜之旋舞》2021.05.16播送,PART 13《盛夏火花假日》2021.06.09播送,PART 14《浮浪人的清风》2021.06.30播送,第二季即将播出,PART 15《白鹭舞扇霜华》2021.07.21播送,PART 16《七彩琉焰绽放》2021.08.11播送,PART 17《鸣神永恒乐土》2021.09.01播送,PART 18《心流月海真智》2021.09.21播送,插播广告:,AD1 《起死回骸之童》,AD2 《雷楔天街之舞》,AD3 《夜枭昭告黎明》,AD4 《西风守护之狮》,AD5 《星天的占卜者》,AD6 敬请期待……"
"艾饺奥迪托雷","保密","无IP","392152264","6","格兰芬多","10000","725","6","码了会字回顾一下,1.0，温迪传说的任务不用多说，最打动人的任务之一。可莉的任务流程短，但是也诞生了很多名场面。主线上蒙德打龙，璃月乌龙，过渡上还是很丝滑的。,,1.1，主线是真正的大场面，一度感觉是看电影，钟离公子传说任务，有深度有画面。,,1.2，相对平和的一个版本，更多在给海灯节做铺垫，甘雨的任务我觉得还是很不错的。,,1.3，劳动节，主线任务很蠢，但是支线和传说任务尤其是胡桃的鬼打墙，好评如潮，最有意思的关卡之一。,,1.4，我个人最喜欢的一个版本，主线吸取了劳动节的教训，精彩而且治愈，邀约剧情也很有创意。,,1.5，钟离传说任务再度封神，帝君厨的扛把子登场。优菈任务有点争议。整体来说瑕不掩瑜。,,1.6，海岛产能爆炸，可莉的任务童心泛滥，很久没有玩游戏这么享受了，而且承上启下引出了稻妻，对万叶的塑造也很优秀。,,2.0，主线惊喜很多，万叶和北斗参战的时候我直接叫出来了，传说任务这块无需多言，“请好好看着我”。神樱大祓，我愿称之为最强支线。,,2.1，来个高情商的大佬告诉我该怎么夸比较好（剧情层面上）[藏狐]"
"--将岚--","保密","无IP","450191522","5","","10000","3173","","刚做完传说任务，我好像知道哲平为什么要借助邪眼的力量了...[藏狐]"
"我绝对是人类","保密","无IP","10455347","6","小希","10000","617","","其实稻妻的剧情大纲框架是很完整的，但是到了具体表现就有点耐人寻味。。。,总感觉写剧情大纲的是大佬，具体的编剧却是学徒的感觉，大体的框架恢宏壮阔，具体的表现剧情却拉得一批。。。,那种感觉就像是，一个精致的酒壶里装着的却是一瓶过期饮料一样[小希小桃_蚌埠住了]"
"一只小风铃吖","男","无IP","432032939","5","hanser","10000","514","","真的太震撼了，这次心海的传说任务。以前我就认为米哈游的剧情组有世界级的艺术水平，但这次心海的传说任务更是脍炙人口，让人仿佛观看了一场莎士比亚的戏剧，无论是起承转合，还是矛盾冲突，人物塑造，都达到了世界一流大师的水平。尤其是在米哈游极为擅长的人物群像塑造上，心海传说任务更是达到了炉火纯青的地步，无论是堪比诸葛亮的心海，还是作为线索人物的旅行者，乃至天领奉行的九条的塑造都完美的体现并丰满了人物的性格。而他们之间的碰撞冲突也使得这个杰作更具有戏剧性。与此同时，作为心海的传说任务，这次剧情不遗余力的展现了心海强到令人发指的战略能力和统兵能力，体现了她强大的各人魅力，真的很荣幸能看到这么完美的一次传说任务，真的感动。"
"嗯re","男","无IP","102778980","6","请吃红小豆","10000","278","","在我当初为宵宫发声时，收到了不少 mhy 玩家的建议，我总结下来了，应该有一个能适用于心海。,1. 防止数据爆炸。,2. 定位不是主C。,3. 未来可期，时间会证明一切。,4. 提前体验过了，抽不抽自己的事。,5. 加强排队也轮不到你。,6. 靠拐也很强，完美机制。,7. 原神不是个 pvp 游戏。,8. 抽角色只是为了打深渊吗？,9. 6命也很强。,10. 下限高，平民玩家也可以用。[滑稽]"
"泠鸢hanser","男","无IP","35955179","6","","10000","313","","官方还是发个说明吧，不寒碜，解释一下，有问题就解决问题，别装死。,你们也是家老游戏公司了，知道玩家讨厌什么。,我不知道原神玩家里有多少崩坏三甚至崩坏二的玩家，但我是，我真的希望米哈游不要走崩坏三的老路，遇事冷处理，只会消耗大家对游戏的热情。大家提建议（当然，是正当建议），是想陪着派蒙、陪着原神成长。"
"__栗悟饭与龟波功__","保密","无IP","258974811","5","","10000","668","","说真的媚宅也不是无脑倒贴啊，很多宅都是喜欢过程的媚如galgame除了拔作基本上都会有完整的过程细致的心理描写，会清楚的交代你们之间发生的点点滴滴，不求写的明明白白至少不要无脑倒贴吧，最近几个女角色的人物塑造也很难让人满意"
"滑水摸鱼真菌","男","无IP","1348077287","5","","10000","541","","温迪和钟离的传说任务就很棒，温迪的传说任务突出了蒙德自由的特点并且能够体现出温迪记得所有子民的名字这点就让人很圈粉很感动，还说了温迪之前的故事在结束时大赚一笔眼泪，钟离传说任务第一章能够体现出钟离作为岩神对契约的看中并且告诉了玩家“魔神死去会具有巨大伤害”这一个世界观，第二章就更不用说了，告诉了玩家“磨损”这一概念以及丰富了钟离的背景故事，但是雷神的呢？？就是找了个借口然后陪雷神逛逛街啥的？？？虽然雷神的剧情（作为女生）我喜欢但是这么一对比都看不出来这是一个神该有的传说任务，就连魈琴公子这些都不如（自认为），这个剧情原封不动的搬到邀约任务去都没有啥不合适，心海就更不用说了，雷神好歹也有一段pv讲过去的事看的很爽但是心海从头到尾我看不出来一点智慧？？？心海的传说任务也移个位子吧到邀约任务去（全属个人观点，勿喷）"
"柠檬枫叶苏打氵","保密","无IP","84046258","5","","10000","454","","在我当初为宵宫发声时，收到了不少 mhy 玩家的建议，我总结下来了，应该有一个能适用于心海。,1. 防止数据爆炸。,2. 定位不是主C。,3. 未来可期，时间会证明一切。,4. 提前体验过了，抽不抽自己的事。,5. 加强排队也轮不到你。,6. 靠拐也很强，完美机制。,7. 原神不是个 pvp 游戏。,8. 抽角色只是为了打深渊吗？,9. 6命也很强。,10. 下限高，平民玩家也可以用。[滑稽]"
"账号已注销","保密","无IP","24852568","0","","5000","3396","","我真的不想看到角色们和主角谈恋爱，真的！我只想看到角色们所展现的“自身魅力”[笑哭],我喜欢凝光，但她和主角搞暧昧了吗？没吧……真正让我喜欢上凝光的，是她放弃群玉阁时的决断，细品之下，让我在这个角色身上看到了很多东西……我理想中的喜欢，是不经意间的心动……[OK],再看看稻妻……三流言情剧的套路[捂脸]"
"浪沫之夏","男","无IP","212602266","6","战双帕弥什","10000","2345","","破案了，原来反抗军真正的智囊是五郎，毕竟在几百页“锦囊妙计”里找出合适的计策也不容易"
"--将岚--","保密","无IP","450191522","5","","10000","3173","","刚做完传说任务，我好像知道哲平为什么要借助邪眼的力量了...[藏狐]"
"笙弥儿叽","女","无IP","19537914","6","","10000","369","","求你了别galgame了，2.0本来挺喜欢雷神攒了一个版本的材料，我喜欢疏离感，喜欢她的高高在上，我不喜欢所谓的“反差萌”，2.1剧情给我雷的当场心碎[大哭]"
"账号已注销","保密","无IP","24852568","0","","5000","3396","","我真的不想看到角色们和主角谈恋爱，真的！我只想看到角色们所展现的“自身魅力”[笑哭],我喜欢凝光，但她和主角搞暧昧了吗？没吧……真正让我喜欢上凝光的，是她放弃群玉阁时的决断，细品之下，让我在这个角色身上看到了很多东西……我理想中的喜欢，是不经意间的心动……[OK],再看看稻妻……三流言情剧的套路[捂脸]"
"枫晟丶","男","无IP","109343148","6","原神","10000","1844","","拾枝杂谈？这不是要角色发出来之后才会发的吗.....,等等，心海已经上线了？[tv_惊吓]"
"MelloryElsonador","保密","无IP","26658405","6","","10000","171","","她好像那种……考作文给你扔一本新华字典的语文老师，“你写作文要用的字都在上面，自己查吧”，你还不得不夸一句老师神机妙算，连作文题目出自新华字典都能算到。[捂脸][捂脸][捂脸]"
"少年治","男","无IP","7335999","6","原神","10000","5618","","我求求你们开除这个剧情的编剧吧，锦囊妙计太过出戏，而且完全没有体现出该有的智谋水平。我做这个传说任务只感受到了失望。,不能驾驭的东西就不要写，老老实实让心海当一个努力继位的年幼领袖，不行吗？写一本书来应对情况，你搁着玩穷举法呢？而且一点都没有用上。误打误撞打破天领奉行小部分人阴谋的戏码也是完全没有体现出心海的智谋。感觉就是撞大运。,我真的无法容忍剧情上如此多的瑕疵，你们不会真以为有个好看的模型就能让大家满意吧？那我还不如去玩黄油。"
"艾饺奥迪托雷","保密","无IP","392152264","6","格兰芬多","10000","1854","6","一开始说愚人众是效忠女皇反抗天理的组织，现在却成了没事找事无恶不作的全民公敌。,,女皇大费周章是要集齐七神之力要对抗天理。可现在的发展趋势是“女皇扫六合，一统提瓦特”[藏狐]"
"艾饺奥迪托雷","保密","无IP","392152264","6","格兰芬多","10000","2951","6","这就是单纯的编剧拉跨，跟12＋限制没任何关系。,《福五鼠》够低龄向了吧，儒儒的军师形象不比心海强一百倍？"
"福卡罗","保密","无IP","479677851","6","","10000","970","","我觉得完全可以塑造个新手军师形象。任务开始心海在谨慎考虑问题，然后适当出一些纰漏，旅者派蒙或她的部下借机提意见让心海明白自身的不足，然后心海集思广益不断完善自己的方案，之后再出点意外依靠随机应变取得胜利，这故事就差不多了，别的不说，起码能体现她在向军师方向努力。最后旅者客套一句你以后能成为一名优秀军师，心海再客套一句我会努力的，不会辜负岛上人民期待[doge]。"
"-金币-","保密","无IP","434261501","6","","10000","4001","","只要大家都去冲心海剧情，就没人冲福利了，我们ch真的是太棒了[打call]"
"泠鸢hanser","男","无IP","35955179","6","","10000","313","","官方还是发个说明吧，不寒碜，解释一下，有问题就解决问题，别装死。,你们也是家老游戏公司了，知道玩家讨厌什么。,我不知道原神玩家里有多少崩坏三甚至崩坏二的玩家，但我是，我真的希望米哈游不要走崩坏三的老路，遇事冷处理，只会消耗大家对游戏的热情。大家提建议（当然，是正当建议），是想陪着派蒙、陪着原神成长。"
"喜欢我----吗","女","无IP","300163902","5","","10000","1579","","心海传说任务里，反倒把九条塑造了一遍，让我觉得九条管理军队比心海好太多了[辣眼睛]"
"电焊皮卡丘","保密","无IP","12705338","5","","10000","2170","","米大聪明 智慧之神打算咋写阿"
"-真仙马良-","保密","无IP","352484506","5","","10000","1108","","仔细想一下，温迪传说任务剧情也是老套的，但仍然让人很感动[思考]，钟离第二章真的印象深刻，特别是最后两个挚友长谈的那段[思考]"
