"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"大耳飞翔","男","无IP","12579000","6","","10000","20407","11","神里0人，荒泷1斗，剑鱼2番队，3瑚宫心海，5郎，遗迹7兵，8重神子，9条裟罗"
"如梦令-远山黛","女","无IP","279394953","6","原神","10000","24208","","米哈游的技术越来越好了，中间有一段一斗明明是2d我却直接觉得就是3d真人在动了，刘照坤老师笑这么久辛苦了哈哈哈哈哈哈哈哈,一斗不愧是欢乐喜剧人，迷晕演员自己带人上场[热词系列_不愧是你]，648备好了你看你来不来吧[傲娇],意外的狂喜是神里绫人，虽然就两句话，但是是赵路老师啊啊啊啊啊啊啊，恭喜赵路老师集齐米家全家桶，我老盼着你了，终于来了"
"明天就和学习结婚","女","无IP","476452995","5","","10000","1282","","可能是我太敏感了？感觉一斗这样改剧本是因为，他很希望人鬼可以真正和平共处吧，毕竟版本pv里人类围剿他，没心没肺样的鬼王会感到心凉吗？"
"西湖光","女","无IP","335340736","6","徵羽摩柯","10000","2835","","我在推特看到一个评论：岩系都喜欢剧场[doge]一斗喜欢说自己的故事，钟离喜欢听自己的故事，甚至云堇本身就是一个行走的剧场"
"企鹅带带北极熊","女","无IP","551188239","6","","10000","1847","","我的冒险真的很需要一个一斗这样的好兄弟！[大哭]"
"洛伦兹力和向心力","保密","无IP","232531090","5","","10000","1635","","pv的剧情大概是这样的（猜测）：某个祭典上，社奉行负责筹备一场关于幕府与鬼族武士剧目，原本的社奉行的剧本应该是幕府武士合力战胜并征服了鬼族，从此人鬼两族和好[OK]。但是剧本估计在出演前被荒泷派的老大知道了。战胜并征服[惊讶]？！一斗这暴脾气能忍[阴险]？于是绕过社奉行，在出演当天去跟剧目组battle[抠鼻]，比赛内容看PV应该是拼酒，结果可想而知，剧目组全员被一斗放倒，演员也全变成了荒泷派的人。但是一斗是个肌肉脑袋[喜极而泣]忘了旁白的剧本也要换（也有可能是吃了没文化的亏不会写旁白[无语]），结果就出现了开头演的内容跟旁白不符的一幕[捂脸]。这事估计社奉行也知道了，但是没有直接出手干涉，而是在一旁看戏（也能看出来绫人的一部分行事风格了）。最后荒泷派在祭典上“捣乱”的事儿被天领奉行知道（这里我赌两个硬币，绝对不是社奉行举报的[滑稽]）了，前来捉拿荒泷派。预知这荒泷派是逃之夭夭，还是落入法网，啪！（镇尺声[doge]），请听下回分解~[嗑瓜子]"
"Kira樱花魔女","保密","无IP","46800723","6","泠鸢yousa登门喜鹊","10000","1694","7","本pv首先是以""稻妻说书人""的旁白开场，一斗饰演鬼族的我演我自己。演到剧本鬼族被击败时，突然不按剧本走了。,同时画面切到后台，镜头给到了沉睡中的原班剧组人马。,切回前台，看着不按剧本演的演员们""稻妻说书人""只好随机应变，临场发挥。圆场道，鬼族与人类终于消除芥蒂，生活在了一起。,之后一斗大笑，荒泷派假演戏班子集体自爆，并点出本pv主题「就该这么演！」,不按经典剧本演绎的表演虽然荒诞，但落幕时姑且也收获了很多掌声和欢呼。,最后镜头切到台下托马与凌人的对话，我们得知这二人门儿清后台发生了什么，也明知一斗与荒泷派取而代之的把戏。还站在台下""看戏""，凌人简直是老""幸灾乐祸""了,同时也得知""警察""天领奉行马上到了，最终还会上演一场天领奉行逮捕""恶鬼""一斗与荒泷派的假戏真做的好戏。,其中凌人的""非常精彩，可惜，天领奉行到了""等用词也很耐人寻味。主线时我们得知神里家与另两家保守派不同，是稻妻的革新派，这句话满含了凌人的立场。,,——————,,最后我们还可以深挖一下。,「就该这么演！」其实对应的是原来怎么演。,上演了无数次的脍炙人口的经典剧本何尝不是一种刻板印象呢。,而鬼族是恶鬼，并且由天领奉行征讨的年代意味着什么呢。,从背景故事可以得知，鬼族跟着巴尔姐妹南征北战，成为了左膀右臂，建立了稻妻，而那之前并没有天领奉行，可以说鬼族在稻妻很长时间都是""善鬼""形象，而成为恶鬼成为反派，恰恰是一种反常。,所以很明显了，鬼族成为恶鬼的形象与天领奉行交战正是500年前。,,让我们回顾一下将军的pv噩梦,【《原神》雷电将军角色PV——「噩梦」-哔哩哔哩】https://b23.tv/sVh0IeI,,天狗族的笹百合是战大蛇时最先阵亡的，而千代是和左下角打伞的雷电真一起消失的，雷神陨落正是500年前坎瑞亚风波。,,pv中千代眼漏红光和老友刀兵相向，可以说是十足的恶鬼形象。,而狂化的千代，可是由火力全开能砍出无想刃瘕间的将军本人(不是后来的人偶)迎战的，即便将军念及旧情有所留手。这场打斗也完全不是天领奉行这些凡人士兵能够插手的。,既然插不上将军大战千代的手，那这个流传下来的剧就很有意思了，以将军在稻妻的地位。民间是万万不敢捏造一个把将军的战功揽到自己头上的故事的。,那么这就很恐怖了，这意味着千代狂化时，很有可能很多鬼族都狂化了。千代由将军迎战，而那些没那么强的狂化鬼族们则被天领奉行等将军的手下们击败"
"SpyFromMars宙斯","保密","无IP","505821","6","原神","10000","1843","","注意：这是目前为止原神使用的第一位旧EVA的声优，命运的齿轮要开始转动了吗？[吃瓜]"
"桂三娘","保密","无IP","59463083","5","","10000","2394","","以前玩游戏感觉中配很奇怪，现在玩原神觉得中配才是最好的[OK]越来越喜欢了"
"阿卓zyz","男","无IP","62872773","6","","10000","3650","8","坏了，人家荒泷派有成员，班尼特：落魄了家人们[大哭]"
