"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"葡萄学院首席大反派","保密","无IP","213932286","6","阴阳师·平安物语","10000","31605","","懂了这就拿猫娘去打雷锤，要是不能一个技能破盾我就举报你们欺骗消费者[doge][doge][doge][doge][doge]"
"德布debu","保密","无IP","86200617","6","星尘","10000","17019","","一个大招能把雷锤打死，不用说练谁了吧[doge][doge]"
"钢铁大直虎格兰特利","保密","无IP","391940382","5","","10000","18475","","你喝过迪卢克调的酒了吗？还没有吧！你第一次喝的酒不是迪卢克调的，而是我dio娜！"
"清羽沐阳","男","无IP","174001555","6","崩坏3·天穹流星","10000","10307","","前排提示  诺亚老师也是雷莹的cv哦[崩坏3_注入灵魂][崩坏3_注入灵魂][崩坏3_注入灵魂]"
"快乐Teriri","保密","无IP","302207349","5","","10000","4802","","迪奥娜的鞋子是没有跟的，走路都是惦着脚走的？[热词系列_知识增加]"
"零区绝","保密","无IP","49285811","6","","10000","7653","12","蒙德又添一位萌将[doge]"
"诺亚rococonorya","女","无IP","188662","6","","10000","8907","","我没有前排了！！！！！！不要惹ko no dio na[惊讶]"
"猫耳酥","保密","无IP","384499247","6","三周年恋曲","10000","11565","","这才是真正的猫耳，刻晴学着点[doge]"
"shinano信浓","男","无IP","3095471","6","原神","10000","5055","","这是抓了只真猫娘来动捕？"
"屑奥多","保密","无IP","354049565","6","崩坏3·天穹流星","10000","13999","8","DIO娜[doge]"
"轩铄","男","无IP","14595622","6","","10000","5201","","dio娜"
"CH_潇洒fus","保密","无IP","108607155","6","","10000","2609","","DIO娜：冰胖子那家伙也已经被我收拾掉了，风拳应该是躲在什么地方了吧，不过这没什么关系，接下来就是你了，雷锤,雷锤：混蛋，，，DIO娜！,DIO娜：HO，居然朝我走过来了，你居然不逃跑，还主动上门来找死吗？"
"果蝇轰","男","无IP","8469526","6","","10000","3889","10","这也太喵咪了 我和猫娘贴贴"
"贝拉开心我开心","男","无IP","4452193","6","","10000","1605","8","不得不说你们真的很会设计角色....人设真的千奇不重复 而且都很喜欢 攻击方式还很稀奇"
"防疫锅","保密","无IP","11336323","6","原神","10000","2107","4","四星角色竟然有角色演示了，以前的也补一下呗"
"小敢","女","无IP","642228","6","","10000","890","2","啊呜呜呜呜有兽耳的都是小可爱[妙啊][妙啊]"
"82年的昵称","男","无IP","277423315","6","碧蓝航线","10000","1460","","那个啥，我先去了哈，我律师说他尽量能给我争取到死刑[热词系列_芜湖起飞]"
"空美町","保密","无IP","168687092","6","","10000","1066","","小短腿猫耳娘，太可爱了吧[OK]"
"安逸小蟋蟀","保密","无IP","302990378","6","原神","10000","593","6","冷知识：这个可爱又傲娇的小萝莉和雷莹术士是同一个cv[doge]"
"云堇神教教皇","保密","无IP","291033098","6","","10000","621","10","都让开！这个小猫我家的！"
"こころが晴れる","保密","无IP","393238516","5","公主连结可可萝","10000","160","","许愿Dio娜，我愿用我的dio娜满命来换你们公子的满命[doge]"
"夜羽枫","男","无IP","807855","6","","10000","592","9","美帝 掌握核心科技,米哈游  掌握核心XP"
"镰酱爱你哟","保密","无IP","71482636","6","原神","10000","103","9","这这这这也太可爱了吧！我才发现还露肚脐了。米忽悠养了个猫娘做动捕？[哦呼]"
"榜一大哥的希娜小姐","保密","无IP","159529317","6","原神","10000","466","","好的，雷莹术士[doge][doge][doge]"
"小七995","男","无IP","180938082","6","","10000","147","3","a，朋友们好，我是mhy公司，首席ch，刚刚有个美工问我，他说，ch老师发生什么事了，我说怎么回事，给我发了几张截图，我一看，哦，原来是左天，崩坏3新版本直播，阴间4.2（版本），很多舰长发弹幕，一个等级限制，一个拉黑，他们说，唉，有一个说：我在B站数码区，发评论，嘴炮无敌。我说你在B站数码区，练嘴炮，不好用，他不服气，我说清洁工，你两只手来对我一只手，哎，我一说他啪就回车，很快啊，然后上来就是，一个ch没马，一个ch晦气，我大意了啊，没有禁言，当时就一群人开始了，我说停停，然后两分多钟后，我的房管就到位了，我说清洁工你不讲弹幕礼仪，你不懂，他说“哦，ch老师对不起对不起，不懂弹幕礼仪”，啊，他说他是乱发的，这可不是乱发的啊！怼人，问候家人，手速还快，训练有素，后来他说他在贴吧做过几年键盘侠，啊，看来是有备而来，我说你休伯利安舰长，不讲弹幕礼仪，来！骂！来！刷爬！我三四年的年轻ch，这好吗？这不好，我劝这位舰长，耗子尾汁，好好抽卡，以后不要再发这样的弹幕，额，崩3圈要以和为贵，讲礼仪，不要搞窝里斗，（ch老师，原神组找你）（好的好的）谢谢朋友们,[doge][doge][doge][doge]"
"漆黑い","男","无IP","11614597","6","","10000","904","","最讨厌迪卢克了"
"喵耳人偶","男","无IP","14675350","5","","10000","84","","BGM配合着人物的动作，把迪奥娜的优雅与可爱衬托的淋漓尽致。开场的猫步走秀and喵式伸懒腰，集优雅与可爱的调酒师，awsl  !!!所以，求BGM!,顶我上去好么？"
"搪瓷擒纵轮","保密","无IP","342047653","6","","10000","538","","琴团长的任务，帮猫尾老板找猫的时候。她说丢了猫，你可以问她“是迪奥娜吗”。老板说迪奥娜还好好的在柜台那里哦。小派蒙还会吐槽小酒保被当成猫猫的事实[OK]"
"楚河河河河","保密","无IP","589033052","5","hanser","10000","146","","从幻塔来的[doge][doge][doge]"
"药王谷","男","无IP","6032715","6","","10000","482","","原来她的大招""迪奥娜特调""，真的是调酒的意思啊[热词系列_知识增加]"
"21c廃人","男","无IP","393413474","5","","10000","92","","才没有等你，我只是正好在抽卡而已[doge]"
"风趣伊洛蒂","保密","无IP","241299854","6","","10000","418","","腿短法师——可莉,腿短剑客——七七,腿短弓手——迪奥娜,再出一个腿短大剑就能湊一队了[滑稽][滑稽]"
"鸣司lc17","保密","无IP","285436534","6","","10000","74","","第一次不希望出五星[微笑]我的大保底想留给钟离但是又想要dio娜和凝光我太难了，ch今天磕头打卡了吗[微笑]"
"想见到我吗","保密","无IP","288990501","6","","10000","389","","老夫的队伍里只需要小女孩[doge]"
"一二三ys","保密","无IP","346140908","5","","10000","77","","刘海好评，如果这个刘海放下来的话就和其他卖萌的角色差不多了。而他一旦绑起来，具有的一个显著的特征，没那么容易被忘记。"
"少九司辰","女","无IP","173808212","6","星座系列：双鱼座","10000","317","14","温迪最怕的人（"
"渔歌枫晚汐景寒","男","无IP","334921524","5","梦塔·雪谜城","10000","57","","你们全是从隔壁pv过来的让我很难办啊 ，都赞不过来了[doge]"
"ProtractorL","男","无IP","2170632","6","#EveOneCat!","10000","751","","公子池人气低下，mhy快用你那985的ch想想办法啊！,武器池开天空之弓 ×,给新幼女准备高质量宣传 √"
"我是一个哈糸瓜","保密","无IP","82420833","6","EveOneCat2","10000","87","","大家都在啊，我刚从隔壁过来，我洗洗眼睛。[doge]"
"无能的姜水川","男","无IP","269503832","6","2233白色情人节","10000","87","","有谁是从隔壁幻塔过来的举个爪[doge]"
"洛洛洛洛璃鸭","女","无IP","262138025","6","","10000","399","","ko no dio 娜 da！"
"泪TAT","保密","无IP","12083180","6","崩坏3·天穹流星","10000","237","","我记得原神的角色是动捕吧...[热词系列_你细品][热词系列_你细品][热词系列_你细品]"
"飛雪琉璃","男","无IP","228380183","6","","10000","88","","从隔壁过来洗眼睛的举个爪[doge][doge]"
"EX咖喱味棒","保密","无IP","422578933","5","","10000","185","","你尽管出，我10天一个十连，我不说啥[doge]"
"Rosan汐","男","无IP","175055053","5","明日方舟-愚夜密函","10000","64","","这伸懒腰，爱了爱了[OK][喜欢]"
"深海姛诱0鲨","男","无IP","456750686","6","还有醒着的么","10000","179","","我可以没有迪奥娜，但在座各位单抽必出迪奥娜[doge]"
"III昕玥华III","保密","无IP","1519163290","4","","10000","76","","从隔壁过来洗眼睛的举个手"
"北宇治高中吹奏乐部","保密","无IP","15083335","6","","10000","200","","什么家族？？？卡斯兰娜[doge][doge][doge]"
"蛊徒波瑠卡是也","保密","无IP","387966300","6","","10000","50","6","迪奥娜：“旅行者，人的能力是有极限的，我在短暂的人生中学到的就是，人越是妄图实现什么，越可能因为一些难以逃避的因素而失败，必须要超越人类才行。”,旅行者：“你到底在说什么啊？”,迪奥娜：“我不做人了，旅行者，我要做猫娘！”"
"为什么网名被人用","保密","无IP","396088710","6","崩坏：星穹铁道","10000","152","10","这也太TM可爱了，米忽悠有问题啊！三个萝莉各有各的可爱，风格完全不一样又都抓住人心！太可怕了！！！"
"清临焰风","保密","无IP","323935967","6","珈乐Carol","10000","92","","今天的ch给美工磕头了吗？"
"合金辣条来一套","保密","无IP","13898313","5","","10000","228","","话说，要不要把蒙德和璃月的告示牌公开，让玩家也可以留言，那些沙雕网友的骚段子不比npc有意思[抠鼻]"
"-硝糖-","保密","无IP","27255642","6","电子喵","10000","47","","@原神 建议增加 可以为不同角色设置不同语音包的功能；不再是设置中文就全说中文，设置英文就全说英文；而是玩家可以为每一个角色单独设置语音包，因为玩家可能喜欢这个角色的中文然后又喜欢另一个角色的英文或日语。,        变成可以单独设置之后不但可以满足玩家的需求增加用户粘性，而且还可以增加游戏的丰富度与可玩性。甚至还会变成游戏的特色。"
"星城过客","男","无IP","88275773","6","","10000","179","","大锤哥就是逊啦！一杯就倒了[doge]"
"绿苗苗喵喵喵","女","无IP","30274991","6","","10000","45","","看见大家都是隔壁猫那来的我就放心了"
"Pocoっ","男","无IP","10132607","6","","10000","143","","迪奥娜的日配是娜娜奇的cv哦[热词系列_吹爆]"
"Insnore","保密","无IP","27085103","6","","10000","65","","来看迪奥娜宝贝洗洗眼睛[害羞]"
"邵小胖儿","保密","无IP","97700492","6","原神","10000","65","","隔壁来的，洗洗眼睛"
"椎_名","男","无IP","49817","6","","10000","118","","不对劲啊，怎么队伍里不得不加入的萝莉和男人越来越多了，MHY这是想强行改变人的XP？"
"枯藤都","男","无IP","46518093","6","战双帕弥什","10000","150","","A“先生，打搅你一下，请问有兴趣了解下我们的信仰吗？”,B“没有，我赶时间”,A“BV1e54y1r7ur”,·············,B“我开始感兴趣了”"
"カセイ-Kasei","男","无IP","4069050","6","","10000","53","11","想出货的，记得先去清泉镇拜一下岳父。[tv_doge]"
"竹鼠中暑会煮熟","男","无IP","33782232","6","鹿乃","10000","65","","希望迪奥娜池子别歪出公子[保佑]"
"紫苏秋月","保密","无IP","3237793","6","原神","10000","40","8","谢谢原神出这么好看的角色，女朋友已经要求抽满命了。[笑]"
"出井祭李","保密","无IP","238366138","6","RNG战队","10000","52","","在萌德一个角落里有她贴的告示，今天逛街找到的[笑哭]"
"美味的堇瓜","男","无IP","8959213","6","原神","10000","37","12","从隔壁猫（布洛妮娅+迪奥娜）来的，笑死我了"
"Phantom_7","保密","无IP","475540000","5","明日方舟音律系列","10000","52","","从隔壁来洗眼睛了[妙啊]"
"兰利遮不知道噢","保密","无IP","65754225","6","星尘","10000","52","","阿伟，又在按照时间顺序啊，休息一下好不好，去给幻塔点个踩好不好[doge]"
"吾乃刻晴之抱枕-","保密","无IP","524016915","5","原神","10000","51","11","看了幻塔前来洗眼睛[辣眼睛]"
"_霁雨","保密","无IP","226716815","6","星座系列：双鱼座","10000","50","","幻塔过来的，笑翻了属于是，这差距不是一点点[大笑][大笑][大笑]"
"緒孝","保密","无IP","344412970","5","星座系列：双鱼座","10000","50","","感谢某位好心人给dio又一次送来的播放量[doge]"
"想有个名儿","保密","无IP","109353691","5","","10000","49","","幻塔来的[doge]"
"天才兔大人","女","无IP","439855575","5","","10000","35","","从隔壁猫回来看吊娜宝贝"
"世杰ex","男","无IP","413464541","6","","10000","43","","TMD可莉出不了，我就不信这个还出不了"
"弟在翘是哥心在刺挠","男","无IP","353281767","5","","10000","33","","好的,,你会得到一个冰属性的角色...,七七:啊...,,你会得到一个蒙德城的角色...,迪奥娜: ?,,你会得到一个和酒关系密切的角色...,迪奥娜: !,,没错.. .那个人就是..,,凯亚:没错!就是我! [doge]"
"邀月sky","男","无IP","26457197","6","","10000","42","11","DIO娜才是目标，公子只是顺带"
"启子今天不吃饭","保密","无IP","20231773","6","崩坏：星穹铁道","10000","36","","你们公司实在是太懂我们LSP了！！！"
"大汪汪碎冰冰","保密","无IP","104514166","5","","10000","31","","从幻塔过来的[OK]，还是迪奥娜可爱"
"言葉の雨","男","无IP","1790511","6","","10000","31","11","FBI都不用取证了，见到一个原神玩家抓一个[喜极而泣]"
"新宇生","保密","无IP","11997621","5","","10000","40","","一个个能不能别捧原神了！都来洗眼睛洗眼睛，这下花酿鸡都没看见，满意了[生气][生气][生气][生气]"
"Kyu丘比","保密","无IP","479103623","5","","10000","40","","幻塔pv来的[doge]"
"晴空529","保密","无IP","172246105","6","","10000","38","","隔壁猫来的，回来洗眼。"
