"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"民国豌豆","保密","湖南","484465441","5","","10000","25223","","她就像普通的一根针，却苦苦支撑着枫丹这座倒放的金字塔 。"
"----kokomi----","女","四川","1107236214","4","","10000","5329","","该不会每个语言都有吧？[给心心]"
"白墨永不摆烂","保密","河南","2134615191","5","","10000","13382","","看来老米很看重轻涟这首歌啊[思考] 不过 也不错 希望多出[脱单doge]"
"此若流年","保密","上海","259455373","5","","10000","9442","","不同于女版，这一版是以男主角的视角展开，像是在告诉女主角，即使你离开了，我也会继续思念你，代你看尽世间的美好。"
"DoLoKong","男","河北","95915719","6","","10000","8414","8","做完主线之后，倒是没有水元素充盈，但这两天就是一直心情不好，闷闷的[墨镜]"
"喜欢应是双向奔赴","保密","内蒙古","50932076","6","乃琳Queen","10000","7954","","想看水神终舞那一段动画"
"左拥哒宰右抱闪闪","保密","吉林","14645410","6","","10000","5659","11","中法两个版本从声调到演唱技巧还有断词的处理都有不同，不只是语言的不同，法版给人音乐剧中身临其境的感觉，更能调动情绪，而中版像是剧中的男主，在一切尘埃落定后对后人讲述她的故事的感觉，都好棒！"
"翎辰Reitatsu","女","广东","350360754","6","","10000","4626","","小知识mhy和胡夏老师不是第一次合作，之前未定就合作过一次[脱单doge]"
"经流年梦回春水边","保密","河北","348958546","5","","10000","4547","7","不同演唱者，不同音色，演绎出的故事感也是不同的。法语版和尚雯婕版像是芙芙自己的演绎，中文胡夏版，个人觉得像是以能体会人类感情后的那维莱特视角。"
"团长你要幸福啊团长","女","河北","107694613","6","","10000","3017","","男声像是在带入那维的视角"
"Windyいsky","保密","云南","86690163","5","","10000","694","","太好听了，原宝你要不要花点钱，找这些专业的歌剧演员把《水的女儿》这部歌剧演一下，新年晚会的时候放出来让大家看看，我保证这一定会是最受欢迎的作品，热度会很高的，这个故事非常好，可能会有二创作者也会用这个题材，但是只有神通广大的米老爷才能邀请到这些专业的演员来演出，芙芙和枫丹主线的热度现在这么高，你做了这个歌剧肯定血赚不亏，你肯定已经再准备了对吧！[大哭]"
"冰雨交加GaMing","男","未知","6687136","6","崩坏3·天穹流星","10000","834","","真不是过度解读，这里就是男主视角。也就是那维莱特的视角。[笑哭]谁和我一样在默默流泪，再一次又一次的理解和欣赏《轻涟》中，逐渐理解那维莱特，芙卡洛斯和芙宁娜。[酸了][笑哭][大哭]"
"-劫灰-","男","山东","6979953","6","","10000","1461","","卧槽？！等一下！,轻涟这个歌，胡夏的中文版和尚雯婕的法语版是不是分别对应荒芒属性啊？,歌曲的前奏音乐好像不太一样，舞台布景色调也不一样，一个白色一个蓝色。"
"六神丸铁","保密","上海","154223767","5","","10000","1941","","原宝最自信的一次[笑哭]"
"温柔的十六","保密","河南","31343119","6","","10000","268","","中文特有的含蓄和克制，想水一样流淌、温润。"
"薄荷味空气","保密","湖北","190097199","5","","10000","1940","","当她接过了前代的权能，重担与罪孽后，决然的将自己劈开，分出了神的部分与人的部分。 ,神的部分自我囚禁，用500年时间一点一点打磨出用来刺穿自己心脏的利剑，以求拯救原本必将溶解的众生。 ,人的部分欺瞒众生，用500年时间来扮演舞台之上吸引万众目光的演员，配合另一个自己，用自己182376次单调痛苦的独舞背负枫丹人的“原罪”。,她们是水神之座上绽放的双生莲，是正义国度舞台上不休的歌者与舞者，她们无愧于“众水，众方，众民，众律法的女王”之名。永世领唱，不休独舞。,愿你长眠，芙卡洛斯。,祝你开心，芙宁娜。"
"试作古华","男","江西","490088565","5","","10000","273","","原神剧情曲《轻涟》（中文演绎版）现已发布。,,出品：HOYO-MiX,作曲：苑迪萌@HOYO-MiX,作词：哈尼/项柳/三宝,演唱：胡夏"
"JingClm","保密","山东","384017179","5","原神","10000","155","","我天。“诀别如繁花盛开”这里，真的好适合芙卡洛斯向那维莱特告别那段cg"
"对非惯性系用牛顿第二定律","保密","福建","33701325","6","雫るる","10000","637","","胡夏这人怎么不老啊[笑哭]我十年前看他也是这个样"
"lqy半城","保密","安徽","241447661","6","洛天依8th生日纪念","10000","1321","","文本是临时改的，MV是看剧情火了临时录的[doge]"
"神茶配铵盐","保密","天津","5654006","5","格兰芬多","10000","176","","评论有说胡夏唱的没感情，歌手实力不够的搞笑么？？你以为他这么多年不营销没流量依然走到现在甚至成为央视常客靠的是啥？[微笑] 还有不是只有激昂大开大合的才叫有感情好么，温柔克制不是感情么？"
"未有之源-梦","保密","天津","456759279","5","良辰美景·不问天","10000","1003","","真的太动人心了，不知道芙的第二章剧情得多精彩了[喜欢]"
"灭宙龙","保密","江苏","225387898","6","","10000","1237","","【【中文版翻唱】「轻涟」（芙宁娜传说任务《水的女儿》）-哔哩哔哩】 https://b23.tv/ILrqElB,大伙可以听听这个up的版本，也很好听"
"强哥之声","保密","浙江","430358657","4","","10000","597","","论老米的官方神曲：,神女劈观,TruE,水龙吟,轻涟"
"雨亦晴sama","男","江苏","11715812","6","","10000","1529","","我去这什么排面啊？[doge]还有人带节奏说老米对芙不好特意针对，所以这专属双语EP的待遇，请了三位大佬演唱都算不好了么？不说了，我芙伟大，芙门。[保佑]"
"洁身自好克利姆","保密","美国","66781888","5","","10000","204","","虽然唱的也好听，但感觉还是原曲更对味儿。,不知道是因为女声更适合，还是法语更适合的缘故"
"大和牌阎魔刀","保密","广西","3225791","6","","10000","459","","看到尚雯婕版的我：哦唱过《befall》的那位姐姐，米家老朋友了,看到胡夏的我：啊？"
"ADXX47","保密","北京","329797638","5","","10000","22","","芙门！"
"barrybbb","男","江苏","25644666","6","某科学的超电磁炮T","10000","46","","好汀"
"雪辰沙","保密","广东","352751792","5","","10000","43","","就现在看来，法涅斯都快成提瓦特琴酒了，风岩俩润了，雷草直接放权，水神连号都给消了，冰神还打算造反，估计火神也没好到哪里去[tv_斜眼笑][tv_斜眼笑][tv_斜眼笑]"
