"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"也喵7kA","女","无IP","9095326","6","","10000","13203","11","一开始特别喜欢璃月战斗bgm，总想着触发；后来一听音乐就跑[大哭]（某次意外触发的战斗留下了阴影[囧]）"
"文卿是个琵琶精","女","无IP","100321707","5","","10000","22217","","我都不知道《原神》出录制视频了[笑哭][笑哭]感谢@七月巫 童鞋发现并且艾特了我……里面还有我们的赵老师@墨佳弹筝 以及屠老师@屠化冰"
"末日囧途","保密","无IP","433920820","5","","10000","64342","","[崩坏3_笛子][崩坏3_二胡][崩坏3_琵琶][崩坏3_唢呐][崩坏3_特效][崩坏3_镲][崩坏3_开心]"
"丿团长大人","男","无IP","13672860","6","","10000","36610","","你们想象一下，当你们在战斗的时候，背后有一支乐队在帮你演奏"
"电音派蒙","男","无IP","38523972","5","原神","10000","47323","","来了来了，蒙德是伦敦爱乐，璃月是上海交响乐团，那我大胆的猜，稻妻是东京爱乐，至冬国是俄罗斯国家交响乐团[tv_大佬][tv_大佬][tv_doge]"
"杰克Jks","保密","无IP","22366651","6","hanser","10000","32315","10","战斗音乐原来那么长[hanser_问号]能听完全部的人估计没带装备吧[hanser_流啤]"
"海拉尔的呀哈哈","保密","无IP","4205422","6","","10000","25994","10","蒙德在欧洲录，璃月在中国录，稻妻是不是去日本？"
"139邮箱","保密","无IP","23097372","6","罗小黑战记","10000","13205","","有感觉了，有感觉了，是我和草史莱姆有来有回的感觉"
"果蝇轰","男","无IP","8469526","6","","10000","27129","10","实在话，原神的音乐让游戏体验很有沉浸感，不同的地区靠BGM就已经构造了完全不同的意境，尤其是璃月……简直了。"
"天星儀ニ","保密","无IP","262422547","6","雪未来","10000","18910","","这些都是舰长们的648啊，望珍惜[笑哭]"
"屠化冰","男","无IP","95424681","6","","10000","11453","","陈老师这几首战斗音乐，真的有点难吹"
"浙江传媒学院","保密","无IP","414061910","5","","10000","12253","","[热词系列_知识增加][热词系列_skr][热词系列_爱了爱了]"
"游戏彩笔","男","无IP","1320581","6","","10000","12371","24","上上上上上上流！古筝那段太棒了[热词系列_吹爆]"
"丶炽阳丶","男","无IP","11812202","6","怪盗基德","10000","6293","9","听的时候感觉下一秒遗迹守卫的飞弹就要打到我了[跪了]"
"墨佳弹筝","女","无IP","20177793","5","","10000","5149","","陈老师的作品太好听了[鼓掌]有幸参与古筝部分的录制，琵琶是我们的@文卿是个琵琶精 。偷偷说，我个人最喜欢《璃月New》那首，还特地用上了多声弦制古筝来演奏[害羞]"
"木大木大噢啦噢啦","男","无IP","15700285","5","","10000","1831","","这两段音乐，真在的文化输出。。,我看好多老外对这段音乐的评价都吹翻了。。结果反而b站的观看次数和点赞次数才这点。真tm的寒心。。。,我室友一个英国乡巴佬，给他听完又给他看完宣传片之后就屁颠屁颠下游戏去了lol。"
"我永远是条咸鱼啊","保密","无IP","384536143","6","","10000","6419","","这首歌这么长，实际上在游戏里就是两个极端。要么打boss刮痧听到结束，要么开始30s直接变成死亡bgm[蛆音娘_扶额]"
"超级琪琪出击","男","无IP","188733203","6","","10000","9075","2","我曾经就这极度愤怒的情况下，用两星装备跑图打一个丘丘人部落听了两遍多这曲子。[崩坏3_无辜]"
"不务正业小鸽鸽","男","无IP","18325477","6","EveOneCat2","10000","4172","","当你在看风景的时候，草史莱姆也在看着你"
"元素领主墨元素","保密","无IP","22157527","6","明日方舟音律系列","10000","5509","9","原神的音乐太好听了(><）"
"老沐ocean","男","无IP","23730666","6","国民老公带回家","10000","816","","↗↘↗↘[doge]，啊，真有音调啊，那没事了[doge]"
"无敌喵Lalala","男","无IP","12551805","6","","10000","5131","22","好听！"
"流年丶在等你","男","无IP","198769366","6","","10000","757","","不会吧，不会吧，不会真有人在游戏里能听到这么长时间的战斗背景音乐吧？[doge]"
"武田朝凪愛上陸","男","无IP","196905","6","","10000","8815","","米哈游的美工和音乐在国产的手游里绝对是第一梯队的，有很明显的专属风格，无论是崩坏3，还是原神，音乐都能让人眼前一亮，舍得且确实下了心血和资本，希望原神越做越好吧，唯一担心的就是崩坏3的ch一向不当人，但愿原神不要继承这个‘优良传统’。"
"赤鱿的咸鱼帝王","保密","无IP","405541306","6","","10000","752","","一人血书稻妻bgm找上海爱丽丝幻乐团[妙啊]"
"世南笙","保密","无IP","109302400","6","乐正绫五周年生日","10000","5146","","真希望那些说音乐是别的游戏里抠出来的人看看这个视频"
"Devil丶天使","保密","无IP","21288285","6","","10000","650","","省的你们一天锤抄袭，现在音乐直接给你实录出来了。"
"吔个馒头","男","无IP","394463628","6","","10000","3596","","古风是什么？,随便编点烂大街的流行音乐作曲然后用一大堆传统乐器演奏叫古风  （×）,不管用哪国的乐器都能听出内味的叫古风  （√）"
"浮光明晦","男","无IP","35417657","6","","10000","625","","陈致逸老师是真的很厉害！腾讯天涯明月刀的音乐就是他的团队做的！懂得都懂，游戏策划虽然不咋地，但是音乐是真的很好听！"
"风羽轻灵","保密","无IP","100368663","5","崩坏：星穹铁道","10000","2597","5","战斗音乐有点长的，估计是预料到有一部分头铁的玩家会去越级挑战刮痧[吃瓜]"
"7v不讨厌","男","无IP","275626453","6","乃琳Queen","10000","1891","","《原神》音乐由陈致逸@HOYO-MiX创作，本段视频记录了璃月地区部分音乐的录制实景。,为刻画独具一格的东方幻想神韵，在上海交响乐团音乐厅，上海交响乐团与民乐演奏家联袂演奏，为《原神》录制璃月地区游戏音乐。,,《原神》游戏预约：https://www.biligame.com/detail/?id=103496"
"亞露雪","男","无IP","11218026","6","","10000","3409","","这个音乐厅怎么没开灯啊[tv_doge]"
"silly沐","保密","无IP","6646795","6","圣诞节快乐","10000","566","","這音樂不吹爆？！哦！我已經吹爆了！那沒事了[OK][OK][害羞][害羞][捂眼][捂眼]"
"建国同志的红领巾","保密","无IP","291878434","6","仲夏幻想","10000","3190","","音乐公司石锤[doge]"
"果子哥和我击剑","保密","无IP","248681092","5","崩坏3·天穹流星","10000","522","","在离月死亡的音效能不能整个唢呐，我觉得那效果绝对杠杠的[滑稽][滑稽][滑稽]"
"泠淩澪凌ling","男","无IP","233208687","6","星座系列：白羊座","10000","3239","","说实话，米哈游确实是个很不错的公司。他们不是单纯的圈钱，崩坏三赚的大部分钱应该都投在了原神上面吧。在本国的游戏公司里面，我最佩服的其实就是米哈游了。他们一直在进步，不断的提升国家游戏的品质（只希望上市后，不会变味）。,,而原神，我虽然不是内测玩家，但是通过看各种视频，我能够感受到游戏公司对他开发的认真程度，无论是场景、音乐还是画质我都能感受到这款游戏制作的精良。,,其实我内心一边期待他尽快公测，另一边又期待他不要那么快公测。因为我还在上学，平时肯定没有那么多时间玩游戏，所以我希望的是他在我毕业后再公测。不过既然已经决定了公测的时间，我只期待他能越来越好吧。,,我看任何一款外国游戏（无论他制作如何精良）都没有原神顺眼，也许是因为他是我们自己做的游戏吧。原神融合了很多中国元素，无论是地形还是音乐。玩原神总能有很多的共鸣，也许是那浓浓的家国情怀。,,有一天我希望能够看到也是制作如此精良而且完全使用中国的各种元素所做成的游戏。那样我无论如何也会去入手一款来玩。正如国家所号召的那样，我们中国5000年历史，可以用作文化输出的东西那么多。哪一样不可以做成作品。（不知为什么看到这个视频，听到这首音乐，感慨颇多，可能思绪有些乱，打了许多字，还请见谅吧。[捂脸]）"
"极夜心Q","保密","无IP","200328952","5","","10000","457","11","三年之期已到，恭迎黑暗战神归位[歪嘴]"
