"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"是艾唐唐呀","女","无IP","39663066","6","","10000","7278","","我最担心的就是观众在底下瞎叫瞎鼓掌。,原神的音乐会不同于承办乐团的其它音乐会。相比乐团音乐季内的音乐会，原神的音乐会的观众来源更加广泛，是整个原神玩家群体，而不止是音乐爱好者和专业人士。因此可以预料，有部分观众对音乐会礼仪是没有接触过的。我曾经看过一条评论：原神音乐一响，我就起来鼓掌。并非对这类观众歧视，但良好的基本修养可以给别的观众、演奏员们一个良好体验。因此，原神音乐会是一个提高大众艺术修养的好机会，就看观众能否被正确引导了。（转）"
"-狸猫-","女","无IP","400510032","4","","10000","15246","10","感谢氪佬请我看音乐会[藏狐][藏狐]"
"腓のPandA","男","无IP","22378532","6","花园Serena","10000","4160","","大家都聊了这么多啊？昨天玩原神玩一夜昏过去了刚醒[大笑],嗯？我脖子上怎么有根领带？[囧],乂？谁给我换了一身燕尾服？[疑惑],超！我的发型怎么变成了大背头？！[疼],哪来的音乐声？！[吓]你们要把我抬去哪里？,放开我！这音乐我听出来了！我要去打狼王了！狼王二阶段了！快放开我！[抓狂],[doge]"
"帝玖管弦乐团","保密","无IP","23793390","6","","10000","5901","","组团！抢票！去现场！,什么？要穿燕尾服？,没关系我们每人好几套[藏狐]！"
"M-霖灵柒","男","无IP","520115957","5","","10000","87","","——4700年前，岩王帝君用攒了1000年的原石全部换了纠缠之缘。,,21600000左右个原石，化为了135000个粉球，1000年的含辛茹苦，听了1000年的“向着星辰与深渊...”使的钟离感慨万分。,,岩王帝君按下ESC，看了超了540000000点冒险经验。,“是时候召集众仙了。”,,他打开了祈愿，望着复刻了1000次的各种仙人池子，为了这一刻，他忍耐了1000年。,,越明年，帝君终抽了135000发，星辉与星尘已经显示不下。至此，各满命璃月仙人出现。,,有诗赞曰：,“老骥伏枥，志在千里。,帝君暮年，壮心不已。,抽卡之期，不但在天。,养老之福，可得永年。”,,后又有评书一讲，为璃月人所称赞，有异国他乡访客，无一不赞绝帝君之耐忍之心。,,多年后，帝君与仙人征战四方。,,岩王帝君之力震天撼地，6000w的血量上限，盾之坚以至于魔神疲与拆盾，只是瞪着帝君。,,而帝君与仙人，坐华树前，享霓裳花茶之味美，品雷神送的特产。,,“樱花糕你当真送与我们？”仙人齐道。,,“然，不然还我。”帝君道,,众人只是作诗取乐，全然不顾盾外魔神之凶残。,,魔神锤了近500年，体力透支至于倒下，帝君用神力封印各虚弱中的魔神。至此，魔神大战结束。,,各仙人藏匿于山间，丢弃各自的装备，开始养老。,,而这装备，化为了后人所说的“圣遗物”,,现世人们所说的极品圣遗物，都是历经千年的“磨损”。,,帝君曾回忆道：,“当初副本67000级的丘丘岩王确实不及我力，装备皆副词条爆伤3460.69%，太过寻常。”,,帝君则行走于乱世之间，默默中守护着璃月土地，4500年。,,时如屠豚刃，帝君的现世力量磨损如此严重，肉眼可见。,,“若有一日，帝君会回来吧。”借风流云真君含泪说道。,,“不太可能，岁月蹉跎，总要分别”荧安慰道。,“而我，终将会发现特瓦特的秘密，找到我的哥哥，我们与天理还有一战未诀。”,,“三千五百年的契约，烧着烧着，就成了灰...”,“帝君遭逢雷劫，魂归高天...”,“愿薪火相传，美德不灭...”,...,海灯节今年一如既往，没有帝君的璃月，在七星的统领下，欣欣向荣。就在五十年后的五月份，解救了蒙德国土的荧来到璃月。,,他站到说书人桌子边，拿出1600原石,,如往常一样的祈愿。,,天空一道霞光，是金色的。,,“旅行者，有幸相会。”,,“啊我叫荧，UID：109213242”[脱单doge]"
"作品35","男","无IP","1846212","5","","10000","1643","","00:58 这里出现的L-ISA沉浸式，指的是一种扩声技术，L代表开发公司，线阵列音响的鼻祖L-Acoustics，ISA是Immersive Sound Art的缩写，沉浸式声音艺术。这套系统的优势简而来说大概就是混音和混响极强，能让现场的每个座位的听感最大化，并且能够模拟各种场景的声音效果。例如这次视频里的北风狼，有人声吟唱的情况下如果模拟教堂的话，现场的声音效果估计会很厉害。顺带一提也正是因为名称相同的原因，视频里找了丽莎来串场w,场地看上去有些像是上海广播艺术中心的沉浸式多功能厅，但印象里多功能厅座位数不多，而且由于视频里有写录制的是“音乐会模拟”，应该只是先借用了这个小厅来做测试，正式的音乐会地点还有待公布。"
"身残志坚非洲贝","保密","无IP","389992715","6","#EveOneCat","10000","2000","","12-1月  场地筛选,2-3月 供应商筛选,4-6月 人员规划,       舞台设计,       舞美方案,       音响 灯光方案,后面的看不清了[Cat_congrats]，牛啊，感觉值了"
"俯视一米六OVO","男","无IP","2280535","6","碧蓝航线","10000","780","","关于线下音乐会鼓掌的问题，不知道MHY这次打算怎么办。因为我参加过几次暴雪音乐会，那边的指挥会在开场阶段就说，【这是为玩家准备的盛会，不需要安静，在觉得共鸣的地方就鼓掌欢呼吧】，音乐的同时还有CG播放，在有梗的地方大家都会鼓掌欢呼，气氛还是特别好的，并没有一些人担心的乱啊什么的，因为这终究是游戏音乐会，不是什么上流人士打领带喝红酒装逼的地方。我是希望原神音乐会也能这样就是了，游戏音乐会还是有游戏氛围比较好"
"大头菌","女","无IP","291067106","5","崩坏：星穹铁道","10000","757","9","穿什么怎么鼓掌其实都不是重点，现场说不定会有别的要求，大家灵活变通。俺之前去听李斯特超技，钢琴家本人就希望大家可以在曲目之间鼓掌，不用十二首弹完了鼓掌。,,更重要的是好兄弟们拍照注意时机，开始了就不要拍照或者录像了，不要开闪光打，会影响其他朋友，手机务必静音，演出过程中看好自己的东西，不要掉到地上发出巨响，不要玩塑料袋，不要带太小的小朋友去，小朋友可能会放声痛哭或者激动地大声说话，不要大声交谈，不要打电话，暂时没想到其他的，因为依照鄙人这么多年的经验，也没在音乐会上见过比以上更离谱的事情。结束了可以大喊brovo，能不能说[热词系列_好耶]俺也不知道。祝各位玩得愉快，而我得学习[脱单doge]"
"笑死改名也中不了奖","保密","无IP","324490668","5","","10000","1337","11","其实我就喜欢除了游戏以外的这些东西，比如在地铁站看到贴满了原神啊，或是看别人打卡主题餐厅，还有线下音乐会 即使自己看不到也会很激动，看到自己喜欢的东西出现会不开心吗？ 对我是只是个玩游戏的，但我也不是只玩游戏的吧？ 那有些人花钱看小说获得精神愉悦的时候还必须要他给你什么吗，想如果能看到他出周边或者主题餐厅 或者成了动漫，我会更开心的吧！而且没办法 谁让我这个人懂得珍惜拥有学会享受呢，也许我是个哪天闷声不响就有可能离开的人只求各自安好，但目前就是很快乐很欣喜，看前瞻有新内容也很开心。我不是替谁说话，只是互相尊重，别被害妄想觉得别人不重视自己。而且我不会一言不合就埋怨他人没伺候好自己 埋怨都是社会的错都是时辰的错～既然那么痛苦觉得期望不被回应 何不去找一个你觉得对你好的呢～ 有些人自己心里其实清楚，所以想煽动所有人的情绪 拉所有人一起走，以此满足自己的控制欲和成就感。  至少目前为止我都很享受很开心，希望接下来能有原宝继续陪我走下去。 我可太喜欢音乐和美术了，在我繁忙的一天之后 能欣赏这些东西 我心情愉悦。 说实话也好久没做噩梦了[笑哭][笑哭][笑哭]"
