"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"流木秋","保密","河南","613323305","5","","10000","32338","","散散多少有点嘴硬在身上，他嘴上说背叛和怨恨，其实这都来自于他对自己的怨。第一次他怨恨自己的力量不够，第二次他怨恨自己的身份，第三次他怨恨自己不能保护自己所珍视之物。他既不能得到神的承认，又无法获得人的羁绊，他之所以想摒弃世俗的人之心，归根结底还是因为他对人类的感情太深厚了（我复制的"
"维克娜","女","天津","272004822","6","","10000","5893","","他如果是在蒙德醒过来，兜兜转转走到蒙德城，应该会被热情的招待，最后融入蒙德或者去旅行吧。,如果是在璃月醒过来，遇到了千岩军，最后可能会被船队或者是商贩招去工作吧。,但可惜他是在稻妻醒过来的，危险的晶化骨髓开采，灾变，凉薄的幕府，他拿着至高无上的将军的凭证，但什么都做不到。"
"姓匹很正常","保密","湖南","661555776","3","","10000","704","","我一直以为他被影放弃之后就黑化了，一直在人间游荡直到加入愚人众成为执行官。没想到这个被放逐的孩子，在一开始并没有去恨，他刚开始的选择不是放弃希望，自怨自哀，而是尝试过去融入平凡人的生活，满怀憧憬地想拥有家人朋友，原来他不是一开始就有那么大的野心和憎恨，他也努力的生存过想幸福过"
"阿克夏Vincent","保密","江西","2027303","6","时光代理人","10000","310","","目前原神里其他性格孤僻/身份特殊难以融入社会的角色，都能呼应上散兵卡池角色和pv里的“三度背叛”……其他孤僻/特殊的角色，都会有一些社会联系，要么一有长辈关怀，比如魈有帝君，申鹤有师父，要么二有亲人朋友，比如赛诺有提纳里，优菈有安柏，万叶有大姐头他们；要么三有想守护的对象，比如公子也有女皇和弟妹；,甚至雷神那样过去也失去了很多的，起码现在也有神子这样的好友以及稻妻需要她守护；和他一样身为创造物的阿贝多，也在蒙德有一众亲朋好友；,———唯独散兵是唯一一个其创造者的母亲也不挂念，也没有任何亲密朋友甚至任何一个谈得上朋友的人，想守护的人和东西也不存在，这三者也恰好是对应上了在他剧情pv里讲的【三度背叛】，他除了想成神之外什么都没有，是完全孤立在这个世界的，神抛弃他，愚人众利用他，朋友早就死了，守护他的不存在，他守护的也离他而去"
"陌小路不咕咕","女","吉林","22368530","6","","10000","362","","不行了，刚刚又看了一遍华馆套的故事，pv和华馆套故事结合起来，看不懂的地方全都明白了。原来他未归的熄星里不是装乖，他本来就很乖，只是在装凶而已。就像被伤害过的流浪猫，只能做出凶狠的炸毛样子来威慑别人。他虽然对愚人众的部下态度很恶劣，甚至他的脾气差在愚人众里是人尽皆知的，但是就是这样的他，在面对一个关心他的普通老人面前，他还是会露出真诚的笑容道谢。他真的好恨人类，但是又爱着人类，人类带给他温暖，也是人类带给他恶意。他好矛盾啊，剧情里被打败的时候第一句话也是怨恨得喊着“人类，人类”，明明他也知道面前打败他的不是人类……他应该是因为又一次无力的失败而回想起了曾经的种种……总之这个3.2我是一刻也待不下去了"
"真红之火鸡","男","上海","488080","6","","10000","692","","散兵和他的创造者影其实都是性格很极端，会走死胡同的人。,影为了不再失去，选择了”暂停“一切变化与进步的”永恒“。为了这个目标她甚至舍弃了她周遭一切爱她和她爱的事物。,散兵目前看起来是为了得到，而选择了”启动“一切激变和冲突以求得到”满足“，为了这个目标他同样舍弃了他认为毫无价值的事物。,这两个人才是硬币的正反两面。"
"风呼呼_","保密","山西","336992062","5","快把我哥带走","10000","231","","有时候我不能理解，“受过伤害不是伤害别人的理由”这句话，人性本善，如果所有人没受过伤害，那么世界上就还会有受害者吗，或者说:这个世界上有生来就是坏种的人吗？我在看pv之前，很讨厌散兵，但看了之后，只感到唏嘘。在我看来无法承受的痛苦，他甚至经历了三次。何尝不是一个受害者。既然受到伤害，那么存在加害者吗？如果不存在，伤害从何而来？如果存在，那么加害者是否付出了代价？散兵两次从绝望到充满希望，再到绝望，这是一件很痛苦的事情，还无人引导，从而走上歧路。是一件很令人悲伤的事情。他只是没那么幸运罢了。或者说他从没幸运过吧。我现在无法喜欢他，只是很心疼过去的他。他之后所造成的恶果，想必总有一天会为此付出代价。至于这一切的始作俑者，是“神意”吗？可以说，这个pv补充的相当好，我不认为世界上有纯粹的坏人，就算是二次元，也是基于人而创作的，不能舍弃人类的本性。"
"美少女三月七是无敌的","保密","广东","196783312","5","","10000","167","","纳西妲和散兵就是个对照吧，相似但走上了不同的道路。纳西妲生来就不被期待，被贤者囚禁，但“神爱世人”，纳西妲还是用自己的宽容和善良爱着人类。但散兵不一样，他既不是神，也不是人。想融进人群的时候遭到背叛，被当做异类处理，想成为神明的时候被旅行者他们一起阻止。既无法想人一样生活，也无法想神一样高高在上（非贬义，是想不到什么词形容了），哪边都没有他的容身之处，所以最后只能成为流浪者，在提瓦特大陆到处流浪了吗……"
"_XOANA_","保密","天津","20616087","6","","10000","1092","","虽然有人觉得这些创伤比起其他人经历的算不上什么，但是很重要的一点是散小时候就没人爱没人教，不管是万叶也好雷神也好，他们小时候都有家人爱，因此之后才能度过那些伤痛，现实中的人也一样，精神有问题的大多都是童年不幸福"
"野葡萄快去复习","女","浙江","44508618","6","泠鸢yousa","10000","279","11","超越之盏,在诞生之初就拥有无比美丽的面貌的『他』,,注定拥有长久的『年限』与空洞的『意志』。,,作为神造的超越者，却当成无用之物被弃置。,因为未可知的错误，从休眠中自行苏醒，,开始行走在天地与凡人之间。,,愚者找到他之前，他已经从无数年的漂流中，,习得了这样的经验：,,我是超越一切人的『人』,,连神也惮于干涉我的命运。,无论人与神，还是命运都没有裁决我的资格，,应当如何度过剩余的寿命，也是我的自由吧。,,既然与这些以面具示人的人同行似乎很有趣，,那就成为『一丘之骆』吧。"
"白日下鬼","保密","上海","179365391","6","","10000","792","","只能说作为奥托厨就是在官方玩烂梗和玩家辱骂当中走出来的…原神官方能做到尊重角色就已经很好，希望各位玩家也能尊重角色厨的想法吧[原神_1摩拉]"
