"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"Kirakira四季春","保密","无IP","554767736","5","","10000","15451","","神里绫华中配：小N,主要配音角色,香菱，凯瑟琳一一一《原神》,丽塔，杏一一一《崩坏学园》,阿狸一一一《英雄联盟》,抚顺一一一《碧蓝航线》,神里绫华日配：早见沙织,(我现在才知道是沙不是纱),主要配音角色,士条怜一一一《公主连结！Re:Dive》,新垣绫濑一一一《我的妹妹哪有这么可爱》,西宫硝子一一一《声之形》,蛇喰梦子一一一《狂赌之渊》,胡蝶忍一一一《鬼灭之刃》,伊卡洛斯一一一《天降之物》,雪之下雪乃一一一《我的青春恋爱物语果然有问题》,青山蓝山(迅哥儿)一一一《点兔》,羽二重奈奈一一一《魔法少女育成计划》,玛利亚一一一《转生成为了只有乙女游戏破灭Flag的邪恶大小姐》,阿塔兰忒，牛若丸，玛尔达一一一《FGO》,花鸟卷一一一《阴阳师》,[doge]另外她们还有一部共同作品：大型连续剧《等神里》"
"下木素实","男","无IP","183708588","5","快把我哥带走","10000","3595","","科普：首先，游戏里稻妻对应的应该是丰臣秀吉时期（1585年始）的日本，例如奉行，天守阁，对应刀狩令的眼狩令等。但pv里的狐面似乎是目鬘，这玩意江户（1603年-1868年）时最流行。,,奉行：,日本存在于平安时代至江户时代期间的一种官职。,当时是担任司掌宫廷仪式的临时职役，镰仓幕府成立以后逐渐成为掌理政务的常设职位。丰臣秀吉当权时，其下设有多种奉行，负责佐理政务，其中有5位奉行特别重要，相当于丰臣秀吉的特任政务官，一般合称五奉行。,江户幕府成立后，奉行成为构成官僚体系的主力职位，上至幕府，下至各地方的大小藩主，都依各种政务需要设置许多奉行职位。江户幕府常设以下四类奉行：,1.寺社奉行,2.勘定奉行,3.町奉行,4.远国奉行,奉行的办公处所一般通称为“奉行所”，相当于中国的衙门。,,pv里出现的狐面：,日本人认为黑狐和白狐是瑞兽，更进一步认为它们是掌管农业的稻荷神的使者（稻荷神本身并不是狐狸，稻荷神与宇迦之魂习合的缘故，本身是一条蛇），能够自由来往于人界与灵界之间。所以古代的巫女一般会带上这种面具，向稻荷神祈祷丰收，用来占卜丰凶，佩戴狐狸面具便是希望能拥有此力量，这种面具被称为“狐面”（きつねめん）。,狐面是在能乐或者神乐的时候所使用的一种面具，后来逐渐转变为一种日本传统玩具，仔细划分，是可以分为许多种的，当中最为常见的是“天狐”和“白狐”两种。目测pv里是白狐。,“祭”上会有许多卖东西的小摊，其中一些小摊就贩卖一种叫做“目鬘”的面具。,目鬘是江户时代用于在宴会之上，表演茶番狂言的一种厚纸壳面具。目鬘和能乐使用的能面最大的区别，便是目鬘是只遮挡上半张脸，并且完全露出眼睛。而能面是整张脸都遮住的面具，眼孔很小，或者只能透过面具下面用余光看地板。带上目鬘要比戴着能面施展动作要方便的多，因此喜爱茶番狂言的日本人也要比高大上的能乐要多。目鬘也自然被爱屋及乌，被很多日本人效仿购买。不过看茶番狂言是日本人日常生活的一部分，和极其热闹、人人都能放下生活重担自由自在玩耍的非日常的庙会（夏祭）气氛并不相同。所以日本人更喜爱购买代表非日常感的“能面”。既然追求非日常感，那么自然是要选择一些日常中不常见的假面。所以巫女所使用的、代表着大家所喜爱的稻荷神的使者的“狐面”便得到大家的青睐。,,狐面部分知识转载自知乎用户（这位真的就叫这个），奉行部分转载百度百科，科普用，侵删"
"shourei小N","女","无IP","249118","6","花园花玲头像框","10000","33293","","配音的时候我只能看大致线稿，现在这个pv成品过于精致，让我不禁想当初到底看了个啥哈哈哈。我要喊了！！老婆！飞扑！"
"龙-罪","男","无IP","80354248","6","","10000","13554","4","《等神里》即将完结,第一集：《欸嘿》,第二集：《哒哒哒》,第三集：《逃得掉吗》,第四集：《天动万象》,第五集：《创生之法》,第六集：《风雪的缩影》,第七集：《靖妖傩舞》,第八集：《歪过了，存着吧》,第九集：《嗷》,第十集：《可以吗》,第十一集：《再给我十秒吧》,第十二集：《玉章护盾》,第十三集：《“即兴舞蹈”》,第十四集：《求求你了》,第十五集：《可叹……》,最终集：《我叫神里，是个僵尸》预告,第二季：《等神里2复刻》,转载"
"酒妖流","男","无IP","12655356","6","","10000","14953","","只有我是动态没有，来官号看的吗？[笑哭][笑哭][笑哭]"
"语颂源","男","无IP","25150765","6","","10000","20166","","我来发表一下我的拙见。[原神_暗中观察],这个PV还是有不少信息的。首先第一句话，介绍了“社奉行平日需辅助巫女处理神事”。然后第二句话做了个补充，“也负责管理歌舞琴棋之类的艺能人士”。这就是在铺垫神里绫华的家族背景，为这个人物的塑造服务。,“因为家教的缘故”句引入绫华的回忆。礼仪、书画、茶艺、剑道……这一段的画面用的是纸和墨的处理，构思精巧。在“书画”部分还展示了绫华的“书画作品”，也就是展示了稻妻的文字。[原神_鸽子],路人的话一方面从侧面表现出绫华受人爱戴，一方面暗示了这段PV的时间线，很可能是旅行者到达稻妻后受到神里的接待的时段。绫华拿起面具的片段，有人提到了“近期有祭典要举办”，或许是侧面对后期节庆活动的预告。,在到达府上之后，绫华可以暂时不拘于礼数。面具是谁买下的呢？或许就是旅行者。在绫华含糊的话语中我们或许可以猜出“绫华作为神里家的大小姐，没有怎么去过祭典”。而在画面结束之后，绫华小姐说的话，“那、那你我，都要把身份隐藏好哦？”则可能是旅行者在邀请绫华小姐一同参加“祭典”的答复。,整体来看，这段PV展示了一个多才多艺，彬彬有礼的贵族大小姐。然而在和她交流的过程中，她的言语里也流露出对世俗的兴趣，旅行者的到来或许是一切开始改变的起点。,从技术层面看，原神的2dPV一直在进步，从万叶的PV到这次神里绫华的PV，角色的配音和口型是对应的，动作也越来越流畅。,很期待稻妻的表现，希望原神越来越好。[原神_干杯]"
"一条染色体","保密","无IP","11508542","5","","10000","597","","有了解的大佬科普一下这用了什么技术么？从侧面转到正面好流畅，不像是live2d，感觉像是3d转2d，但是又很有手绘感，后期一帧一帧补描上去的么？[思考][思考][思考]"
"呜嗷糊","保密","无IP","442653216","3","","10000","357","","160原石 → 雾切之回光,                        ↓,神里绫华 ← 无主的星辉x5, ↓,出神里的人, ↓"
"吟游诗人太怕痛","保密","无IP","1175554210","4","","10000","559","","撑着油纸伞，独自,彷徨在悠长、悠长,又寂寥的雨巷,我希望逢着,一个雪一样的,手执银扇的姑娘,她是有,雪一样的颜色,雪一样的芬芳,雪一样的忧愁,在樱花中哀怨,哀怨又彷徨,她彷徨在这寂寥的神社,撑着油纸伞,像我一样,像我一样地,默默行着,冷漠、凄清，又惆怅,她静默地走近,走近，又投出,太息一般的眼光,她飘过,像梦一般的,像梦一般的凄婉迷茫,像梦中飘过,一片六角冰花地,我身旁飘过这少女,她静默地远了、远了,到了颓圮的神社,走尽这神社,在雨的哀曲里,消了她的颜色,散了她的芬芳,消散了，甚至她的,太息般的眼光,清雪般的惆怅,撑着油纸伞，独自,彷徨在悠长、悠长,又寂寥的雨巷,我希望飘过,一个冰雪一样的,结着愁怨的姑娘,——至神里"
"去哪口乞什么","男","无IP","11647958","6","","10000","16374","","我是八重神子，是个僵尸。,我是神里绫华，是个僵尸。,我是宵宫，是个僵尸。,我是九条裟罗，是个僵尸,我是心海，是个僵尸。,我是巴尔，个僵尸。[藏狐]"
"Sweetshoes","保密","无IP","159122337","6","平安物语","10000","2944","","神里绫华小姐真真是美极了！,接下来是本人对神里小姐服装和配饰一点粗浅的考据。因为本人绝非专业人士，只是对神里小姐的爱慕之甚、一时兴起搜集研究了些东西，多有错漏，见笑于各位，实在惭愧；其中谬误也望能人予以斧正。,对于大多数旅行者，初见神里小姐时，大概都会觉得她所着的是相当“日系”的一套衣装。,她的头饰形制取材于日本传统头盔“前立”的造型（前立即头盔前部位于额上的饰物，也是日本头盔最具特色的装饰，在一段时间里，夸张的前立曾大行其道）。而她的身上也用胴、草摺り、小手三部分铆定了简化的现世具足造型。（这里神里小姐的胸甲看起来是一体定型而成，与南蛮胴比较相似，是否与其涉外职责有所关联？）上身外罩的部分比较类似阵羽织，这可以从宽松的袖部、夸张化的立领和简化的翻领部分判断出来。不过穿着方式从现实中的外披改为了覆盖在胸甲下方，显得更加干练。她的身后系有比较夸张的带结，这是元禄年间始着物的显著特征之一。而她腰畔和发间的桃色绳结，则是日本传统绳结之一——总角结。这种古老的绳结多出现在神社和佛堂，与神里小姐“社奉行”的身份相呼应。,而裙装部分我则有些难以确定——根据其无裆设计我推测其为行灯袴——但神里小姐整体配饰均为江户及之前的元素，行灯袴作为明治维新后的产物出现时间过晚，且其长直筒的造型也于此并无多少相似之处。因此我推测这可能是早其贵族女性内搭（如十二单的长袴）的一种变体。,由此可见，神里小姐衣装上体现的日本传统元素相当丰富。除此之外，水色的上着、琉璃色下着配合灰黑色的防具，在日本传统文化“寂”理念的视角下也相当合适。,但我所关注的还有一事：铠甲的部分自不必多言，神里小姐所着的阵羽织、袴其实是相当男性化的服饰（尤其还有一段时间穿着阵羽织成为女扮男装的标志）。这使得神里小姐给人的印象在高贵典雅之外多了一分凌厉干练。可能这也是她作为社奉行之主威势的体现吧。,最后，神里小姐的关键词是“风雅”。“风雅”典出诗经，经“汉诗”引入日本，成为了俳学的重要部分。“风”即民俗之风，“雅”即贵胄之雅，“风雅”即可以理解为一种俗与离俗的互动，在“寂”的基础上形成独特的审美张力。神里小姐贵为名门之后，又日日浸身于凡尘烟火，化“风”为“雅”，可以说她本人即是对“风雅”的绝妙阐释。,能与此等妙人结缘自是一大幸事，只望我手里的万余原石不要辜负这份期待吧。"
"楠鹏幽","男","无IP","11854884","6","星座系列：双鱼座","10000","1808","","外网热评：,神里：我们把身份隐藏起来吧,我：戴上了愚人众的面具[doge]"
"官宝X","保密","无IP","424648222","5","","10000","2084","","神里这个流畅的转头，这真是live2d吗？[跪了]优菈角色pv就已经开始觉得非常惊艳了，万叶也一样，到了神里这更直观能感受到mhy的技术力了"
"南蓝蛮然拦燃男兰寒楠","男","无IP","143710855","5","","10000","2694","","油管有个评论笑到我了[笑哭],,所有抽神里的人请记住，凯亚才是原本的渡海真君"
"我在龙脊雪山写生","男","无IP","457223939","5","","10000","101","","看弹幕还是有人不明白，我来解释一下,每个新五星角色一般会有两个视频,1.角色pv   是live2D,2.角色演示   是实机演示,别再分不清pv和演示了"
"白石丶麻衣","女","无IP","353133891","5","花丸晴琉","10000","48","","神里就是将东方女性的温婉与含蓄的表现得淋漓尽致。,从撩人的夏日祭典回来的路上，在通向神里屋敷的坂道边。,她突然停下脚步，像是做了什么决定。,“旅行者，我还有件事，能再借用你一点时间吗”,萤火点点，溪水潺潺。,溪水堪堪没过脚背，娇羞的少女打开折扇，肩膀洒落温柔的月光。,明眸含春，凝望旅者，巧笑嫣兮，顾盼倩兮。,将这淡淡的却又无比火热的情思寄托在这短短的舞蹈中。,舞毕，却又不知心意能否传达。,情动夏夜，却只剩萤火，蝉鸣，溪流，月光，以及那翩然如顺流而下轻轻跳动的白色山茶花一般的少女。,宛如隔了薄纱一般的情愫，是东方女性的含蓄之美。,这就是最了然的情动时刻。,有诗曰：,素绫华彩婉如仙，持扇欲羞半遮面。,溪中舞罢万籁寂，鸣神里见夜蹁跹。,又有诗曰：,神樱未采夜未央，里巷长歌风卷香。,绫绮轻舞情归处，华灯如梦月如霜。"
"夜辰如梦","男","无IP","33846357","6","夏诺雅","10000","2107","","“宝，我今天去输液了”,“输的什么液”,“冻冻回魂夜”[笑哭]"
"夜岚_晴雅","男","无IP","364504820","6","2233幻星集","10000","1500","",".  , ,   ,   ,   ,   ,.   ,   ,    ,  ,    , ,_ヽ,　 ＼＼,　　 ＼ [doge],　　　 >　⌒ヽ,　　　/ 　 へ＼,　　 /　　/　＼＼,　　 　ノ　　 ヽ_つ,　　/　/,　 /　/|,　(　(ヽ,　|　|、＼,　| 丿 ＼ ⌒),　| |　　) /,'ノ )　　L,给大伙送个桃[doge][doge]"
"希儿喜欢布洛妮娅姐姐","保密","无IP","506537963","5","","10000","443","","原神：现在pv已经放出去四个小时了，我们来看看玩家的态度。,玩家：rnm，充钱,原神： 玩家的情绪可能有些激动，毕竟只是个pv，角色池还没出。,玩家：pv已经出了四个小时了，就没这么难等过，这版本我是一分钟都呆不下去了。,原神：玩家要有耐心，2.0版本马上就到，请玩家们安心。,玩家：安心个鬼哦，就四个小时，就一百多万播放量，还要等吗？已经爆火了啦。,原神：玩家们现在想抽神里的那种着急的心情我们可以理解，但还请耐心等待。,玩家：rnm，充钱。,[嗑瓜子]"
"刘源不到八块","保密","无IP","437580646","5","","10000","781","","为什么七分钟前发布的动态会有一个小时之前的评论，b站是不是已经掌握了时光穿梭技术，太可怕了，看来我们只靠叔叔就能控制时间，打败全宇宙了呢"
"南蓝蛮然拦燃男兰寒楠","男","无IP","143710855","5","","10000","2694","","油管有个评论笑到我了[笑哭],,所有抽神里的人请记住，凯亚才是原本的渡海真君"
"Sweetshoes","保密","无IP","159122337","6","平安物语","10000","2944","","神里绫华小姐真真是美极了！,接下来是本人对神里小姐服装和配饰一点粗浅的考据。因为本人绝非专业人士，只是对神里小姐的爱慕之甚、一时兴起搜集研究了些东西，多有错漏，见笑于各位，实在惭愧；其中谬误也望能人予以斧正。,对于大多数旅行者，初见神里小姐时，大概都会觉得她所着的是相当“日系”的一套衣装。,她的头饰形制取材于日本传统头盔“前立”的造型（前立即头盔前部位于额上的饰物，也是日本头盔最具特色的装饰，在一段时间里，夸张的前立曾大行其道）。而她的身上也用胴、草摺り、小手三部分铆定了简化的现世具足造型。（这里神里小姐的胸甲看起来是一体定型而成，与南蛮胴比较相似，是否与其涉外职责有所关联？）上身外罩的部分比较类似阵羽织，这可以从宽松的袖部、夸张化的立领和简化的翻领部分判断出来。不过穿着方式从现实中的外披改为了覆盖在胸甲下方，显得更加干练。她的身后系有比较夸张的带结，这是元禄年间始着物的显著特征之一。而她腰畔和发间的桃色绳结，则是日本传统绳结之一——总角结。这种古老的绳结多出现在神社和佛堂，与神里小姐“社奉行”的身份相呼应。,而裙装部分我则有些难以确定——根据其无裆设计我推测其为行灯袴——但神里小姐整体配饰均为江户及之前的元素，行灯袴作为明治维新后的产物出现时间过晚，且其长直筒的造型也于此并无多少相似之处。因此我推测这可能是早其贵族女性内搭（如十二单的长袴）的一种变体。,由此可见，神里小姐衣装上体现的日本传统元素相当丰富。除此之外，水色的上着、琉璃色下着配合灰黑色的防具，在日本传统文化“寂”理念的视角下也相当合适。,但我所关注的还有一事：铠甲的部分自不必多言，神里小姐所着的阵羽织、袴其实是相当男性化的服饰（尤其还有一段时间穿着阵羽织成为女扮男装的标志）。这使得神里小姐给人的印象在高贵典雅之外多了一分凌厉干练。可能这也是她作为社奉行之主威势的体现吧。,最后，神里小姐的关键词是“风雅”。“风雅”典出诗经，经“汉诗”引入日本，成为了俳学的重要部分。“风”即民俗之风，“雅”即贵胄之雅，“风雅”即可以理解为一种俗与离俗的互动，在“寂”的基础上形成独特的审美张力。神里小姐贵为名门之后，又日日浸身于凡尘烟火，化“风”为“雅”，可以说她本人即是对“风雅”的绝妙阐释。,能与此等妙人结缘自是一大幸事，只望我手里的万余原石不要辜负这份期待吧。"
"来B站是为了学习鸭","保密","无IP","334622441","5","","10000","1405","","叔叔今天亏的达不溜"
