"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"符华上仙当陪练","保密","无IP","87607936","6","hanser","10000","7614","3","莫娜唯一的缺点就是加速就看不到腿了[妙啊]"
"呜喵喵mua","保密","无IP","383806321","5","","10000","2974","","想问问有没有抽完卡跟没抽一样的，只是游戏中给的角色命座＋1"
"果酱离歌JamLS","男","无IP","4563842","6","","10000","5167","","原神运营组，崩坏运营组，未定运营组一起去爬山，结果遇到了狗熊，最后只有原神运营组活了下来，为什么？,,因为原神会装死"
"扶不起她","男","无IP","8115921","6","","10000","2104","","你来了，提瓦特驻华大使"
"元素领主墨元素","保密","无IP","22157527","6","明日方舟音律系列","10000","1839","9","抽到了但是很少用[笑哭]，虽然是t0的强度(指跑图)"
"_Hanafubuki","保密","无IP","271339115","5","","10000","3199","","原神一到店，所有吃菜的人便都看着他笑，有的叫道，“原神，你新动态又被冲烂了！”他不回答，对柜里说，“五只酿鸡，要三根薄荷。”便排出八千摩拉。他们又故意的高声嚷道，“你们就是喂不饱的狼！”原神睁大眼睛说，“你怎么这样凭空污人清白……”“什么清白？我前天亲眼见你评论置顶，吊着打。”原乙己便涨红了脸，额上的青筋条条绽出，争辩道，“置顶的事不算……删掉！……mwb说的话，能算是？”接连便是难懂的操作，什么“架空世界”，什么“装死”之类，引得众人都哄笑起来：圈内外充满了快活的空气。"
"忘_詞","保密","无IP","359036274","5","","10000","2625","","从节奏到现在，每条动态下都是负评还都是高赞，就这样策划/运营还能装死，你是我见到的第一个"
"卜奥斯卡","男","无IP","8385542","6","","10000","839","","我：老板我要请假过节。,老板：过什么节？,我：我要在原神过海灯节啊？你不过吗？"
"仓鼠好想睡觉o","女","无IP","4611018","6","泠鸢yousa登门喜鹊","10000","2631","","首先声明，站中间，理性讨论，目前38级不算云了吧？,这波节奏就是30级后内容少了，30级以上玩家想要新内容，加上国庆中秋表示少（确实他们公告也有说中秋国庆快乐，但你游戏里像隔壁蹦蹦蹦一样送个月饼图标的体力也行啊，刚好玩家缺），米忽悠这边进度也赶（他们员工也是员工，国庆估计也要放个假，这能理解），加之策划或者发公告的人表达能力不行，搞出这么波节奏。,目前节奏最大也就几个点：,1，中秋国庆大日子没表示那洋节也别给我过,2，内部有内鬼，建议即刻开除,3，官方装死,针对这几点，我个人觉得的解决办法，第一点中秋国庆他们确实赶，这个明眼人也看的出来，我们都放假歇会了，他们也是员工吧，不是不能理解，过节这个，官方第一个做的节日就是海灯节了，而且明说对标元宵节了，如果要说非要第一个上中国大节日，但从现在到春节的空洞期显然不可能就这样干放着，那就是等死，而且蒙德是第一个城，也透露了羽球节，说明每个大国都会有个大节（大活动），就像璃月满满的中国气息一样，蒙德也是由其他现实国家的元素创造的，必然不可能是过中国节日的，那么羽球节也肯定是填补现在到春节的空白区，也可能对标了外国的什么节，假如是圣诞节，羽球和圣诞同一天过，按现在的节奏必然被骂惨，不如直接提前圣诞节7天左右开启活动，持续一个月时间（都一年一次了，一个月都持续不了那没话说），从理论上来说也没有过洋节，但是活动期间也重叠到了圣诞，不算偏题，也补上了到春节之前的空白期。而之后也快到春节了，海灯节再和春节（或者元宵节）同一天开启，持续一个月（春节开启也能重叠到元宵），大家想过自己节日的要求也能达到，而最近期的重阳节，就算在璃月做点符合气氛的小活动，都能挽回不少口碑。,第二点有内鬼这个，是有人扒出来问卷有随机，觉得内部存在欺上瞒下之类，这我只能说相信三巨头好吧，相信一下大伟哥好吧，米忽悠才几个游戏啊？他们肯定每天盯着啊，更何况原神是他们目前投入最大的游戏，就指望着原神了，问卷这个说不好听点，只能说是看他们怎么对待了，是当成对玩家的安慰剂还是确实有认真研究我们不得而知，但估计也用不上这玩意，毕竟数据他们都有啊，内测期间杀几只鸽子都能查的到。,第三点官方装死这个，他们公告这个确实缺乏对待玩家态度，但凡公告好好表达一下道个歉说实话："
"喜欢纱雾的都是朋友","男","无IP","361729837","5","咩栗","10000","3048","","“我也看了，在我们的国家在好的游戏也只有挨骂的份，steam那么多游戏也没见你们说，不送东西那就不买，何况是一开始送了30发，后面又补了10发加1760原石，你们哪里是觉得没活动，你们就是喂不饱的狼。“[doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge]"
