"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"不是时常","保密","无IP","344375918","6","崩坏3·天穹流星","10000","8264","","mhy这次是认真做音游了，改下落式6轨，能校准，难度不再限制，还能玩家自制谱[笑哭][笑哭]拎出来能直接做多一个音游了,所以能常驻吗？后面能更新更多的曲子吗？物量要不要再做个调整比如调到1000或以上这样，500没法塞爆啊（恼）,原神或将成为新一代音游启动器（[崩坏学园2_花痴]"
"YYSAAAAAA","保密","无IP","41383646","6","","10000","10069","11","00:01 荒泷一斗和魈开场,02:07 2.7版本荒梦藏虞渊PV,04:18 夜兰、荒泷一斗、魈、甘雨CV版本介绍,06:31 夜兰（中：徐慧、日：远藤绫）、传说任务《幽客之章》第一幕,11:14 第一期祈愿：夜兰和魈,11:27 新五星弓：若水 四星武器：落霞（活动获得）,11:51 久岐忍介绍（中：杨凝、日：水桥香织）、邀约任务《帮派的日常事务》第一幕,15:43 第二期祈愿：荒泷一斗和久岐忍,16:20 版本活动：危途疑踪、深泥棋谭、荒泷极上盛世豪鼓大祭典（@恰空_PurrLude）、炉心机造,23:42 甘雨的工作笔记（系统优化，新手指导）,24:44 层岩巨渊主题OST《千岩旷望》 ,兑换码:UAK2VSX9376A、KS4XTXB96MPA、CS4WBFBQ6LPW"
"暗天愁","保密","无IP","272722630","6","","10000","17960","","请各位手下留情，编谱的时候麻烦编的像是个碳基生物的谱，就算不是也请不要标“简单[doge]”"
"djjr","保密","无IP","1794742","6","","10000","6171","","12:36,久歧忍,干练可靠的「荒泷派」的副手,特别注明：干练可靠形容的不是「荒泷派」而是副手[笑哭]"
"hunter_永夜","男","无IP","108140894","5","大理寺日志","10000","1887","","说实话，我更希望官方能添加一个在联机模式下，每个玩家都能看到秘境里要出场的怪物和秘境buff加成，而不是只局限于房主能看到的功能，这样能更好的让玩家们快速合理搭配阵容，还能让八级世界咸鱼在带萌新时不用先问一下“这个秘境里是什么怪，有什么特殊的buff加成”之类的耗时信息。别杠什么”哎呀，你就不会让房主退出去看一下吗“”就几秒时间，你忙着投胎吗“”都大佬了，还不知道所有哦秘境的怪物，你的号是托别人玩上来的吧“之类的话。题外话，现在无论何种职业，哪个年龄段，绝大部分一天24小时已经没有太多空闲时间了。"
"在一斗胸下爬行","保密","无IP","388381366","5","","10000","8937","","这次五人小队，每个人的元素都对应夜叉元素:,火烟绯、雷久岐忍、水夜兰、岩一斗、风魈,不知道是巧合，还是官方的细节[热词系列_知识增加]"
"赫卡缇琪","保密","无IP","174394415","6","梦塔·雪谜城","10000","17888","","官方：2.7大家心心念念的快乐风男终于复刻啦！,玩家们：难道是……？！,万叶：没错，就是……（被捂住嘴然后踹下舞台）呜哇！,魈：哼，旅行者好久不见，我隐约听到你在呼我名，便来此处……你不会不要我吧？（突然学某达达鸭语气）[脱单doge]"
"天星闲人","女","无IP","259286928","6","","10000","3596","","天叔卸任了…天枢星是管情报的吧，夜兰会不会成为新的天枢星呢[思考]"
"佬鼠の獁倍渴汗莎勒","保密","无IP","382172897","5","","10000","7735","","这次的剧情没有某位路过的老人,这点我不是很认可[doge]"
"小起子LiGetupzq","男","无IP","476055772","5","异常生物","10000","6466","","魈还真复刻啊，2.4复刻了2.7又复刻了，公子看了直呼内行[笑哭][热词系列_知识增加]"
"ElysiaElysium","男","无IP","440821372","5","","10000","9024","","两个水弓比cd,公子：我曾经要等114.5秒cd,夜兰：我曾经还有240天up,[doge][doge]"
"扶摇直上银河系","保密","无IP","379746194","5","","10000","10098","","第一次音游活动：尝试一下新的形式,第二次音游活动：手残和音游玩家两边不讨好,第三次音游活动：mhy：请"
"账号已注销","保密","无IP","1377523724","0","","5000","202","","问卷还没填的看过来～,1. 参量质变仪周一刷新,2. 钓鱼点记录上次选择的鱼竿,3. 继续增加浓缩树脂存储上限,4. 一键派遣,5. 每次强化圣遗物停留在上次选择狗粮的地方，不要从头翻，提高一次选择的数量上限，或可以手动把圣遗物转化精华,6. 升级溢出的圣遗物经验可以像矿石一样退还精华,7. 圣遗物排序增加一个按获得时间排序,8. 合成台转换圣遗物那里也需要圣遗物筛选功能,9. 增加配队方案，可以分组，每组还是四个方案，不影响翻页效率,10. 增加新的纪行武器,11. 星辉商店更新一下开服后的新四星,12. 地图标记多加一点图标用于区分，增加标记上限,13. 携带小道具增加几个或者快捷切换，化种匣建议和小仙灵一样算备用（我也不介意它跟着我飞）,14. 化种匣种子该更新了,15. 食物锁，锁住有特殊意义的料理,16. 已完成并收尾的剧情类委托不要重复出现,17. 掉落物可以根据自己喜好选择自动拾取或手动拾取（自动拾取类似于木材）,18. 讨伐小怪时，遇到不想去的点，可以手动选择跳过，标记下一个位置,19. up池四星角色定轨或增加保底（160发没有云堇这河里吗，五星都大保底了，四星至少也得出一个吧？）,20. 在米游社中查看抽卡记录,21. 家园角色与家具互动,22. 显示每个家具负荷、属于室内还是室外摆设,23. 家园负荷不够不够不够（呐喊！）哪怕所有区域共享负荷也行！,觉得其中有用的意见可以粘到问卷里哈！"
