"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"最后到此为止","男","无IP","24840892","6","","10000","40018","","我逐渐理解艾伯特先生。"
"北之舰娘","女","无IP","281636330","3","","10000","29983","","芭芭拉杀呀,远方的无畏之心,少女飘摇的杀意,少女嗜血的良辰,少女厮杀的闲暇,少女暴怒的容颜"
"逆向时空","男","无IP","351647","6","","10000","41361","8","视频超棒，就是最后那一秒黑屏让我看到一个恶心的痴汉笑脸，非常影响观看"
"小鼓单","女","无IP","166612247","6","国民老公带回家","10000","28802","","这期视频质量也太高了，一人血书给每个人角色都来这样一个互动视频，说好了会听取粉丝的意见，希望官方你不要不知好歹[doge]"
"寒雪无忆曲江南","男","无IP","8040869","6","","10000","30077","","艾伯特竟是我寄几[热词系列_知识增加]哼哈哈哈哈"
"米游姬","保密","无IP","510189715","6","","10000","16226","4","是偶像芭芭拉呀！"
"星期三和星期天","男","无IP","145697205","6","","10000","18504","","评分是原神的两倍，笑了"
"云祈九万里","男","无IP","66786418","6","","10000","12818","","说麻辣小鱼干的时候（侧着身子轻轻的跳起来增加上下幅度，跳动了三次，说明是让我半夜三更去找她，侧的身子的意思就是教堂的侧面 ）, 懂了芭芭拉她在诱惑我[2233娘_大笑][doge]"
"白羽樱雅","保密","无IP","12898153","6","","10000","8743","","土味广告什么时候投稿？,,原来 你也玩原神[热词系列_知识增加]"
"凌云高风","男","无IP","157334529","6","","10000","12038","","直接快进到做galgame，我怀疑这是在试水，大家顶我上去[doge][doge]"
"果蝇轰","男","无IP","8469526","6","","10000","19601","10","好家伙，我可太爱芭芭拉了"
"瑾薰jinXun","保密","无IP","16030768","6","三周年恋曲","10000","5393","","原来你也玩原神"
"小敢","女","无IP","642228","6","","10000","3700","2","我的心被击中了[跪了][爱心]"
"折腾5号","男","无IP","927687","6","原神","10000","3228","10","为什么老子的芭芭拉只会打耳光？"
"桜紙のアシスタント","保密","无IP","296050823","5","","10000","3434","4","1小时以后我要在榜首看到她，不过分吧"
"亡羊Nassas","男","无IP","12343829","5","","10000","3010","4","芭芭拉小姐的每一句话，就是福音和祈祷[tv_腼腆],每一首歌，都像天使对世人的感召[tv_害羞]"
"发芽橘子籽","保密","无IP","27620715","6","","10000","5891","","你不用争，真的，你没机会的,我承认你有几分姿色，也承认很多人都喜欢你，但是如果你问你和花酿鸡哪个重要，抱歉我选花酿鸡,你也不用不服气，要知道抽你一次要用我1600原石，而且我不会因为见到你而喜悦……,懂吗，你是顺带的,但是花酿鸡不一样，真的不一样，你知道做一只花酿鸡多难吗？,提米你认识吧！每天早上他在城门口喂鸽子，他喂鸽子喂饱了我吃鸽子吃饱了，他还要告我的状,而且花酿鸡需要两朵甜甜花诶！两朵！你知道什么概念吗？,要么跑出个两公里，要么凯亚就得挖四个小时矿才能采出来,你说凯亚为什么在开矿？,不重要不重要,最后做一只鸡还要全神贯注，才能达到完美，这是什么？这是爱啊！,话说我把头塞进史莱姆身体里也想不出你哪来的自信和花酿鸡比？[吃瓜]"
"龙二ryuji","保密","无IP","57651407","6","","10000","2792","","低情商：你老婆消息是群发的[doge]"
"空美町","保密","无IP","168687092","6","","10000","4751","","快进到游戏支持互动[狗子]（梦回崩坏3）"
"暗如白昼","男","无IP","35330049","6","2233幻星集","10000","3992","","不要被可爱的外表所欺骗，这动捕肯定是大伟哥"
"故山犹记平生约","男","无IP","4990397","6","2021拜年纪活动专属","10000","337","","“我记录下了大家对我的夸奖与期待，当然也包括批评.” 感觉就是在表达我们（米哈游）一直都在认真的去倾听玩家们的感受，接受并改变自己的不足，将那些诋毁、轻蔑的声音化作自己前进的动力.[热词系列_不愧是你]，hhhhh，居然通过这种方法含蓄的表达出来，（也可能是我自作多情╮(￣▽￣"""")╭）, 总之，游戏愈加出色的表现即是米哈游不断努力的证明吧，群众的眼睛是雪亮的，你的努力，我们都看在眼里啊 hhhhh加油啊！米哈游[热词系列_吹爆]"
"秘制小涵宝","保密","无IP","436910485","5","","10000","1990","","   ,                          ,                               ,                                      ,                                        ,                                        ,.                                      ,                                ,                            ,                 ,                                  ,                                   ,_ヽ,　 ＼＼,　　 ＼  [doge]——————今天我带了个大大的桃来,　　　 >　⌒ヽ,　　　/ 　 へ＼,　　 /　　/　＼＼,　　 　ノ　　 ヽ_つ,　　/　/,　 /　/|,　(　(ヽ,　|　|、＼,　| 丿 ＼ ⌒),　| |　　) /,'ノ )　　L"
"埃德怀斯夫人","女","无IP","65284396","6","明日方舟","10000","962","","这种视频就不要刷烂梗了吧，芭芭拉多可爱的女孩子，不要再精虫上脑了[无语]"
"萨拉托加号驱逐舰","保密","无IP","14372141","6","希萝Hiiro","10000","1766","","这个微表情处理的tql，又是一个炫技视频[热词系列_好家伙]"
