"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"WYX2023xm","男","湖北","294099923","5","","10000","4777","","感谢暴雪和网易老铁免费送来的赛事组织者，主持人，解说和牌佬选手们[妙啊]"
"影之侍","男","天津","14075464","6","三周年恋曲","10000","1767","","这次活动让全提瓦特的人都知道雷神已经换代了,因为活动名是「「影」换杯」[妙啊]"
"民国豌豆","保密","湖南","484465441","5","","10000","1508","","看来七圣召唤离发售线下真实卡牌不远了[doge][doge]"
"源起白音","保密","安徽","238759106","6","","10000","2041","","我家旅行者会打牌了哦~"
"全身上下嘴蕞硬","保密","北京","236124103","6","","10000","2817","","选巡猎：我的回合！我的回合！还是我的回合！[doge]"
"玛琪不是兔子","女","山东","12262094","6","","10000","1046","","接下来，是我的回合！随蝴蝶一起消散吧，旧日的幻影！[响指]"
"百野栞の书架","保密","日本","88093754","6","还有醒着的么","10000","1285","","“我的回合，抽卡！”"
"小喵万法师","男","陕西","6432498","6","#EveOneCat","10000","667","","热知识,双冰雷神（1:42的重云-雷电将军-申鹤卡组）中最高斩杀为,重云大招7+超导1+雷罚恶曜之眼1+箓灵1+冰翎1+粉碎之冰2+仙跳墙3=16,对手的满血并不安全[阴险]"
"微风之星Augenstern","男","山东","470070102","5","","10000","1330","","长得最像纳西妲的动物是什么？,答案是小鸡,因为小鸡像草王[doge][doge]"
"比利君","男","广东","30888506","6","","10000","1634","23","什么？,七圣召唤,启动！"
"小铭同学qaQ233","男","宁夏","203145268","6","","10000","497","24","两张风与自由！,接下来，是我的回合，还是我的回合！[妙啊]"
"芙莉纳不是芙宁娜","保密","马来西亚","156358201","5","","10000","3333","","七彩祥云骰？[笑哭]"
"憨披阿昆达","保密","福建","91723723","5","","10000","1836","","七圣召唤其实还不是很成熟，规则也没那么完善，就和最初的游戏王一样，有很多地方不太公平，所以还是需要玩家和官方共同的努力，多来点建设性的意见才能让这款游戏变成“游戏王”"
"提瓦特整活频道","保密","上海","3493089586972896","6","","10000","1016","","一起来欣赏华丽的对决吧！"
"星のれ","保密","辽宁","1514287957","5","异常生物","10000","706","","影幻杯，起这个名字真的不会有什么隐患吗？"
"年歌com","保密","广东","558824345","5","","10000","258","","我打的太菜了，不打了，只能祝各位都有好运气"
"未有之源-梦","保密","天津","456759279","5","良辰美景·不问天","10000","227","","只要我有风与自由，就是我的回合[doge]"
"木子きご","女","江西","2140551","6","","10000","186","","这一系列尬剧能出到现在经久不衰，在座的各位包括我，都有责任[原神_喝茶][笑哭]"
"这么小声还想开军舰啊","保密","广西","195301430","5","","10000","79","","“我刚出山的帝君啊！八回合！八回合才出山的帝君！”"
"天间璃","保密","四川","1842625788","4","","10000","23","","原神，启动（×）,七圣，启动（×）,剑仙，启动！！！！！！！"
