"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"一条抹茶脆脆鲨","保密","重庆","71592378","5","","10000","27671","","某种意义上来说，这也可以算街道办的文艺汇演，有老年人（钟离、魈、甘雨、阿贝多），有在外务工的青壮年（公子），有擅长舞蹈的公务员（优菈），还有小朋友（猫猫）……"
"民国豌豆","保密","湖南","484465441","5","","10000","3258","","如果用一首形容当年帝君功绩的歌，那应该是《璃月颂》(改自《秦颂》)[doge][doge]"
"五月罐头","女","河南","11832862","6","","10000","29009","","我给大家汇总一下啊。,全球首发第一站是九月底在上海,之后会在北京 天津 重庆 长沙 武汉开始巡回音乐会。,之后会出国，全球巡回音乐会"
"姜颂一","保密","贵州","1472089346","4","","10000","9382","","老米啊，老米！我强烈建议把这些服装实装"
"浅月carol","男","河南","13802568","6","","10000","10816","","各自的乐器也非常符合角色的性格[打call]"
"山崖复远望","男","上海","19104000","6","","10000","7839","","上个月崩三无敌，这个月原神无敌，啥时候星铁也办个展无敌一下？@崩坏星穹铁道"
"牛郎之道","保密","江苏","1416014891","5","","10000","3574","","阿贝多和魈上仙穿上正服真的好帅呀[喜欢][喜欢]"
"我太正经了怎么办","男","上海","2122911627","5","","10000","16676","","为什么音乐会由钟离来指挥？因为他是理乐（璃月）的神[脱单doge]"
"我是卡维学长の狗","女","广东","73946731","6","","10000","13191","","我超先生！！钟离先生我是你的粉丝啊！！"
"落樱梦","保密","山西","4098366","6","","10000","7286","","好！今天真是过大年了，全家桶狂喜,一个消息接一个消息，妹妹刚发完星核猎手pv，姐姐演唱会cm就跟上了[崩坏3·光辉矢愿_让我摸摸]再过三个世纪就能去枫丹了，好好好好好好"
"冰妹妹不哭","保密","浙江","244893530","6","天官赐福动画","10000","6794","","呜呜呜呜呜呜呜呜[保卫萝卜_哭哭][保卫萝卜_哭哭][保卫萝卜_哭哭]谁懂啊我真的好喜欢"
"头像皆本命","女","北京","21223667","6","三周年恋曲","10000","5743","","公布的情报是首场在上海，之后会在北京 天津 重庆 长沙 武汉巡回，并且海外也有。太棒了！！！[未定事件簿·归心之所_莫弈点赞]"
"磁爆步兵54","男","浙江","3443416","6","","10000","4294","","优雅永不过时[藏狐]"
"维多利亚家政_可琳","男","四川","670113401","4","还有醒着的么2.0头像框","10000","3311","","01:09 我老婆真美[星汐seki_媚眼][星汐seki_媚眼][星汐seki_媚眼]"
"维多利亚家政_可琳","男","四川","670113401","4","还有醒着的么2.0头像框","10000","3179","","00:45 怕新来的不知道，我介绍一下，这是我老公[星汐seki_好帅呀][星汐seki_玫瑰]"
"Rui_Ryan","保密","广东","511411418","5","工作细胞","10000","2784","","广州不巡演！我们自己办！"
"语核","保密","天津","3493130724706733","4","","10000","2203","","怎么是生肉啊，蹲个翻译[doge]（"
"琴心不怯","保密","上海","35317875","6","崩坏：星穹铁道","10000","1177","11","在现场，大伟哥可爱[打call]"
"六班六号六十六","保密","河南","18881702","6","","10000","715","","来的最早的一次！"
"彩虹海人","男","山东","91681502","6","","10000","702","","无需耽于过去的遗憾，也不必为未来烦忧。,这旋律流淌过四季与山河，汇聚成梦中的晨露。,,音乐会，终于来啦！！！[打call][打call][打call]"
"つEmotional","保密","甘肃","354969346","5","","10000","352","","鸭头这身衣服好好看，什么时候出皮肤啊，元老级角色了都没有新衣服穿[大哭]"
"清岚不会晚","男","湖南","3493108255820763","3","","10000","83","","原神交响音乐会2023,全球巡回,九月底首先在上海,后面陆续在北京，天津，重庆，长沙，武汉进行巡回演出,之后全球在亚洲，美洲，欧洲陆续开始演出,原神FES公布的,不说了，我已经等不及了[星星眼][星星眼]"
"马稼骏","男","上海","34476796","6","","10000","76","","大家九月底见[微笑]"
"魈少仙","男","未知","1889486242","4","","10000","97","","魈这里换上了新衣服，是不是也标致着他真正融入了“人”的世界中了？,少年的这丝犹豫，代表了什么，我想只有那个她（他）才懂得吧……"
"不醒不信","保密","山东","1322245076","4","","10000","200","","谢谢三年的养胃看到钟离的那一刻终于治好了，神医啊！钟大夫"
"义瞳Yuto","保密","未知","22475545","6","","10000","49","","挺好奇这回是哪个团队制作的短片，跟米家大部分2D动画有很明显的区别，张数爆炸先不说，很多cut看起来就很难画，阿贝多扎头发那一cut我第一个想到的就是博人传第一话第一幕青年博人掏出护额系上去那个镜头（黄成希黄大画的cut）……话说回来，周年庆版本的前瞻直播应该就有动画的消息了[原神_嗯]"
"伞下の君莫笑","保密","浙江","471400335","5","时光代理人","10000","360","","等等有个事啊朋友们，我是学音乐的，关于音乐会有个小知识，就是。燕尾服在演出服种类里面是大礼服，在音乐会里头是只有指挥才能穿，全场都听他指挥所以他配得上燕尾服，但是从这个短片里面的衣服后摆来看，魈宝好像也是燕尾服，放在音乐会来说，这点是不太合适的，就是建议能改的话改一下www[微笑][微笑]"
"抽奖没中过的加糖","保密","江苏","451473207","5","","10000","238","","有没有人来科普一下乐器，知道大类但是不知道正确的名称和在乐队中的作用[笑哭]"
"黑铱BlackIris","女","上海","477783","6","","10000","274","","钟离！！！！！！！（尖叫）"
"朽人极","男","云南","384259939","5","横扫全场","10000","33","","无需耽于过去的遗憾，也不必为未来烦忧。,这旋律流淌过四季与山河，汇聚成梦中的晨露。,,原神交响音乐会2023将于9月在上海举办，更多活动细节将会陆续公布。敬请期待"
"怡宝长高高","保密","广东","396522399","5","","10000","264","","出谷，我求你了[跪了]"
"洛伦斯33","女","云南","225305902","5","","10000","35","","建议演唱会开在云南，理由如下：,1.云南交通便利，方便各位旅行者前往参加,2.云南人口众多，有较好的群众基数，可保证音乐会的参加人数,3.云南有很多像我一样的闲人，可以让现场气氛high到不行,4.云南本地的蘑菇可以增加现场效果，自带4D，打光，失重，幻听等效果，花同样的钱，体会更多的乐趣,5.云南本地喀斯特地貌及多种风光美景，可使旅行者在享受音乐的同时，不忘欣赏现实世界的美好,6.我在云南"
"爆炒神里绫华_","保密","湖北","647716789","5","原神","10000","136","","终于有武汉了，等了几年了[大哭][大哭][大哭]（这里盲猜一下是琴台大剧院[脱单doge][脱单doge][脱单doge]）"
"星野爱あい","保密","未知","1180738145","5","圣诞节快乐","10000","864","","每个人的分工明确铸就完美交响乐"
"我是银枝大人的呜呜伯","女","四川","310764365","5","格兰芬多","10000","633","","米哈游！！这里面的衣服都给我出！！！我买！！我买！！画了不卖心胸狭隘！！中西结合每个人乐器衣服都特别合适，好好好你干的好啊！！帝君指挥特别正确！"
"明月楼_","保密","山东","35242944","6","","10000","532","","呜呜呜你还记得魈吹笛子很好听的设定好好好，西式燕尾服也好帅我看八百遍[大哭][脱单doge]"
"林簌SUSU","女","上海","7223194","6","花园花玲头像框","10000","600","","这真的是太棒了！"
"PRZYM","保密","广东","1702311376","4","","10000","232","","我的小王子，好温柔，好优雅，好可爱，啊啊啊啊，mhy出番，我求你了[大哭]"
"酷酷纯希望","女","未知","480995040","5","","10000","138","","妈惹，钟门,等了一年了，为了爹下的游戏，真的很帅(ToT)"
"创亖绫人烂梗人","保密","陕西","689824906","4","","10000","341","","钟离先生扯手套和阿贝多扎头发！！！好好好！[星星眼][星星眼][星星眼][星星眼]"
"一水遮夏","男","北京","143619","6","崩坏：星穹铁道","10000","203","","好好好好好，上海听一次，北京再听一次。上海在奔驰馆子，北京大概率在保利剧院。[崩坏3·终焉归始_燃起来了][崩坏3·终焉归始_燃起来了][崩坏3·终焉归始_燃起来了][崩坏3·终焉归始_燃起来了]"
"一只沈梦溪和另一只","女","湖南","436513645","5","#EveOneCat","10000","157","","[抓狂][抓狂][抓狂][抓狂][抓狂][抓狂]钟离这么好看你不要命啦！！！！"
"山崖复远望","男","上海","19104000","6","","10000","202","","今天的原神是无敌的[原神_哼哼]"
"迪奥娜小姐的专属坐骑","男","山西","365312064","6","","10000","74","","速速给我家迪奥娜出这个小裙子！！！！[么么哒][么么哒][么么哒][么么哒][么么哒]"
