"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"胡萝卜吃不饱-","保密","贵州","25349062","6","泠鸢yousa登门喜鹊","10000","19348","","那维莱特你好强大，我真没想到这直接给按回去了还气儿都不喘一下[笑哭]"
"叶风引_jpg","保密","黑龙江","37538648","6","明日方舟音律系列","10000","19004","","一刻也没有为原始胎海之水泄露而哀悼，立刻感到现场的是——,水龙王！那维莱特！"
"Minecraft中的新世界","男","河南","284834884","6","","10000","25219","","莱欧斯利也是狠人啊，这水对其他人来说就相当于洪水，对枫丹人来说就是岩浆啊[辣眼睛]佩服至极"
"狗熊之贰","保密","河南","3493116621359404","3","","10000","17114","","那维莱特：原始胎海引以为傲的审判，居然这么荒唐，如果这就是你们的规则，那我也有自己的规则！（这个梗我能玩一辈子）[doge]"
"Episode-12","保密","广东","389259777","5","","10000","15038","","[doge]"
"彼得的小喇叭","男","浙江","3493145557862919","3","","10000","9874","","有人疑惑克洛琳德在这能做什么，或许可以想一想滚滚浓烟前的消防员，奔腾洪水前的抗洪人。,神之眼的光芒耀眼，人的力量更强大。"
"僕たちはひとつ光","男","海南","24932251","6","公主连结佩可莉姆","10000","9672","","知道为什么特效光这么亮吗？,因为：那维light"
"WYX2023xm","男","湖北","294099923","5","","10000","9268","6","水龙王：隔壁开海，我要封海[吃瓜]"
"無光_","男","浙江","323561571","5","","10000","8186","","那维莱特配队解析,主c：那维莱特,盾辅：那维莱特及其他,奶辅：那维莱特及其他,增伤拐：那维莱特及其他"
"幸黄昏至拂晓","男","河南","357835968","5","","10000","7726","","阿哈？"
"尘世闲游-陵薮市朝","保密","江苏","1408235928","5","","10000","6840","","枫丹主城，内凹外高，原始胎海水混进大湖里面，海平面再升高给枫丹来个海水倒灌[doge],枫丹人的度量单位从一个变成一杯[doge]"
"民国豌豆","保密","湖南","484465441","5","","10000","6741","","我第一眼只看到时尚两个字。[笑哭][笑哭]"
"星_萌瑶","女","江西","379777672","5","崩坏：星穹铁道","10000","6570","","这个手抓龙王的图片我看一次笑一次[大笑][大笑],（之前应该是在米游社看到的）"
"有生之年能看到吗","男","安徽","315622780","5","","10000","5153","","一刻也没有为原始胎海之水的爆发感到慌张，立刻来到战场的是，那维莱特！！！"
"信誉分96段","男","上海","35512269","6","","10000","4969","10","以朗道之名，冰雪铸成此志，永不终结[大笑],（+3134     +3134     +3134     +3134）"
"memorysjsk","保密","北京","410560278","5","","10000","4268","","中午好朋友们[大笑]"
"源起白音","保密","安徽","238759106","6","","10000","3996","","好伟大的一张脸！那门！！[保佑][保佑][保佑]"
"unipendix","男","江苏","145105575","6","罗小黑战记","10000","2869","","我懂了，莱欧斯利的能力其实是时停[tv_doge]"
"刘备他二大爷","男","广东","124051969","5","","10000","1988","","这不是我认识的叽米！[滑稽]"
"漂泊的旅行青蛙","男","江西","437452246","6","","10000","1831","","大猫猫，大猫猫"
"多冰带气无糖苏打水","保密","河南","2076335743","3","","10000","1268","","以冰雪筑城此至，永不终结！！！"
"吃西瓜的群众大大","男","山西","386774428","5","公主连结凯露","10000","1072","","挺厉害的，总共3层保险。,第一层是莱欧斯利尝试直接冻住喷涌的海水，可以保住海水通道的房间。,第二层是尝试用三道闸门拦住海水，相当于放弃海水通道的房间。,第三层是让那维莱特来镇压海水，但那维莱特能做到什么程度，造成的损失有多大他不知道。,海水不爆发的话，莱欧斯利自己也不知道它的威力有多强，同样的，那维莱特能做到什么程度莱欧斯利也不知道，所以只能每层保险都拦一下，邀请克洛琳德就是为了确保第二第三层保险能触发。,克洛琳德说过那维莱特不能离开沫茫宫太久，虽然不知道为什么，但尽量不让他过来肯定是最好的。"
"青玉笼-妙韵","保密","四川","25479131","6","","10000","2171","8","莱欧斯利和克洛琳德这个时候要做的事不只是堵水而已。,1.克洛琳德身手好，可以抓准时机开枪下阀门拖延时间，在莱欧斯利体力不支时可以带人撤离，雷元素原神的移动速度是很快的。而且克洛琳德和莱欧斯利有私交，会配合得更好。,2.整座梅洛彼得堡都是为应对胎海水从决口喷出的危机而建立的，可以说整座堡垒都是机关，实在冻不住了克洛琳德还可以用枪点爆炸弹之类，一边带着莱欧斯利撤退一边靠机关和建筑物阻挡胎海前进的脚步。,3.这件事保密等级也很高，她作为决斗代理人留下来非常合理，不然也没有别人了；她出去之后可以赶紧传递情报给那维莱特，最大限度达成保密，防止情报泄露造成恐慌，引起更大的混乱。"
"苏雷歌","保密","山东","596739072","5","","10000","637","","水龙王说要是神明消失，它才有能力出手，所以芙芙后面真的是打算为水国牺牲自己吗？她在剧情也说了看不到结局但只要持续下去自己无愧于水国，还是说水神有其它打算，审判机关里面存储能量又是用来做什么的，难道是用来对付那头鲸鱼的?,话说我感觉枫丹人溶于原始胎海这点真的好神奇，其它六国人就完全没事，就好像那种变成丘丘人的诅咒就行，而且变成水的人化为成为泉水精灵，这样的话枫丹人岂不是意识会汇聚成无数个泉水精灵分布在提瓦特各处，泉水精灵从此成为丘丘人那样的野怪?或者说组成一个巨大的泉水精灵?"
"任墨凡","保密","江苏","14853196","5","","10000","317","","初代龙，和二代龙对七神和七国的态度差的挺多的。阿佩普恨不得七神和天空岛立马嗝屁，对须弥也只是当作自己的领土，彻彻底底把七神和他的子民当作外来着。,那维选择融入枫丹社会（当然应该有水神的功劳），并且潜意识里已经把自己当作枫丹人，对枫丹也带有守护的意志。,如果坨子哥和特瓦林也石锤是元素龙王的话，那可以看出二代龙王其实是不在乎提瓦特到底是天空岛做主，还是七大龙王做主，它们也只想守护各自的国家和子民。"
"夜雨中折纸","男","辽宁","508115091","5","","10000","885","","有人疑惑莱欧斯利刚开始为什么要待在封印旁，克洛林德作为雷元素角色又能做什么?,我猜测莱欧斯利是想设立多道防线，若开始时能冰冻住最好，即便不能挡住也可以有效地减缓胎海水的流速，后面三道闸门以及冰冻也是同理。,克洛林德则是那个有足够判断力和行动力的辅助，负责在最恰当的时刻关门。,正是他们的以身犯险，才坚持到了那维莱特的到了,(那维莱特似乎是感应到胎海水涌出而主动过来的，跟爷恰好碰上，然后爷被抓壮丁陪芙芙了[笑哭])"
"无聊的Oscar","保密","重庆","432296600","5","","10000","2024","","凯亚：好有本事，竟然有能请动风魔龙的力量，我想……风魔龙一定是古典曲调的爱好者吧。,芭芭拉：原来是这样。,,莱欧：能处理这种情况果然是因为……也许是因为你很有责任心吧,克洛琳德：有道理。,[doge]"
"付羲年","男","上海","107743018","5","","10000","2501","","谜面1.什么东西清晨四只脚，白日两只脚，夜晚三只脚？,谜底： 中午化身成人去参加了舞会，摔断了腿只能拄拐杖的龙蜥。,这个答案其实是贤人们最喜欢的，往往也只有小朋友们才能答对。龙蜥化人对大人来说是一种恐怖的阴谋，根据古代预言，水之元素龙王一定会以人形重生。对于孩子来说，则揭示了相互理解的可能。,但是这样把龙蜥弄得可爱也有其弊病。虽然消解了恐惧，却也让孩子们失去了警戒。,（深海龙嗣们进化出了其他元素，失去了纯粹。它们族群已经不会诞生龙王了。）"
"星空凯撒","男","广东","32654507","6","","10000","271","","整个4.1最好的部分就在于，面对仆人不断的质疑，我一个非常喜欢芙宁娜的玩家都被仆人说动了，也开始怀疑芙宁娜的能力。,但这一刻，那维莱特的话却让我泪目了，他说：“这场审判过于宏大了，请恕我无法参与裁决”。可身为枫丹的最高级审判官都无法参与的审判，又有谁能参与这场审判呢？但他的话却让我进行了无端联想，他真的很相信芙宁娜，相信她才是那个能参与这场审判的人。在所有人都怀疑芙宁娜的能力时，那维莱特却依旧相信芙宁娜能守护好枫丹。,就莫名有一种老父亲相信自己孩子的既视感。"
"酒精灯多漱口","保密","广东","548942758","4","","10000","879","","不只我一人觉得做完了须弥枫单剧情之后觉得蒙德璃月剧情一般般吧，其实想了想，我们之前做的新手村主线应该还不是重头戏，蒙德的真正团长还有温妮莎还没有露面，还有四个魔女也没露面，所以等到真正关键人物出现蒙德才算开始重头戏吧,璃月的重头戏应该要等到黑岩场和【富人】亮相时才开始，说实话我觉得【富人】是目前能威胁璃月的最最关键人物，小时候跟岩神关系就很抽象，岩神的神之心到了【女士】手里，女士没了那岩神之心最大可能在【富人】手里，再加上他创办的银行遍布提瓦特，一直在等一个时机（可以看苍白之火的故事），现在他的实力可能远不止第十席了。还是可以期待新手村的主线[思考]"
"昼夜幻影","女","吉林","513930764","5","","10000","408","","按照预言所说，终有一日，万水源流之国的子民将在古海面前接受裁决。,但对于这场宏大的审判，此刻还为时尚早。,,中文CV：,克洛琳德——赵涵雨,莱欧斯利——刘北辰,那维莱特——桑毓泽,空——鹿喑,派蒙——多多,,日文CV：,克洛琳德——石川由依,莱欧斯利——小野大辅,那维莱特——神谷浩史,空——堀江瞬,派蒙——古贺葵"
"Shu_Yami_No","保密","河北","33803894","6","国民老公带回家","10000","1828","","当时要我们去叫那维的时候我特别急，结果这龙自己早早赶到了，跟咱们来了个任务互换，太有安全感了"
"大河_小江","保密","湖北","499049371","5","","10000","196","","这里的“为时尚早”应该是象征元素光界的原始胎海或者象征深渊虚界的深渊魔鲸对僭越的天理以及天理子民的审判"
"朱兆丰","保密","江西","245421684","4","","10000","166","","版本更新前我看过一些人期待的4.1主线，内容如下,【仆人】发现监狱底层封着胎海水，于是命令【壁炉之家】的精锐（役人）一起破坏封印，那维莱特察觉到时已经太迟了，胎海水破印而出，他只能亲自出手把水按回去，但役人试图干扰并不断攻击，监狱长和决斗代理人出手制止,另一边，【仆人】趁着这个时间点亲自出手刺杀水神，但被旅行者预判并拦截，于是两人开始对决，而水神虽然自身情况很差但身法还在，除非【仆人】击败旅行者否则无法伤到水神,（不得不说，真是典型的热血番套路）"
"神里绫华の女友","男","安徽","249477052","5","原神","10000","772","8","当过去与未来的道路相互交错，我看到了人性的美好，看到了纯粹的「正义」从星星之火燃向整个枫丹。由此，卡罗蕾等的牺牲拥有了意义。最后，我想说，谁敢欺负我们可爱的美露莘，我跟他爆～～～～了！！！！！,                         ——那维莱特传说任务有感"
"卓阳ray","保密","山东","176880149","6","","10000","191","","是谁过剧情的时候疯狂截图拍照了[墨镜]哦原来是我啊[大哭][大哭][大哭]莱欧你真的好帅啊啊啊啊啊，怎么还有两个星期才能抽到[大哭][大哭][大哭]"
"沫芒宫宫主","保密","江苏","479350175","5","","10000","180","","介绍一下一条局外龙:他彷徨困惑，不知此身诞生的意义。面对相同境遇的可爱美露莘，他会展露不为他人所知的温柔。面对工作认真负责，五百年间公正裁决每一起案件。作为最高审判官，他避免与他人私交，或许是四百年前经历的痛苦让他无法再承受这样的离别?看着一场场闹剧般的审判，他却仍能保持一个至纯澄澈的心，或许这就是水元素最高顶点的纯粹。被世人误会冷漠，天空却总是飘落无因的轻雨，他像一个稚嫩的孩童小心翼翼观察触摸着这个世界，一边受伤一边成长，传说任务中”水龙，水龙，别哭了“只是孩童天真的语言，就能令他的心汹涌澎湃。与其身份尊贵所展现的不同，他温和谦逊，礼貌体贴，因为不懂人类情感，而展现出的无机质人外感，既像高岭之花般清冷，只可远观，却又忍不住想让人逗逗他，偶尔展现出的木讷和天然呆让人哭笑不得，又让人想入非非想教他一些不好的东西，嘿嘿。从前，那维莱特是一个孤独的人，现在，他的身边开满纯白铃兰[嘟嘟]"
"刘奶不是牛奶","保密","贵州","580434371","5","","10000","314","","莱欧斯利：完了啊，那维，这个胎海会涨潮的哦,克洛琳德：又退潮了,那维莱特：不要发这种东西，真的看着很ex的诶,莱欧斯利：那维救命啊，溢到闸门外面了，爆辣,莱欧斯利：这个始炸出来了,克洛琳德：这个始炸出来了哦,那维莱特：[辣眼睛]"
"八重奕里","保密","江苏","16963092","6","","10000","2012","","预告骗还是你会剪[笑哭]多少人以为pv里莱欧斯利是要和那维莱特起冲突"
"民国豌豆","保密","湖南","484465441","5","","10000","6741","","我第一眼只看到时尚两个字。[笑哭][笑哭]"
"落樱梦","保密","山西","4098366","6","","10000","1708","","莱欧斯利这个人物刻画的真是满分答卷,精明圆滑但又正直勇敢，属于那种行走在边界的人,有着自己路和想法，但还带点秘密的感觉,配合刘北辰老师的出演，语气词太到位了,主线和过场动画看完直接-648[原神_躺平]"
"-Definiten-","保密","山东","574364389","3","","10000","958","","这么看那维莱特这么强，公子一十九岁人类小伙能在变身状态下划一道口子已经很强了[歪嘴][妙啊]"
"秀秀家的难孩","女","浙江","299957944","5","","10000","585","","[墨镜]中午好"
"MucisH","男","广东","287695780","6","2020拜年祭（鼠）","10000","76","13","[思考]"
"-Kb_","保密","内蒙古","1434188861","4","","10000","66","","这就是完全之龙那维莱特，一个除了钟离第二个让我感受到真正的男人模板的角色，一个让我一个大男的看4.1PV看哭的角色，一个让我顶着922抽6+1的角色，那维你值得！"
"风华之秋歌","男","辽宁","277263883","6","原神","10000","63","2","莱欧斯利：我抢到那维莱特的手办啦哈哈哈[doge]"
"三圣涅L","保密","福建","1999584808","4","","10000","48","","莱欧真是好有人格魅力一成男，年少早熟，说话办事自成一派，身上自带英国绅士的灰色幽默。虽然他的传说任务还没出，但就仅目前出来的剧情都能看出来他双商高的可怕，与人交流随和又不失压迫感，一般不主动出手，但会利用周围的已知信息将事情往他想要的方向推动。沉稳豁达又风趣，这是原里第一个这么能吸引我的人物性格"
