"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"函数解析式-","保密","无IP","250850725","6","仲夏幻想","10000","33372","7","我满命胡桃了哈哈哈哈哈啊哈，样子和技能都特别可爱，那个熊还会喷火呢[2021拜年纪_棒]"
"央悦之鑫","男","无IP","477518086","6","","10000","14166","","刻晴：up结束了，走了。,,六点后……,,刻晴：我装的[歪嘴]"
"泛清寒","男","无IP","286125937","6","明日方舟","10000","14897","","低情商：胡桃歪了,高情商：温迪稳了,零氪党：神里稳了"
"明眸-雅望","女","无IP","39699039","6","双生视界·花嫁","10000","12516","","大伟哥：“我们下期卡池将会特别up一个女性角色！”,姥爷听完失望的离开了。,“她是一位来自璃月的角色！”,可莉平复了一下自己的心情，坐回了位子上。,“她是一个火系角色！”,胡桃显得有些激动，双腿不停的颤抖。,“她使用长柄武器！”,胡桃哇的一声哭了出来，她决定当天晚上就请全提瓦特的人去万民堂搓一顿。,第二天，各位旅行者发现他们从池子里抽出来的全是香菱（）"
"你的杰伦兄","男","无IP","197744986","6","EveOneCat2","10000","8011","","哈哈哈哈哈哈哈哈我抽中胡桃了哈哈哈哈哈哈哈哈哈，她还说她是最伟大的占星术士哈哈哈哈哈哈哈哈哈"
"瑞树汉化组官方","女","无IP","33458847","6","","10000","5422","","谢谢米哈游，胡桃已经出了，E技能有三段，大招还是鸟呢，哈哈哈哈哈哈"
"浮生意久空","保密","无IP","327362480","5","","10000","2816","11","说一句胡桃的传说任务很棒有赞吗[tv_点赞]"
"七铭的鲁迪乌斯","保密","无IP","186732414","6","赫奇帕奇","10000","14797","","出门→捡到2元,                      ↓, 500w ←买张彩票,  ↓      ,买张月卡→300创世结晶,                            ↓,点开祈愿  ←300原石,    ↓,160原石→护摩之杖,                        ↓,  胡桃    ← 无主的星辉x5,     ↓, 无主的星辉×5  →胡桃,                               ↓,    胡桃   ←无主的星辉×5,     ↓,。。。。。 →胡桃满命,                              ↓,护摩满精   ←  。。。。,     ↓        ,恭喜胡桃的老公"
"Ardnassil","保密","无IP","89668193","6","","10000","10738","1","祝大家一发增寿出金，十连无伤满命。"
"账号已注销","保密","无IP","1453082315","0","崩坏3·天穹流星","5000","8635","9","你们做胡桃传说任务了吗？这次的关卡设计的真的很好，那个要往返两次才能获得2个鬼火打开石门的小解密很有意思，后段真是让我感到惊喜，场景从阴森恐怖的地域变成了世外桃源的仙境那里的鬼魂都有放不下的人或事才不能往生吧，胡桃任务大致剧情就是那个胡子男遇到“狼哥”为展开到几个小伙伴相遇到结束的小故事，虽然剧情还是幼稚但毕竟是9+游戏，总体感觉我个人认为很不错美中不足就是太短了，你们没做的也可以去体验一下胡桃传说任务这游戏不是只有抽卡和互相攀比比谁伤害高，大部分的原神玩家是不是应该把游玩的重心多转移到地图探索和游戏里的小故事和剧情上面呢？虽然我把50个纠缠之缘拿去抽角色出来5个香菱和行秋但因为胡桃任务的原因我也并没有多生气我现在开始觉得我该把玩原神的重心多放在探索和剧情上一些，怎么说呢米哈游不完美策划脑子有问题是事实有时美工也拉胯但他们在进步，不说了我可以在闲鱼下去坚持到1.5，希望米哈游把层岩巨渊做的更好让腾讯这些辣鸡公司知道中国人并不是只喜欢玩换皮游戏[OK]"
