"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"远战无弱者","保密","福建","473945175","5","","10000","6513","","简单介绍一下视频中出现的老师,苑迪萌，目前应该是接手了原神音乐总负责人，和陈老师一样出身上海音乐学院，加入hoyomix之前隶属于陈致逸音乐工作室，后面和陈老师一块加入hoyomix。早期主要负责版本PV和角色演示PV的编曲，从1.5版本开始独立作曲，创作了包括但不限于优菈、万叶、绫华、宵宫、心海、绫人的演示曲子，2.4版本开始独立做大世界曲子和战斗音乐，个人很喜欢他的鲸波鼍浪、花与剑的轮舞这两首战斗曲,姜以君，大概是稻妻版本加入的作曲老师，最出名的曲子主要是蟹黄堡战斗曲和阿佩普周本曲，负责了目前唯一一首不是陈致逸老师作曲的周本音乐。早期去崩坏三做了两首曲子后转到原神项目去了,赵鑫，应该也是和姜同时期加入，主要负责大世界环境音乐和角色演示PV的创作，个人很喜欢他的柯莱和托马演示,丁谦，同上。应该是一位比较年轻的老师，小提琴出身却写了不少吉他相关的曲子。印象深刻的主要有阿如村吉他曲、斯露莎的歌、死域战斗曲,陈子敏，须弥版本时期加入，曲风以硬核古典为主，沫芒宫的赋格就是他写的,车子玉，这位崩坏三的老舰长应该不陌生了，现如今负责原神大部分人声吟唱（甘露花海、枫丹水下）"
"一失孤","保密","辽宁","275876951","4","","10000","3504","","“经过讨论后，我们认为足迹的主旋律和愚人众区分不明显，因此最终决定把这段旋律给到仆人。”一句话，就可以终结许多可笑和无谓的争吵，现在看来多么可笑。"
"Chynna_DY","保密","江苏","195069913","6","茶啊二中","10000","1303","","有些人真的不要再说一些什么如果陈老师在是不是会更怎样怎样的话了，不觉得这样不管是对陈老还是对其他老师来说都非常不尊重嘛[辣眼睛]"
"狡猾的波加曼","男","加拿大","9216090","6","","10000","3230","","看到很多说枫丹音乐质量下滑的言论。你可以说某个音乐你不喜欢，因为喜不喜欢这是主观的，但是在评价音乐客观好坏之前请先审视一下自己的音乐造诣，你有没有资格去下这个判断。"
"冠世一战","男","未知","44176418","6","言和7th生日纪念","10000","2937","","顶我上去。陈老师离职是去追求自己作为独立音乐人的梦想了。而hoyo-mix也鼓励员工去别的地方发展，没有和他要任何违约金。音乐团队的其他作曲老师也都和陈老..."
"danphnepeng","保密","山东","28002899","4","","10000","2592","","剧情中最引起我共鸣的一句话呜呜呜"
"神里绫华の女友","男","安徽","249477052","5","原神","10000","1715","8","枫丹主题曲是苑迪萌老师写的！陈老师离开后，hoyomix团队的作品依然令人安心！[打call]"
"最伟大的你","男","山东","114537326","6","原神","10000","1669","","这次枫丹ost，含 “陈”量几乎为零，有两首署名的还是很早之前就定的愚人众旋律，可以说hoyomix没有陈一样很优秀，陈老师走了固然可惜，但天底下没有不散的宴席，追求个人的突破和发展是不可能把自己锁在一个地方的"
"幸黄昏至拂晓","男","河南","357835968","5","","10000","1538","","新机制治好了肝病"
"社会废人-没摩拉克斯","保密","江苏","646130989","5","","10000","1321","4","玻璃琴是美国著名的科学家、社会活动家、音乐家富兰克林发明的一种乐器，于1761年问世，以意大利文命名为Armonica。富兰克林将发声的单体由高脚杯改为底端有套接孔的碗状玻璃，由大到小依序串接后横卧于琴架，以脚踏板驱动的传动轴上（类似老式缝纫机）；演奏者坐在乐器后方，边踩着踏板，以沾湿的手指碰触玻璃碗的边缘，即可发出如杯琴般的声音。"
"人形自走茉香奶绿","女","山东","106341683","6","崩坏：星穹铁道","10000","1221","","我来听音乐会了[脱单doge][脱单doge]"
"mru5575","保密","河南","269275403","4","","10000","1064","","这就是正义吗，回答我，那维莱特"
"兰蓝溪","男","江西","333063340","5","","10000","1060","","时间真快，转眼又过生日了"
"丨丿","女","中国澳门","10157037","5","","10000","818","","所以有些人尊重陈老师的同时能不能也尊重一下其他老师，地球离了谁不能转，原音乐也不是全部曲他个人写的[保卫萝卜_问号]"
"辛际拉奈","保密","马来西亚","4740643","6","#EveOneCat!","10000","749","18","很喜欢旅行者的一句话："
"改名真的能中奖呀","保密","江西","1792605","6","","10000","689","","须弥时期的苑老师[吃瓜]，少了劳模陈老师，苑老师压力山大啊"
"语核","保密","北京","3493130724706733","4","","10000","681","","打开这期视频，手里的炸鸡和可乐突然变成了牛排和红酒是怎么回事"
"超级凶直立猫","男","广西","39489569","6","星座系列：天蝎座","10000","178","9","祝,B友和自己生日快乐[脱单doge]"
"喜欢数码的陈同学","男","广东","337279814","6","萌宠小狗","10000","153","","有没有和我一样最爱这一首的，开头的电吉他如梦似幻，就像是回到了暑假刚开始的时候[百变星瞳_好好好]"
"心境丶淡雅","男","山东","43645203","6","灵笼","10000","272","","有个小小的问题，很多“网友”说感受到陈老师不参与编曲以后的曲风变化，是真的感受到变化了吗，还是先知道编曲人员变化才“恍然大悟”感到曲风变化的呢[doge]"
"采玉よ","女","广东","108157042","6","原神","10000","1215","","一首首听下来，直到注意到这首配乐名字《Ebb And Flow》的时候，我就知道！我就知道！！车老师在创作水下世界bgm的时候，一定看过且借鉴了《来自风平浪静的明天》！因为这就是这部番同名的主题曲啊！！！双厨狂喜！这配乐带来的的既视感，太符合我对水下世界的幻想和期待了！"
