"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"素和每天转发但不中QAQ","女","贵州","12525453","6","不思议之旅","10000","25641","12","我靠，没想到莱欧斯利的pv居然拍的是人性化执法……一瞬间幻视好多新闻[笑哭]"
"吃甜軟糖兒1_30-1-0","保密","广东","447385326","6","","10000","19165","","摩拉克斯，若有缘，他日必将在枫丹再会[doge]"
"流动小黄旗管理员","女","甘肃","514792179","4","","10000","15749","","爱是最温暖的东西，但对你来说亦是刑罚。这句话好残忍啊[微笑][微笑][微笑][微笑]"
"可靠的59","男","河南","477938553","5","","10000","16669","","“相较于我的某种意义上的同僚使用法器，我觉得他更应该使用双手剑，毕竟监狱里有不听话的犯人，需要他以理服人。”,          须弥的大风纪官如是说道"
"路过被踢一脚的狗","保密","北京","76027188","5","橘猫挂件","10000","10487","","很有现实生活中警察的既视感，有时候为了避免家人害怕都是穿便衣去，以一种温和的方式将人带出来，同时这种犯人照顾家人也会很配合"
"___Achilles","保密","吉林","353519212","6","","10000","25091","","除了惊为天人的外貌和身材，莱欧斯利的人设也非常有趣。通过主线剧情和那维莱特的语音评价我们知道，莱欧斯利这个典狱长的位置是他从一个犯人的身份一步步经营得到的。但是在经历过拳技场的磨练，莱欧的心性却比其日益强健的体魄要更加沉淀，再加上剧情前期其他人物的侧面描写以及初入梅堡时的压抑气氛，很容易让人联想到一个气场强大且威严的硬汉形象。而随后莱欧出场给了我们一个盛情接待，缓解了压抑的同时让人对其印象变成：原来莱欧斯利还是很好说话的，但也对其城府之深产生了疑问。在后续剧情得知主角团的一切努力都在莱欧斯利的掌握之中的时候，又会让人不自觉把莱欧斯利放到与自己对立的立场中去，这里又是第二次铺垫，因为之后的剧情又解释了莱欧斯利的所做所为都是在帮助主角团且保护他们。这时我们对莱欧斯利的好感度达到了二次顶点。紧接着讲述莱欧斯利为了抵抗天灾所做的努力，以及禁区胎海水爆发时其奋不顾身的形象（虽然没有明说莱欧身世，但也许莱欧就是可溶性极强的枫丹人），关闭闸门时的胆识与魄力等等细节，这才基本完成了对莱欧斯利这个角色的塑造，可谓一波三折又自然流畅。搭配上莱欧斯利比较出圈的配音演绎（刘北辰老师永远的神），几个顽趣戏谑的语气词把莱欧斯利的人设中和的几乎完美，再加上莱欧斯利本身充满力量感的壮实建模，让其身影时常穿梭于各大mmd之中，其超爱喝茶、与其他人物的开玩笑式互动等也给了二创区不少灵感。所以我觉得莱欧斯利的人设真的很成功很撩人|ω｀)（今天当一次正经莱厨，好朋友们莫要拆穿…心虚且不敢对视）"
"来继续喷","男","安徽","1642829618","5","","10000","17611","7","看到这条莱欧斯利必出[脱单doge]"
"凯凯是莱欧斯利的狗","保密","上海","387452660","6","","10000","13896","","众所周知，梅洛彼得堡并不隶属于枫丹司法体系，因为梅洛彼得堡是莱欧“私立”的[doge]"
"我太正经了怎么办","男","上海","2122911627","5","","10000","11275","","蒙德的落落莓最后会掉落到哪里？答案是枫丹。因为那里有“莓落”彼得堡[脱单doge]"
"雪辰沙","保密","广东","352751792","5","","10000","6645","","莱欧斯利应该会非常喜欢这个新装备[doge][doge]"
