"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"羽尘PPS","保密","无IP","15462012","6","","10000","12892","","申鹤：,修为达到足够境界后，打坐的姿势就不再拘泥，哪怕站立着都能打坐..我还远远不够。,,甘雨：,*站着睡觉*"
"可食用湘江茉莉茶","保密","无IP","142347589","6","","10000","4446","","别慌，这不是米忽悠发早了，其实是大家一起时间穿越了，很快就会有人来清理里的记忆，所以大家一定要小心，遇到奇怪的人一定"
"菊家鹅","保密","无IP","393628849","5","","10000","12597","","一想到明天就可以抽申鹤，好激动啊，但是明天考试，心情瞬间不好了，考不好挂科[笑哭]，又激动，又害怕，还有，抽卡我是小保底别歪了啊，好兄弟们，祝福我吧[星星眼]"
"微山Welt","保密","无IP","441580838","5","","10000","10746","","霜(shuang)羽(yu)翩(pian)翾，怕你们不认识[傲娇]"
"残月d","男","无IP","21971290","6","","10000","3038","","接下来向我们走来的就是重云姨丈队[害羞]"
"一般看戏西红柿","女","无IP","24832137","6","大理寺日志","10000","2364","","好耶"
"清云翊rprpr","男","无IP","348019645","6","","10000","2877","","新玩家们别慌，让我们老玩家先慌,好家伙我今天刚放假，结果米哈游的员工看起来也和马上就要放假跑路了一样"
"燊丶丶丶","保密","无IP","151116840","5","明日方舟音律系列","10000","1439","","看完pv,打开游戏,点开角色界面,点击重云,查看角色语音（完成？？？剧情）[doge]"
"楠呱一定要吃饱啊","保密","无IP","175517454","5","","10000","6537","","我！实！在！是！等！不！了！了！"
"末鸢丶丶","男","无IP","156864468","6","初音未来13周年","10000","1900","","发生甚么事了，为什么今天就发了"
"wzd帅","保密","无IP","1275697921","4","","10000","242","","按照演示的效果来看好像可以进融甘替钟离，不过钟离可以提供护盾，如果换成申鹤的话无疑更吃操作了[思考]，当前的深渊环境永冻真的很难受，因为目前永冻队的拐给的加成不足，而且永冻也是缺球大户，目前我可以脑补出以下两个阵容，行神鹤猫，甘香班鹤，不知道各位还有什么想法[思考]"
"史官-霂颉","男","无IP","424495024","5","洛天依9th生日纪念","10000","937","","看申鹤的拾枝杂谈，弹幕突然有一句“小姨妈，我遭国家队开除咯！”属实是给我整的蚌埠住了，经典台词了属于是[笑哭]"
"Erzax","保密","无IP","7263545","6","","10000","1951","","原宝你是手滑忘记设定发布时间了吧[藏狐]"
"乐故我","男","无IP","661982655","5","","10000","179","10","看到申鹤想到小姨妈，看到小姨妈想到爱情公寓吕子乔喊唐悠悠，然后想到操着一口四川话的申鹤[笑哭]"
"輝く夢の星辰","男","无IP","28939273","6","","10000","167","","就只有我看到了帝君在这里面的定位是冰C吗  重云负责给帝君冰附魔，申鹤负责给附魔后的帝君增伤减抗[原神_喝茶][原神_喝茶]"
"羊羊antelope","男","无IP","341720110","5","","10000","24","","满意度调查自填部分：,稻妻的新怪物（漂浮灵、流血狗、付野众）缺少让玩家【见招拆招】的互动机制。基本只是玩家在单方面躲技能。,看蒙德、璃月：持盾QQ人会因为被玩家召唤物勾引而漏背。狂风之核被打断技能会坠落地面。遗迹守卫被打眼睛会瘫痪。幼岩龙蜥撞盾会跌倒。,玩家们希望：,1，漂浮灵应当自带其属性的元素附着。,2，漂浮灵应该新增 “在某种情况下被击中，会坠落地面” 的机制。,3，流血狗应该新增 “在某种情况下被击中，会坠落地面” 的机制。,4，付野众应该补充能够被玩家拆招的机制。比如：“在付野众释放格挡，或者蓄力放技能时，如果被玩家从背后用大伤害击中，会原地跌倒”的机制。,我们介意的并不是怪厉害，而是介意没有有趣的拆招机制，如果全都是玩家在单方面躲技能，实在很无趣。[星星眼]"
"MoonCraft_氷","男","无IP","180204271","6","Kizuna AI","10000","397","","沉了[辣眼睛]为了等申鹤刷了两个月的剿灭，140多个心智魔方抽下去歪个爱莉希雅[辣眼睛]"
"北方有凌遥","女","无IP","586502198","5","","10000","37","","关于原神改皮的一些感想,我虽然只氪了2w，但是mhy，请你知道，我是真心爱着原神这款游戏，里面的每一个角色，都是由你们的美工，设计师，在不知几个昼夜下诞生的，我也理解你们的无奈，不管是因为什么原因，结果都是角色需要修改，我觉得当你们收到通知，要大改角色的时候，是不是内心是崩溃的，当这些角色的爸爸妈妈们，没错就是你们原神的美工组，你们的内心是否痛苦，有过悸动。我虽然不是角色设计师，但是我是在学时装设计的学生，我换位思考，我觉得我的内心是无比痛苦的，自己的女儿要被改，问题是她们并不是真正的se情，我觉得原神大部分角色的衣服都只能凸显他们的帅气，美，可爱，以及带给的灵动感，庄严感，成熟感。服装也是角色的灵魂之一啊，再者服装的作用就是体现美，提升对美的鉴赏，为什么旗袍很美，因为她的设计可以体现女性的知性魅力，dior的时装为什么世界顶尖，因为他将女性的线条的美体现的淋漓尽致。,我觉得你们设计的衣服，就是能体现这些美，突出这些美的。我真的很喜欢你们所设计的衣服，融合了古，今，中，外，以及各不同元素，将他们平衡，再创作出来。优秀的美是能让人提神自己的审美的，你们所设计的角色就是能提升审美的！我相信你们有这个自信吧！这也是我一个学生党为什么愿意花1千块钱去买你一个角色（有的时候还不够）说句好笑的一件普通的晚礼服我觉得大都比琴和安柏漏光的要多。"
"Billow鹤皇_韵韵子","女","无IP","10802109","6","","10000","1056","","？？？？"
"拿起餐巾之人","男","无IP","262764580","6","","10000","1108","","申鹤：“孩子，来，壮大冰系队，我辈义不容辞”,重云：“不，谢谢这位小姐，我已经和内，啊不芭芭拉小姐说好了要组队挂冰的。”,申鹤：“不，孩子，我的意思是，壮大我们的家族产业……”,重云：“（背景罐头音效），nuo，nuo gu say yo？”,申鹤：“I'm your little aunt！”,重云：“NO！！！！！！！”"
"WestArashi","男","无IP","8311342","6","","10000","251","","米哈游自由的令人害怕"
"Erzax","保密","无IP","7263545","6","","10000","1951","","原宝你是手滑忘记设定发布时间了吧[藏狐]"
"账号已注销","保密","无IP","36569356","0","","5000","194","","兄弟们祝我出申鹤！角色池子已经大保底了，武器池子刚出淞籁，120发角色加专武的话，我tm直接女装直播帮你们凹深渊！给我冲！[大笑]"
"明日花緒","保密","无IP","4520149","6","2020拜年祭（鼠）","10000","450","","原宝最近发动态也好视频也好都好像提前了不少，应该是一盘大棋（错乱"
"林中之姜","男","无IP","456124901","6","","10000","191","12","知道明天大家要开荒，提前把杂谈做好发出来的戴因是鉴"
"十二月三日晚","女","无IP","16505308","6","","10000","885","","好耶"
"身缚心不羁","男","无IP","274742037","5","","10000","184","","啊？人还没出就放拾枝杂谈？这波戴因自己当内鬼是吧[doge]"
"MoonCraft_氷","男","无IP","180204271","6","Kizuna AI","10000","397","","沉了[辣眼睛]为了等申鹤刷了两个月的剿灭，140多个心智魔方抽下去歪个爱莉希雅[辣眼睛]"
"小提夫人不吃辣","保密","无IP","26082338","6","择天记","10000","119","","问凯亚为什么没满命的，因为凯亚有一命在当旁白[OK]"
"叶火的琉璃","男","无IP","32010763","6","花园Serena","10000","682","","好耶！"
"夜半姝华","女","无IP","4773119","6","格兰芬多","10000","126","","跟我说实话，你是不是记错开池子时间了"
"拿起餐巾之人","男","无IP","262764580","6","","10000","1108","","申鹤：“孩子，来，壮大冰系队，我辈义不容辞”,重云：“不，谢谢这位小姐，我已经和内，啊不芭芭拉小姐说好了要组队挂冰的。”,申鹤：“不，孩子，我的意思是，壮大我们的家族产业……”,重云：“（背景罐头音效），nuo，nuo gu say yo？”,申鹤：“I'm your little aunt！”,重云：“NO！！！！！！！”"
"易晓羽","女","无IP","57115246","6","","10000","136","","？？？"
"靠南不想剪了","男","无IP","660902118","6","","10000","429","","用我十年大保底换各位都能单抽申鹤[脱单doge]"
"昩詻","男","无IP","8286214","6","","10000","96","","蚌埠住了，下面第一个相关视频就是不建议抽申鹤[原神_喝茶]"
"史官-霂颉","男","无IP","424495024","5","洛天依9th生日纪念","10000","937","","看申鹤的拾枝杂谈，弹幕突然有一句“小姨妈，我遭国家队开除咯！”属实是给我整的蚌埠住了，经典台词了属于是[笑哭]"
"艾尔海森我是你的老婆","保密","无IP","26955982","5","","10000","432","","没有人，嘿嘿我是申鹤的狗[喜欢][喜欢][喜欢][喜欢]"
"wzd帅","保密","无IP","1275697921","4","","10000","242","","按照演示的效果来看好像可以进融甘替钟离，不过钟离可以提供护盾，如果换成申鹤的话无疑更吃操作了[思考]，当前的深渊环境永冻真的很难受，因为目前永冻队的拐给的加成不足，而且永冻也是缺球大户，目前我可以脑补出以下两个阵容，行神鹤猫，甘香班鹤，不知道各位还有什么想法[思考]"
"Fox_orz","男","无IP","36019374","6","地中海","10000","94","","好耶"
"輝く夢の星辰","男","无IP","28939273","6","","10000","167","","就只有我看到了帝君在这里面的定位是冰C吗  重云负责给帝君冰附魔，申鹤负责给附魔后的帝君增伤减抗[原神_喝茶][原神_喝茶]"
"有栖澪","保密","无IP","93576788","5","","10000","122","","点赞过100写一篇申鹤同人，中国人不骗中国人（反正不可能有人点赞！）"
"乐故我","男","无IP","661982655","5","","10000","179","10","看到申鹤想到小姨妈，看到小姨妈想到爱情公寓吕子乔喊唐悠悠，然后想到操着一口四川话的申鹤[笑哭]"
"甜蜜小波","保密","无IP","401615541","5","良辰美景·不问天","10000","155","","申鹤，为了你 我变成狼人摸样 为了你 染上了疯狂 为了你 穿上厚厚的伪装 为了你 换了心肠 我们还能不能再见面 我在佛前苦苦求了几千年 愿意用几世 换我们一世情缘 希望可以感动上天 我们还能不能能不能再见面 我在佛前苦苦求了几千年 但我在踏过这座奈何桥之前 让我再吻一吻你的脸"
"啊哦嗯嘿","保密","无IP","434633298","5","","10000","527","9","文化水平低[捂眼]每次璃月角色都能带来不认识的字"
"Billow鹤皇_韵韵子","女","无IP","10802109","6","","10000","1056","","？？？？"
"有点小小小小困","男","无IP","8549608","5","","10000","275","","好耶"
"潭映","保密","无IP","12179012","5","","10000","380","","朱鹮（huán），甄嬛（huán），惨绝人寰（huán）。所以霜羽翩翾怎么读大家知道吗？来跟我念，霜·羽·翩·翾（xuān）[脱单doge]"
"鲜丰水果官方","保密","无IP","519528064","6","","10000","267","","自我介绍一下，在下就是重云的小姨夫[脱单doge][脱单doge]"
"五辻岚双叶","保密","无IP","2065147103","4","","10000","34","","今天给琴 罗莎莉亚 安伯 莫娜加布料，明天可能就是甘雨    心海 艾咪 申鹤"
"一只扁扁的河豚","保密","无IP","325871025","6","","10000","331","10","运营脸滚键盘发错了[doge]"
"洛影苍崖","女","无IP","109395891","6","","10000","64","","哇"
"霜迁さま","保密","无IP","7417276","6","","10000","261","","？？？你是不是搞错时间了，看你挺急的，今天就更新吧[doge]"
