"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"金戈铁马o","保密","无IP","424523037","5","","10000","16772","","玩家视角：阿贝多优雅地写生。阿贝多视角：严寒值已达到满格，正持续失去生命值"
"大咸鱼凌空酱","保密","无IP","14151875","6","","10000","2200","","各位旅行者又是我！继续谈谈几首ep[2233娘_大笑],3首雪山的曲子，雪山的曲子有一个共通的特点就是干净，也就是白色的曲子。这使得整体听起来特别清晰明朗（也很冷）,第一首冰风的独舞，曲子风格都给你写名字上了，从开始到结束都是管乐在下面以一个节奏在演奏，上面不断地垫着弦乐，一层一层的跟着管乐走，轻轻地附和，一个又一个事情过去而自己却依旧如此，大概是雪山对雪山发生的事的观察感吧,第二首雪国的终曲，叠叠乐。最开始是弦乐叠加，发展，但又一下停住了，变成了飘在空中孤独的长笛，下面有个呜呜咽咽的管乐在诉说着事情的沉重。一听就挺悲伤的,最后，银白的希望这曲子在雪山ost视频记忆犹新，钢琴是陈老师弹的，最大的感受就是温柔，每一个音都很轻，像是羽毛拂过的感觉。这次的长笛有了一下一下的大提琴符合，随后还加入了马林巴的清脆声音，又有声音很小但是演奏着主旋律的管乐。与前一个长笛的孤单形成强烈的对比，非常的温暖。,学神的曲子意境真的是特别深，简单干净但令人能身临其境，真的写的太好了。猜猜这时候我会说什么？[脱单doge]"
"暮竹铃","保密","无IP","510959218","5","","10000","5054","","原宝，你这新圣遗物出货率挺高呀，就是两套圣遗物的权重是不是设反了，海染全是防御双暴，梦醒全是治疗生命，希望你别不识好歹改一下[doge]"
"红魔游戏手机","保密","无IP","427487966","6","","10000","3605","","阿贝多实装摸头这个待机动作的话我能看一整天[大哭]"
"鲜丰水果官方","保密","无IP","519528064","6","","10000","2406","","阿贝多已出，只是为什么我的阿贝多是紫色头发，还喊着斩尽牛杂[囧][囧]"
"一块很小很小的月亮","保密","无IP","344195282","5","阿萨Aza","10000","5383","","从那次风波熬过来的贝厨终于能看到视频里大家都专注于贝贝，哭了，贝贝以前三个视频都有我的厨向热评，我好爱他[大哭][大哭][大哭]"
"玉衡星-我的妻","男","无IP","271611679","6","","10000","2810","","谢邀，请的是炼金术师，来的是占星术师[大哭][大哭][大哭]"
"躲在天台的小汤圆","保密","无IP","28281542","6","乃琳Queen","10000","1684","","以后视频再放这种游戏里没有的动作我就要闹pv欺诈了，赶紧给我实装[傲娇]"
"弦大白","女","无IP","22839066","6","","10000","251","","啊啊啊啊，今天活动的阿贝多，他的表现真的让我更喜欢他了！！！,遇到突发情况，不会慌张，先查看情况，再有条不紊的处理问题。被人莫名其妙的质疑的时候，也不会很生气或者很委屈烦躁，会一点一点陈述自己的分析，很平静地去说服质疑自己的人。他一直一直都好温柔，他还跟我说了他的秘密【虽然我早就知道了鹅鹅鹅】，他还说不会骗我。wwwwww真的太爱了。"
"愿群星链接自我","保密","无IP","399222433","5","","10000","156","","阿贝多真的好帅！他的笑容真的非常迷人！而且她竟然可以同时用四种武器！还会飞！还有她大招说的那句“扭转万象”配上拉动屏幕的特效真的是燃爆了！wow!其他角色都弱爆了![星星眼][星星眼][星星眼],（玩梗而已，我上次就抽到阿贝多了）"
"-Argenti-","女","无IP","34607069","6","崩坏：星穹铁道","10000","273","9","麻烦大家发言的时候稍微考虑一下阿贝多厨的想法吧，搞不懂为什么厨子这么敏感的可以去看看阿贝多的pv和角色演示以及拾枝杂谈的评论区，这个ep可能是阿贝多相关视频唯一一个评论区能看的了。"
"青枫江上孤舟客","女","无IP","520269","6","2233幻星集","10000","248","","阿贝多：其实我是人造人，和杜林是兄弟,我：就这就这，有没有更劲爆的，这个我早知道了[妙啊]"
"夏梦安美","保密","无IP","454909386","6","原神","10000","266","","当时是谁在前瞻直播动态下面说的这四个角色从左到右分别是：新五星角色，新四星角色，复刻五星角色，你实际抽到的角色。我阿贝多还真就是西风骑士的团长[大哭][大哭][大哭]"
"千夜です","保密","无IP","11398396","6","","10000","924","","爷去蒙德 风神之心没了  ,爷去璃月 岩神之心没了,爷去稻妻 雷神之心没了,灾星竟是爷自己"
"异世界转生指定货车","男","无IP","11866310","6","明日方舟","10000","175","","有一个角色，男性、少年、单手剑、长外套、两把专属剑、一把暗色一把亮色、知道很多关于世界的东西、有个妹妹、有个绿毛妹子,你说有没有可能，我说可能哦，这个人是桐人[辣眼睛]"
"艾饺奥迪托雷","保密","无IP","392152264","6","格兰芬多","10000","283","6","光看视频完全看不出来阿贝多是岩属性角色，这气质就跟雪域王爵一样"
"BIOODSTREAM","男","无IP","362903764","5","","10000","23","","圣遗物中理之冠，时之沙主词条概率能不能公布一下，我不求什么副词条 我现在只求主词条。,理之冠（生，防，攻，暴击，爆伤，治疗）双爆概率如果是平坦加一下总得有三分之一吧，生命，防御一直出就离谱。,时之沙同理，空之杯我不妄想什么元素杯了，这两个概率请给玩家公布一下！[微笑]"
