"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"上班摸咸鱼","保密","四川","23341165","5","","10000","1513","","教令院：我们应该给赛诺一个有别于其他风纪官的职位，来进行区分。,赛诺：那我要叫大风纪官。,教令院：？,赛诺：因为大风纪官这个名字，有逼格（big） , ——大风纪官冷笑话精选[脱单doge]"
"先驱的觉者","男","河南","181890182","6","","10000","7656","","沙海奇遇阿如村的孩子,远行,消失的孩子,绿洲的苗圃,镇灵的世界,沙中小调,通往沙丘的小调沙尘扬起的小调揭示蜃楼的小调黄沙供书,黄沙供书（接取任务）,黄沙供书．初篇．上篇．中篇．下篇,不祥具书,不祥具书（接取任务）,不祥具书．初篇．上篇．中篇．下篇邪道炬书,邪道炬书（接取任务）,邪道炬书．初篇．上篇．中篇．下篇赤王之梦,为了更好的别离,忧愁节,干涸的苗圃,最终，沙漠会忘记一切"
"同葬深洋之梦","女","海南","15647547","6","精灵王","10000","1795","","现在就车赛诺强度不高的 我建议你们先别急,哪怕在大世界配个赛诺柯莱芭芭拉97的队伍试一下,都不至于滑坡到车赛诺是大雷泽[藏狐],水草雷可爽了"
"只因派蒙","保密","浙江","341961130","4","崩坏：星穹铁道","10000","475","","祈愿一号   1/1,绝境：锁定技，你跳过获得缘阶段，你的相遇之缘和纠缠之缘始终为4,缘魂：你可以将一至两个颜色相同的缘按下列规则使用或打出：粉球当【纠缠之缘】，蓝色当【相遇之缘】，若你以此法使用两颗粉色球，则此球获得角色或武器数量+1;若你以此法使用两颗蓝色球，则你获得当前祈愿中的一名角色,斩将：锁定技，回合开始阶段，你定轨武器祈愿里的【up武器】，你的技能和相遇或纠缠之缘无法被封锁"
"Moonlullaby","保密","湖北","1722563299","5","","10000","4875","","过了剧情表示赛诺正常说话并不像魈，pv里可能某些发音的音色像，但是实机整体听起来没有给我魈×2的感觉，也没有觉得压着嗓子什么的……对中配严格要求没什么不好，但是建议听完整体剧情再下定论比较好(只是建议，不是好为人师)。真的莫名想到了烟绯pv，日配明明不贴脸但反而找补的人很多。"
"绮良良盒","保密","山东","199428269","6","","10000","970","","旅行者，能力为四元素转换，拥有精密的剑术和豪迈的力量,艾尔海森，能力为说风凉话，拥有可以在任何情况下都坐下看书的能力,赛诺，能力为沙漠死神，拥有最强的七圣召唤牌技和冷笑话合集,迪希雅，能力为劝架降临，能在任何冲突即将爆发的时候出来劝架，以及在打架的时候找不到人影,好！出发！推翻教令院！"
"柯安_Koan","保密","北京","488801875","5","","10000","6242","","原宝我谢谢你。更新开门大保底拿走赛诺，玩到晚上了赛诺还卡在40级[无语]这屎壳郎到底甜美的在哪"
"你要吃秋刀鱼吗","女","广东","145250075","5","","10000","1132","","第一次真真切切感受到非欧的参差[大哭][大哭]朋友不到150抽两个赛诺三把专武一把终末，看到这个消息我真的破大防，我一直觉得小保底不歪就是欧，勤勤恳恳锄大地攒原石，up角色没有一个是70抽内出的，甚至大保底160+。是不是建号就已经注定了号的非欧啊？突然没有了一种氪金的欲望，非酋真的不想再氪金了"
"爱挖洞的Simon","男","辽宁","17367283","6","碧蓝之海","10000","2680","","做主线刚做了个开头，和前几个神明相比，草神的权能是不是有点渗人啊。当然，教令院和博士更渗人。[捂脸]"
"-零童-","男","安徽","39204632","6","","10000","972","","这一天，在须弥许久的旅行者久违的回到了其他国家，找凯瑟琳领了20原石[脱单doge]"
"木子きご","女","江西","2140551","6","","10000","1553","10","做了须弥新主线，做二创的时候，我才知道，小草神，是真的爱她的子民[大哭][大哭][大哭]"
