"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"顾准格式_official","男","无IP","299695015","6","拳皇","10000","11938","","瓦达西又来指路了[doge],00:8 开场白,02:25 新版本pv,06:00 枫原万叶（我老公）,10:55 1.6卡池,11:24 新武器,11:43 魔偶剑鬼,13:34 魔神任务,18:23 盛夏！海岛？大冒险！,24:25 芭芭拉和琴的皮肤,24:50 回声轻叙,25:47 碰碰魔球总动员,27:25 无尽骤战,28:40 风来人剑斗奇谭,29:50 系统优化内容,31:09 角色入住尘歌壶（好耶！）,32:43 彩蛋（新の大饼）"
"觉浅--","保密","无IP","25821143","6","","10000","6532","","风系不是这个游戏的全…,,md, 风系就是这个游戏的全部！！(震声)"
"在下醉轩","男","无IP","102482206","5","原神","10000","8997","","你们有的人想看女泳装，有的人想看男泳装，有的人想要白嫖皮肤，有的人在展望未来，没有人注意到这局龙哥不见了，你什么都不在乎，你 只 在 乎 你 自 己.jpg[原神_哦]"
"账号已注销","保密","无IP","1489302160","0","","5000","37480","","要看钟离泳装的人数“我不想看，我只是负责统计[doge]”,↓"
"仙逸川","保密","无IP","5241860","6","","10000","7621","","麻烦转告隔壁原魔项目组：我想看坨子哥泳装"
"FurinatheGreat","保密","无IP","24463753","6","","10000","7349","","商店的皮肤才是最便宜的，翻牌抽奖才是真恶心"
"-邶枫-","男","无IP","168614395","6","Akie秋绘璀璨星辰","10000","5584","9","枫原万叶,藤原千花,神农百草,[抠鼻][抠鼻][抠鼻]"
"空留余梦折佳辰","保密","无IP","9604702","6","","10000","22277","","↓      一发出万叶的帅批"
"-时流-","男","无IP","186815022","6","","10000","7891","9","你们原神会不会赚钱啊？都复刻可莉了不给她准备一套泳装？"
"账号已注销","保密","无IP","7845938","0","","5000","10331","1","带皮肤节奏的人呢？人呢？就因为你们这个游戏适龄又涨了三岁！！三岁啊！！！！！"
"-_逆世影夜之幻侵__-_","女","无IP","54313292","6","","10000","16253","9","我一人血书有生之年我倒是希望原神直接17+，本来深度玩原神的人年龄段不都大部分在高中以上吗？我需要优秀的剧情表现力和内涵深度，艺术不应被9+限制。,不是说必须每次都要有深度，欢乐完全可以啊，但我绝对不想再老看9+幼稚的剧情了，不必再因为年龄限制而把“黑暗”的剧情全部藏着掖着混进地图武器和书籍里，有些打打杀杀都特地隐晦掉之类，甚至因为年龄限制直接被限制了剧情脑回路，这对于建造一个真实的世界或是艺术方面根本不值得。年龄限制高一点，这些都可以适当的搬到表面上来，优秀的剧情本就是有光明又有黑暗，强大的表现力和深度给人以真实感甚至反思，这可以使原神的质量更上一层楼，给人以真实的世界感，但也不要把我的想法极端化，我不是说要搞什么无脑黑深残，血腥暴力什么的。,在我心里原神本就应当是如此的世界，可欢乐可内涵，而且这种优秀的剧情也是能吸引更多的人吧？[跪了]"
"自然天辰","男","无IP","260966307","5","","10000","4490","","啥？衣服要花钱买的？那我能把所有的衣服都退了吗？不退款也没关系[doge]"
"DourenJun","保密","无IP","66560708","6","","10000","4102","10","好家伙，我第一次见到年龄限制还能长得游戏[喜极而泣]快进到18+[doge]"
"暮色伏城","男","无IP","13019036","6","星座系列：金牛座","10000","3413","","突然发现，是特瓦林带琴和可莉去海边的，公龙私用实锤了[doge]"
"摩柯善法大吉祥智慧主","保密","无IP","81995806","6","","10000","2943","9","完了，家园乱的跟鬼一样[跪了]刻晴不会骂我吧"
"浮浅大大","男","无IP","38582362","6","明日方舟音律系列","10000","3374","","神里凌华：如果能有一人来改变稻妻现在的局面的话...,旅行者：懂了，我这就带两个神和4个仙人来找你，你等着我，这就把稻妻给你解放了[脱单doge]"
"不会起名真君_","保密","无IP","638374474","5","","10000","2325","","xdm，我们看哦，芭芭拉的皮肤在1.6结束后卖168，我们白女票后就是赚了168，我们那我们赚的168买琴的135皮肤，哎，我直接白女票两个皮肤，还倒赚33[doge][doge],我就是原神相对论大师[OK][OK][热词系列_芜湖起飞]"
"屑小荧","保密","无IP","50405728","5","还有醒着的么","10000","2803","9","我家园乱成那个鬼样，老婆们住进去不会抽我吧[囧][囧]"
"面包人114514号","保密","无IP","540081333","5","明日方舟-愚夜密函","10000","3730","","亲爱的原神，请把兑换吗时间延长，我一次没换上"
"I昊天I","男","无IP","527294049","5","","10000","3947","8","(转),看了这个前瞻直播我非常生气，MHY引以为傲的美工怎么这样？琴团长和芭芭拉都穿着泳装为了配合这个活动，可莉在这个任务中还穿的那么厚，不会中暑么？为了可莉的健康考虑与游戏的逻辑合理考虑，我认为必须尽快出可莉泳装。钱好商量,对了，刻晴的背景故事说刻晴走遍了璃月的每一寸土地，那么刻晴知道了这个海岛，敬业的她肯定要来考察一番的，因此刻晴的泳装也麻烦安排上。钱好商量,还有啊，丽莎的设定是喜欢摸鱼，她肯定也会来海岛度假，因此丽莎的泳装也应该安排上。钱好商量,别忘了，帝君现在在尘世闲游，他应该也会来海岛，缅怀他与深海魔神的战斗，帝君的泳装也安排下。钱不是问题,还有好多好多人。。。唉，算下来好多角色都有可能来海岛，没什么别的意思啊，完全是为了游戏设定合理性考虑哦"
"影剑zero","保密","无IP","289190245","5","","10000","11730","","今天见过最大笑话:琴的皮肤太贵了，一点都不给0氪玩家留活路。,,琴的皮肤价格问题先不讨论，到底是啥给了你信心，让你觉得零氪玩家可以应有尽有的...买断制游戏都还有付费人物LC呢..... -个给你免费玩游戏的还想什么东西都能白嫖，难道你要游戏公司为爱发电? ? ?衣服这东西又不加数值，纯厨力向的东西，买不买全看你自己，有想要有不舍得付出代价，不觉得想的有点太美好了吗..而且米哈游不是送了一件芭芭拉的衣服吗...."
