"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"D崧歷","保密","无IP","2886105","6","","10000","11153","","可莉的一天,早晨被琴带到图书馆学习，趁着琴没注意，溜掉了。,中午来到藏炸弹的地方，发现自己的宝藏被狗挖了出来，又被鸟带回窝里去了，忙了半天才取下来。,下午在星落湖炸鱼，收获不错，烤鱼时有只猫咪靠过来了，成为了好朋友，太阳下山时一起回去蒙德城。,晚上……在禁闭室补作业[doge]"
"柚子森桑与美美香","保密","无IP","327904462","5","","10000","36946","","可莉，哥哥真的有点事，先走了,,               ..,               ▂▄▄▓▄▄▂,          ◢◤ █████▄▄▄▄◢◤,          █ ╬,         ◥██████◤,           ══╩══╩══,,  ,          "
"l哦呼l","保密","无IP","355174775","6","","10000","12004","","对不一，我的壶太烂了[笑哭]，但是他们还是一个劲的夸我，好像找个洞钻进去啊[原神_吃惊]"
"璐主","保密","无IP","488173","6","","10000","17699","","原宝，马上600w了，该往邮件里放什么，不用我教了吧。,,↓邮件收到的纠缠之缘数"
"生活委员的账本","男","无IP","21861575","6","格兰芬多","10000","8523","","刚刚在玩剧情，芭芭拉对我眨了一下眼，哎呦，这一击有点猛啊，小心脏动了一下"
"Hina゛","保密","无IP","13668420","6","绯赤艾莉欧","10000","30364","","。      /         |     \,        /           |      \,      /             |       \,    /               |        \,  /                 |         \,/: 可莉泳装！|          \"
"喵喵了个咪蜜","保密","无IP","33960744","5","","10000","13961","","给官方提提意见：皮肤应该有专门的试用关卡"
"仅次_31","男","无IP","23839813","5","","10000","14365","","我承认我玩了20次可莉试玩关卡，始终觉得可莉手感差的很，攻速太慢，不太流畅。这根本不像个5星的样子，不值得我去为此氪金,. ,. ,. ,. ,. ,. ,. ,. ,. ,可莉：求求你啦！求求你啦求求你啦，荣誉骑士哥哥！[给心心],,648*n"
"第二机体适格者","保密","无IP","504819268","5","约战·狂三","10000","12619","","我现在明白可丽的流水为什么那么高了，捏马过剧情的时候可丽一撒娇我一个大老爷们像个蛆一样在床上扭[笑哭][笑哭][笑哭]"
"神明芭妮拉咕咕窝","保密","无IP","255485831","6","花园花玲头像框","10000","9243","","无论什么怎么她强不强，退不退环境，我都不会去抽的, , , , , ,因为我开服就满命了，哒哒哒了大半年还是那么可爱[给心心]"
"潍坊科技学院官方号","女","无IP","365669395","5","","10000","8951","","我有胡桃当火C就够了[微笑],后面还有神里等着我呢[OK],可莉腿短还老是把怪炸飞[翻白眼],这个池子4星也没什么好角色[呆],.,.,.,啦啦啦～,你哒哒哒也没用,[嗑瓜子],[狗子],[tv_坏笑],因为已经抽出来一年了[doge]"
"レロリア","保密","无IP","73824124","5","","10000","7212","","“泄漏出来的拆包的稻妻音乐都是未录音混音的Midi Demo小样，别去听，十分影响之后的游戏体验。”——by陈致逸老师"
"仮屋和奏我老婆","保密","无IP","11767122","5","明日方舟","10000","4161","","可莉是真的团宠，所有人都照顾她，甚至风神都为了她把特瓦林叫出来了[笑哭]"
"笑他年少爱忧愁","保密","无IP","90435842","5","","10000","4732","","[给心心]只有丽莎会叫爷小可爱，其他人只会叫旅行者"
"今天也是摸魚的一天","保密","无IP","335931929","5","原神","10000","3368","4","求求官方把签到鱼肉奖励一类的换成晶核"
"默二白","男","无IP","646805945","5","","10000","3584","","嘟嘟大魔王...这是我2018年玩明日之后的网名[辣眼睛]"
"盐鱼料理长","男","无IP","9318640","6","EveOneCat2","10000","5269","","可莉，炸鱼饿了吧？走，咱们吃饭！"
"行走的马赛克5","男","无IP","84860969","6","","10000","2339","","这就是基础好的好处，随便拍一段就是宣传片[doge]"
"KKOMDA","女","无IP","1740827542","6","","10000","1811","","InnocentAge无虑无猜的岁月,,作曲：Yu-PengChen陈致逸,乐队配器：Yu-PengChen陈致逸,乐队：ShanghaiSymphonyOrchestra上海交响乐团,指挥：JieminZhang张洁敏,录音棚：ShanghaiSymphonyHall上海交响乐团音乐厅,音乐监制：DongAn安栋,录音师：XiaoxingLu陆晓幸,声音工程师：DaleiFang房大磊,混音师：NickWollage,母带：JohnWebber,出品：HOYO-MiXwhat a music！[给心心]"
"司壹7997","保密","无IP","14143496","6","原神","10000","5235","9","打个商量，咱们的整活以后不要叫圣经，叫恩典怎么样[脱单doge]"
"SLV文","保密","无IP","299883607","6","","10000","775","","兄弟们，船的体力用完了马上下船，再上船，体力就又满了[OK]"
"匙豆子","保密","无IP","32296833","6","","10000","3308","","没人吹吹这音乐吗？最后那个无虑无猜的岁月音乐真的让我听出了对长大的向往和迷茫，还有对过往青春童年点滴的回忆，再配上一人一猫眺望远方镜头拉远[打call]我的脑里真的浮现了一些童年玩耍的时光，以为平平无奇的宣传却给我带来了感动，惊艳到了"
"I昊天I","男","无IP","527294049","5","","10000","1250","8","（复）,当代年轻人现状（完整版）：,睡眠状况：椰羊,工作量：团长,工作态度：罗莎莉亚,前途：女仆,运气：点赞哥,饭量：应急食品,酒量：温迪,身高：魈,体型：肉坨龙王,视力：烟绯,记性：七七,厨艺：胡桃,消费观：钟离,经济状况：莫娜,自信心：砂糖,自尊心：猫猫,表达能力：狼崽,脑洞：小艾咪,存在感：阿贝多,字：行秋,智商：戴因,作息：卢姥爷,身体状况：丽莎阿姨,社交：优菈,你的女神：刻晴,你的男神：公子,男神的女神：刻晴,女神的男神：公子,你：裤衩~我的啦！,你心中的偶像：芭芭拉,偶像心中的你：艾伯特,你眼中的老妈：北斗,老妈眼中的你：可莉,对自己的期望：艾琳,实际工作：王大锤,重要性：安柏,老板：凝光,开会的老板：天理,你眼中的老板：大伟丘,重开后社会地位：史莱姆,[歪嘴]|"
"姬剑双无v无双剑姬","保密","无IP","1139074410","3","","10000","2528","","钟离：我要点菜！,香菱：开锅了开锅了,甘雨：上盘花生,优菈：煎饼，断绝生抽,公子：破绽，烧冻鸡翅,刻晴：剑光如我，斩尽牛杂,阿贝多：此即，蛋蒸之刻,莫娜:天命鸡丁,胡桃：吃饱喝饱，一路走好！,[doge]"
"大咸鱼凌空酱","保密","无IP","14151875","6","","10000","782","","各位旅行者[2233娘_大笑]！咱动态之前就说是可莉ep来着，依旧不玩梗来讲讲这次的ep,前面两首 剪影和蹑布&呃，这可没想到 都是用到了类似音乐剧歌剧的叙事手法，用音乐表现出一个画面（可以参考下猫和老鼠的感觉，即使不看画面听到也就有感觉了），而且相当喜剧性（重点在于对管乐的应用哦）,第三首无虑无猜的岁月就回到了我们熟悉的蒙德风（没错还是钢琴长笛小提琴）曲子安静舒缓但绵延，很容易勾起人内心最深处最平淡却又最印象深刻的回忆,质量一如的高，也希望大家都能去认真听一听音乐，享受下陈致逸老师用音乐描绘的画面。陈致逸老师yyds！[热词系列_吹爆]"
"Amnesiac_","保密","无IP","7955991","6","","10000","1767","","发现一个彩蛋，新活动从海岛回来之后去骑士团办公室，凯亚会在那向你撒娇啊不是是向你抱怨骑士团的工作都扔给他了[脱单doge]"
"忍冬觉得你不对劲","男","无IP","243159365","6","","10000","829","","亲爱的原神。可以把浮标的单位体积碰撞去掉吗。我感觉我的船头要撞烂了。"
"账号已注销","保密","无IP","383944679","0","","5000","3054","","／ ￣￣ ＼　 ,|　ー　ー \　  ／````````````````````````````````＼,|　 　 |   |           我亲爱的原神            |,\　　 　/ ∠  我想帮铜雀把破庙修好       |, ＼　　 イ　   \  任务可以没有任何奖励   |      ,／　　　\         \  倒贴也没问题          /,/　|　　　 \       ```````````````````````````````````,|　|　　　 | |        ,|    |           | |,（转）"
"缪缪我的缪缪-","男","无IP","454898448","5","明日方舟-愚夜密函","10000","4283","8","预言一波，等会前排就会被up主和声优大佬们占领，而我只是一个沉掉的评论[doge]"
"叶绿体喜欢晒太阳","男","无IP","7784018","6","","10000","2650","","其实可莉一直都蛮孤独的吧，母亲艾莉丝常年在外基本不着家，骑士团的其他大人们也都有各自的事情要忙，她唯一能作伴的也就只有嘟嘟可了，所以才把嘟嘟可看的这么重要"
"乐正萌Official","男","无IP","12227649","6","","10000","1045","","好像做宵宫小姐的烟花啊，可是宵宫小姐说她喜欢的是鞭炮，引信快要绷不住了，因为我既不是烟花也不是鞭炮，而是一颗蹦！蹦！炸！弹！"
"六千零八丶","男","无IP","8836927","6","汉化日记","10000","2006","","真的，最后一段，听到热泪盈眶。,我个人是做动画的，宫崎骏宫崎老爷子对我的影响非常非常大，最后一段真的有一种像小时候吹着风扇吃着冰糕和一群小朋友凑在电脑前面看宫崎老爷子的动画一样，就是动画马上结束在马上结尾的部分放片尾曲一样。"
