"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"噬星空_","男","无IP","322275680","5","hanser","10000","12920","","加强雷元素和单手剑吧，球球你了[大哭]"
"東雲カガミ","男","无IP","145046","6","","10000","8132","","这游戏平衡是不是有问题，大剑能碎冰能采矿能破木盾，弓箭远程能工具能蓄力破元素盾，法器平a就挂元素能触发反应，单手剑能干啥？"
"冰冻酸奶Froze","男","无IP","5290224","6","碧蓝航线2020","10000","8016","","如果你玩过一段时间就会发现,火元素 > 雷元素,双手剑 > 单手剑,,雷元素打火→火史莱姆免疫超载,雷元素打冰→冰史莱姆免疫超导,也就打打水元素还挺强,,反观火元素：,火元素打水→蒸发1.5倍增伤,火元素打冰→融化2倍增伤,火元素打雷→超载爆伤,火元素打草→持续燃烧,,单手剑打不动的盾，双手剑几刀砍爆,单手剑打不动的土盾，双手剑几刀砍爆,单手剑打不动的矿，双手剑几刀砍爆,,那么请问双手剑这么多功能，那么单手剑是不是也有自己的功能呢？,答案是：没有，单手剑唯一的特点就是攻速快，但是每次平A的伤害却比双手剑低了近乎两倍。,你们这平衡做的真是稀烂"
"alone旅途","保密","无IP","38380163","6","","10000","4190","","裂开了，天天笑圣经，结果保底出了个狼的末路[无语][无语][无语]"
"qwq青雾","保密","无IP","178886668","5","","10000","3497","","笑话，我抽刻晴为的是伤害吗？[妙啊][抱拳]"
"捡个小萝莉","男","无IP","100906806","6","","10000","3024","","加强雷系，加强雷系，加强雷系！！！"
"CtaxiC","保密","无IP","455254143","5","神乐七奈","10000","13713","","你还是这么爱看评论，刻晴老公[doge]"
"金山寻青龙","保密","无IP","248595435","6","原神","10000","12200","9","赞我的祝你抽到刻晴[doge][doge][doge]"
"界张绣","保密","无IP","75908300","5","","10000","4203","","嗷呜嗷呜嗷呜，嗷呜嗷呜——,嗷呜————"
"账号已注销","保密","无IP","142354238","0","初音未来13周年","5000","4291","","吾亦见矣，在吾国家于善之戏亦惟述之分，steam众游戏亦也未见子之言，不赠动则不买，才一始，赠三十，后偿又十有大加1760原石，汝不动以何？汝真乃食之未果腹之狼也！"
"f-shock","男","无IP","40311164","5","","10000","4263","","加油，米哈游，你已经胜利一半了，现在几乎已经没有人再提爬山虚化和双节活动的事了，大多数人只是单纯的想喷而已，继续冷处理下去，再过半个月1.1版本上线时送一波福利，立马评论区大变样，全是真香和失忆，“1.1版本才是正式开服，什么有1.0吗？我失忆了。”之类的才是热评。"
"桀骜不驯的刺猬","男","无IP","384987376","5","","10000","4230","","我也看了，在我们的国家在好的游戏也只有挨骂的份，steam那么多游戏也没见你们说，不送东西那就不买，何况是一开始送了30发，后面又补了10发加1760原石，你们哪里是觉得没活动，你们就是喂不饱的狼。,— — —节选自《狼的末路》,.,35级都没有，都没完整体验过游戏也出来乱黑？,都玩到35级了还在这黑是不是贱？,不玩就卸载啊瞎黑什么。,— — —节选自《胜者思维》,.,看评论我真的服，游戏评论环境竟然能成这样，我从小玩的游戏到现在也快30岁了......就冲了月卡和赛季卡虽然不多就100，现在也抽了2个5星了外加温蒂马上大保底出来了。我不知道你们在吐槽什么扣不扣的。,— — —节选自《三十而立》,.,他们肯定有在努力，不说而已，因为无论说什么，总有黑子会在字里行间中臆想出一些天马行空的东西来抹黑他们，这只会让他们越洗越黑！,— — —节选自《人性的暗面》,.,电脑游戏，手机当然不能要求画质，,手机游戏，电脑当然不能要求质量。,单机游戏，玩家当然不能要求社交，,网络游戏，氪金当然不能要求良心。,— — —节选自《立体防御理论》,.,我是国产游戏所以你们要容忍我的抄袭我的氪金。,我是全世界游戏所以我不过中国节日。,— — —节选自《学贯中西》,.,为什么玩法这么空洞？,一测：“这才一测，以后肯定会好的”,为什么玩法这么空洞？,二测：“这才二测，以后肯定会好的”,为什么玩法这么空洞？,三测：“这才三测，以后肯定会好的”,为什么玩法这么空洞？,公测：“这游戏刚出，以后肯定会好的”,— — —节选自《为了更美好的明天》"
"内含的不止是段子","保密","无IP","216729260","5","","10000","1680","","旅行者们好:,      由于本公司的疏忽，游戏系统出现故障。经过长时间的奋斗，程序员加班加点，在中秋国庆喜相连的日子里昼夜不分，终于将所有bug修复。至此向他们献上敬意。,      由于系统的问题难以解释，活动无法安排，本公司曾以架空世界观作为缓兵之计，想以此安抚旅行者的情绪，可不料适得其反。在此向所有旅行者表示深深地歉意。送上摩拉×10000，纠缠之缘×5，相遇之缘×5致歉并祝大家国庆中秋快乐。,      同时，针对温迪池爆率不高，影响很多旅行者的游戏体验，我们即将做出调整:将90发保底，改为60发。爆率由0.6上调至0.8希望能改善玩家的游戏体验。并且在更改爆率后的七个工作日内，抽取温迪池≥10次的玩家，将收到3200原石的补偿。,      明天早上6:30-12:00我们将迎来一次停服更新，更新完毕，所有旅行者将在邮件内领取甜甜花酿鸡×20，原石×300。,【新增内容】,1.国庆中秋登录福利。,第一天:四星角色自选包α（自选角色:重云，香菱，砂糖，芭芭拉）,第二天——第五天:原石×160,第六天:四星角色自选包β（自选角色:菲谢尔，丽莎，行秋）,第七天:五星角色自选包（自选内容:温迪，七七，迪卢克，刻晴，纠缠之缘×30）,2.中秋国庆活动,完成限时挑战，可以领取中秋专属食谱，海量原石，摩拉，后续还有抽奖活动，最高可获得五星武器。,3.累计消费活动,计算范围:自9.28公测至今旅行者花费的所有原石（纠缠之缘，相遇之缘自动转化等量原石）。,每1600为一个档次，每档返利纠缠/相遇之缘×3（玩家自选）,第十档开始每十档送出四星武器自选包。,第五十档封顶并额外奖励五星角色自选包（自选角色:温迪，七七，迪卢克，刻晴，可莉，琴）,从开服到现在，原神有不少问题影响了大家，真的很感谢各位旅行者的支持，今后也希望各位旅行者多提意见，我们一定会将原神打造成各位满意的样子！,最后还是祝各位旅行者节日快乐！"
"九科科长古尘","保密","无IP","170041826","6","三周年恋曲","10000","706","","氪晴主c的我好难受，各种免疫"
"睡不醒的弹簧振子","保密","无IP","11466122","6","EveOneCat2","10000","617","","岩主！！！！！！！能不能修一下e的bug这内鬼大木桶能把怪顶起来就算了怪还不会自己走下来非得在旁边满血刷新，但凡你们组里有一个人用岩主打过主c也不至于这么明显的bug到现在还没修，严重影响游戏体验好吗？"
"听那雨打芭蕉的声音","保密","无IP","73660431","6","","10000","905","","在？雷系这么弟弟不加强一下？真就弟中弟？"
"元无见","保密","无IP","35269567","6","","10000","660","","国庆假要结束了，这段时间装死我勉强算你们放假了，但这下假期结束可以干点正事了吗？正面回应一下玩家的诉求可以？"
"是墨痕呀","男","无IP","49158252","5","","10000","1446","","做点正事吧！米哈游"
"悟理研究所","男","无IP","8376830","6","","10000","934","8","来了，傻孩子们，快跑啊[滑稽]"
"白岩总督","保密","无IP","321136674","6","","10000","400","","璃月是该革新太封建了，富人根本不把人当人看，说书人哪里有个NPC他儿子为了有趣让家丁连续跑了三天三夜不知道死没反正之后还被开除了，还有常九爷直言看不起邻居说他们是穷鬼，社会风气太让人愤怒了"
"零区绝","保密","无IP","49285811","6","","10000","53","12","「我是刻晴，璃月七星中的玉衡，变革的时机已经到来，维持了千年的秩序即将被改写，这历史性的时刻 你愿意和我一起见证吗？」,,「无论是冒险还是做生意，机会都稍纵即逝」,,「觉得自己是正确的，就要大声的说出来，坚决去行动，这是我一直以来都贯彻的人生理念」,,「帝君？哼，说句不好听的，他真的什么都懂吗？」"
"这是一个大-Bug","男","无IP","349510131","5","","10000","327","","骂归骂，老婆归老婆[doge],prprprprprprpr"
