"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"未氿","保密","无IP","434008725","5","明日方舟音律系列","10000","9579","","做完一斗的任务，我明白了岩系的定义并非沉稳，而是守护，无论大小，，，"
"鬼畜美学的极致","男","无IP","431357544","6","至尊戒","10000","26394","","在传说任务副本里从悬梯缝里掉下去的来这里集合[热词系列_知识增加],↓"
"是豆子啊---","女","无IP","146803626","6","","10000","13509","10","这兄弟，生日是儿童节[藏狐]"
"超高校级の搞事君","男","无IP","11081022","6","战双帕弥什","10000","7360","","剧情最后一斗刚说要照顾青鬼一族，结果转头自己和卓也连着整个荒泷派全进局子了，看到那里我是真的绷不住了[笑哭]"
"AcBenja","保密","无IP","351802203","6","时光代理人","10000","9083","","打剧情本的时候，拿一斗赶路,一斗:“嘿嘿！”,我在自习室努力憋笑,一斗:“追不上我！嘿嘿！”,真的蚌埠住了，直接笑喷了家人们[笑哭][笑哭],然后现在班级微信群社死[藏狐][藏狐]"
"柒柒不染染","保密","无IP","351509318","5","","10000","8070","","第一次遇到主人公做着做着进橘子了的传说任务,厉害了一斗哥哈哈哈[藏狐]"
"一絃别鹤两秋水","保密","无IP","435017626","5","","10000","6705","","没人夸夸一斗的传说任务嘛[大哭]差点做破防了[大哭]"
"一层小笼包","保密","无IP","368055617","6","","10000","3846","","五郎的拾枝杂谈呢[傲娇]我想听戴因念“犬坂吠吠方圆阵”和“亮晶晶发现术”"
"萧艽","女","无IP","23509796","5","","10000","4329","","表扬你们的稻妻编剧，这次爷终于不用逛街了最后那张cg一斗笑到我心里了[脱单doge],我感动之下登上了朋友的号帮她抽到了三命七七[原神_喝茶]"
"白濉溪","保密","无IP","354505568","5","","10000","3329","","不久后的二创,墙   手   ,墙         一斗     话筒,墙           ,《在这里就像回到家一样》[吃瓜]"
"来一碗刻师傅牛杂","男","无IP","118679698","5","三周年恋曲","10000","9880","","跟着一斗混，三天饿九顿[脱单doge]"
"方旭茕","女","无IP","352880694","5","","10000","299","7","抽了，70能量看似很多，其实特别容易就充满了，带上雷主，开大之前吃三个勾玉，开大期间就能充满，手感很好，打起来特爽，由于重击是偏竖直的，所以对群略显乏力。重击是靠方向键来调整重击方向的。牛牛真的很可爱。[doge]"
"吾栖梧","男","无IP","8543973","6","","10000","1057","10","一斗的传说任务真的可谓圆满。,以童话开头以童话结尾，以小见大，从一斗和卓也两人（鬼）的故事入手体现青赤鬼两族的牵绊和约定，更讲出了两族矛盾的拉扯。但青鬼赤鬼本就同源，更没有所谓谁对谁错。,编剧在总体流程上讲好了应该讲的故事，足够有深度，也摆脱了逛街聊天的套路，连环画和最后live2d的演出也可谓惊艳。整体任务一气呵成，没有等待到第二天之类的割裂感。刘照坤老师的配音也为一斗这个人物添了一勺灵魂。如热评所言，确实是稻妻目前水平最高的传说任务。,但个人看来槽点也并非没有，虽然我平日里很不喜欢提原神“12+”的定位，但这个任务在演出上给我一种小儿科的感觉，最明显的就是在浮浪人营地和卓也的对质。虽然这些对白和做法放在一斗身上并无不妥，但总给我一种违和感。,总的来说，一斗的任务挺好，希望原神以后的传说任务都能在这基础上做得更好，塑造人物的方法可不只有逛街聊天。"
