"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"YYSAAAAAA","保密","浙江","41383646","6","","10000","13298","11","荣誉骑士哥哥姐姐，蒙德可莉为你导航：,00:01 荧CV宴宁、空CV鹿喑开场,01:15 3.2版本PV虚空鼓动，劫火高扬,04:43 空CV鹿喑、纳西妲CV花铃、赛诺CV李轻扬、荧CV宴宁主持节目,06:43 魔神任务第三章第五幕《虚空鼓动，劫火高扬》,10:37 新周本散兵,15:52 纳西妲介绍（中配：花铃 日配：田村由加莉）传说任务智慧主之章第一幕,24:52 莱依拉介绍（中配：侯小菲 日配：富田美忧）,32:40 角色祈愿第一期：纳西妲、宵宫 第二期：八重神子、达达利亚、莱依拉 ,33:01 新五星法器千夜浮梦,33:24 版本活动：智巧灵蕈大竞逐（送多莉）、冒险家试炼、无相交响诗·离调乐段、画外旅照·青植之篇（好兄弟立本）,38:04 新原魔无相之草,40:34 尘歌壶摹本（复制系统）,42:00 联动活动：oneplus胡桃定制手机,10月2日不见不散,兑换码:SSZ4FZLJYUK2、JSGMWHMKGU3N、PBGMFY4JHCMA"
"叉叉-xX","男","安徽","109360821","6","贝拉kira","10000","4399","","直播最后那张草神的图片，左边是生机盎然的提瓦特，右边是燃烧的大地。一开始我以为可能是博士烧树，但是放大一看，并没有明显的树状物反而是裂变的大地。间章最后我们可以看到博士烧树是在一块完整的陆地，甚至左下还能看到树丛和草地，反而是雷神剧情pv和主角回忆给到的坎瑞亚画面是分崩离析的陆地。所以感觉小草王真的可能是二次变小失去记忆的树王，不然小草王和坎瑞亚完全没有交集，没有理由放在一起。当然也只是猜测，欢迎和善讨论[贝拉kira_笔芯]"
"八保菌","男","江苏","244190963","6","星座系列：双鱼座","10000","4909","","希望原神可以出一个功能，利用虚空把玩家经历过的事读取到罐装知识里储存起来，然后玩家可以去体验过相关剧情的好友尘歌壶购买对应罐装知识，然后选择吸收罐装知识（下载安装包）来体验剧情。,,这样即能让想重新体验活动或主线剧情的玩家满足，还能补全设定不产生太大逻辑漏洞，就像草神利用罐装知识帮主角回忆花神诞祭那样。,有很多精彩有趣的剧情错过就没了或者只能体验一次真的太可惜了。还有新手时期有很多剧情上的细节都没注意到也没办法重复观看qaq。,,当然个人的一点想法可能有些地方考虑不周，希望持反对意见的玩家能够斧正"
"甜铭铭","男","吉林","2186898","6","","10000","6141","","草神这个感觉很符合现实中，一直被家长管教，没有朋友，没有娱乐的状态下长大的孩子，第一次获得自由和快乐的感觉，对世界充满好奇，却满嘴都是大人一样的话，和自己的认知不相符。"
"纳西妲的小斯旺","男","湖南","238126839","6","原神","10000","15774","","派蒙：散兵成为了真正的神明[微笑],旅行者：无所谓，我会出手[脱单doge]"
"天天攒了很多硬币","保密","浙江","8025002","6","","10000","969","","我愿称3.2版本池子为最强复刻池[点赞]"
"写与","保密","重庆","275535199","6","明日方舟音律系列","10000","2736","","“在梦游的时候会释放自我，迸发出平时没有的自信和力量……这是属于莱依拉的独门绝技哦。”,我妻善逸:啊对对对"
"影之侍","男","河北","14075464","6","三周年恋曲","10000","24317","10","教大家一个打散兵时候可以增加战力的方法,朝着天空喊一句：魈，你在吗？[doge]"
"月亮与六枚硬币-","女","福建","9963369","6","格兰芬多","10000","619","","虽然看的时候也有感觉嘴瓢有点过于频繁了，但是整体看下来节奏也还不错，聊天聊飞了会拉回来介绍新内容。缺点如下：1.这应该是提前录好的吧，后期可以适当剪掉一些嘴瓢的部分，然后调整音量，因为cv说话的音量有本来就比较高的，笑的时候更加无法控制，可以后期处理。2.有几段明明还在说话却要赶着进下一个话题，感觉有人话头被堵住了很难受，缺乏一个主控场的人，cv之间聊嗨了要一会儿才能意识到话题跑远了3.有人话少，会被说是不是cv抱团（虽然确实有3位是一个公司肯定更熟悉的原因在），最好能台本上大致划一下内容，雨露均沾都cue一cue话题"
"TSO_Filth","保密","湖北","490334947","5","","10000","448","","散兵这个周本真的开创先河了，变成高达形态之后无法造成实质性伤害，大多数情况下只能用旁边的这个随从攻击，我觉得这个想法很好，因为这样既能丰富游戏玩法与体验感，更加考验玩家操作，而不是以往的核爆直接秒，真的没意思，这才是打boss，要的就是视觉震撼与极致体验"
"南巷挽风べ","保密","江苏","41201679","5","刺客伍六七","10000","207","","这次前瞻的缺点就是少了一位主持人，流程的节奏把控有问题，导致观感欠佳，当然肯定也有人觉得非常好，互相尊重吧，这只是我的一点观后感而已"
"桜はしずみ","女","四川","479246374","5","","10000","278","","关于纳西妲表情变化有感,      虽然内鬼暴露出的视频里原版确实很可爱，个人也是在本版本中的问卷中说明了问题及期望。（相当于提前冲了米忽悠，所以本人不是所谓的什么策划厨，此评论仅站在客观角度分析。）,但看完PV后，个人认为修改后的版本更好。,一是从PV来看，这应该是纳西妲首次从牢笼中走出，肯定有对世界的憧憬，以及开心或是兴奋。,二是PV中纳西妲的哭泣，说明纳西妲会有一个成熟的过程。,三是纳西妲相较于那几个老东西更操国家的心。,所以个人认为这种笑更多的应该是一种欣慰，而不是可莉的那种无忧无虑的童真。而且如果剧情中真的涉及纳西妲的成长，那么这套表情将会极度贴合人设。同时，如果剧情还带点刀子，那么配合纳西妲这种笑容便能直接刀穿玩家。可谓一举多得。"
"说不过别拉黑啊","保密","北京","3150884","6","","10000","519","","1.茶话会或者轻松的氛围不代表主持人可以没有准备随意发挥。前瞻的目的是透露下个版本更新的内容，主持人没有好的临场和总结能力的话就给他们台本并且不要随意发挥打乱节奏。而且这么多口胡真的说不过去，从cv到组织者的态度都让人感觉很随意。导致信息重点不突出，时不时的大笑也很吵。,2.cv和角色切割。中之人以自己的身份披角色皮出来说话真的让人感觉很ooc……,我对cv都没有意见，觉得主要是组织者的问题，你们需要更严格地把控一下前瞻的质量。"
"虚怀_","女","四川","10014774","6","EDG战队","10000","251","","除了大版本，前瞻直播之前也一直是这种茶会形式，但是之前有人主持，就不会觉得吵和乱，要是单纯想到哪茬聊哪茬就会觉得信息传达效率变低，加上花玲和包包声线的特殊性，在一起大声说笑真的会听着有点吵[撇嘴],个人观点"
"一点也不科学的百合子","女","辽宁","91639658","5","","10000","334","","簌簌在：怎么场场都有簌簌。,簌簌不在：簌簌呢？没簌簌节目气氛不对了,2.8四个人尬聊：太尬了！一点意思没有。,3.2四人茶话会：太吵了，直播太水了。,大伟哥单独直播：太尬了！怎么一直念稿啊！,总结：前瞻怎么搞都不对"
"celtoria","保密","北京","1760929","6","","10000","74","","结晶玩家，很期待很期待每次前瞻，但是昨天直播的后半部分我是静音+屏蔽弹幕看下来的。个人观感不妄图代表大众，也不对任何人有任何意见，但评论区产生这么多对立已然说明问题。怎么说呢原宝，你已经是个成熟的原宝了，关注度今非昔比。中文版前瞻如今被英版日版分流，但还是有很——大一部分玩家或者潜在玩家通过中文版前瞻了解原神。麻烦各位运营大佬把好关，你们能做得更好。(说着说着消气了并且逐渐盾值拉满)"
"陶梓呱呱呱唧","保密","安徽","193201332","6","","10000","1251","","望周知，公子已经一年没复刻了，上一次是2021年十月份的2.2版本，顺便一提，复刻次数最多的角色也并不是公子[OK]"
"达瓦里希1950","保密","陕西","36759504","6","","10000","374","","我感觉他们真的属实是自己聊嗨了。尽量让每个人都参与进来吧，可能他们三个年龄太小了？赛诺cv一直插不上话，让我看的很着急啊[辣眼睛]。稍微顾及一下赛诺的感受啊"
"青花瑶池","保密","广东","1000882972","4","","10000","289","","虽然但是，草神换了飞机跑可以吗？我觉得改成遁地都可以，所及之处遍地开花，更符合草神给须弥带来了新生，都比飞机跑好多了"
"青龙不加酱","女","未知","168556099","5","","10000","328","","但我个人挺喜欢大伟哥尴尬的介绍，很有条理性，能迅速get到想要的信息，节奏也很好。如果闲聊大笑多了，没有控场的人反而不知道重点，而且嘴瓢不是很正式的感觉啊。可能也是因为对直播唠嗑确实不感兴趣……,但重口难调确实，mhy自己看着办）"
"-保护伞-","男","北京","581890187","5","","10000","574","","最后一幕主线为什么不叫“虚空劫灰往世书”？"
"梦到晴天一定是幻觉吧","保密","湖南","696569750","5","橘猫挂件","10000","488","10","让我攒了80发保底原来是为了让我遇见纳西妲——我命中注定的女儿！"
"カセイ-Kasei","男","广东","4069050","6","","10000","4259","11","我先说一下，确实可以要求官方修复不满意改动。,但有个大前提，就是被官方修改的是已发布并出售且获得收益的产品。,因为随意改动用户已付费道具是犯法的。,但，纳西妲的改动是修改内测未发布内容。,一切以实际发布后为准。,而现在米哈游压根没犯法，根本无权要求。,倒不如说，都处散布内部机密内容，还到处瞎嚷嚷的东西，才是犯法的那方。,[tv_鄙视]"
"黑笔Lucas","男","四川","6050454","6","","10000","2778","4","我觉得最近几次前瞻直播越来越放飞了，尤其是这次，中间部分一直打哈哈，有点水时长的感觉，而且一直大笑也影响听感（略吵），或许可以考虑稍微紧凑严肃一点点。,PS:不是不喜欢茶话会模式（开服玩家每次直播都看了），也不说CV聊天不好，更不是嫌内容少，而只是听感上希望可以避免大段高音量笑声，其实前面很多次茶话会都能做到很舒服的感觉哇，即使闲聊凑时长也不会觉得吵。,（仅代表个人想法，每个人有不同的感受，无意冒犯。）"
"叒的凌玉","保密","福建","17431284","6","","10000","307","","李轻扬和他不熟的3个同事"
"御坂13267号","男","山西","689724650","5","","10000","318","","草神，我所欲也；宵宫，亦我所欲也，二者不可得兼，舍...都不抽了，原石留着给胡桃吧[原神_欸嘿],（纳西妲对不起，复刻的时候再抽你）"
"春冬语","保密","广东","33483065","6","","10000","201","","他们到底在笑啥"
"陶梓呱呱呱唧","保密","安徽","193201332","6","","10000","1251","","望周知，公子已经一年没复刻了，上一次是2021年十月份的2.2版本，顺便一提，复刻次数最多的角色也并不是公子[OK]"
"被云堇踢弯的阿雪","女","安徽","48715516","6","","10000","232","","两个尖嗓音的一起笑一起叫，耳朵都聋了..."
"嘻嘻心素真好耍","保密","四川","29278710","5","","10000","477","","赛诺cv全场唯一的正常人[脱单doge]"
"知鲸鸟","女","山东","438152218","5","","10000","155","","真的想看直播但也真的受不了这个笑声的分贝[藏狐]，知道有汇总能看版本内容，自然会看，不必提醒"
"Clearice-love","保密","山东","414705820","5","","10000","189","","每次前瞻后必备乐子环节——有人看内鬼破防，无能狂怒。[doge]"
"蒜头炖甲鱼","男","辽宁","488115588","5","","10000","685","","花玲：哈哈哈哈,包包：哈哈哈哈哈哈哈哈,龙哥：哈哈哈哈哈哈,李清扬：哈"
"Abigail_ftim","保密","福建","203676115","6","公主连结凯露","10000","802","","直播前瞻花铃包包和龙哥真的有点压不住场了[笑哭]甚至有点吵，赛诺cv真的尴尬看的我都尴尬，特别有一段赛诺cv说正事呢其他三还在狂笑，搞得赛诺cv不得不闭嘴，等这三笑完了再说[笑哭]毕竟这也是赛诺cv第一次参加前瞻，晚上全程就感觉重要的事情没听多少全是cv在笑，个人还是喜欢大伟哥，虽然说也是尬但是是明着尬很好笑，这次暗默默的尬真的致命了"
"一诺不止千金","保密","辽宁","2126948418","5","","10000","152","","阿散啊，咱就是说，有没有一种可能，你可以先从高达上下来，让我开开[原神_哼]"
"2-9-1","男","广东","169346457","6","","10000","147","","我猜下版本之后肯定有人分享尘歌壶需要加QQ群，然后群里需要懂的都懂才给分享码"
"富营养摸鱼组长","保密","北京","38279174","6","不思议之旅","10000","394","","个人认为：饼少话多，硬聊硬笑，效率党可以看图。喜欢家常的可以看视频，但是赛诺基本说不上话，说的话都是在正经介绍。三熟人聊天不带他的感觉。想看赛诺建议进游戏听。[OK]"
"夏廿八","女","浙江","3387152","6","","10000","131","","怜爱一下李轻扬老师，太惨了"
"炭烤狗熊","保密","湖北","1739523","6","","10000","230","","玩梗要适度，以前是在前瞻信息中穿插打趣，这次是在对话中捞有效信息[热]"
"木白玖","女","陕西","13843798","6","","10000","237","10","我觉得前瞻直播很好，李轻扬老师虽然画风不同但也没有游离在外面，没什么大毛病。有些人操的心也太多了[尴尬]至于角色ooc什么的[尴尬]你不会是须弥才入坑的萌新吧，能不能看看之前的前瞻啊，我真的流汗黄豆[辣眼睛]"
"赤云飞练","保密","江西","455798646","5","","10000","102","","两位女孩子属实有点吵[热]"
"题我出的难死你们","保密","吉林","14392800","6","请吃红小豆","10000","238","","直说了吧，我就喜欢这种热热闹闹的宝宝巴士，不尴尬气氛很融洽，对别人幼稚但是对我刚刚好，摩多摩多。顺便，空哥一直口胡，练练念稿呀哈哈哈哈哈"
"二师兄表示一脸懵逼","男","山东","69206068","6","","10000","346","","有一说一，今晚的口胡现象太多了，而且有点乱，建议下次找个成熟稳重的大姐姐做主持"
"芒果柠檬来一筐","保密","山东","27877130","5","","10000","117","","我的感觉是这直播不如大伟哥和制作人，介绍一下就可以了不是来看CV的[辣眼睛]"
"梦之幻想型软体","保密","湖北","320323177","5","","10000","132","","大伟哥我承认以前是我太大声了，前瞻离不开你呀"
"没cccccc","保密","湖北","117843","6","物述有栖","10000","114","","挺喜欢欢快的直播氛围，希望以后能放的更开！"
"角圭","保密","陕西","126018774","6","星座系列：水瓶座","10000","435","","这场直播每次到赛诺cv说话简直是拯救耳朵，没啥好听不好听的，单纯润耳[提摩西小队_趴]"
"沉默的根号七","保密","山西","1561598477","5","","10000","206","","多找几家配音工作室有点危机感吧[脸红]"
"达斯C3PO","保密","北京","23968901","6","","10000","94","","我还是喜欢3.0，3.1大伟哥他们介绍新版本内容的节奏，很紧凑，几乎没有废话，虽然是背台本，但内容扎实。"
"神叹夏洛克","保密","安徽","28217972","6","","10000","178","","别用测试服的改动冲了，你猜猜为啥叫测试服？"
"蒙娜刮痧","保密","上海","79536835","6","中野二乃","10000","100","","来了"
"Rv-Octovia","保密","北京","8034518","5","","10000","85","","本来不太喜欢赛诺中配的，这次直播完真的好感up了…唯一正常人，本音也蛮好听的"
"我要肿了么","保密","未知","635630398","4","","10000","198","","就只有我一个人觉得太吵太乱了吗？尤其是介绍莱依拉那一段，还有这是三个CV主持的前瞻吗，还有一个人呢？"
"茉莉茶饼","男","山东","38056659","6","","10000","183","","下次还是找个人控控场，要不然各说各的的太乱了，而且还互相打断。"
"-月色可餐-","保密","辽宁","1452384437","4","","10000","415","","支持，感觉cv大笑太多了确实很影响观感，好像是我们在听他们聊天，而不是做节目呈现给观众一样。"
"三兀兀","男","江苏","479798522","4","","10000","369","11","陌生人别看评论了，不看难受一小会儿，看了难受一天，上线把兑换码换了吧，把任务做了，做完之后去刷刷二创，去玩玩别的游戏"
"阿名kun","保密","广西","498752163","5","崩坏：星穹铁道","10000","186","","这次前瞻直播的直播间充分体现了网络生物的物种多样性[原神_期待]"
"星-凌凌","女","山东","237806452","5","","10000","84","","这期前瞻好棒！！！也很有氛围感，很喜欢这种欢乐的氛围，声优们说的很多都是我的心声，我觉得很好啊！！"
"少年狂者","保密","福建","59436816","6","","10000","282","","影！你看看你怎么带孩子的！儿子女儿都进周本了！(指散兵和雷电将军)"
"King_7banb","女","河北","16591605","6","","10000","92","","可是作为配音演员把台词说清楚不是基本功吗[思考]"
"一加手机","保密","广东","9535164","6","","10000","303","20","3.2前瞻总结：,1.,2.,3.,4.,5.,6.,7.,8.,9.,10.,11.10月24日原神联动一加手机（胡桃限定版）"
"封夷拂山来客","保密","山西","36345212","6","","10000","70","","声优笑场太多了吧，可能他们在现场很嗨吧，但是我在屏幕这头只能看见几个纸片人简单的动作。有点尬住了。"
"来一口芙芙","男","山西","524367616","5","","10000","69","","恕我get不到全程笑的点在哪，有红楼梦10版的味道了（最近在重刷红楼梦所以就是想到了）[热]"
"兮予安_","女","安徽","3988450","6","","10000","67","","下次前瞻能不能来个控场的人[跪了]"
"幽影天乐","男","江苏","457010279","5","","10000","432","","讲真，你们难道真的不觉得这次直播确实有点吵过头了吗？感觉赛诺完全融合不了另外几个人，显得很格格不入，好不容易有几句话，还是重复的别人的[无语]"
"浅夏鸢","女","湖南","280831457","5","","10000","311","","直播氛围……还好吧，就是感觉李轻扬老师确实对比其他三个话有点少，需要控场的主持人比较好,还有就是，花玲老师和包包老师笑的可以不那么频繁，电脑看在宿舍确实有点吵（卑微）[崩坏3_卡了]"
"终末的爱慕_","女","河南","28116199","6","","10000","77","","要不还是让簌簌回来吧[热]"
"银柴胡胡","保密","北京","325247415","6","","10000","178","","很多人比如我看直播都是冲着版本内容来的，对cv们不了解也没兴趣，能不能快点介绍内容啊，玩梗玩的多了口胡多了真的很影响观感，实在不行剪辑一下也可以啊，不然为什么要录播？"
"夏末烟雨飘","保密","广东","11122105","6","良辰美景·不问天","10000","259","","他们一直在笑，但我不知道在笑什么，李轻扬老师太难融入"
"石岐路人甲","男","广东","11602305","6","至尊戒","10000","182","","3.2前瞻直播内容概括:哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈"
"RK-teardrop","男","广东","272770402","6","","10000","210","","三个老师聊的很嗨，却没在意李轻扬老师的感受啊，这点真的没做好"
"优优view","男","四川","33238042","6","","10000","157","7","今天属实闹麻了，跟甲亢一样一直哈哈哈哈哈[捂脸]"
"鸣濑嗨梨","保密","河南","344442403","5","原神","10000","227","","刚看到一句至理名言:众口难调，不如不调[傲娇]仔细想了一下，发现确实怎么调都会挨骂"
"伊万_布拉金斯基","女","河南","284155419","6","","10000","223","","谢谢你，赛诺cv，心疼你，赛诺cv"
