"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"小破站船新人员","保密","江苏","354272159","6","","10000","2362","","下次还来！"
"Re_在下鸡某","女","上海","479628544","5","","10000","1230","","你怎么知道我妈给马老师化的妆[脱单doge][脱单doge]"
"莓香莓香莓","女","江苏","47329936","6","三周年恋曲","10000","1367","","边吃边看，太爽了"
"小毛拿来吃","保密","山东","601697","6","","10000","154","","明年还去，等我再去北京场听听专业音乐厅是啥效果[doge]"
"张佳理筚篥管子","男","北京","393502912","6","","10000","3388","","很荣幸参加这场演出！！"
"德鹄","男","浙江","21518190","6","崩坏：星穹铁道","10000","1061","16","今年去了bw，去了原神fes，唯独没去音乐会亏死了，下年一定去[打call]"
"民国豌豆","保密","湖南","484465441","5","","10000","1219","","三年前，米哈游拿崩三几乎所有的收益梭哈一把，本来想玩把大的，没想到玩了把这么大的。[doge]"
"X-EBR","男","天津","94367404","6","","10000","215","","大哥：“我是神里绫华的！”"
"iBandari","男","上海","38146440","6","EveOneCat2","10000","795","","内场视角，真的意犹未尽！1480的票价感觉赚翻了！"
"只知道睡觉的觉皇","保密","江苏","407221026","6","","10000","1185","","很荣幸能在现场观看这场盛宴，太震撼啦！"
"Haz_Studio单推人3号","保密","上海","3461563486833594","4","","10000","475","","30号场219区，曲目单之外的开门曲还有枫丹曲坎瑞亚曲和第二遍可莉曲真的很惊喜，稻妻战斗曲的视觉效果也很震撼"
"懸域神諭","保密","中国台湾","646273696","5","","10000","487","","希望台灣也有,票貴一倍都買啦！拜託拜託拜託[委屈]"
"马稼骏","男","上海","34476796","6","","10000","92","","期待12月成片的发布！[呲牙][呲牙][呲牙]"
"神里绫华の女友","男","安徽","249477052","5","原神","10000","890","8","呵 看音乐会 哪有躺家里开新地图舒服[墨镜]"
"紫梦Moon","保密","湖北","31964159","6","","10000","597","","29号场的来报道！现场真的很赞！！我这边是217区的，是舞台侧面，效果其实也很好，以及应援棒灯光其实是有控制的不是自己调的（乐）"
"不想睡觉的hanhan","保密","河南","1298385609","5","","10000","271","","无所谓到时候会有录播的，就相当于哥们也去看了[墨镜][墨镜]"
"FomalhautA","保密","江苏","32653064","6","","10000","88","","不知道12月官方录播里能不能听到那句响彻全场的“我是神里绫华的狗”[笑哭]"
"THORISDOMM","保密","山东","382153849","5","","10000","133","","完整版呢？？？我要看全场啊[大哭][大哭][大哭][大哭][大哭]"
"可乐天天喝可乐","男","上海","506739920","5","","10000","202","","如果有下次 抢票别再用大麦了好不好[doge]"
