"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"雪人脑阔痛","保密","山东","1610596","6","","10000","1881","","家人们，蚌埠住了家人们,绘圈小粉丝们一开始还“提纳里设计的是真拉，米厂美术果然是越来越拉胯”,结果现在爆出来提纳里的原案是找了绘圈的亲爹pako老师做的,绘圈小粉丝马上开始“原来是pako老师做的提纳里原案呀，所以米厂美术突然好起来了是找了pako啊”,我真的要笑吐了家人们[笑哭][笑哭][笑哭][笑哭]"
"HautekniP","保密","甘肃","34300490","6","","10000","8901","","为什么没什么人讨论剧情？？？我觉得这次剧情写的真的很好啊！"
"青玉衡","保密","山东","278003931","5","","10000","25383","","这个地图真的令我没想到，我野外遇到了不认识的怪，看到大血条紧张的开了大一顿输出，然后掉了一堆肉。[热]"
"是holding","保密","上海","500819939","5","良辰美景·不问天","10000","2190","","须弥剧情吹爆[打call]"
"吼辣辣辣","男","福建","1401293885","5","","10000","14398","","开七天神像前：须弥也没多大嘛,开七天神像后：没有大小，全是传送锚点"
"傲娇手办欧提努斯","保密","河南","11596855","6","","10000","1582","","剧情真绝，大进步"
"","女","河北","1688610976","5","","10000","3135","","这次的剧情是真的好[脱单doge]"
"屑carry","男","江苏","1194708462","5","","10000","3459","7","须弥真的是太棒了！就是….为什么那么多人歪琴啊[大哭][大哭][大哭]"
"绝云间的日出","女","湖南","1363964250","4","","10000","1009","","这么好的剧情我没想到居然有人嫌长了[捂脸]，这是主线魔神任务诶，不是限时活动也不是世界任务，这主线做的挺好的了[保卫萝卜_哇]，还有说劝退萌新的，能打完稻妻层岩已经不算什么都不懂的小萌新了吧，讲真都到须弥的要是没点好点的剧情就离谱，怎么会有人嫌长的，是长草还没长够吗[囧]"
"sdis大大","男","广东","194546733","6","","10000","6376","","你们发现没有，拉娜是可以帮你打怪！,以后在提瓦特建立军队指日可待了（喜）！"
"一文owo","保密","上海","14333951","6","EveOneCat2","10000","1368","","趁没人，我是提纳里的狗！！！！[Cat2_Nyampage][Cat2_Nyampage][Cat2_Nyampage]"
"v沐之雨v","男","浙江","629891855","5","异常生物","10000","1138","","6个小时剧情的“花神之舞”，我真是醉了[笑哭]"
"白头温O","保密","浙江","34408111","5","","10000","110","","这次须弥的npc真得太棒，热情得一直给我塞对话宝箱好爱！从进入须弥开始一直在跟沿途的npc对话。巡林员们有小抱怨柯莱为什么生病还来当训灵员的，但也有默默关心照顾柯莱的。教令院众多学者口中的法特、维克拉姆，还提到丽莎哈哈哈哈哈。教令院居然还有学者论证提瓦特大陆是不是球形！还树底下的集市，里面有个老爷爷居然跟蒙德冒险协会的会长还有罗尔德是哥们，后来买了个东西成了富豪安心养老，有点点羡慕。须弥的餐厅和咖啡馆真得是太棒了！真正的餐厅啊！老板以前是水手还闯过雷暴hhh。虽然教令院认为娱乐啥的不重要，但是有有趣的卡牌风靡于学者中。还有一位被八重堂多次拒稿但要创立小说协会的老爷爷，读书馆里的学者居然还知道这件事，消息真灵通hhh。还有以前是沙漠佣兵现在虽然当了家庭主妇但仍觉得家里不备把武器不安心的小姐姐。每次去港口都买几块毛毯导致没地方下脚的老爷爷。喀万驿门口因为佣兵找他喝酒暂时不想回旅馆的雇佣小哥，使我有幸得到了佣兵喝酒带来的烤肉，小哥的姨妈还好心提醒我送我几盘菜hhh。喀万驿从入口到沙漠出口这段还通过几个npc的对话讲了一段“边塞恋情”，冒险家小姐姐口中也提到了维克拉姆。重点是那个告示板上的信息居然有十多条轮换，印象最深得是开头的包你不死补给包，假一赔十哈哈哈哈哈真得笑死，真的是稳赚不赔的买卖呢。他们的跨国快递只能送到璃月不能送稻妻。等等等！真得好有生活气息太棒了！导致我至今没开完锚点哈哈哈哈[保卫萝卜_哇]"
"布耶尔Buer","保密","重庆","1341856552","5","","10000","43","15","（剧透警告）魔神任务沉浸式体验——五个半小时做得眼睛疼了ヾ(≧O≦)〃丿,第二幕刚开始有种强烈的既视感，想到了好多时间循环题材的作品，没想到被无情的否定了。,选糖那里五个选项全是四号感觉被模因污染了（想起了之前看过一张高考倒计时的图，但是日期全是「乱码」）。,后面推理出「删除记忆」时还觉得说得挺对，结果听了纳西妲的比喻——火元素晶蝶用来照明——才反应过来问题何在，大脑迟钝了啊(""▔□▔),到揭露大贤者在用须弥人的梦挖矿时突然联想到有原神的诺斯替背景，还有戴因说的「我们不是滤清『神选者』后剩余的残渣」。,然后到纳西妲自责那里真的好像把她抱起来啊，好在最后还是救回来啦，不过迪娜泽黛的cg啥时候发一下呗……另外祝各位今晚做个好梦。"
"非的一批我吐了","保密","江苏","686988007","5","","10000","84","","这次主线，长是长，但是内容剧情可以说是巅峰，但我估计有些低龄段的人可能看不懂，所以到时候肯定会喷，建议大家还是亲自做完之后，再去感受，值得表扬。"
"白恋银铃","男","江苏","290449404","6","","10000","173","","到底是哪个天才策划想出来的须弥地图！？这个草种子，啊，不是，四叶轮，飞来飞去的，简直不要太舒服，不仅节省了赶路和爬树的时间，而且还满足了我对立体机动装置的想象，像小蜘蛛一样，真该好好夸夸！没说反话，这是真心话"
"多喝开水呐","女","河南","526614296","5","2233十一周年纪念","10000","130","","这次的任务真的出乎意料的好，千万朵玫瑰带来的黎明那边真的绝了（个人想法勿喷）"
"艾札力","保密","山东","503947385","5","","10000","26","5","剧情里对初位贤者故事真的有一股咖喱味，须弥城有些立体，我都迷路了。千朵玫瑰带来的黎明剧情真的不错，和最近夏日重现都是轮回系的，提纳里也不错，拉到50级，六十专武，凑了套乐团，感觉都还好，乐团也可以说提纳里圣遗物了，就是组队打新圣遗物本，水草炸队友不少血"
"石制小兵","男","山东","446878578","5","异常生物","10000","365","","这次的剧情真是历史高峰，无论是转场、特写还是线索都十分具有张力，完完全全体现了什么叫沉浸感"
"民国豌豆","保密","湖南","484465441","5","","10000","1064","","稻妻有垂耳狐，须弥有耳廓狐，那璃月什么时候有藏狐[doge][doge]"
"陆白吾瑾","男","新疆","10949672","6","崩坏3·天穹流星","10000","907","","你当上巡林官是为了什么,为了摸提纳里的耳朵"
"开心魈魈乐","男","北京","403017180","6","","10000","434","","“看起来很好摸的耳朵”[脱单doge]"
"安阳辞","保密","山东","521310384","5","","10000","346","","为了迎回旧神，而抛弃自己如今的神明，罔顾人民的性命，认为知识至高无上，自己所作所为完全玷污了大慈树王为须弥所做的一切，这群贤者不能称作贤者，而是彻头彻尾的疯子"
"--柒葉--","保密","广东","418165131","5","","10000","327","","剧情谁写的，出来挨夸[脱单doge]"
"民国豌豆","保密","湖南","484465441","5","","10000","478","","须弥的剧情给我感觉就好像刻晴穿过得丝袜，长但不错，反而还想收藏[doge]"
"qishdgizoqj","保密","广东","1702866832","5","","10000","157","","想摸提纳里的球球[脱单doge]"
"NanIsMe","男","山东","10881849","6","","10000","130","10","啊，好想摸摸提纳里的耳朵啊，好在意啊好在意啊"
"贴贴神里小姐","保密","广东","99964959","5","","10000","128","","居然这个点发，原宝你是自由的[热词系列_知识增加]"
"灰太狠办公窒","保密","安徽","698389807","5","","10000","136","","某者大陆的某个角色新出了一个皮肤,   很多人在那装原神玩家 ,害得我们被地图炮,   那些人我不知道他们是怎么想的[辣眼睛]"
"苏什的默","保密","广西","1957520959","4","","10000","111","","我直接上去就是一句：“嗨老婆！”[脱单doge]"
"反甲代言大使","男","广东","32895572","6","明日方舟-愚夜密函","10000","117","","崩坏三的编剧是不是来原神了啊啊啊啊啊啊啊"
"优木雪菜唯一神","男","浙江","282564320","5","","10000","129","","不懂就问，提纳里的蓝牙耳机哪里买[脱单doge]"
"拾念汐","保密","浙江","171821069","6","","10000","168","","原宝原来你真的会做剧情 须弥剧情我可以夸一年 请维持这个标准！！！！"
"小鲸鱼能有什么坏心思","女","广东","12463878","5","","10000","129","","大保底给你了[脱单doge]以后小保底其他五常要背刺的时候记得挡一下[脱单doge]"
"乔屿三美","保密","广西","328847523","5","","10000","127","","谢邀，人已在须弥失联"
"沐彣","男","甘肃","32849089","6","","10000","177","10","这次剧情真的nb，夸爆原宝！！虽然这期卡池没啥想抽的但还是奖励你一个648[崩坏3·光辉矢愿_遨游]"
"民国豌豆","保密","湖南","484465441","5","","10000","1064","","稻妻有垂耳狐，须弥有耳廓狐，那璃月什么时候有藏狐[doge][doge]"
"Heinz1939海因茨","保密","山西","7835483","6","","10000","129","","与其在只有七七的常驻池歪喜欢的角色，不如直接下手[OK],小保底已出，耳朵太可爱啦"
"有莫有比较","男","河南","543736540","5","","10000","73","","希望官方以后可以少迫害派蒙，也希望旅行者能多宠宠派蒙！[委屈]兄弟们，之前的所有剧情没让我破防过，但是今天，当我看到派蒙一个人留在城墙内，看到派蒙哭着扑进我怀里，我破防了[tv_难过]任何角色都没有我现在心疼派蒙，只有派蒙是旅途之始一直陪我我们的。过完剧情，我只想给派蒙买好多好吃的，把宠成恃宠而骄的小宝贝[tv_难过]"
"0醉梦仙霖0","男","广东","25241654","6","","10000","548","","米哈游未知的产能，最近产能好爆炸啊，肝了一天主线都没做完[热]"
"复活的炎头队长_bot","保密","广东","355389038","5","花园Serena第二弹","10000","420","","没有飞钩不会走路了的来这里报到"
"吟汐夜","男","四川","480248826","6","良辰美景·不问天","10000","48","11","这次剧情的连贯性完整性逻辑性都不是以前能比的，有种看番的感觉，而且循环刚好还是我最喜欢的剧情设定，中间对于刀的把握也没那么生硬了，差点有点泪目，结局不剧透了，总之是我对原神剧情第一次非常满意的"
"埋饮月奶窗真君","女","河北","1235616515","5","","10000","44","","小提让我捏捏尾巴吧"
"月夜奶酪","保密","广东","457326","6","崩坏：星穹铁道","10000","51","11","我敢打赌说须弥又臭又长的和之前说稻妻剧情又短又尬的是同一批人，这次剧情还有人骂我建议早点退游别浪费自己时间。"
"小小一个陈同学","男","陕西","435461622","5","","10000","333","8","原来“须弥人不会做梦”是个阴谋，我要看后续[保卫萝卜_哭哭]"
"思源不绝","男","山西","513650245","5","","10000","382","","在地图上看须弥城的我:这城怎么这么小啊，制作组又偷懒了[辣眼睛],进入须弥城后:我，我又迷路了，这是哪里啊[大哭]"
"陆道一啊","女","广东","452615570","5","刀说异数","10000","37","","讲真，原神每次大版本更新，给带来的都是源源不断的惊喜感[保卫萝卜_哇]开完须弥地图真的对以后的国度那是越来越期待了[保卫萝卜_哇][保卫萝卜_哇]"
"湾仔回家吃饭了","保密","四川","414856894","6","","10000","34","","老婆老婆！！[保卫萝卜_哇]好想摸老婆的耳朵[保卫萝卜_哇]"
"我是只红狼","男","上海","59729375","5","","10000","128","","钟离已歪 前来还怨"
"慕弦月","保密","河南","17088507","6","星座系列：水瓶座","10000","142","","今天剧情让人想死漫无止境的八月，海伯利安的十字架，甚至还有念念不忘的长椅。"
"啵婼妮娅","女","江苏","394060741","5","","10000","153","","《七个小孩子抢大厅里的座位》[微笑]细思极恐"
"石制小兵","男","山东","446878578","5","异常生物","10000","365","","这次的剧情真是历史高峰，无论是转场、特写还是线索都十分具有张力，完完全全体现了什么叫沉浸感"
"夜行tsuki","保密","浙江","32715673","6","","10000","153","","3.0更新后1660ti究极掉帧，已经卡的不能玩了。。。"
"梦梦奈","保密","四川","8752985","6","洛天依8th生日纪念","10000","47","6","等3.1在常驻捞吧"
"江灵夜","男","四川","27856794","5","","10000","137","","我想象的须弥:扭腰舞，玩蛇,实际上的须弥:赛博朋克,枫丹啥科技我都不敢想了[崩坏3·光辉矢愿_不可以看]"
"孤独者才爱唱歌","男","云南","59121275","6","星座系列：天秤座","10000","267","","新剧情太牛逼了，原宝万岁！"
"cv李道空","男","上海","39239612","6","","10000","27","","阿原 这次须弥的世界任务做的大大地好[惊喜][惊喜]"
"9954千笙","男","山西","325233625","6","","10000","26","","这次剧情真的顶，看到最后竟然真的有种解脱的轻松感和一切都解决掉的温馨感，剧情衔接，逻辑，和感情的推动以及顺理成章，属实是一次相当大的进步，总之，我很喜欢，请多来点。"
"八一不是龙王","保密","广东","480085566","5","hanser","10000","26","","想炫提纳里的耳朵[藏狐]"
"Promise_Dshh","保密","广东","444493253","5","希萝Hiiro","10000","169","","感谢台风，高三狗表示已经在更新了在更新了[热],真的，我开完地图就去复习，真的！[大哭]"
"天园的理想","保密","上海","488109522","5","崩坏：星穹铁道","10000","129","","今天我和很多同学都歪了刻晴 原来是MHY知道刻晴要喝汤了给我们每个人都发了一个 我哭死[大哭][大哭][大哭]"
"多喝开水呐","女","河南","526614296","5","2233十一周年纪念","10000","130","","这次的任务真的出乎意料的好，千万朵玫瑰带来的黎明那边真的绝了（个人想法勿喷）"
"穿白衣服的坏蛋","保密","湖北","258986570","6","","10000","31","","在进入轮回的第一天的时候，当主角第一次意识到今天的事已经发生过了，须弥主城bgm恰如其分的想起，像是宣告欢迎来到须弥，真是给我鸡皮疙瘩都整起来了！吹爆剧情！"
"PCR火星办事处主任","男","云南","35368825","6","橘猫挂件","10000","39","","大家都在啊，刚刚合冰套晕过去了"
"白杨胡腾999","男","广东","25164045","6","星座系列：双子座","10000","187","","须弥质量好高！！！之前一直吐槽的位移卡坎也优化了[打call][打call]"
"我就一个萌新","男","新疆","24906029","6","","10000","73","","这次的须弥很好啊，比稻妻好多了，太舒服了，怪物也可爱，比什么海乱鬼什么的好多了"
"苏IV卫星站","男","广东","37830063","6","异常生物","10000","27","","知识可以宝贵，但不应该高贵，更不应该昂贵。"
"应天司命","男","内蒙古","85636724","6","","10000","25","","须弥剧情神了。,真是的，我真的哭出来了哦。,还在酒馆前面向河流的台子和迪娜泽黛拍了好几张照片，拍的时候心里抽抽的。,好在结局救回来了[热]"
"CNEVA2","保密","重庆","1233232356","4","","10000","25","","这次剧情我觉得很好啊，为毛还有人搁那喷……[辣眼睛]"
"云喵喵嗷呜","女","北京","345001214","6","明日方舟音律系列","10000","141","","有没有人能跟我讨论下剧情[大哭][大哭][大哭]这次须弥的主线我真的哭爆[大哭][大哭]真的没有人夸夸剧情吗[大哭][大哭][大哭]"
"沉君昭昭","女","广东","74187763","6","","10000","22","","下雪天他说如果觉得冷可以放在他尾巴里诶小缇我的小缇耳朵和尾巴"
"白恋银铃","男","江苏","290449404","6","","10000","173","","到底是哪个天才策划想出来的须弥地图！？这个草种子，啊，不是，四叶轮，飞来飞去的，简直不要太舒服，不仅节省了赶路和爬树的时间，而且还满足了我对立体机动装置的想象，像小蜘蛛一样，真该好好夸夸！没说反话，这是真心话"
"刻桑图斯","男","江苏","12596829","6","崩坏：星穹铁道","10000","114","","这次我最满意的就是地图加入了真正意义上的中立怪，就应该这样，最好再多来点[支持]"
"非的一批我吐了","保密","江苏","686988007","5","","10000","84","","这次主线，长是长，但是内容剧情可以说是巅峰，但我估计有些低龄段的人可能看不懂，所以到时候肯定会喷，建议大家还是亲自做完之后，再去感受，值得表扬。"
"浪弦","男","福建","66695777","6","碧蓝航线2020","10000","19","","大伙有没有高数的罐装知识卖啊，我出1k万摩拉[tv_doge]"
"艾墨爱默","保密","山东","1004898364","5","","10000","15","","awa"
