"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"AI粉WOO","女","上海","442225310","5","","10000","2150","","第一幕在庭院里，是说明他作为神里家的领袖，不愿缠绕于繁琐公务之中，也愿享得一分清静。向往单纯而简单的日子，也是他与一斗称兄道弟的原因。,第二幕在野外，表面他的工作无时无刻不被人憎恶，嫉妒。理应有托马作为家臣在旁，却孤身一人面对自己的危险，一己之力挑起神里家的重负，将神里家由衰败带向光明。,第三幕是在幕后，自己与托马在暗处，默默守护绫华在外白鹭公主的形象。作为一个哥哥，无法全部帮到他，就代替父亲的爱，深沉隐晦地关心着绫华。绫华在原则上没有闲心逛街，因为哥哥在外，绫华也公务缠身。但哥哥仍然尽力给她些许闲暇，是哥哥的包容。"
"空留余梦折佳辰","保密","江苏","9604702","6","","10000","3715","","大舅子天天淦这么多糖水都没事，绫华多吃点面条都担心长胖[微笑]"
"明日方舟在逃干员钟离","男","山西","227608270","5","","10000","21780","","EP的意思是迷你专辑，是extended play的缩写。迷你专辑（extended play），简称EP，俗称细碟，是一种介于单曲与专辑之间的音乐发行形式。,有些旅行者看了内容可能不了解，因为ep就是这样的[保卫萝卜_哇]"
"敧橤","男","上海","602144383","5","","10000","1756","","攒了整整五个月，来接最后四个绫人回家了[脱单doge]"
"温天青迪","保密","上海","1263912780","4","","10000","289","","至年末，霜风寂寂，落叶满庭。 然林野之间，隐约有新芽破土之声。 因此即便社奉行的公务与平日并无二致，却也令人心生希冀。"
"回收の白纸片","保密","安徽","401543095","6","","10000","3132","","托马：来，宝贝，趁热喝！,绫人：嗯~~~第一口就喝到了珠珠诶！！！（疯狂跺脚）[doge]"
"预警掉落VI","保密","山东","678709829","4","","10000","418","","老婆老婆老婆老婆啊啊啊啊终于有ep了[抓狂][抓狂]啵啵剑不歪!!![给心心][给心心]"
"糖渍银鱼","保密","河南","8199293","6","崩坏：星穹铁道","10000","24668","","《余温尚存》×,《奶茶还热√》"
"贺莳-","保密","江苏","15428492","6","碧蓝之海","10000","133","","复制来的：绫人属于剧情不多但是为了他深挖游戏文案越了解越喜欢的角色。他会为了稻妻实业收入买经过特殊漆制过因此价格上涨两三倍的书柜，为了减少战争拨款特地要求工匠设计大量使用木材的柜子并推广给其余两奉行，以挤占天领奉行的军事经费。为了节约，社奉行本部的摆灯里用的也是更廉价的香膏而不是香烛。他还会以社奉行的名义收养孤儿托付给瓷器世家抚养，让他们学习能够养活自己的手艺；联合鸣神大社为普通人分发粮食，甚至联合勘定奉行推广了异国的高脚凳减少稻妻老年人罹患腰部疾病的几率[保卫萝卜_哭哭]另外稻妻告示牌可以留言也很大概率是他提出的，是为了让行人能够更有兴趣阅读告示牌，间接提高通知的传播效率，他不仅背负起了整个神里家，也在关心维护稻妻的民生疾苦，虽然不喜欢公务，但是依旧做得很好"
"欧的臣巳","保密","河北","434209519","5","","10000","175","","“你是哪个省的?”,男孩沉思，他当然知道省的意义。但思绪在飞速演算，省作为人类文明的单位又存在了多久呢?从罗马帝国的行省到今日的联邦和省市划分，站在人类历史望去，省的存在只是短暂的一瞬，当万年后的人类建立银河帝国时，省还会存在吗?从卡米特星云到室女座超星系团，当人类文明沿着群星，逐步建立了庞大的人类帝国时，追寻起源已经没有什么意义，只有作为生物的繁衍纽带－母子关系还能够证明银河公民的身份吧。,“为绫人而生的。”"
"山望舒","女","江苏","37161112","5","","10000","40","","“身修而后家齐，家齐而后国治，国治而后天下平。”这是我对神里绫人的印象。与那些痴迷权力、玩弄权术之辈不同,对绫人而言最重要的就是稻妻的稳定。尽管从功利层面出发,这的确是最符合社奉行核心利益的选择,但正如在角色PV「灯火照夜」中表达的「为万民谋福祉,守护千万小家」的家国情怀与高洁理想,在颇具手腕的谋略家的外表下,绫人拥有的是一颗满怀仁义、赤诚无比的士者之心。[保卫萝卜_笔芯],对比一下钟离，钟离先生就是很儒雅很符合中国人理想中翩翩君子的“君父”形象，看似游离在外实则把控全局；绫人从某种程度上也有点类似，但是作为掌权者却给玩家截然不同的感觉……比起君王绫人更像一个丞相，我是这么想的。[原神_喝茶]"
"孟婆给我加点糖","男","河北","1927676075","4","","10000","123","","本人没玩过原神，对于这种痴迷于虚拟角色的行为我很是不理解。我感觉应该分清现实和虚拟，她们好看归好看，但是终究不是真实存在的，我们要活在现实，每天去想一些实际的事，去充实自己的生活，而不是天天盯着纸片人。自己的幸福要自己去追求，绝对不能被虚拟的事物懵逼了双眼。我的生活很充实，周六是我和绫人的婚礼，记得来捧个场。"
"黑羽kkkk","男","四川","345255723","6","","10000","449","","帅"
"夜猫柳","女","广东","259123782","6","","10000","189","11","看到这个EP才反应过来，绫人是第一次复刻啊。,等一下，绫人才第一次复刻啊[热词系列_知识增加]"
"繁华落尽丨戏如命丶","男","山东","396007813","5","","10000","24","","我作为一个被我朋友忽悠抽了凌人的人来为凌人说句话，凌人确实不是t0，伤害也没有多么爆炸，没有特别高的强度。但是他在大世界刷怪的舒适度，是很多角色给不了的，cd短的优点可以快速的处理多拨小怪，真空期极短，想我这种带钟离雷神凌人的，基本就是钟离e雷神e凌人e，完了之后补上钟离雷神e，凌人e就又好了，在大世界的探索中真的是要多舒服有多舒服。"
"来来来人让人","男","江苏","1631211210","5","","10000","906","","好耶[doge]"
"水别","男","浙江","351017375","5","","10000","104","5","一斗：这黑灯瞎火、孤男寡女、月黑风高的，你妹妹和旅行者在一起干啥啊？,凌人：（咚）瞎想什么呢！我告诉你！绫华可乖啦！"
"美国黑客","保密","上海","1378400918","5","","10000","167","","[星星眼]"
"抽奖永远陪跑","保密","江苏","310035337","5","","10000","19","","明天返校复课，希望今晚绫人和波波剑都能到手[脱单doge]"
"lolunz","男","未知","1004012436","5","","10000","18","","不知道大家有没有看懂这个pv，我来解读一下,视频的第一幕,神里绫人出来复刻，好像是在找人，他找的是谁？给这个pv留下悬念。,悬念慢慢展开，第二幕，龟龟在街..."
"懒懒的叶子酱w","保密","江西","35749421","6","百妖谱","10000","216","","绫人！！[保卫萝卜_哇]马上就可以给你补命座啦"
"阿贾克斯的半截腰子","保密","浙江","479962126","5","春原庄的管理人小姐","10000","109","","暗中陪绫华逛街的俩哥哥好可爱哈哈[原神_哇],绫华好美~,逛小仓屋，是暗示绫华要出新衣服了吗[洛天依]"
"一只水漏","女","辽宁","410531840","5","天官赐福动画","10000","109","","家主大人的EP额啊啊啊啊[哦呼][星星眼][星星眼][喜欢]老婆好美"
"神里あやか丶","女","山东","399940901","5","鹿乃","10000","289","","最后明示老婆想要新衣服啦[tv_doge]"
"好想和左然结婚","保密","内蒙古","321836518","6","","10000","273","","绫人家这么大 自己睡不会害怕吧[脱单doge][脱单doge]"
