"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"真红之火鸡","男","上海","488080","6","","10000","19853","","迪西娅正在做着和北斗差不多的事情。只不过一个在大海，一个在沙海。,北斗面对的是狂暴无情的海风和巨浪，,而迪西娅面对的，则是比风暴和沙尘更冷酷，更无情的人心。,都是刚强凌然飒爽的女强人。,常驻？玩二次元游戏又不是炒股，当然直接满命预定。"
"白猫与蓝天","男","江西","522000638","5","","10000","5364","","本来以为迪希雅会是典型的豪爽大姐偏扁平向塑造的角色，没想到却看到了她别样的魅力所在，“希望之壁，墙壁的本意不是阻挡而是保护，愿孩子们的心灵告别风沙”温柔且可靠，难怪沙漠民众们总是歌颂着迪希雅炽鬃之狮的名号呢[鼓掌]"
"零归羽","男","江苏","317674799","5","","10000","6934","11","迪希雅（Dehya），从称号“炽鬃之狮”，命之座蝎尾鬃狮座可以看出参考母狮头人身的战争女神赛赫美特（Sekhmet），而从猫耳状（这里应该不是狮耳，狮耳一般是圆角的）的发型可以看出参考母猫头人身的月亮女神贝斯特（Bastet），她们都是太阳神拉（Ra）的女儿（考虑到赤王阿赫玛尔即参考太阳神拉，这可能是迪希雅作为镀金旅团佣兵，即“沙漠之子”的参考点）。她是魔神任务第三章第四幕中进入赤王祭司遗迹的三位自机角色，即“三朝圣者”中最后一位实装的，另外两位分别是赛诺（参考死神阿努比斯）和艾尔海森（参考皇室之神荷鲁斯）。,贝斯特也曾经是战争女神，所以赛赫美特与贝斯特常常混淆使用，后来古埃及逐渐趋于和平稳定，贝斯特的神职也向着家庭方向转变，成为生育、舞蹈与月神。埃及神话中赛赫美特由拉直接创造，用于加速已腐朽文明的消亡。传说由于常年暴力与血腥的浸染，赛赫美特陷入了狂暴。无奈之下拉设计用石榴汁染红了一池子烈酒伪装成赛赫美特最喜爱的血液，成功醉倒了赛赫美特，并趁机剥离了赛赫美特的愤怒与杀意，从此母狮神赛赫美特成为了母猫神贝斯特。另有传说称赛赫美特与贝斯特为拉的不同的女儿，即姐妹关系。古埃及壁画中赛赫美特与贝斯特常常都以母猫的形象示人，区别是面目狰狞与否。而公猫则是太阳神拉的化身之一。,联系上文，再参考迪希雅在剧情中的表现，其实可以这样理解：日常中的迪希雅参考母猫神贝斯特，也是一个和同龄人没多大区别的、有自己小心思的少女；而作为镀金旅团佣兵的“赤鬃之狮”参考母狮神赛赫美特，对待任务或来犯之敌绝不懈怠。"
"流星九霄","男","天津","88222510","6","初音未来13周年","10000","12636","","迪希雅是明白人，孩子要是在只待在沙漠里最后要么是进部族，要么当佣兵。送到雨林这边来明显更适合孩子们。"
"Nero丶Stasia","男","山东","165460943","6","春原庄的管理人小姐","10000","3486","","就当是为了迪娜泽黛，对大贤者使用炎拳吧[doge]"
"破坏领主","男","江西","148172","6","","10000","17210","","很有意思，要知道主线剧情里迪希雅可是说过“防沙壁不光隔绝了风沙，还隔绝了我们这样的人。。”哈哈。。只能说这pv的时间段出的妙啊！小草神确实是在改变着须弥。。"
"范二强哥B","男","北京","221850459","6","","10000","5488","11","海哥pv：读书公益,迪希雅pv：希望工程"
"各路子快点好","男","辽宁","8353517","6","三周年恋曲","10000","1309","","提纳里：学生村官,妮露：文化发展,赛诺：扫黑除恶,艾尔海森：知识兴国,迪希雅：希望工程,纳西妲：儿童拐卖,散兵：人才引进[吃瓜]"
"是成不是尘","保密","青海","889660","6","","10000","179","","建议不要再微信端给此类国家公益事业捐款，小心腾讯以自己的名字拿你的捐款，以前已经碰到过给电影《二十二》在微信端捐款众筹，结果电影上映后发现捐款者名单里面没有我的名字，却发现腾讯公益基金会的名字，然后我知道我的钱显示被腾讯拿走，然腾讯公益公益基金会的名义捐出去的，期间我的钱是否足额捐赠到位无从知晓，而且自己做好事被别人顶替这事也十分恶心，尤其众筹捐款的时候微信压根不提示你这钱先由他们收取然后代捐。（转,如果无法直接投给1+1项目就先去投其他项目吧。"
"fireシ","保密","北京","1955335421","4","","10000","70","","捐款守则：,请各位爱心人士自行遵守,1.捐款代表关心贫困儿童，不代表施舍贫困儿童，捐款者与收款者没有高低之分,2.不提倡虚空PVP捐款，请各位保存理智，你们眼中的pvp是孩子们的尊严和人格，不提倡捐款后找他人炫耀，严禁通过炫耀捐款而贬低未捐款者的人格,3.捐款者没有分区，人人都有爱心，禁止去其他分区引战，中国境内人人平等，但他人引战可以直接举报，不建议直接开团,本份守则仅代表个人意见，可自行选择是否遵守，欢迎补充和纠错，评论请尽量保持客观科学理性"
