"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"至冬队长","保密","浙江","525378410","5","","10000","8425","","芙卡洛斯不是罪人是当之无愧的水神"
"释放矿骡","保密","河北","321637114","6","","10000","1333","","是什么让一个神，为了人民，积累五百年的能量，只为审判自己，拯救人民，又是什么让一个人类，苦守五百年的孤独，只为演绎神明骗过天理。"
"一橘四三","保密","黑龙江","1595014854","4","","10000","19905","","神芙在去世后，人芙的诅咒也随之消解，也就是说，在几十年之后，那维莱特还会听到那句,“水龙，水龙，别哭啦。”"
"请勿输入法外昵称","保密","陕西","13456457","6","","10000","15999","","罪人舞步旋是在这里点题的啊，在这之前我一直没有想过所谓的罪人是谁，罪名又是什么。天理迟早要被打一顿。,那维莱特在这里估计是真的为天理的不合理性感到了愤懑吧，我觉得他的背影就像是在哀悼……[酸了]"
"演技不好怨编剧","男","山西","2534531","6","至尊戒","10000","15189","","当时过剧情，跟着推进已经明了水神会死了，只是好奇米哈游到底会用怎样的方式进行这出谢幕之作。,没想到啊，没想到。祂居然起舞了！,之前的剧情虽然刀，但还是能克制住。可这舞步一起，还在双芙之间切换，直接水元素充盈了。,上次须弥是直接引爆情绪，让人泪崩。这次是缓慢填装弹药，然后随着起舞，燃线被引燃一一一嘣！"
"一枚铁蛋","男","内蒙古","59469696","6","","10000","10796","","芙卡洛斯对芙宁娜最后的那段话应该可以算是对芙芙的祝福吧？那芙芙应该不可能再被刀了，她一定会像芙卡洛斯所说的那样幸福地生活下去。"
"wlas666","保密","广东","471880546","5","一周年纪念装扮","10000","9255","11","还有胎海淹没枫丹的过场动画，你也别忘了发啊[墨镜]。我觉得那个在本次的主线中也非常值得回味，对整个枫丹都有刻画作用。"
"波罗的海淹死的鱼","男","河南","1182171584","5","崩坏：星穹铁道","10000","8116","7","很好的4.2主线，使我的水元素充盈[墨镜][墨镜],这下原神也能有属于自己的伥鬼剧情了,编剧你不会以为这是什么好事吧[藏狐][藏狐],一直笑崩三剧情16+原神6+,这下笑不出来了[大哭],我反复重温芙卡洛斯的罪人舞步旋，,循环播放她的轻涟,突然想起,,上一个展现如此神爱世人的女神,,叫爱莉希雅,,上一个独守五百年的人,,叫奥托,,可是爱莉有十三英桀始终愿意相信她陪伴她,,可是奥托有着常人所不能及的心机与耐性,,但是芙宁娜有什么呢,,她什么都没有,,身为神明,,她没有能够倾诉的挚友,,没有能够托付一切的眷属,,身为水神,,她甚至没有操控水元素力的能力,,她只能靠着自己凡人的力量和智慧去独自对抗五百年的绝望,,芙宁娜演了五百年的戏剧，等来的是对自己的审判；芙卡洛斯积蓄了五百年的律偿混能，为的是给自己最后处以死刑,,罪人舞步旋，倒过来是宣布无人罪,,既然无人罪，又为何要判决她判处这种极刑,,晚安，【众水，众方，众民与众律法的女王】，芙宁娜·德·枫丹,五百年歌剧落下帷幕，好好休息吧,异乡的旅人，在此，敬，【水神】芙卡洛斯。"
"蒸汽机车铁路人偶八六","男","浙江","58427593","6","C酱です","10000","6558","","其实当初芙宁娜可以选择自己的人生，但是为了枫丹宁可舍弃自己的人生，戴上面具选择成为一名演员"
"枯萎的赞歌","保密","重庆","351883710","5","公主连结可可萝","10000","5510","","见证了这一幕的我头一次在崩坏三以外的故事哭出了声，我真心希望有越来越多哪怕不玩原神的玩家能够感受到枫丹剧情的美好，我也希望有越来越多的原神玩家能够去感受崩坏三的美好[打call]"
