"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"执念思迁","保密","无IP","510153575","5","公主连结凯露","10000","5562","","看了几位仁兄的发言，似乎对这个pv都不满意，因为没有展现更多的内容。但我觉得还好。以下几点并未被提及。,,一、神里在练剑术的时候是追求实战的，不是花架子，但当托马说到要收手的时候，突然意识到是要和 旅行者 切磋，于是开始考虑收敛（但动作并未收敛）。也就是说，她期望与人切磋，且想真实体现实力，却不断被人提醒要优雅，可以做什么与应该做什么，这个矛盾正是她身份是雷神侧，但心可能更偏向反抗军的体现。,,二、开篇，神里向旅行者介绍刀术。然后，当着旅行者的面拔刀（从正常位置）。然后，要求切磋。练刀时用了真力量，在托马劝了她以后，她虽然口头意识到了应该收手，但事实上挥剑的力度却并没有减小。其实，如果仔细琢磨，神里从头到尾并不是体现出对旅行者的期待，而是对旅行者剑术的期待。或许在这个环境下，没人会认真的与神里切磋，比如托马评价神里的剑法，就是漂亮和精准，所有人都会让着她，所以她很渴望一个来自不同地方，对她没有顾忌的人来一场真正的切磋，只是这个人，在这个时候，恰好是名声远播的旅行者你。,,三、所有pv中，这可能是第一个着重（甚至完全）于体现角色优雅的，或许这就是神里这个角色的核心。但同时，两个pv却都也体现了神里的矛盾表现（在外优雅，但内心却不干于优雅；以优雅之姿练习剑术，但却无时无刻不想证明自己的实战能力），这不就是神里的核心吗？更何况，为什么优雅不能成为神里的核心？只以美貌评价女性是歧视，没错，但完全不能以美貌评价女性，其实又是另一种歧视，对吧？"
"一只路过的风史莱姆","保密","无IP","172577547","6","","10000","12646","","烫知识：提瓦特的纸片人也是人，也会有除了和“你”之外的游戏人际往来。辱骂角色的很难不让人认为你是那种交往对象向别人问个路都要扯着头发回家家暴的躁狂症患者"
"琪菈Kira","女","无IP","501224178","5","初音未来13周年","10000","16259","","来点谐音冷笑话,托马每次吃番茄都会头疼,因为,托马头（tomato）"
"树洞掏榛子","保密","无IP","2845891","6","","10000","5173","","有人说神里传说任务媚宅，我不同意。,我朋友也很少，我就很能理解神里的做法。我小学第一次交到朋友的时候我也天天粘着对方，我不仅粘着，我每次写作文都要在作文里跟人告白（因为我当时只有写作还算好一点，能被老师表扬）。对不起，我们这群朋友少的就是把握不好交往距离。交朋友其实也是要学的，神里就是很生疏啊，这种生疏感很让人心疼的。"
"求求别再删我id了","保密","无IP","122980159","6","星座系列：金牛座","10000","11907","","“先生，我认为文言文比白话文更加简洁”,“请举例”,“就好像沉鱼落雁这句成语不是比白话文更加简洁吗”,“沉鱼落雁是四个字，该用白话文两个字足矣”,“怎样讲”,“神里”"
"Mr-Master-","男","无IP","381804676","6","","10000","6558","","我也来个谐音笑话,托马明天一定会吃肉,因为,托马肉( tomorrow)"
"purehalfblood","保密","无IP","480460653","5","","10000","2935","","原神各版本up五星总结：,1.0[干杯],1.1,1.2,1.3[怪我咯][灵魂出窍],1.4[干杯],1.5[傲娇],1.6"
"银河落于指间","保密","无IP","46021772","6","#EveOneCat","10000","5419","9","BGM真的好牛批啊,开始是尺八和日本筝，,中间穿插着钢琴，,最后弦乐收尾，钢琴点缀。,由稻妻传统乐器转现代乐器，这说明绫华在传统的基础上不失进取之心。（2.0雷神出场只有尺八，说明雷神恪守传统，而绫华是传统与现代相结合的，这也是绫华支持我们推翻眼狩令的原因吧）,最重要的是，她在等！她在等！"
"AYZ_0v0","保密","无IP","384575581","5","","10000","6774","","不是怎么弹幕里有人对托马这么大恶意啊…,人家是下属，陪练剑的…,（我很怀疑是不是那个爆料的乱造的谣你们还当真呢）"
"臻de妙","保密","无IP","1313767650","5","","10000","1587","","我抽到的第一个五星就是神里绫华!,当时的我才刚刚升到世界二，由于初期不会配圣遗物和武器，打怪很吃力，打boss更是像在刮痧一样...... 意外抽到了神里，战斗力大增![傲娇] 不仅如此，像是解谜，拿神瞳，大世界的各种，都变得轻松不少。,只可惜我只要0命，她的输出能力对于早已世界11的我来说，有些供不应求了。所以，趁这次神里复刻，一定要抽个命座出来，神里绫华永远滴神! [傲娇],,不对，这是神里up池，不是复刻?,穿错时间了，打扰了嗷[傲娇]"
"无形的流动","保密","无IP","373185081","6","","10000","638","","看很多人觉得这个pv不太吸引人，但实际上制作也是很精良的，这种错觉的主要原因是神里剑术练得很好，但身份高贵很少实战，那种一下子就能让人看的“哇塞”的镜头，往往是非常激烈的，这种夜晚练剑的场景，和之前皇城PK的风格当然不一样，就好比同样是世界名著，看《地心游记》就能很快上头，看《追忆似水年华》，一开始就会感觉很枯燥"
"伞哥哥の姛学","保密","无IP","348642340","6","战双帕弥什","10000","5953","","神里：托马，为了练习力道不伤到旅行者，你先陪我练练,托马：？？？"
"云端有只馒头","保密","无IP","195406956","6","星座系列：射手座","10000","1677","","看到托马也别发什么“公子换皮”之类的，不过都是成年体型的年轻人而已（mhy就那么几个模），提瓦特上的每个人都是独一无二的存在，每个角色都有他自己的故事，之前万叶说是“哥哥换皮”，现在呢？谁还会把他和哥哥混在一起？"
"暂时潜","男","无IP","291390742","6","明日方舟","10000","2684","","卧槽，评论区风向不太对啊。这么好的pv不应该吹爆吗。pv的配乐、分镜、剧情节奏、动作设计等等都很棒，绝对是精心雕琢打磨过的艺术品。神里还有好几个可爱的细节动作，实在是动人心弦～"
"水木小白_L","保密","无IP","25113282","5","","10000","748","","能感受到官方对每一个pv都是用心的。每一个pv都在贴切人物形象本身的同时在尝试新的风格。却又始终不脱离角色本身。角色演示又不一定非得是快节奏的，让人看了直呼过瘾。如果所有的角色演示都是同一种风格同一种节奏同一种模板那才是真的完蛋。"
"丶桃园哆哆","男","无IP","31466627","5","","10000","108","7","目前看到很多人对视频有些疑问，下面说一下自己的理解：,问题一：,,神里是在和谁对话？,答：这里应该就是对旅行者的说的话，异乡的剑术，除了指旅行者我想不出别人，并且视频结尾也点明了，神里找托马练习剑术是为了和旅行者切磋。,,问题二：,,为什么神里会知道旅行者要来,,答：我看有些人说其他人（比如八重神子，霄宫）告诉了神里旅行者的事情，其实不然。从视频开头神里与旅行者对话可以看出来，这段视频的时间线应该是在旅行者抵达稻妻后，并且与神里已经相识后时段，因为神里从小学习礼仪，如果和旅行者是才见面，不会提出切磋，那样很不礼貌，必定是相识一段时间后，大家比较熟悉了才会提这样的请求。,,另外说一点，有些朋友看了视频后会有一种时间错位感，比如一开始神里在跟旅行者说切磋，结尾又说旅行者来之前和托马练习，其实仔细看我们可以发现，开始神里舞剑是在茶室内，而结尾和托马是在室外，这明显是两个不同的空间与时间，这里可以有两种理解。,一、视频是倒叙的手法：,第一段在茶室的时间线是在后面，旅行者拜访神里后，神里和旅行者切磋，然后讲述了旅行者来之前神里为了旅行者找托马练习一事。,二、正叙：,神里和旅行者约好切磋的时间是在第二天或者更以后，这也解释了为什么神里第一段舞剑是单人表演，并不是和旅行者对打，也许只是神里向旅行者展示了神里流剑术，让旅行者第二天能有所准备。,,以上仅代表个人理解，对于其他人提出的逻辑漏洞我是这样给出解释的，有不同见解欢迎评论区留言。,,另外，mhy牛逼！神里yyds！"
"如月抹茶","保密","无IP","558134","6","","10000","14268","","这个角色演示大量运用了升格镜头和常速镜头的快速交替变换，创造出了独特的时间流逝的感觉，慢到定格的一瞬，快到跳切，只显示动作的开始和结束 干脆利落。配合高速变换的镜头运动给人带来一种隐约的婆娑之美，是值得鼓励的创新。"
"123UMR321","男","无IP","6017155","6","崩坏：星穹铁道","10000","482","","有空的兄弟们团结一波守下塔，万叶的pv里那句话就是我们的现状，“把帆收一收，暴风雨要来了”"
"夜曳夜叶","保密","无IP","62979925","6","乐正绫五周年生日","10000","402","2","也不算邀请吧，托马叫神里小姐应该是下属，下属陪练剑不是非常正常的吗。我觉得这里应该是分两段的，刚开始是神里邀请旅行者切磋，后面是神里在旅行者来之前和托马练手怕切磋自己下手太重。否则托马什么实力神里不清楚，刚开始切磋的台词就有点不对劲。有些人就喜欢自绿，阅读理解都不会做[无语]"
"X无所不知无所不能X","保密","无IP","358039142","5","鹿乃","10000","6552","","旅行者的剑术:每天在提瓦特大陆用单手剑挖矿,                                                                  ——诺艾尔"
"诚如君之所说","男","无IP","85444254","6","异常生物","10000","19008","","不可否认，像这种二次元游戏，卖的就是个角色，人设，所以你们可以看到，几乎所有二次元游戏的可抽卡角色都是单身，异性CP几乎是没人敢碰甚至可以说是相当避讳的，女性角色尤其如此（当初崩三亚当刚出来时节奏就不小），但是，如果你真的认为纸片人就应该把一切都以你为中心，就不能有一点不合你心意的地方，以至于连一点异性人际交往都不能有，那我建议你去玩萌豚一点的游戏，就是那种除了玩家和角色找不到第二个活人的那种，角色扮演游戏可能不太适合你，反正我个人相当庆幸，我喜爱的角色们有自己的人生，故事，家人和朋友，我为他们高兴[微笑]（本条评论只针对部分玩家，本人对萌豚游戏没有任何恶意[保佑]）"
"银河落于指间","保密","无IP","46021772","6","#EveOneCat","10000","5419","9","BGM真的好牛批啊,开始是尺八和日本筝，,中间穿插着钢琴，,最后弦乐收尾，钢琴点缀。,由稻妻传统乐器转现代乐器，这说明绫华在传统的基础上不失进取之心。（2.0雷神出场只有尺八，说明雷神恪守传统，而绫华是传统与现代相结合的，这也是绫华支持我们推翻眼狩令的原因吧）,最重要的是，她在等！她在等！"
"SSSS-MaX","男","无IP","2547200","6","","10000","2148","","我只能说太棒了，短短的几分钟两个PV将一位柔情且严肃的·形象，形形舞于眼前。神里述刀理，舞刀形作为这么一位年轻的女孩获得了免许皆传，本应极难做到的内涵的完美表达。但mhy做到了，讲述刀理时的成熟温柔，在所有的攻击动作舞刀时，脸上表情都是严肃认真，贯彻其理，再最后又将小女子的小俏皮神里的另一面展现了出来。又映射其神之眼之上，本应冰冷的元素确实充满爱的主题。亲民为民逆强权，执刀舞刀挡在前。冰雪的寒冷与剑圣的严肃下是那个为人着想还有点俏皮冒失的小姑娘。再加上陈老师yyds。这些究极炸弹里还能想别的？那就是月牙天冲吃少了。（是不是浓度太高了）神里不要逼我跪下来求你，千万别歪[保佑][保佑][保佑]"
