"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"百野栞の书架","保密","黑龙江","88093754","6","还有醒着的么","10000","4513","","科普下坎蒂丝的中配和日配cv,中配cv：张琦,主要配音角色：,艾莉丝———《原神》,申天风———《九九八十一》,山兔———《阴阳师·平安物语》第三季(中配版),“我”———《恋与制作人》,庄晓曼———《隐形守护者》,V(女性)———《赛博朋克2077》(玩家主角),鲁鲁———《布鲁可战队之危客对决》,绒嬷嬷、句芒———《京剧猫》,唐三(童年)———《斗罗大陆》,皮皮———《皮皮特攻队》,小奥———《思念的温度》,风铃儿———《风灵玉秀》,秦小路———《王子碰碰球》,斯卡蒂———《明日方舟》,辛德拉———《英雄联盟》,布丽吉塔———《守望先锋》,妖刀姬———《永劫无间》,恶灵———《Apex》"
"柠檬味的桃纸","男","广东","9030736","6","","10000","18703","","坎蒂丝（摇摇头）【像你这样的门外汉......是不可能赢我的。】,斗大的汗珠从荒泷一斗脸颊流下。,荒泷一斗（叹气）【.......就这样结束了吗？】,【老大！】,荒泷一斗猛地扭头，看向观众席。,那里，是久岐忍正在为他加油鼓气。,明明才吵了一架，说再也不理我了才对。,【......你不生气了啊。】,他忽然不怕了。,荒泷一斗（大喊）【我的回合！抽卡！】"
"天空岛的愚者","男","北京","173323339","6","至尊戒","10000","14011","10","坎蒂丝号称赤王后裔，结合她阿如村守护者的身份，可以将其视作【法老】。因为法老就自称为太阳神的儿子，并且自认为是荷鲁斯的化身，荷鲁斯的眼睛很特别，这与坎蒂丝也是一致的，并且她身上也有荷鲁斯之眼的变体首饰。,她的盾牌上刻着象征太阳的圣甲虫，寓意永恒，无畏，牢不可破，文字的意思则是【坚定不屈的胜利】，考虑到这玩意是角色自带的装备，或许是赤王造的神器也说不定，应该存在某些加护。,另外，坎蒂丝的长图立绘上用暗纹写着【被太阳神选中之人】【太阳神之眼】等字样。"
"余璇定理","女","天津","103823407","6","","10000","1239","","坎蒂丝（X）,「诸世界的大冒险家」「很坏很坏的大魔王」「旧蒙德的守护者」「心怀希望的大朋友们的朋友」「提瓦特游览指南作者」「鲸井流手鞠术的宗家」「大名鼎鼎的桑歌玛哈巴依老爷的供货商」「魔女会元老·代号A」「最可爱的可莉的妈妈」艾莉丝女士（）[doge]"
"莱伐子苻","保密","河南","487290976","5","","10000","3542","","村民们常说，坎蒂丝就如同那面被祝福过的盾牌一样，是阿如村最坚实的防线。,但坎蒂丝心中清楚，这面盾牌并无奥妙，只是趁手的武器罢了。,更为重要的，其实是举起盾牌时的决心。"
"艾斯塔Est","保密","山东","36588435","6","","10000","8242","","你们阿如村是人手一把赤沙之杖吗[doge]"
"不开盲盒的食野餮餮","保密","贵州","87710004","5","","10000","1810","","已经开始见到会有很多人配那首bgm。,哦哦哦哦哦哦哦，但我不一样。,我直接——鱼获——》明日香.JPG。[脱单doge]出生小曲-ing"
"名字就叫大梦一场","保密","湖北","312760509","6","","10000","628","","太香了，我是说卡池[doge]"
"天命yue","保密","陕西","297107727","5","","10000","722","","那么坎蒂丝能否打破水系都有钱的定理呢"
"贰式里疾风","男","安徽","93597952","6","","10000","442","","好感动，还有那么多人知道边境的女人，知道传颂之物，你知道找个同好有多难吗[大哭][大哭]"
"你不要叫我做饭啦","男","广西","39642771","6","","10000","1975","6","别人听到的：听取我的战祷！,我听到的：哦哦哦哦哦哦哦哦哦哦哦[doge]"
"游戏茶馆君","女","四川","102308177","6","","10000","5640","","坎蒂丝和戴因啥时候来一场决斗啊，复刻伊西丝打海马就行[脱单doge]"
"笑死改名也中不了奖","保密","浙江","324490668","5","","10000","153","11","安卡可以说是辨识度最高的古埃及标志，被称为“生命钥匙”或“生命十字”，从古埃及王朝初期，即公元前3000多年开始，就已经存在了，属于世界上最古老神秘的护身符之列。,安卡在古埃及是永生的标志。古埃及重要人物经常佩戴安卡作为护身符，比如法老和贵族。另外在神庙里也可以看到，古埃及人供奉的神:不死之神奥西里斯和能让人复活的女神伊西斯经常手持安卡。,埃及学家认为，安卡这种十字标志可以代表水、空气和太阳，在古埃及文化中，这就意味着它能提供和保护生命。,（博物馆的埃及壁画里都可以看到那些埃及神拿着生命之钥的图） 所以这东西不是某些地方的原创哦，而是历史"
"寒炎","男","天津","64954","6","崩坏：星穹铁道","10000","138","","日配是柚木凉香，她配过的一个代表角色是 传颂之物 的女主角 艾露露。,,也许有许多人没看过这个作品(是剧情很棒的系列作品，非常推荐，一代有18+版本)，但艾露露这个角色的主要背景包含如下Tag，,,平时“温柔”，遇事“坚强”的女性，,在故事前期是“村子实际的领导者”，,实际身份为“古代神明的血脉末裔”，,拥有着“上古超科技文明【伟大之父】科技启动的关键道具”,,你说米哈游这个梗狂魔是故意选的她我是完全相信的…毕竟柚木这两年配音工作少了好多…[笑哭],绝对信任的事米哈游的二次元浓度……,,顺带一提 艾露露 还有醋缸属性和生气时候超可怕属性，村子里的老虎神兽都怕她……[翻白眼]"
"阿基正在路上","男","湖北","89582938","5","","10000","37","","村民们常说，坎蒂丝就如同那面被祝福过的盾牌一样，是阿如村最坚实的防线。,但坎蒂丝心中清楚，这面盾牌并无奥妙，只是趁手的武器罢了。,更为重要的，其实是举起盾牌时的决心。"
"NoriAye_","保密","北京","11268223","6","明日方舟-愚夜密函","10000","301","","非常希望出一个新功能：允许玩家在游玩大世界的时候可以给每个角色自由设置不用语种的语音，剧情不强求分语种，起码大世界能自由设置就好了，因为很多玩家对角色的四个语音的主观喜好也不同，如果平时游玩的时候能听到自己喜欢的语音，体验会更好，真的很需要！"
"XY大甘蔗","女","上海","44243","6","","10000","376","","听我说，我的！"
"张佳理筚篥管子","男","北京","393502912","6","","10000","299","","看到大家喜欢这段音乐我就放心了"
"Evelet_泠雨","女","福建","11822358","6","","10000","50","10","坎蒂丝雷泽（凑一队）=风灵玉秀"
"一只天青色","男","甘肃","18305330","6","","10000","65","9","须弥有卖盾与矛者，誉之曰：“ 吾盾之坚 ， 物莫能陷也 。”又誉其矛曰：“ 吾矛之利 ， 于物无不陷也 。”远道而来的旅行者曰：“以子之矛，陷子之盾，何如 ？”"
"贰式里疾风","男","安徽","93597952","6","","10000","442","","好感动，还有那么多人知道边境的女人，知道传颂之物，你知道找个同好有多难吗[大哭][大哭]"
"龙门老近卫","保密","广东","244273032","5","领风者","10000","440","10","我的回合，抽卡！(双重含义)[doge]"
"一个路过的正鲸人","保密","江西","1380514940","5","崩坏：星穹铁道","10000","306","12","有谁是和我一样12点在疯狂刷新动态[doge]"
"EmmaStan","女","云南","4897834","6","","10000","659","","英配完全就是香水广告啊家人们,我来配个广告词[doge]有内味你就给我个赞[妙啊],,神秘而热烈的荒漠秘境,咖啡与乳脂 烟熏草与白麝香,,极致的诱惑于危险并存,在无尽黑夜里绽放沸腾,,Hoyo Beauty 全新女士淡香水 CANDACE,9月28日 全国上市[OK]"
"布尔顿","保密","黑龙江","487209859","5","崩坏：星穹铁道","10000","698","11","卧槽"
"Kii崽","女","未知","76854555","5","","10000","354","","是了是了~『说最温柔的话，甩最牛逼的枪~哦！还有盾！』[tv_偷笑]"
"空明喵喵","女","未知","11421019","6","原神","10000","103","","嘿嘿，坎蒂丝，我的坎蒂丝"
"精木眼里没放盐","保密","未知","49864900","6","工作细胞","10000","79","","0:22 那里 不知道为啥 感觉这张脸特别像那个 埃及猫? ?"
"一颗好吃的土豆蛋子","保密","未知","13099461","6","#EveOneCat","10000","72","","注意看，这是麦外敷！！"
"假夏宇","保密","辽宁","15373488","5","","10000","108","","钟离变全属性计划开始实施[doge][doge][doge],好耶[热词系列_好耶]"
"萌新二次方","男","上海","125776535","6","","10000","68","","[doge]姐姐的盾不错，家里差个饭桌，懂我意思吧"
"万事都可明觉","男","浙江","361552084","5","","10000","65","","这个pv感觉比隔壁赛诺看得让人更有抽的欲望这是可以说的么"
"天天开心小开","保密","江苏","294188009","5","","10000","49","","槽卧！"
"今天给长月寄刀片了嘛","男","广西","10967898","6","罗小黑战记","10000","58","","在？你为什么按照时间顺序来找冰箱评论[脱单doge]"
"派大星","保密","湖南","1195383561","5","","10000","38","","很多人觉得坎蒂丝太漂亮了，但坎蒂丝不会喜欢我的老婆是不会喜欢其他男人说他好看的"
"没有肚脐真君","保密","山东","8574127","6","","10000","37","","穿着凉鞋在沙漠里脚脚不会脏吗？来放我嘴里，我给你洗洗。（节约用水嘛[doge]）[脱单doge]"
"维寒迪之春","男","广东","399889774","5","原神","10000","40","14","都是从冰箱来的是吧[脱单doge]"
"二号寄","保密","福建","1896212808","4","","10000","36","","感觉四星的角色演示要比赛诺的好很多[原神_哼]"
