"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"我又来了__","保密","湖南","38959925","6","","10000","2370","","蹲下的时候踮起脚，说明后脚跟的韧性不是很好，需要多加锻炼"
"流星老爷","男","上海","1741045","6","","10000","1809","10","动作希望可以丰富一下，就像这pv里一样。都出一样。很多人长草期就靠一些社交去留存了。所以特别重要"
"晚风渐息丶","保密","广西","386349220","6","崩坏3·天穹流星","10000","3818","10","所以下版本能有纳西妲和兰那罗的互动嘛？唯一一个和眷属没有剧情互动的神[崩坏3·终焉归始_指点]"
"太宰饭一郎","女","山西","26430457","6","明日方舟","10000","391","","可不可以卸载以前的语音和剧情啊，有地方下载没有地方解压[笑哭][笑哭]"
"乃香包","保密","安徽","143836671","6","良辰美景·不问天","10000","1142","","草神推行沙漠支教和基础建设甚至是主线的、带语音的剧情，所以说认真看剧情啊"
"焰色不息","保密","新疆","512711022","5","","10000","363","","那啥，大家能不能不要在纳西妲宝贝的视频底下吵架了，喜欢小草神的玩家真的很不舒服的，纳西妲很可爱，希望大家可以夸夸她[给心心][给心心]"
"萧默仼","男","甘肃","24486430","6","","10000","149","","有人接受不了纳西妲接受散兵？从剧情表现来说，不是纳西妲接受散兵，而是纳西妲在了解过散兵过往后，定计让散兵归入自己的阵营。要不然为什么纳西妲会在世界树里给散兵那段过往历史的真相？又为什么会特意在意识深处留下一个层层保护以童话形式保留的记忆？散兵在世界树里抹除自己的行为，纳西妲也是应该预料到了的。甚至就大慈树王的事，纳西妲应该意识到部分，这些在纳西妲的角色任务里有表现出来。纯真不是傻，孩童形象不代表天真一无所知，你们是不是忘了纳西妲是什么神？智慧之神啊。"
"吃甜軟糖兒1_30-1-0","保密","广东","447385326","6","","10000","804","","不知道下面这段[冷]笑话够不够[冷]，希望大家不要被蔓延到这视频的节奏影响了心情[原神_欸嘿]。,一天，纳西妲打算去奥摩斯港采购物资，她从六大学院抽出代表作为陪同。出发前，纳西妲因为得处理完事务，所以她让众人在港口约好船等她一下。,须弥城港口工作人员：几位是要去奥摩斯港吗？今天去奥摩斯港人很多呢，很多船都还没回港，剩下的船也不多了，但好巧不巧刚好够6个人乘坐呢！,提纳里：那纳西妲大人怎么办？她坐什么？,赛诺：牦牦驮兽,众人：？？？,赛诺：刚才提纳里那句话，像是在说『纳纳西妲』，类似的格式，我还知道『牦牦驮兽』"
"艾宴","女","美国","698288911","5","萌宠小狗","10000","542","","那句话的前后内容我看到了，不知道真假，如果是真的也就是正常的一段话啊……就这？这怎么让那么多人破防的？"
"沐悦zlanx","女","浙江","499552342","5","","10000","242","","我看了这么多评论，总结一句话，准确来说是一个字：“乐”。这就好比《温迪向雷神下跪》，都是内鬼爆料的剧情，都是被断章取义，就像做阅读理解不看上下文一样。具体剧情还得看活动开始了再说，现在出来的都是其中一个片段，或一句话。小心又被打脸[嗑瓜子]"
"寒星停云","保密","江西","258507719","5","","10000","383","","什么时候能在剧情里看到小草神和兰那罗们一起活动[星星眼]"
"要来点普洱茶吗","男","北京","449205972","5","","10000","647","","之前须弥主线的时候就看到这么一句评论，是形容打败散兵时的纳西妲与结尾的纳西妲对比的。,“金刚怒目之后，便是菩萨低眉。”,我认为非常切合纳西妲的人设。"
"AGentleLife","保密","广东","87202614","6","","10000","178","","扫一眼评论区还以为发生了什么大事，结果相比剧情，吵起来的理由更让我叹为观止"
"不是绯云","保密","广西","23552682","6","","10000","541","","为什么要在小草的视频底下刷别的角色[委屈]小草只希望听到你夸夸她好不好"
"于月下观星中","保密","安徽","56798824","5","","10000","34","","看着评论区完全不知道发生了什么。。果然不逛社区世界就会一直美好 期待新版本呀[脱单doge]"
"是乐土大孔雀鸭","保密","江苏","486938752","5","","10000","500","","所以节奏关我啥事，影响不到我，小草神女儿可爱就完事了，赶紧的，我要看剧情传说任务，开心！！！！这次复刻给你捞专武[喜欢]"
