"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"Tsuna-gintoki","女","无IP","321574566","5","","10000","1936","","我好吃他的人设，对国家赋予最高的忠诚与热情，对家人给予最温柔的对待，初恋脸＋高挑身材，而且你可以看出公子私德是很ok的，他其实很清醒，他知道自己在做着黑暗的事，可是为了国家的未来，他也一定会做，他能做的，只是尽量少伤害人，从他对旅行者的态度就可以看出来了，想象一下，如果这样的人是你的伙伴，你不会为有这种人守护自己的国家，守护自己的未来而心动吗？"
"CDA-TheChampion","男","无IP","493365277","5","","10000","8280","","人是至冬的,天赋书是蒙德的,突破材料是璃月的,神之眼是枫丹的,他的整活是须弥的,专武飞雷是稻妻的,礼貌冬极：你吗？[doge]"
"assweff","男","无IP","325804318","5","至尊戒","10000","593","","嗯…我一直在思考如何评价达达利亚，战斗狂？亦正亦邪？有，但感觉差了点什么。看过这次他在迷境的表现后，我大概有点明白他的行事风格了。,达达利亚一直都有当坏人的自觉，没有掩饰过他可能有坏心思，他只是坏心眼的让你在两条道路中做选择:,一条是需要自己摸索，行进艰难的崎岖之路，一条是我公子铺就的平坦大道，在这条路上我可以真心的和你说说笑笑，打打闹闹，但等到了终点，如果彼此目的向背，那谁能笑到最后，就各凭本事了。,他把选择权交到了你手上，是要自己艰难行进，举步维艰，还是走他这条捷径，但要承担隐藏的风险。,在璃月，他上来就明确告诉了你:“我是坏人”，旅行者也一直对他抱有警惕，但他接下来抛出了诱惑:愚人众的情报网，关系网，巨量的资金。我当然目的不纯，不是白白帮你，但目前没有我的帮助，你连下一步都迈不出去。最后，公子在黄金屋现身，算是彼此都能预料的事。,这次在迷境也是一样，我明明白白告诉你我来稻妻目的不简单，也许知道不少隐情，我们当然可以现在就翻脸，但面对这座神秘的迷境，有我在，攻克迷宫可以更顺利，遇到危险也可以多一份助力，而且留在身边可以试着通过试图获知我的真实意图。为什么公子不用像式大将一样被测试呢？因为旅行者一直的态度就是“这家伙信不过，但有用”，公子对这一点也是心知肚明，并且有恃无恐。,五席【公鸡】对公子的评价是“你可以信任他，但不要迷恋他”。我的理解是，当你选择走他给的道路后，未到终点前，你可以接受他的帮助，与他协力合作，但当终点近在眼前时，便不可犹豫，需要时刻警惕他的利刃。,--------转发我觉得特别合适的别人评论"
"QAQ鸟儿","男","无IP","11378675","5","三周年恋曲","10000","8481","","热知识：做任务可以直接到鹤观七天神像脚下，不用开船[脱单doge]"
"浅____夏","保密","无IP","162524096","4","","10000","2131","","公子出了来还愿一下，我挺佩服公子厨和公子同人大佬的，虽然公子风评不算很好，但公子真爱党和公子的同人质量真的很高，我这次抽公子并且喜欢上公子很大一部分是因为各位公子玩家的优秀二创。是他们让我去深入了解然后喜欢上这个角色，哈哈哈我现在越看公子越来越喜欢他，这个男人真的好帅，不愧是让我xp抽卡的人。"
"非典型野龙","保密","无IP","1585470","6","","10000","727","","这张ep真的好听……他在筝声中看着璃月人放飞海灯，伴着三味线看稻妻的樱花飘落。我亦飘零久，十年来，深恩负尽，死生师友。我不知还要辗转多少地方，亲爱的小妹，一纸遥寄思念，不必替我担心。"
"竹斋眠","保密","无IP","38116451","6","三周年恋曲","10000","271","","唉把我另一个视频评论复制一遍。不想对线就虚空打靶了，看了么多解释我就挺奇怪大家看的不是一样的剧情吗。公子恢复智力明白过来岩神诈死（但不知道是钟离）自己被骗了，然后就怒了心里话魔神攻击璃月这么大个危机我看你出不出来救场，没想到钟师傅心大凝光他们也是有本事给扛下来了。放魔神不是为了激岩神出来吗，有些评论就只说针对璃月人民怎么怎么地，这脑回路咋回事儿。还有反驳的立场不同，我寻思这个主要是剧情表达啥不管只看到自己想看的，用客观手段问题来反驳主观目的问题能争论出个啥结果。没想到啥好比喻，比方说反派绑了女主，说男主你不来跟我决斗我就撕票了，一般这个时候男主就登场了，咱钟师傅相信女主能自救，危机解除他根本没鸟反派。这种情况一直在那说反派想撕票女主好坏呀，就也不能说完全没有道理吧，但这问题不是这么考虑的吧。个人理解吧，就觉得这一9+（12+）不是挺清楚的嘛，哪有那么多可纠结的。另外提一句，那些很沉重的词能这么轻易地拿出来我不知道这些人究竟是怎么形成的观念，光是想到就心情沉重的无以复加是怎么如此轻浮地当做尖锐的攻击用出来，我真的很恶心这种说话方式。叠层甲，这里是正常说话的正常人要交流的话拿出三次元的教养好好说话别拽那几个词儿，直接开喷或者阴阳怪气拉黑不废话哈。"
"慕清隆_原铁代肝","保密","无IP","174945001","6","","10000","15883","9","“这杯子怎么不是水伤啊？”哈哈哈，第三首公子看杯子那里，谁发的 给我站出来！！哈哈哈"
"鹤谣音","女","无IP","688270277","5","","10000","374","10","旅行者们,如果对胡桃语音被修改感到不满或者嫉妒愤怒都请冷静 移步到游戏内小派蒙页面的反馈并进行点评 在视频底下刷的用处不大 另外还是不要太情绪化 我也爱堂主 我也更喜欢原版 但改了是事实 不要太偏激为好 明天还有很多事等着你们做 不要因为琐事影响了心情和状态"
"一杯欧皇柠檬茶","女","无IP","399918311","5","第五人格","10000","1752","","公子在周边上被偏爱也是有理由的，毕竟是日服人气top，而本子国吃谷能力大家都了解，我买公子日谷，从来都是买一捆一或者盲盒隐藏款，关键就这样都断货，有一个公子胸肌鼠标垫预售已经等了快一年了[辣眼睛]"
"boomboomjeffrey","保密","无IP","12559208","6","EveOneCat2","10000","1345","","我的公子是僵尸[藏狐]，谢谢你mhy,我一斗稳了"
"账号已注销","保密","无IP","693134582","0","","5000","1381","","百度词条,迷你专辑（extended play）简称EP，俗称细碟，是一种介于单曲与专辑之间的音乐发行形式。通常意义上，单曲一般包含有1至3首曲，而迷你专辑通常包含了5至9首曲目。尽管如此，以上两者的曲目数仍然不足以将唱片作为专辑来发行"
"翰墨子时","保密","无IP","389253516","5","","10000","482","","在英语课上抽的，歪了琴，很难过，加上合肥的妖风，整个人都在抖，我们英语老师在我旁边转了好久，一直盯着我[大哭],总共就歪了两次池子，两次都是达达利亚，第一次刻晴，第二次琴，鸭头，你好贵[大哭][大哭]"
"笨笨姬威威","保密","无IP","245761973","5","","10000","792","","今天把我攒的六十多发原石都用了，打死不出达达鸭，气的我都不想玩了，实在舍不得鸭鸭，晚上上线的时候做了新地图的任务，做完任务快下线的时候我就放大鸭鸭的脸，我心里那个气啊，我就想到刚才任务送了一些原石，最后的三发，第一次重云，第二次来了个三星武器，我已经不抱什么期望了，可是我撇到那一束金色的光，激动的心颤抖的手！！啊啊啊我还以为歪了，呜呜呜我的达达鸭达达鸭啊啊[大哭][大哭][大哭]妈妈爱你啊，我的鸭！"
"Napstablook-owo","保密","无IP","266708018","6","","10000","3482","","达达利亚 唯一一个拥有两个ep的男人[doge]"
"今天也想生吃小孩","女","无IP","64901171","5","三周年恋曲","10000","2812","","一万二的原石出了个迪卢克，把我的小保底和原石吃的一干二净，陌生人可以给我点安慰吗[大哭][大哭][大哭]"
"七_汲","保密","无IP","89261522","5","YUKIri","10000","42","","想起了有些人说公子太溺爱自己的弟弟妹妹，其实像他这样的，一年不一定能回家一次，天天在外面出差搞事业（指塔塔开），只能用写信表达自己对家人的思念，他能留给家人的也只有爱了，他没办法参与托克的成长，甚至都不能陪自己的弟弟妹妹过一次生日，谈什么参与弟弟妹妹的人生，教育自己的弟弟妹妹呢，好不容易见一面托克，开口就是不对不应该，才叫一个扫兴吧……"
"薛定锷的大黑喵","保密","无IP","21725290","6","","10000","348","","流连于浸染樱色的街头巷末，年轻武人的心底泛起难得的思虑。,他所追寻的答案，既在争斗的劲风之中，也在将行的征途之上"
"今麦郎和小李子","保密","无IP","340537023","6","星座系列：双子座","10000","1192","","歪了刻晴  而且还是接近90抽   应该是有老玩家运气差  新玩家运气好这一说的     但我想说的是    往往老玩家才是真爱粉    我的一个室友是新玩家  做任务从来不看剧情，一发十连直接出了公子，      米哈游    请不要对真心爱你的人那么残忍"
"也喵7kA","女","无IP","9095326","6","","10000","1109","11","从音乐会之后，越来越能感觉到公子的设计特别用心了"
"boomboomjeffrey","保密","无IP","12559208","6","EveOneCat2","10000","1345","","我的公子是僵尸[藏狐]，谢谢你mhy,我一斗稳了"
"憨ing","保密","无IP","319235736","5","hanser","10000","606","7","胡桃语音改回来[傲娇][傲娇]"
"Dainself","男","无IP","399852006","5","","10000","399","","有没有看本子才玩的原神[doge]（危险发言"
"溪中凡尘","男","无IP","628809075","5","喜羊羊与灰太狼动画","10000","2473","","让我康康有没有不跟任务，直接开船去鹤观的[原神_该吃饭了]"
"坐坐的小姐姐","保密","无IP","56880459","5","","10000","1856","","公子也打算和爷一样环游提瓦特是吧[doge]"
"芊浅小池","保密","无IP","16879165","6","","10000","1285","","谢谢，公子出了，还穿黑丝，孩子很喜欢[给心心]"
"账号已注销","保密","无IP","693134582","0","","5000","1381","","百度词条,迷你专辑（extended play）简称EP，俗称细碟，是一种介于单曲与专辑之间的音乐发行形式。通常意义上，单曲一般包含有1至3首曲，而迷你专辑通常包含了5至9首曲目。尽管如此，以上两者的曲目数仍然不足以将唱片作为专辑来发行"
"冰霜骗骗花","女","无IP","1833664","6","","10000","1290","","什么时候去须弥，我要见草骗骗花[歪嘴]"
"透透透子_","女","无IP","57471657","6","EveOneCat2","10000","320","","大家！！我也上镜了！！最后一幕里跟着公子走的那只狗就是我[脱单doge][脱单doge]"
"XIOATV","保密","无IP","76452871","6","","10000","1626","","《公子流水绝对拉胯》《男角色没多少流水》堵嘴党呢[嗑瓜子]想看看新的防御理论了"
"熊熊果子酱","保密","无IP","488498501","5","","10000","431","","好消息：30发出金,坏消息：金出的琴[藏狐]"
"北境边牧酒","女","无IP","7131385","5","","10000","250","","整天说角色要刀的是不是生活很不幸福？"
"饼冰干千羽","男","无IP","9197602","6","洛天依8th生日纪念","10000","347","","希望这不是水系一哥最后一次露面mhy[微笑][OK]"
"Tsuna-gintoki","女","无IP","321574566","5","","10000","1936","","我好吃他的人设，对国家赋予最高的忠诚与热情，对家人给予最温柔的对待，初恋脸＋高挑身材，而且你可以看出公子私德是很ok的，他其实很清醒，他知道自己在做着黑暗的事，可是为了国家的未来，他也一定会做，他能做的，只是尽量少伤害人，从他对旅行者的态度就可以看出来了，想象一下，如果这样的人是你的伙伴，你不会为有这种人守护自己的国家，守护自己的未来而心动吗？"
"灼烂之星","男","无IP","259853","6","明日方舟","10000","332","","【只要你在犹豫抽不抽，就说明你潜意识里觉得这个角色不值得。】,                                                                        ————————鲁迅 · 《我没说过》"
"望月绫时的围巾","男","无IP","376998066","6","","10000","2488","","兄弟萌，七七可以用锁吗"
"赫卡缇琪","保密","无IP","174394415","6","梦塔·雪谜城","10000","561","","暂别冬都→再别冬都→永别冬都→终归冬都[绯赤艾莉欧_好寂寞]"
"空美町","保密","无IP","168687092","6","","10000","4487","","旅行者被公子夺舍了[滑稽]"
"幻空_时冥之殇","保密","无IP","1224203948","3","","10000","802","","麻了呀[喜极而泣]，看到一条评论写公子的呆毛像樱花，然后我就一直盯着公子的呆毛看，看着看着，又看到了托马的呆毛，那一瞬间我的脑中莫名想起了天线宝宝，现在听啥都是迪迪，迪西，拉拉，波。。。再也回不去了[笑哭]"
"非典型野龙","保密","无IP","1585470","6","","10000","727","","这张ep真的好听……他在筝声中看着璃月人放飞海灯，伴着三味线看稻妻的樱花飘落。我亦飘零久，十年来，深恩负尽，死生师友。我不知还要辗转多少地方，亲爱的小妹，一纸遥寄思念，不必替我担心。"
"我永远爱可莉小可爱","男","无IP","22414648","6","","10000","128","10","我和公子锁死了 字面意思的锁[大哭]"
"是一滩水母","女","无IP","628852209","5","原神","10000","2382","","在原神里试图分辨正派和反派是愚蠢的，因为现在的形势来看谁是盟友谁是敌人尚且不明朗，更何况主角是什么立场也不好说呢，再说也不能依据主角的立场定义正派反派，因为主角只是一个旅行者而已，即使ta参与了提瓦特各大事件，提瓦特最后何去何从也得看提瓦特的人和提瓦特的神的选择，主角终究只是一个去过很多世界的过客而已，并不能主宰提瓦特。,以上没有混淆是非的意思，是好是坏个人心中各有标尺，我可能不同意你说的每一个字，但是我尊重你说话的权利，我也不会试图去扭转谁的想法"
"笨笨姬威威","保密","无IP","245761973","5","","10000","792","","今天把我攒的六十多发原石都用了，打死不出达达鸭，气的我都不想玩了，实在舍不得鸭鸭，晚上上线的时候做了新地图的任务，做完任务快下线的时候我就放大鸭鸭的脸，我心里那个气啊，我就想到刚才任务送了一些原石，最后的三发，第一次重云，第二次来了个三星武器，我已经不抱什么期望了，可是我撇到那一束金色的光，激动的心颤抖的手！！啊啊啊我还以为歪了，呜呜呜我的达达鸭达达鸭啊啊[大哭][大哭][大哭]妈妈爱你啊，我的鸭！"
"账号已注销","保密","无IP","454688452","0","","5000","236","","别让等待成为遗憾"
"yeliangcheng他妹","保密","无IP","20623008","6","","10000","467","","别bb改不改了，改不改看问卷的，不是你声音的和流氓一样就可以代表所有玩家，烦死[藏狐]"
"清弦亿梦","男","无IP","446407955","5","","10000","1672","","暂别冬都,再别冬都,永别冬都"
"assweff","男","无IP","325804318","5","至尊戒","10000","593","","嗯…我一直在思考如何评价达达利亚，战斗狂？亦正亦邪？有，但感觉差了点什么。看过这次他在迷境的表现后，我大概有点明白他的行事风格了。,达达利亚一直都有当坏人的自觉，没有掩饰过他可能有坏心思，他只是坏心眼的让你在两条道路中做选择:,一条是需要自己摸索，行进艰难的崎岖之路，一条是我公子铺就的平坦大道，在这条路上我可以真心的和你说说笑笑，打打闹闹，但等到了终点，如果彼此目的向背，那谁能笑到最后，就各凭本事了。,他把选择权交到了你手上，是要自己艰难行进，举步维艰，还是走他这条捷径，但要承担隐藏的风险。,在璃月，他上来就明确告诉了你:“我是坏人”，旅行者也一直对他抱有警惕，但他接下来抛出了诱惑:愚人众的情报网，关系网，巨量的资金。我当然目的不纯，不是白白帮你，但目前没有我的帮助，你连下一步都迈不出去。最后，公子在黄金屋现身，算是彼此都能预料的事。,这次在迷境也是一样，我明明白白告诉你我来稻妻目的不简单，也许知道不少隐情，我们当然可以现在就翻脸，但面对这座神秘的迷境，有我在，攻克迷宫可以更顺利，遇到危险也可以多一份助力，而且留在身边可以试着通过试图获知我的真实意图。为什么公子不用像式大将一样被测试呢？因为旅行者一直的态度就是“这家伙信不过，但有用”，公子对这一点也是心知肚明，并且有恃无恐。,五席【公鸡】对公子的评价是“你可以信任他，但不要迷恋他”。我的理解是，当你选择走他给的道路后，未到终点前，你可以接受他的帮助，与他协力合作，但当终点近在眼前时，便不可犹豫，需要时刻警惕他的利刃。,--------转发我觉得特别合适的别人评论"
"拿弓子的波塞东","保密","无IP","504090336","6","","10000","835","","这我得泡杯茶听， 喜欢第二首那种寻找的感觉"
"星雨流浪","男","无IP","448742486","5","","10000","1581","","机会烧冻鸡翅"
"海月喵喵子","保密","无IP","13434387","6","","10000","123","","最后的小狗跟着达达利亚太可爱了[脱单doge]风花节看到公子复刻踏上提瓦特的旅途，小保底成功与他相遇，为了他天天与冰丘丘王深渊法师搏斗，这次也是小保底拿到了冬极白星，1.4到2.1达达利亚和我一起不断变强真的好开心。虽然角色池和神里池－样80抽迪卢克经典复刻[藏狐]同样作为思念家人的旅行者，希望他早日回到至冬与家人重聚，期待与他在至冬国见面的那一天[脱单doge]"
"bili_39564256753","保密","无IP","476462689","5","","10000","232","","有个弹幕说，公子，给都不要,我只想说你不要就不要，没必要在这里刷存在感，别人喜欢好吧~_~真的就很无语[辣眼睛]"
"柠檬可乐碎碎冰","保密","无IP","4715595","6","罗小黑战记","10000","469","10","草，我不行了，我活不了，我真活不了了，我要被达达利亚硬生生美死了，我的天，这个封面，这是什么绝世美色，两次ep，从璃月到雪山到稻妻，我真真切切感受到了我作为旅行者所踏过的土地，是达达利亚也踏过的，他与我走在相同的大地上，呜呜呜呜呜呜呜呜达达利亚你带我走吧，没有你我可怎么活啊，本来早上还在骂ch歪了尘世锁补了一单出冬弓不想精炼了，我错了达达利亚，你带我走吧我要做你的狗，我现在就去继续抽呜呜呜呜呜呜，你怎么这么好看啊啊啊啊！！！！！！！！！"
"切嗣保护协会会长","男","无IP","34824034","6","hanser","10000","385","","看着达达鸭这剧情的上的戏份和他满身的旗子，想想就感觉害怕…个锤子，他怎么可能会有事，这么多戏份的人会有事吗 你撒开我我没事，哈哈哈哈哈哈[崩坏3_路过]"
"一万九千场星耀大神","男","无IP","496385875","5","","10000","717","","爷:给我看看,可莉:不要,爷:快给我看看,可莉:我不要,爷:可恶,琴:旅行者你在做什么,爷:报告琴团长可莉的包里有炸弹[doge]"
"也喵7kA","女","无IP","9095326","6","","10000","1109","11","从音乐会之后，越来越能感觉到公子的设计特别用心了"
"薛定锷的大黑喵","保密","无IP","21725290","6","","10000","348","","流连于浸染樱色的街头巷末，年轻武人的心底泛起难得的思虑。,他所追寻的答案，既在争斗的劲风之中，也在将行的征途之上"
"人類能力有限公司","女","无IP","36067104","5","","10000","1471","","公子进进离岛一定交了很多钱吧[doge]"
"初海汐","保密","无IP","7738958","6","梦塔·雪谜城","10000","437","","我还以为雷神的环改成啥了呢……我也没看出很大区别啊，有没有对比图啥的。给说得一文不值的，带节奏爬[藏狐]"
"assweff","男","无IP","325804318","5","至尊戒","10000","551","","这次更新后才发现公告板上更新了很多信息，天领奉行现在由九条裟罗管理，比如荒泷一斗和久岐忍，一斗被九条揍被抓，忍总得把他弄出来。武士可以复员，还有清籁岛雷暴结束，神社修复后，社奉行开始组织让那个岛的人民回去了"
"竹斋眠","保密","无IP","38116451","6","三周年恋曲","10000","271","","唉把我另一个视频评论复制一遍。不想对线就虚空打靶了，看了么多解释我就挺奇怪大家看的不是一样的剧情吗。公子恢复智力明白过来岩神诈死（但不知道是钟离）自己被骗了，然后就怒了心里话魔神攻击璃月这么大个危机我看你出不出来救场，没想到钟师傅心大凝光他们也是有本事给扛下来了。放魔神不是为了激岩神出来吗，有些评论就只说针对璃月人民怎么怎么地，这脑回路咋回事儿。还有反驳的立场不同，我寻思这个主要是剧情表达啥不管只看到自己想看的，用客观手段问题来反驳主观目的问题能争论出个啥结果。没想到啥好比喻，比方说反派绑了女主，说男主你不来跟我决斗我就撕票了，一般这个时候男主就登场了，咱钟师傅相信女主能自救，危机解除他根本没鸟反派。这种情况一直在那说反派想撕票女主好坏呀，就也不能说完全没有道理吧，但这问题不是这么考虑的吧。个人理解吧，就觉得这一9+（12+）不是挺清楚的嘛，哪有那么多可纠结的。另外提一句，那些很沉重的词能这么轻易地拿出来我不知道这些人究竟是怎么形成的观念，光是想到就心情沉重的无以复加是怎么如此轻浮地当做尖锐的攻击用出来，我真的很恶心这种说话方式。叠层甲，这里是正常说话的正常人要交流的话拿出三次元的教养好好说话别拽那几个词儿，直接开喷或者阴阳怪气拉黑不废话哈。"
"中二少女小豆子","保密","无IP","645737289","4","","10000","146","","呜呜呜呜呜达达鸭[大哭]呜呜呜我，我抽不到你[大哭]呜呜呜呜呜我爱你啊达达鸭[大哭]"
"史莱姆蒂夫","女","无IP","395084811","5","","10000","291","","十连7个公子的欧皇[doge],https://space.bilibili.com/"
"records_sl","保密","无IP","351367569","5","","10000","109","","我的公子为什么是雷系[微笑]"
"以德服人老冬瓜","男","无IP","43625847","6","","10000","559","","笑死我了，怎么会有人因为抽公子还是抽胡桃这种问题而纠结？看看我歪个莫娜什么都想不了[doge][笑哭][大哭]"
