"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"丑到对帅过敏","男","无IP","49409120","5","","10000","32963","","为什么逐月节的剧情这么神，很重要的一点就是事事有交代的细节。这些细节把整个故事构建的更加完整，逻辑清晰。,最让我印象深刻的细节就是行秋的古籍里，灶神的形象是一只龙，手掌可喷火焰。,而在PV里，这个伏笔就被回收了。锅巴在辞世之前，把美食和炉火的奥秘告知萍姥姥和帝君。此后的岁月里，帝君可能使用过炉火之力。所以在璃月民间故事中，才会以帝君的形态来歌颂锅巴。,PV中短短的，不经意的一句话，串联起了剧情，又突出了锅巴和帝君的形象。相较之下，稻妻的剧情就显得处处没有交代，或者说在不合适的地方交代。,讲好一个好故事，不一定需要苦大仇深的背景，不一定需要惊天动地的阵仗，但是一定要有完善的构架，清晰的思维，否则读者一眼出戏，发现漏洞，就说不上是好故事了。"
"NNuoi","保密","无IP","104939617","6","","10000","29178","","PV里有一个地方特别戳我，就是由旁白由萍姥姥转为甘雨，再转为刻晴凝光那段,萍姥姥念时的画面一直是魔神战争时期，那个时代的主角是仙人和魔神，战争不断，祸乱不休，人类在仙人的庇护下生存，艰难地一步步向前走,接着就是甘雨的旁白，画面上出现了甘雨和烟绯，“星移斗转，沧海桑田，烟火人间依旧”而甘雨和烟绯，融入了人类社会的仙兽和半仙兽，暗示着璃月的人们走上舞台，而仙人则回到了幕后，璃月少年组的那个画面更是预示着新时代已经到来，这正是人类的孩子崭露头角的时候,最后是凝光和刻晴的旁白，凝光的“功名在我，百岁千秋，毋望秉烛夜游”，刻晴的“今古诸事，激荡中流，宏图待看新秀”，再加上璃月主线中虽然危机重重但仍然顶下压力守护璃月一事，更证明了这片古老的大地甚至已经可以交给这片土地上的人类来守护,这种责任与信念的交接很让我感动，灶神将力量献给璃月的土地前，肯定是希望人的星火能在这片土地上更好地延续，岩神也是如此,现在的悠闲的锅巴和钟离，正反映了他们对人们接管的璃月而感到欣慰~[原神_喝茶]"
"弥雅的锤头鲨抱枕","保密","无IP","21041131","5","","10000","18474","","看完璃月逐月节任务我确定了自己的猜想，三国的编剧有没有可能不是一个团队，而是一国配一个，毕竟涉及到各个国家文化传统以及人文地理方面，最开始我以为是一部分人开发新游导致盗妻剧情的变化（很多人说拉胯。我反倒是感觉他的叙事方法跟蒙德璃月不同导致的）直到逐月节，我体会到了熟悉的味道，就是若陀传说任务那种感觉，非常流畅完整以及带有浓郁的中国色彩，整个任务给我的感觉就像是看一个短片动漫，直到我做完任务还意犹未尽（另外，这个锅巴实在是太魔性了，任务全程我的目光都聚集在锅巴的身上，导致我剧情都没有，怎么关注好）另外，这个pv里面的细节真的是很多，如果点赞能破50的话，我就出一期视频聊聊吧，这个pv的成本真的很高，展现的效果也是真的好（没白氪金[笑哭]）"
"丿Sky灬冥战将军丨","保密","无IP","1939657341","3","","10000","16710","","璃月在设定中相较于其余七国来说过于早盛了。,魔神战争结束在2600年前，璃月在3700年前就已经建国了。相当于比其他国家多出了近1000年的发展时期。这1000多年的发展时期，造就的就是璃月远超其余国家的繁华。但是代价就是早衰。,实际上认真看一下璃月史，你会发现，璃月从建国以来，几乎一直是处于不断衰落的状态。,归离集大战可以看作璃月历史上第1个拐点。在那场大战之后，帝君方三个魔神只余帝君一个。7个魔神级战力只剩两个。1000年前龙王被磨损发动叛乱，从此龙蜥一族与璃月分道扬镳。五百年前层岩暴动，夜叉一族，石兽一族和古千岩军几乎打光。而至冬，枫丹也已经开启了工业革命，须弥的炼金术也已经达到了大陆顶端。可以说强盛之下就是危机的隐藏。,但所幸这种衰落现在也结束了。现在的璃月已经迎来了第2个拐点。岩王帝君的“逝去”，奥赛尔被人类的“天星”镇压，象征着璃月从此由神走向了人。没人知道下一个千年璃月会遇到什么样的危机，但他已经挺过了最危险的时刻。只要古老的传承没有断绝，璃月就会重新走向强盛。,这剧本难道没人感觉熟悉？,米哈游花费的心血可见一斑[辣眼睛][辣眼睛]"
"沧海浪流沙","保密","无IP","155431126","6","","10000","35172","","我来补充一个，锅巴为了解决民生疾苦把肉酱和窝窝头结合在一起发明了辣味窝窝头，历史上，医圣张仲景不忍袖手旁观民生苦寒，就用驱寒的药材加上药性热的羊肉剁成碎粒，再用面皮包起来做成耳朵的样子，开水煮熟之后连汤分施给原本会被严寒冻掉耳朵的劳苦人民，这就是饺子的由来。虽然食物的载体不同，但是表达的精神是一样的。"
"晶化灰尘","保密","无IP","354235081","6","洛天依8th生日纪念","10000","7117","","饭桌上,锅巴（掏）,香菱：锅巴！你这是…干嘛（尴尬）,空（荧）派蒙：（震惊）！,锅巴突然开口：这…这是留给帝君的，帝君最喜欢这个,钟离：（不语）,香菱：（吃惊）,萍姥姥：（若有所思）,旁白：他忘了很多事，可没有忘记你[热词系列_知识增加]"
"逮只羊薅","男","无IP","21007260","6","","10000","12760","","原神有个很牛的地方，“尝尝师傅的枪法”，锅巴背上的图案，都是在一年多前内测就实装的，到现在才回收伏笔，也就是说游戏开发的时候就已经设计好如今的故事脉络和人物关系，后续4国的剧情也可能设计好了存在某个人的脑子里，就等着做出来，原神编剧，偶尔的神"
"停雨木实实","保密","无IP","47754685","6","碧蓝航线","10000","1939","","绘卷第一段,      开卷从左往右依次为：移霄导天真君、若陀龙王、灶神马科休斯、削月筑阳真君、理水叠山真君、留云借风真君、铜雀、魈、萍阿姐、摩拉克斯，姑且称他们为「仙神组」好了。,      “岩王帝君率领众仙，要还天下一个朗朗乾坤”，此情此景，大概便是说书人所述了。在帝君以及众仙的努力下，数千年魔神战争之患得以解除，和平重归，这片今天被称为璃月的土地，开启了属于她的篇章。,,绘卷第二段,       旭日初升，龙形帝君温柔地俯瞰注视着璃月，他是仙神组的代表，是璃月的代表，亦是璃月与众仙最重要的一个纽带，朝气蓬勃的璃月，需要仙与人共同努力。图中璃月与帝君，便构成了绘卷中第一次过渡。,,绘卷第三部分 ,       甘雨、烟绯为代表的「半仙组」，她们是人类与仙家血脉融合的后代，人与仙交流共存，砥砺前行、一同建设璃月，她们既是参与者也是这段历史的见证者。,,绘卷第四段,        从左到右：胡桃、重云、行秋、辛焱、香菱、七七，「奇侠异士组」。区别于仙人和半仙，他们是凡人，但拥有非凡的力量，人类也可以依靠自己，与超脱常理之事、物交流。这也是绘卷中第二次过渡。,,绘卷第五段,       北斗、凝光、云堇、刻晴、旅行者、香菱先后出场，此为「凡人组」。,      璃月的人民充满智慧、勤劳和勇于探索的冒险精神，他们各司其职，艰苦奋斗，激流勇进，为民间创造财富，给璃月带来繁荣。 “就是因为璃月有这样的人，我才会考虑退休一事”，帝君看未来终究是“新秀”们的天地，便拂袖放心归隐，而璃月的年轻人们，也会带着先辈的祝福，携手璃月进入下一个新的时代。,,       以灶神锅巴的故事，引出璃月的心路历程，熟悉的老朋友们登场、退场，这是名为璃月的团体，在历史赛道上的接力长跑。只有曾经经历过，切身体会过，才会心中有共鸣，因为璃月所拥有这些宝藏啊，已经深深刻进我们的DNA了。[打call],（甘雨好漂亮[给心心]）"
"C6R5","保密","无IP","67608744","5","","10000","32561","","钟离可能一直都知道锅巴是谁，只不过考虑到锅巴单方面不记得了，不忍也不便相认罢了。。。所以在锅巴的神像现世之时，钟离可能也感知到了，所以特意路过万民堂来看看锅巴。。。。。锅巴奔向钟离的时候好感人啊[大哭] 锅巴什么都不记得了却还是凭本能感知到曾经认识的神们身上有熟悉之感[大哭]"
"cubeきゅべ君","男","无IP","17656546","6","","10000","1750","","搬一下百度百科,        灶神又称灶王爷，灶君，灶君司命，灶神星君，旧时，差不多家家灶间都设有“灶王爷”神位，人们称这位尊神为“灶君司命”，传说他是玉皇大帝封的“九天东厨司命灶王府君”，负责管理各家的灶火，因而受到崇拜。灶王龛大都设在灶房的北面或东面，中间供上灶王爷的神像。没有灶王龛的人家，也有将神像直接贴在墙上的。有的神像只画灶王爷一人，有的则有男女两人，女神被称为“灶王奶奶”。灶神是汉族民间最富代表性，最有广泛群众基础的流行神，寄托了汉族劳动人民一种辟邪除灾、迎祥纳福的美好愿望。,        灶神之起源甚早，商朝已开始在中国民间供奉，及周礼以吁琐之子黎为灶神等。,        秦汉以前更被列为主要的五祀之一，和门神、井神、厕神和中溜神五位神灵共同负责一家人的平安。灶神之所以受人敬重，除了因掌管人们饮食，赐于生活上的便利外，灶神的职责，是玉皇大帝派遣到人间考察一家善恶之职的官。,,如今已经很少有人家里祭灶神了，然而他曾经是最广泛最亲近的神，和锅巴的剧情一模一样[大哭][大哭][大哭]"
