"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"知冬半仙","男","上海","4400264","6","","10000","15211","","最近看到很多人都觉得这段剧情唯一的败笔是小草神明明说着要报复教令院的大贤者，最后却选择了宽恕他们，只是将他们放逐。,诚然，本着对小草神的喜爱，我也一样想让大贤者被碎尸万段，把教令院彻底摧毁。,可是仔细一想，这个最后的宽恕其实很值得玩味。从须弥政治的角度来说，小吉祥草王重新夺取大权，正是需要稳定人心的时刻，大贤者的犯罪行为并不是孤立的，阿扎尔的背后是四代大贤者和四位现任贤者的共同意志，如果赶尽杀绝，很可能会激起更多的冲突，而赦免，不失为一步好棋，既安抚了教令院剩下的派系，也避免了反攻倒算时期的血雨腥风。而对于小草神本身的人设来说，“吉祥”二字在佛教里是善意的结晶，布耶尔本身的人设就是宽松而仁慈的，眷属罪人，赦免罪行，这是强者的特权，小草神不是杀伐果断的雷神，她是真正心怀仁慈的善神，即使犯下滔天罪行，仍然是须弥子民，魔神对于子民的爱与宽松令人动容。,所以旅行者啊，不要为大贤者没有死或者被监禁而感到愤慨，善良的神明选择了眷属她的子民，这是一个合乎情理的选择。最重要的是，宽恕是强者的特权，而不是跪地祈求的怜悯，大贤者已经彻底输了，无论是权力，智慧，还是仁慈，小草神都是彻彻底底的赢家"
"机械降神--","保密","山东","27210645","6","","10000","3765","","会不会等旅行结束了爷手里那把无锋剑也有了自己的传说，升华成了五星武器（）,提瓦特之刃,陪伴巡游大陆的旅人走完了他传奇旅途的剑，原本只是一把随处可见的，没有锋芒的短剑，但是在旅人抵达天空中布满了繁星，地上开满了因提瓦特的花海时，获得了世界的认可，升华成了足以破开任何谎言，触碰真实的传说之剑"
"Nykyo","保密","河南","499272580","4","","10000","11657","","这次主线真的我感觉是最好的一章了[给心心]，主角一行和贤者方全员智商在线，前半艾尔海森的计划很缜密，解救纳西妲的部分一环扣一环，情绪一步步上涨，后半纳西妲持续高光，亲手抹除大慈树王的部分让我低情商高泪点的人第玩原神第一次落泪[大哭]，最后还揭开了很多关键信息。唯一不足的就是阿扎尔判的太轻了！！！！[脱单doge]"
"鱼一框","保密","未知","25253795","6","","10000","996","","168这个数字很有意思，因为突破材料就是168个…,数字上来看就是简单的7×24，但如果整个提瓦特也是一次巨大的轮回就很有意思了…,顺便现在我们应该已经不是布耶尔“最初的贤者”了，因为拯救世界树以后，草神就和树神成为了一个个体，那么最初的贤者就是创造教令院那几位。,只有我们还记得自己是布耶尔最初的贤者，记得自己和大慈树王的见面，记得这一切的故事。,轮台东门送君去，去时雪满天山路。,山回路转不见军，雪上空留马行处。,只有我们自己记住也是一种好事，收拾行装，重新出发吧。"
"听闻谢邂","保密","黑龙江","1470995574","5","","10000","1214","","就目前而言 u1s1散兵算是原神人物形象最为饱满的角色之一 编剧在写他的遭遇上可谓是即狠心又仁慈, 放眼整个提瓦特大陆 散兵是至今唯一一个真正的一无所有  哪怕天煞孤星申鹤都有留云借风真君陪伴；“幸运儿”班尼特有他的老爹们和蒙德一众伙伴；狼少年雷泽有卢皮卡有师傅还有关心他的朋友；经历诸多苦难的魈身边还有钟离；接连失去姐姐和朋友的影依旧有神子作陪还有信仰她的民众；就连同样身为人造物的阿贝多都有朋友有家人有徒弟 唯有散兵“来路没有意义 归处不知在何” 经历了美好后又亲眼见到一切毁灭 偏执如他单纯如他  一意孤行的走上所谓的成神之路 然而造这个所谓的“神”从头到尾也只有他自己最在意 教令院把这当成获得神明知识的途径 同事博士把这当成一场亵渎实验来观察甚至任由他被击败 只有散兵不惜失去自己也要拿到本来可以属于他的东西， 好在编剧“仁慈”没有刀了散兵 做了坏事小草神也还是救了他 大概是因为他们很像吧 一个是被神抛弃的“人” 一个是被人抛弃的“神”  散兵在我眼里看来就是一个嘴硬偏执的破小孩 曾经见过温暖的泡泡破裂所以封闭自己摒弃情感 “只要不曾拥有就不会经历失去的痛苦” 刚开始对这个角色其实挺无感的 说不上喜欢也不算讨厌 不过凡事没有非黑即白 不存在什么洗白这一说 但也绝不能因当事人的过往而宽恕他犯的错 希望他得到风神之眼后能真正重生吧"
"优雅且痴情","保密","江西","1488791914","4","","10000","678","","过了传说任务就知道了，虽然大慈树王的概念被替换成了小草神，但纳西妲本身没有500年以前的记忆，她现在的想法就是她知道自己以前很伟大做了很多事，但是自己为了拯救须弥忘了。她现在的人生是从五百年前被囚禁开始的，纳西妲还是那个纳西妲，但不会那么自卑的一心想要追寻大慈树王的背影了，大慈树王带给纳西妲的是成长和自信，这份慈爱在她身上留下了痕迹，帮她更快成熟起来，这也是为何旅者最终选择不告诉纳西妲真相的原因"
"嫁人的少女","保密","山东","769105","6","","10000","1571","","散兵称号七叶寂照秘密主的含义分解：,说七叶，散兵有一句“七叶之下，唯我长存”,传说佛祖居住在七叶窟中，窟中长了七叶树,(一般情况下，佛祖旁边的“七叶树”指的是婆娑树，也是七个叶子，叫七叶树的是另外一种树，因为长得像婆娑树所以也被视为佛树),所以这里的七叶可以引申为大千世界，差不多是指全世界,,“寂”在佛教里是指真理，而让真理显现的智能被称为“照”，寂照大概就是说散兵拥有领悟“真理”的智能。,,“秘密主”指的是“释迦摩尼”的一种化身，这种化身能够消灭一切地火水风所生的灾难。之所以叫做“秘密主”，是因为他有超强的领悟秘法的能力。,,所以七叶寂照秘密主的意思就是“如同佛祖一般能够让真理显现的伟大存在。”,,另一个称号“正机之神”，“正机”依旧是佛教用语。在日本佛教中，有一种叫做“恶人正机说”的学说，认为人生来就是邪恶的，只要你念出“阿弥陀佛”即可前往极乐世界，和散兵自身理念呼应，散兵也认为人是罪恶的，所以他要成为神明，去改变这一切。"
"阔耐耐耐耐耐","男","山西","357662254","5","中野三玖","10000","1121","","大慈树王对小草神的告别台词：,我们都栖息在智慧之树下,尝试阅读世界,从土中读  从雨中读,尔后化身白鸟  攀上枝头,终于衔住了至关重要的那一片树叶,曾经  我是世上唯一能够做梦的个体,在我的梦里  所有人入夜后也都会进入梦乡,人们的脑海中飘出奇思异想,有些滚落地面  有些浮到天上,它将所有事物  连接成一片万分夺目的网,三千世界之中  又有小小世界,所有命运  皆在此间沸腾,我逐渐明白,这些不可被描述  而又恒久变化之物,才是世间最深奥的东西,唯有它才能彻底驱逐那些疯狂,唯有梦  才能将意识  从最深沉的黑暗中唤醒,我乃命题之人  亦是求解之人,以世人之梦挽救世界  曾是属于我的答案,而今  你们也寻到了属于自己的答案,我会将所有的梦  归还世人,须弥的子民啊  再见了,愿你们今晚  得享美梦"
"勇者Zx","男","河北","382929470","5","","10000","1740","","【散兵周本怎么打啊，在线等，急！】,1楼：不好打啊，都练了这么多次了，求指导——小吉祥草王,2楼：雷国爆杀 ,3楼：那不是有手就行？,4楼：先这样 在那样 然后再那样,5楼：（回复3楼）合着打不过就不叫有手呗，要不你发个视频看看你说的有手咋打的。,6楼：（回复5楼）yysy，这个打不过真该退游了。,7楼：（回复2楼）打激化不瞬秒？非得雷国？,以下省略xx楼友好交流...."
"阿德尔海特","保密","内蒙古","35594034","6","2021拜年纪","10000","205","","有点怪啊，既然剧情设定里，关于树王的一切都被抹除了，草神自动继承了树王的功绩，那么问题就来了，旅行者还是不是“最初的贤者”，因为在新认知里，草王只是失去了一次记忆和力量，但本质上前后还是一个人，这可就与原本树王和草王的“主体和克隆体”，本质上是两个人的情况相违背了啊，感觉怪怪的[笑哭]"
"_-_DIO_-_","保密","江苏","515402907","5","","10000","318","","有一说一，纳西妲的权能真的好强啊，能一个照面就无声无息地把容纳了神之心的伪神催眠，拉入梦境轮回一百多次直到自己解除循环散兵才意识到自己刚刚在梦里。这要是纳西妲乐意，不就可以单人永久封印散兵，让他困在循环之中，或者等自己研发出高破坏力的装备（比如那只小飞猪的强化版）来给散兵致命一击。综合了梦境，意识，智慧，轮回权柄的草神，怎么看都不弱吧（不仅不好杀还永远不知道是真的杀掉她还是在梦里，而她还能不断凭借收集到的数据针对性的研发，利用全须弥的智慧变强），纳西妲居然还说自己不善战斗。毕竟，我只是个智慧之神，不像他们有那样的力量.jpg是吧[脱单doge]"
"冻原上的守望者","男","江苏","355933515","5","小东人鱼","10000","820","","我以为的伪神战：小草神联合旅行者艰难击败散兵,实际上的伪神战：可怜的散兵被草神一个技能控到死[笑哭]"
"嘤短烧酒","女","山东","345071347","6","","10000","1272","","突然想到一个细节，就是散兵周本掉落的机械零件的介绍说只要装上这个零件，散兵的四肢就会失去知觉只能依赖这具机甲行动。所以机甲坏了之后他连本来的力量都已经失去了，被纳西妲夺走神之心的时候，他一点反抗的权能都没有，只剩下极度的恐慌[原神_嗯]"
"無-信星","保密","广东","517334365","5","","10000","352","","「以神明的名义，统合人民的智慧。」,在与正机之神的对抗中，虚空回归了它最初的功用。,接下来，智慧之神布耶尔「最初的贤者」将以此裁断「伪神」。,,中文CV：,摩诃善法大吉祥智慧主 布耶尔——花玲,七叶寂照秘密主 正机之神——鹿喑,派蒙——多多,空——鹿喑,,日文CV：,摩诃善法大吉祥智慧主 布耶尔——田村由加莉,七叶寂照秘密主 正机之神——柿原彻也,派蒙——古贺葵,空——堀江瞬"
"易妮子","男","北京","1870911","6","","10000","3018","","许多年之后,面对旅行者,雷电国崩将会回想起,他的中二发言被上传到虚空终端给全须弥民众看了168遍的那个下午。"
"流芋不加冰","保密","广西","2027344684","2","","10000","679","","""现在，须弥的智慧，为你所用了。"",这句话颇有EVA里，全日本断电为初号机充能狙击雷天使的史诗感"
"Wanderer_-_","女","新疆","473412961","5","","10000","1233","","散兵在主线里说“越是失去就越想得到，越是无能就越要挣扎”。他其实是在说自己吧[大哭]"
"HikariFCd","保密","广东","186662427","6","","10000","850","","妮露说过：最初的贤者在梦境中获得了知识，醒来之后用自己的知识拯救了须弥，创办了教令院,现在看来，主角好像就是这个“最初的贤者”啊"
"重返波莱罗","保密","山东","589387963","5","","10000","2063","13","我布耶尔的「最初的贤者」，这句话非常甜，有种公主册封自己的骑士的感觉，很有那味道，游戏里看到这一幕突然就有种哔咔的感觉，很奇妙"
"消逝的幽灵","男","广东","28605010","6","至尊戒","10000","1857","","话说米忽悠吸取了稻妻魔神任务的教训，把旅行者看不到管不着的地方，以操控自机角色和NPC的方式来进行改善游玩体验了，不得不说是个巨大进步"
"机械降神--","保密","山东","27210645","6","","10000","3765","","会不会等旅行结束了爷手里那把无锋剑也有了自己的传说，升华成了五星武器（）,提瓦特之刃,陪伴巡游大陆的旅人走完了他传奇旅途的剑，原本只是一把随处可见的，没有锋芒的短剑，但是在旅人抵达天空中布满了繁星，地上开满了因提瓦特的花海时，获得了世界的认可，升华成了足以破开任何谎言，触碰真实的传说之剑"
"M-霖灵柒","男","江苏","520115957","5","","10000","3402","","布耶尔(Buer)：所罗门王72柱魔神中排第10位的魔神，以类似于人类的头部为中心，左右生有蟾蜍头及猫头，身体及脚连为一体。再者，其声音嘶哑粗嘎。因为君临于东方，所以腓尼基和迦南被当作太阳之神而被崇拜。另外，据说帕尔带给人类知性、智能，也教导人类隐身术。[脱单doge]"
