"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"一块很小很小的月亮","保密","无IP","344195282","5","阿萨Aza","10000","13225","","阿贝多的pv里当然要夸爆阿贝多啦[惊喜][惊喜],,“你犯事了吗”（笑）,这一句我相信没有人不喜欢。喜爱往往来自惊喜。我一开始以为他是个冷漠的造物主，当听到这句话时，却发现我忘记了他只是个少年，他也应该会哭会笑，会偷偷使坏报复，会对喜欢的东西倾注全部心血。纵然他可能有漆黑的过往和沉重的秘密，但他现在依旧鲜活地存在着。,个人任务里有一句“可以期望你来阻止我吗？”，虽然我作为玩家，不能左右剧情的发展，但是我想说的是,“我要拯救你”,好久没这么真心实意的厨一个角色了，阿贝多太可爱了，阿贝多冲鸭！[打call][打call]"
"全能型飞舞","女","无IP","16489450","6","Kizuna AI","10000","3101","","长发，清澈眼眸，炼金，金属质感，白大褂，紧身短裤，黑丝，长靴，冷淡性格，天然黑，优雅的剑术，脖子上的星星标记…嗨老公我直接躺平[2233娘_吐魂]"
"请好运降临我","女","无IP","287512352","5","","10000","7374","","唉刷了挺久的评论，发现是只有阿贝多受伤的世界，明明小王子也很好啊（虽然我没有阿贝多），被他的慢镜头动作吸引过来的，官方真的不重新考虑一下阿贝多吗？阿贝多也是有人喜欢的！"
"Drioch","男","无IP","196511039","5","","10000","9447","","抛开当时钟离节奏不说，按照剧情暗示，最后那只龙蜥应该是暗示阿贝多自己是不完全人造人炼金术产物"
"如梦令-远山黛","女","无IP","279394953","6","原神","10000","9840","","后面来的人能不能帮忙顶一下阿贝多厨的评论，讲真，钟离已经加强，但阿贝多和阿贝多厨受的伤就一点没有人理了，阿贝多的人气确实没有其他角色那么高，但是可不可以起码，让前排留几条夸一夸他的评论。我一个XP党抽角色从来都看得是脸，阿贝多在我这里就是极致优雅的小王子，他值得我去抽，值得我养起来，弹幕已经好很多了，那么评论区能不能稍微清理一下，拜托了。"
"-橘羊-","男","无IP","2125553","6","EveOneCat2","10000","4843","","业内的同事说阿贝多的PV是一次炫技,确实，流畅的动作，优秀的色彩与人物，排开技术层面的实现原理都能看出精致,几句对话也很好地表现了人物的魅力，不愧是行秋小说里神一般插画的画师,,所以利用完了的人把这块地还给喜欢阿贝多的人吧,早上是真岩王，蒙德人上人,下午发现不对劲了晚上就变成最菜5星岩系都不行,一个起码两个月工期的PV变成了美工突发临时表达不满,这里的评论哪是什么战斗后的痕迹给后人的警示,就是一地魔怔的鸡毛罢了"
"弦大白","女","无IP","22839066","6","","10000","3032","","我这人真的，有点自虐。我也不知道自己是不是脑子抽了，又来翻热评。,这次我本打算翻看前100条热评，如果有阿贝多厨的热评，我能赞一赞，顶一顶。可惜，我翻了七十几条（我是一条条数过去的），我仍然一无所获，我受不了了，还是算了。,我看到有人说：阿贝多太弱人气又底，不会复刻了。,好吧。也许喜欢阿贝多是一件很考验心态的事情。"
"干柿","保密","无IP","282911709","5","","10000","2570","","目前全原神最惨的苦逼孩子，传说任务和活动没有cg，没有其他角色出来客串，强度底下，还被用来当挡箭牌和工具人使，现在还得继续被当枪使"
"HEDONISM0221","保密","无IP","74097577","6","","10000","534","","超级开心，赶在最后抽到了阿贝多哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈太帅了我的天，跑图忍不住停下来放大拍照"
"の尼桑","男","无IP","39788079","6","","10000","2286","13","[热词系列_知识增加]:以我个人的观点来说说 阿贝多 的配音:,[热词系列_知识增加]:我只能说配得很不错，真的很不错，对于我来说 国内声优能这样我很高兴,[热词系列_知识增加]:有人说 女配男  ,女配男有什么问题吗？ 虽然是很多人都知道的，但我还是要说一下【海贼王里的 路飞  龙珠里的 孙悟空    火影忍者里的  鸣人】都是女生配的、钢之炼金术师里的 弟弟配音是 钉宫理惠,[热词系列_知识增加]:......所以马老师给阿贝多配音，我觉得没什么不合适的......"
"初海汐","保密","无IP","7738958","6","梦塔·雪谜城","10000","1321","","阿贝多pv就是节奏党用来泄愤的，发泄完了拍拍屁股走人，阿贝多只是个角色，在蒙德过得好好的，所以只有喜欢阿贝多的人受伤的世界完成了。"
"张教教主","保密","无IP","628703597","5","","10000","1466","","事件似乎已经过去，但是唯有这里还存在当年疯狂的痕迹，希望未来玩家可以在这个所谓的遗迹中有所感悟，只是有点可怜阿贝多这个角色和在这场战斗中唯唯诺诺的的阿贝多厨。--夹在官方与玩家尖锐矛盾中的受害者。"
"AgonyEmbrace","保密","无IP","266613867","6","嘉然今天吃什么","10000","1154","","阿贝多厨每次看到论坛上的评论就难受。厨力党太累了……"
"lsp犯法吗","保密","无IP","442905211","5","","10000","678","","我想说一句话：你们喷策划可以，就是钟离的节奏不要传到阿贝多这里(已经有人喷阿贝多，我朋友说的)，你们可以不喜欢，但请你们尊重一下别人的喜爱，角色是无辜的，而且也做的不差，还有不管喜欢的是男是女，是lsp还是女玩家，请不要互冲，不求互相喜欢只求互不打扰，请你们尊重每一个男玩家女玩家对不同角色的喜爱(强调)，不管怎么样全是策划的锅，还有祝你们游戏愉快，切记不要被水军带节奏，毕竟…"
"白塔谷","保密","无IP","336033584","6","","10000","643","7","天呐，热评看着真糟心。尊重也许是有些人一辈子也学不会的东西吧。,有的时候我想不应该对一个角色投入过多的感情，看见一些不友善的评论就容易心乱。但看到他时，喜悦之情就会不由自主地冒出来。我能做些什么呢？什么也做不了。我只能继续默默喜欢，努力无视杂音，并且时刻牢记，我玩游戏是为了愉悦自己。"
"秋分_aki","保密","无IP","7337153","6","","10000","393","","阿贝多成了钟离事件的最后受害者，打开这评论区太难受了……"
"花洲散入梦","男","无IP","24843978","6","","10000","333","","感觉热评不知道是不是因为当时钟离的问题，对阿贝多的画过分解读了，可能最后一张半成品和钟离没有关系，我有时候画画也这样[跪了][跪了]（仅代表个人观点，没有洗白mhy的意思，我没有说钟离不好的意思，没有说当时版本钟离强度高的意思，没有diss钟离厨的意思，我不是阿贝多厨，我也不是mvb[跪了]）"
"皮蛋XD","保密","无IP","52715509","6","","10000","463","","事情应该是要过去了，我也不指望啥，希望兄弟姐妹们能在pv里多发发有趣的弹幕叭。视频弹幕评论mhy应该是动不了的，这个归B站管，只能希望大家多发发弹幕把以前糟糕的声音挤出去。我不是阿贝多厨，有的人想说我饭圈大可以说，我只是觉得，作为一个公子厨，我真能感觉到有些喜欢阿贝多人看到这视频心里的委屈的恶心感，我希望大家都能开开心心的喜欢自己爱的角色。公子池刚开那段时间，我真不知道是怎么过来的，所以我不希望以后还有这事了。不说以后，我希望至少现在阿贝多的pv能恢复正常，求求了[大哭]"
"名字神马取不来","保密","无IP","33824715","6","","10000","314","","好家伙，这弹幕举报都举报不过来，我喜欢钟离，也喜欢阿贝多，上升角色的是不是有毛病？"
"轻度黑眼圈患者","保密","无IP","102313199","5","","10000","423","","热评让人呕吐，阿贝多才是最惨的五星角色。"
"星瞳倒映火焰","保密","无IP","434623174","5","","10000","125","","阿贝多pv评论真是被节奏污染惨了[笑哭]"
"欧特雪_Shirley_","女","无IP","347404048","5","凹凸世界","10000","125","","还能复刻嘛……我挺喜欢阿贝多的，现在钟离也改了，阿贝多的pv再发一遍吧，评论区看的好难受……只要有阿贝多受伤的世界完成了……"
"账号已注销","保密","无IP","275302271","0","","5000","252","","大家帮忙举报一下弹幕里的人身攻击，顺变发点其他的把之前的弹幕顶下去，这孩子真的惨，前有钟离节奏，后有甘雨胡桃魈的卡池，帮帮他吧[捂脸][捂脸][捂脸]"
"morisa66","保密","无IP","289542802","6","","10000","181","","能清下弹幕吗？看着阿贝多厨看着真的难受。"
"可可蒂","女","无IP","36731929","6","","10000","314","","终于舍得发新角色pv了吗。可怜的阿贝多被献祭了……"
