"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"百野栞の书架","保密","无IP","88093754","6","还有醒着的么","10000","2416","","科普下夜兰的中配和日配cv,夜兰中配cv：徐慧,主要配音角色：,小博———《纳米神兵》,七白———《京剧猫之脚踏实地》,迷雅————《万国志》,武器、科塔娜、哈尔希———《光环:无限》,卡珊德拉·蒂米特雷斯库、萝丝玛丽·温特斯———《生化危机8：村庄》,巨噬细胞、调节性T细胞、巨核细胞———《工作细胞(中配)》,罗芭———《Apex英雄》,安华、乌校长———《未定事件簿》,绿珠———《忘川风华录》,卡芙卡———《崩坏：星穹铁道》,.,夜兰日配cv：远藤绫,主要配音角色：,高良美幸———《幸运星》,村雨令音(澪妈)———《约会大作战》系列,雪露·诺姆———《Macross Frontier》,魁札尔·科亚特尔———《Fate/Grand Order》,嘉德丽雅·波德莱尔———《紫罗兰永恒花园》,奥索拉·阿奎纳———《魔法禁书目录》系列,艾莉·麦克道尔———《英雄传说 轨迹系列》,仓崎枫子/Sky Raker———《加速世界》,松———《鹡鸰女神》,渡边早季(36岁)———《来自新世界》,吉尔(吉尔伽美什)———《魔法少女☆伊莉雅》系列,樱井穗波———《魔法科高中的劣等生 追忆篇》,娑娜(琴女)———《英雄联盟（日配）》,骏河(鲪)———《碧蓝航线》,【如果有没提到的，求帮忙补充一下】"
"叶落乌啼-花落无声","男","无IP","389182353","5","明日方舟音律系列","10000","914","","夜兰，我爱你，我们私奔吧,去充满树莓味的农庄,去喝着蒲公英酒看百年前古堡的始落,去带着草帽走在飘满麦穗的小路上,举着一杯金色伊甸看阳光撒在绿色的树叶上映衬这翠蓝的湖水,深陷柔软的沙发里拥抱，和着窗外被大风摧残的树枝亲吻,踩着金黄色的树叶没有章法的随意舞蹈,站在绝云顶大声歌唱，这一刻你和风都在我身边"
"时间之类","保密","无IP","86123717","6","","10000","878","","“夜兰人呢”,“听说她抓了两个愚人众正拷问呢”,“好几天了还没审完，那个愚人众这么硬骨头吗？”,“没，那个愚人众开了盾，夜兰还在那拿弓箭刮呢”"
"砍哥_","男","无IP","2401516","6","","10000","354","","给你们一天时间，我要看这个岩杖的本子。"
"卡琳赛缪尔KarinSamuel","女","无IP","61972985","6","","10000","24","","关于夜兰的名字，请各位顶我上去吧……这两个字都认错而且还有很多人觉得无所谓也是离谱,夜兰名字是中文，取“兰”字是因为中国以兰花为君子之花蕴含了高洁美好和坚贞不渝的含义也能与角色的命之座对应。“阑”字则有临近结束，将要完结的意义，例如“那人却在，灯火阑珊处”的意思就是“那个人却站在灯火暗淡的地方”，所以一般“阑”不作人名。“兰”的繁体字是“蘭”和“阑”差别很大。"
"夏日雨物","保密","无IP","65342666","6","天官赐福动画","10000","52","","可能是我的问题，这个PV看不出什么，就是我一直喜欢的lv2D技术，抱歉，没有看出来有什么，音乐的情绪氛围，没有听出来，以及对夜兰的塑造也没有怎么看到（甚至不如那几张图片的文字介绍有吸引力），之前神子能通过嗤笑狐妖的视角看遍人间烟火，绫人看到打工人的工作与家庭，璃月角色的申鹤能看到人类之躯后仙人冷淡的外表和内心帮助重云这类普通人的热心肠。emmm夜兰，抱歉我什么都没有看出来。。。"
"高阶领主孙一峰","保密","无IP","23613840","6","","10000","279","","这位先生，你也不想任务失败的事情被冰之女皇知道吧"
"鄙人赫玖菌","男","无IP","282460315","6","","10000","222","11","所以岩上茶室的老板怎么变成夜兰了？难道是以前的那个老板被公子处理掉了，然后凝光排夜兰来接手吗[热词系列_知识增加]"
"lonely梧桐树","男","无IP","45537540","6","","10000","319","","夜兰审问那段，我差点以为要拿着叫板拍桌子[笑哭]"
"道以杀生证有情","男","无IP","240822699","6","","10000","1000","","夜兰明面上是岩上茶室的老板，岩上茶室是赌场，那愚人众被发现可能就是因为他去赌了，所以，要牢记不沾酒，不沾赌…"
"控电蛾","保密","无IP","358854324","6","","10000","1043","","还在2.6，身体已经进了2.7，心里却想着2.8[tv_doge]"
"星名Hoshina","保密","无IP","8238633","6","湊-阿库娅","10000","2206","","刚刚我去玩穹妹，她说我没资格，看来我来的不是时候[大哭]"
"林宥宵","保密","无IP","29435938","6","","10000","365","","天真，你一个水弓还想破我岩系愚人众的盾[傲娇]"
