"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"艾希派蒙","保密","无IP","435676132","5","","10000","9650","","错误示范：请不要使用温迪去打北风狼"
"八云紫Sama_","保密","无IP","88662481","6","花园Serena","10000","7519","","亲，今天就是立秋呢(=ω=)"
"游城7十代","男","无IP","124799","6","碧蓝航线","10000","4675","22","虽然很炫酷，但为什么对狼王开温迪大[doge]"
"迷路的史莱姆酱","保密","无IP","450905062","5","","10000","6079","10","来啦来啦[鼓掌]"
"震雷之傲世","男","无IP","220313368","6","少前小剧场","10000","9652","","你们不要看着个pv就高兴，毕竟中国很多游戏都是“用心做pv，用脚做游戏”的……,哦米哈游啊，他们连pv都不会做的，只能用实机画面凑数的，所以没问题"
"伊蕾娜嗷","男","无IP","278369787","5","","10000","4693","","是暴打原神小助手，快来和我一起暴打原神官方⑧,让她下条动态就↗是↘公↗测↘[doge][doge][doge][doge]"
"飞翔的丘丘人","保密","无IP","472729452","5","","10000","2510","","[星星眼]期待"
"果蝇轰","男","无IP","8469526","6","","10000","1857","10","芜湖，起飞！"
"游戏彩笔","男","无IP","1320581","6","","10000","1545","24","0.45新地图！！[小电视_吃惊]"
"橙黄色思想","男","无IP","488503420","5","","10000","1593","","旅行者，一起去新天地冒险吧！,《原神》将于今年秋季登陆PS4，并在PlayStation中国商店全球同步上线！,届时，游戏将同时登陆全球PS4、iOS、Android、PC多个平台，一起期待手机-主机-PC多端联机互通的畅玩体验吧！,,游戏预约现已开启，赶紧成为我们的伙伴吧~！,,《原神》游戏预约：https://www.biligame.com/detail/?id=103496"
"琰柩玖","保密","无IP","35412817","6","","10000","817","7","提示：北方狼风，冰属性免疫，视频中温蒂开大为错误示范。实战建议上火和雷元素哦[OK]"
"I_love学习","女","无IP","32768626","6","","10000","804","","原神手机配置要求：,高通骁龙：,低画质：骁龙636（大概率翻车），骁龙660（小概率翻车，看频率），骁龙665，骁龙……（此处省略牙膏处理器），骁龙710，骁龙……（此处省略牙膏处理器），，骁龙820,中画质：骁龙730，骁龙765g，骁龙835，此处部分省略牙膏处理器,中高画质：骁龙845,高画质：骁龙855，骁龙855+，骁龙865,,海思麒麟：,低画质：麒麟950（概率翻车），麒麟960，麒麟710全系,中画质：麒麟970，麒麟810,中高画质：麒麟820,高画质：麒麟980，麒麟990，麒麟985，麒麟1000（1020）,建议开游戏模式,,联发科：,低画质：x20，x23，x25，x27，x30，p60，p70，p90及其他牙膏处理器,中画质：天玑720，天玑800,中高画质：天玑820,高画质：天玑1000l，天玑1000，天玑1000+,,苹果a系：,低画质：内存原因，无,中画质：内存原因，无,中高画质：a9（大概率翻车），a10（概率翻车），a10x（概率翻车），a11,高画质：a12及以上，包括ipadsoc,,三星：,低画质：随缘,中画质：猎户座9810，猎户座9820,中高画质：猎户座990,,注意：,运行内存4g以上，最好6g,soc制程较落后机型，做好烤猪蹄的准备,三星全系都有极大概率功耗爆炸，发热降频导致体验稀烂,由于机型太多导致的优化问题，许多865高通机型可能体验有所下降，可能偶尔会出现较为严重的掉帧,天玑1000+可能发热降频,理论上讲，能较好运行中画质的机型可以尝试中高画质，能良好运行中高画质的机型也可以尝试高画质。,,纯手打，多方参考，求赞。"
"单秋人","保密","无IP","353408760","6","良辰美景·不问天","10000","564","","手机和pc数据互通吗"
"丽塔第一","保密","无IP","96964815","6","","10000","431","","今天就立秋了[吃瓜][吃瓜][吃瓜][吃瓜][吃瓜]"
"一只伍叶","保密","无IP","26857424","6","","10000","404","1","起飞[hanser_流啤]"
"の尼桑","男","无IP","39788079","6","","10000","319","13","直接说 几月 几号公测吧[妙啊]"
"箫叶秓","女","无IP","102620987","6","洛天依8th生日纪念","10000","412","","啊啊啊啊啊啊啊"
"asinaes","男","无IP","23172256","6","","10000","68","","王者荣耀那个实录视频下面竟然给我推荐这个"
"南宫瑚玥","保密","无IP","11628871","6","","10000","350","","不负责猜一波。。,我们可以推理一下，预约平台说国庆前，那么大概率是九月了，然后按照米忽悠的一贯做法，会提前一周进行直播预告的，而直播预告会提前一周左右告知所以进行共计大约三周，再加上米忽悠习惯周四进行游戏版本更新预下载，第二天周五在上线游戏内容，所以我猜测最迟最迟也是9月25日公测。。,但考虑到崩坏三周年庆，双方避开互相热度的话，日期会提前，也就是在周五的日期4号11号18号之间选择。。往前推三周所以我们最早最早可以在8月20+号可以得知原神公测的具体消息。。大概。。"
"宁然一隅","女","无IP","475973405","5","","10000","534","","太黑暗了，整个屏幕都是黑的[妙啊][妙啊][妙啊]"
"樱梦誓约","男","无IP","178686549","5","","10000","391","8","评论区的某些人可真好笑，明明不喜欢不关注就是了，却24小时高度来这带节奏，jian不jian啊[吃瓜][吃瓜][吃瓜]"
"雾艸","男","无IP","10506895","6","","10000","74","","今天是立秋 就是今天开服吧 是的吧一定是的吧[tv_doge]"
"假面の民","男","无IP","111401797","6","","10000","324","","switch呢～"
"然后说就这样吧","保密","广东","13531837","6","","10000","72","","被不少诈骗式实机演示忽悠之后，回过头来看米哈游的实机演示真是朴实，真就和玩到的一模一样"
"丿拾音灬远去","保密","无IP","20565553","6","","10000","246","","别人都是各种cg你倒好，啥都不准备就录个实机演示[抠鼻]"
"雅小姐的修勾","男","无IP","412991891","5","星座系列：双鱼座","10000","63","","剧情是纯爱吗[doge]"
"翊勇枫太","男","无IP","49768020","6","","10000","282","7","太黑暗了，宣布这是游戏史上最黑暗的一天。什么，你说它上b站热门了，那不就是个不入流的小破站吗？给点钱就能上。不说了，去通关塞尔达120神庙，不然怕认错游戏。"
"星嗣","男","无IP","99170474","6","","10000","70","2","xdm，ns不是没了，是暂时不上线，毕竟ns还没测试[doge]"
"月阙苍辉之犬","保密","无IP","16822266","6","","10000","185","","人和人的游戏理解不能一概而论，我曾经在极度愤怒的情况下在游戏史上最黑暗的一天这一天中带了一万个米卫兵帽子，现在脖子都歪了[妙啊]"
"王某人EX","保密","无IP","302661042","6","hanser","10000","60","","那个。。。今天立秋了[无语]"
"千葉型DJ","男","无IP","5907649","6","#EveOneCat","10000","233","","我的猜想实现了 PS4 安卓 IOS PC数据互通,游戏好不好玩先不说 这种体验在手游中非常少见,期待公测"
"Romanticwhisper","保密","无IP","32224238","6","","10000","66","","PC和手机端互通数据么，想在家用PC玩，在外面用手机"
"塔鲁克","男","无IP","179629339","6","","10000","152","10","评论区太好玩了。玩其他氪金手游的米黑跟风黑一下都不想说什么了，玩lol还来婊原神那也就算了，玩wzry的也敢跟着来黑一下我是没想到的。"
"一脸酸爽","男","无IP","12439212","6","quin和他的朋友们","10000","64","","兄弟萌，我已经把我的ns砸了，大火说我做的对不对"
"小雪糖鸡","保密","无IP","12023550","6","","10000","158","","我要赶紧买PS4，阿不 PS5[doge]"
"多少带点攻击性","保密","无IP","499229050","5","明日方舟音律系列","10000","55","","官方怎么放黑屏呀？,    。。,。,。,。, , ,。,。,。,。, ,。,祝一切顺利。"
"秋山葉","男","无IP","2676257","6","citrus","10000","158","","所以ns平台什么时候能玩到呢[doge]"
"小der逼儿","保密","无IP","402584000","4","","10000","60","","我不知道ys怎样怎样，我只知道那些觉得ys烂还点进来骂骂咧咧地评论一句的人跟老八一定是亲戚[OK]"
"云遮清璃","男","无IP","33086599","6","","10000","128","","国配pv看到好几个弹幕说这不行那不行，到日配那一堆人说对味了，然后屏蔽一个人，这两边都要少好几条……[笑哭][笑哭]"
"瓜皮桑-","保密","山东","15298996","6","","10000","76","","怎么会有实机演示和游戏内一模一样的游戏啊[藏狐]"
"雨墨生歌","男","无IP","237823597","5","","10000","115","","这个实机演示至少是真的，现在压力来到tx这边[doge]"
"温格林绝望文盲版","保密","无IP","396052171","5","原神","10000","71","","游戏看看就得了[嗑瓜子]谁知道是不是全是动画唬人，全是渲染谁玩，肯定假的，除非上线打我脸[疑惑]"
"伸爪爪俱乐部","保密","无IP","283993214","6","","10000","90","","给原神说了句好话，被私信骂了一句拉黑了，都2020年了啊...."
"卦弊桐","男","广东","172914251","6","初音未来13周年","10000","51","11","【《原神》跟着安柏一起探索提瓦特大陆吧！-哔哩哔哩】 https://b23.tv/ebTJkcu,没ui？19年就发了"
"自深境螺旋的白雪公主","男","无IP","51088918","6","喂，看见耳朵啦","10000","82","","mhy就是mhy，穷的都不舍得做动画，都用实机。瞅瞅别的大场全是动画cg[原神_生气]"
"艾琳娜-卡斯兰娜","保密","无IP","33534205","6","","10000","89","","米式周五[崩坏3_糖葫芦]"
"根号96","保密","贵州","1499408861","5","原神","10000","44","12","这才叫实机"
"kk今天打游戏了吗","保密","河南","356802208","5","","10000","45","","这才是实机演示啊！跟游戏里一模一样！！！一模一样！！！！！"
"设计情报站","男","山东","301541651","6","","10000","71","","刚看完王者实录[doge]祝他好运"
"星微夜辰","保密","陕西","12115660","6","至尊戒","10000","44","","纳西妲时期考古黑暗降临时期[藏狐][藏狐][藏狐]"
"Godthrone","保密","无IP","40322741","6","原神","10000","70","","啊这，真就纯实机画面剪个pv出来啊，这也太懒了[tv_笑哭][tv_笑哭][tv_笑哭]"
"风云批判者","保密","黑龙江","449171312","4","","10000","73","","就看现在的新评论，农的逆天远高于原[吃瓜][吃瓜]"
"夏纪永远","男","无IP","291130632","5","原神","10000","69","","以前就算了，现在看温迪打狼王怎么看怎么离谱[辣眼睛][辣眼睛][辣眼睛]"
"东方天若Official","女","无IP","7872735","6","湊-阿库娅","10000","40","10","现在回来看看什么叫实录[妙啊]"
"杜冥鸦の学生八重嘤","保密","无IP","35370989","6","","10000","86","","圣经呢，不会背，快给抄抄"
"baiyuan_","保密","无IP","273953223","5","","10000","38","","有多少人是从wx来的鹅鹅鹅"
"火铳仙人","保密","广西","651147610","4","","10000","69","","总而言之：宣传与实物一致，消费者没有受骗[傲娇]"
"鼎寕","保密","无IP","405777534","5","","10000","38","9","说实话，再回来看一次评论区，真的充斥着好多黑子，什么抄袭啊，什么和塞尔达相像啊，看都看腻了：起初，原神和塞尔达确实有相像之处，但刚发也发出声明说过借鉴了塞尔达，但是并没有抄袭啊，如果要说抄袭，那任天堂早就告了：黑子们搁着哔哔赖赖不嫌累吗？都一年了，请理智些吧，如果你们真的觉得是抄袭，为什么不去寻找有利证据呢？你们要真有证据我们也说不出什么啊"
"白羽樱雅","保密","无IP","12898153","6","","10000","68","","快进到剪辑锤抄袭[doge]"
"姓王住隔壁的朋友","男","无IP","525080877","5","至尊戒","10000","50","","好家伙，鱼没钓到，鱼钩反而缠在一起[吃瓜]"
"黑塔塔开","男","无IP","424506183","5","","10000","35","","真是的，这评论越来越黑暗了翻半天都没找到一个光明的评论[doge][doge][doge][doge][doge]"
"Raidenin","保密","陕西","391154179","5","","10000","46","","看看来这刷ui的最后都哑口无言一击脱离的评论也不失为一种乐趣[doge]"
"你为何要离去呢","男","广东","453565955","5","","10000","46","","很多过来刷UI的，原神2019年就放出来过了，还有视频里面跟你玩到的就是一模一样的"
"Cosmo_polit_an","男","无IP","28967912","6","原神","10000","33","","我超 这游戏啥时候能玩！？"
"沈阳市精神院院长","保密","辽宁","1181443799","4","","10000","33","","腾讯哥哥，这才叫实际捏[微笑]"
"陆陨星","男","河南","287379627","5","","10000","60","","从隔壁《实机演示》过来洗洗眼[无语]"
"原代啦啦","保密","无IP","46769681","6","","10000","52","","王者新游实录下面推荐的[吃瓜]  好活好活[打call]"
"艾琳娜-卡斯兰娜","保密","无IP","33534205","6","","10000","30","","所以ps4也是免费加内购吗？[崩坏3_吃瓜]"
"嘤嘤怪好怪","男","福建","1724563","6","","10000","30","","回来看一下，Mihoyo的时机基本和游戏内一致"
"羊驼呸","女","无IP","309976248","5","原神","10000","40","","还只是个实机画面预告片而已，谁知道是不是全是cg[doge]"
"-Hura-","保密","无IP","292025176","5","原神","10000","34","","开服玩家，玩了这么久了，再来重温，感觉一种奇异的忧郁感油然而生，觉得心里莫名有点痛，从一开始的一无所知，满心欢喜，到现在的什么都懂了，却失去了最最最朴素的快乐，我不知道接下来该做什么好。我希望我可以宛如初始这个游戏一般，在完全陌生的状况下，继续感受着原神的魅力，但我永远不能了。"
"可爱的妹妹呦","保密","无IP","334601078","5","2021拜年纪","10000","33","","请问一下为什么你举报原神抄袭呢,因为我看他像塞尔达,那请问你为什么不举报王者呢,因为他真的抄袭了,[吃瓜]"
"星玥2","保密","湖北","1291437244","5","","10000","28","","为什么我从隔壁到了这里[暹罗猫小豆泥 · 遇见泥_我是学生]"
"非洲人康娜酱","保密","无IP","25750906","6","崩坏：星穹铁道","10000","40","8","原神排面！黑暗降临！[doge]"
"鲤鱼与绿馿","保密","河北","303161983","5","不思议之旅","10000","37","","这才是实机嘛，隔壁的实机假的就跟假的似的[吃瓜]"
"温如清梦","男","安徽","14755952","5","","10000","37","","大家是不是都是从王者底下过来洗眼睛的[吃瓜][吃瓜]"
"炜诺","男","无IP","35927925","6","黄绿合战5th","10000","27","","↓     中配党[打call]集合辣~"
"红莲恋","保密","无IP","5798128","6","碧蓝航线","10000","27","","不喜欢mihoyo的还特意来这视频下面水，这不是犯贱吗。[呲牙]"
"工藤铃桜","女","无IP","39848339","6","国民老公带回家","10000","31","","【立秋】,今天立秋，距离秋分还有46天，距离十一国庆中秋还有55天，距离立冬还有92天，你懂我意思吧[doge][热词系列_你细品]"
"温文尔雅の夏云","男","江苏","31425202","6","七濑胡桃","10000","31","","隔壁看看，这才叫实机啊不是，实录[七濑胡桃_乖巧]"
"a浅唱a","保密","无IP","95788830","6","","10000","26","","看到弹幕有一句“学都学不像，唉”，为什么要学像呢，虽然过了一年了，看到这种话还是有点恼火，做自己不就好了。"
"曹操2738488","保密","广东","1760217804","4","","10000","26","","tx哥哥，这叫实机"
"紫颂果","保密","江苏","384797308","5","Kizuna AI","10000","26","","UI搁这了https://b23.tv/aimhatJ(还是19年的)"
"从前之过往","保密","四川","1899177127","5","崩坏：星穹铁道","10000","34","","我觉得各位没必要太关注农药世界了，警惕黑红蹭流量"
"旅行七忘","保密","河南","398608554","5","","10000","34","","3.2前来辟谣，实机比这效果好的多"
"30个字符以内_2","保密","无IP","24571655","5","","10000","25","","虚假的ps4完结大作，玩家怒喷剧情，编剧强加私货，媒体水军太多，独占游戏门槛高,真正的ps4完结大作，玩家化身黑暗团结一致，被点评杀死未来十年单机大作（x），pc，安卓，ios，ns全平台开放包容[doge]"
"安晚不睡觉","女","河北","1438095608","3","","10000","25","","大家好，我会预言，3.2版本会有小草神,[doge][doge][doge][脱单doge]"
"帝文孝魏北","保密","山西","1144166108","4","2233幻星集","10000","33","","腾讯鸽鸽这才是实机[脱单doge][灵魂出窍]"
"小--周","男","江苏","435979377","5","","10000","33","","找到的能不能帮忙给它们点点赞啊，考古的都找不着了[大哭]"
"魈唯一的爱犬","男","山西","108614429","6","","10000","24","","这才是实机演示啊"
"碗垣砷泰铎盗跖得","男","江苏","628697285","5","","10000","24","","有的人是来考古，有的跟穿越了一样"
"町零澪","男","无IP","399847901","5","","10000","36","","王者新游时代前来考古[doge]（没错我就是来拱火的）《王者荣耀》IP大乱斗新游《代号：破晓》带UI实机体验"
"シ好饿丶","保密","海南","286765095","5","","10000","31","","考古，须弥探索度卡在72了"
"我真的KIMOJI","保密","湖南","448594553","5","凹凸世界","10000","27","","哈哈哈，腾讯实机，想起来就好笑"
