"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"油焖罐头","保密","天津","6540","6","","10000","6135","","馅料不够咸，对体力劳动者和体力消耗较大的旅者来说尤其如此，口味轻一些的话可以酌量加些盐、生抽、蚝油、胡椒粉，做出来是家常口味。,喜欢川菜口味的可以先把肉片和线椒过油捞出，葱姜爆香后下豆瓣酱炒出红油（个人喜欢放等量的甜面酱），一勺糖炒化，加料酒大火烹开，再下肉片和辣椒，加胡椒粉翻炒，出锅加一勺味精拌匀。这个是辣子鸡丁的饭馆做法，比较简单。"
"本体の眼镜","保密","湖北","629854333","5","","10000","2710","","窝窝头，中国北方地区常见的面食。采用天然绿色的五谷杂粮为主要原料，其中的纤维素含量很高，具有刺激胃肠蠕动的特性，可防治便秘、肠炎、肠癌等。其中含有的玉米油，更能降低血清胆固醇，预防高血压和冠心病的发生。,如今的窝窝头已经是一种绿色、营养、健康的美食了，因粗粮对身体健康很有好处，因此广受现在消费者的喜爱。,窝窝头起源的历史是不可考了，但我们知道至少在明朝已经有这个名称，即是去今有三百多年的历史了。李光庭著《乡言解颐》卷五，载刘宽夫《日下七事诗》，末章中说及“爱窝窝”，小注云，“窝窝以糯米粉为之，状如元宵粉荔，中有糖馅，蒸熟外糁自粉，上作一凹，故名窝窝。田间所食则用杂粮面为之，大或至斤许，其下一窝如旧而复之。茶馆所制甚小，曰爱窝窝，相传明世中富有嗜之者，因名御爱窝窝，今但曰爱而已”。照这样说，爱窝窝由于御爱窝窝的缩称，那么可见窝窝头的名称在明朝那时候已经有了。"
"幻痕来生再会","男","山东","261551643","6","崩坏3·天穹流星","10000","903","","在山东沿海地区，这道菜属于是饭馆的招牌菜，不过我们这里是窝窝头配鸡蛋炒炸酱或者口味重的腌制鱼酱，我爷爷年轻的时候上船打鱼，奶奶就会在临出发前做一锅粗苞米面的窝窝头，还有鱼酱，我小时候有幸吃过，那种用粗苞米面的窝窝头并不好吃，但是能填饱肚子，炸酱也没有什么调料，非常惺臭，现代时代变迁，日子好起来了，窝窝头可以加牛奶加糖变得非常好吃[崩坏3·终焉归始_咀嚼]，每次看到窝窝头都想起我奶奶[崩坏3·终焉归始_给你水晶]他临终前一个月都还在吃"
"迟早成为种田文大佬","男","辽宁","43016919","6","","10000","6890","10","萌新可能没见过，这个是21年逐月节版本活动中送的菜谱[打call][打call]刻晴家祖传食谱，但也是香菱家世代相传的一道菜"
"我叫鲁鲁修8","保密","广东","29565903","5","","10000","4314","","米哈游有考虑布局饮食行业吗[嗑瓜子]店名就叫新月轩"
"听说某站名字能这么长","保密","辽宁","43696754","6","","10000","2548","","这次明显换了个胖胖的师傅，应该是专精白案的 ⊙ω⊙白案功夫是力气活，师傅体格不够的话揉的面也不行"
"古疏桐","保密","山东","1894642","6","","10000","1430","8","请停一下，旅行者，今天是二月二，龙抬头。记得根据你们当地的风俗选择吃不同的吃的。[脱单doge]（我这边二月二吃荠菜饺子）"
"沐樨今天画画了没","女","日本","86240292","6","罗小黑战记","10000","28582","","人在稻妻，嘴里的寿司瞬间不香了，好想吃璃月菜[未定事件簿_呜呜]"
"民国豌豆","保密","湖南","484465441","5","","10000","18663","","关于写生物报告。,须弥人:领地，生活习性，数量，繁殖期……,璃月人:食之大补[doge][doge]"
"朗姆朗姆","保密","湖南","4749424","6","","10000","1543","","边看边吃饭，看着太香了吃得好急，把嘴咬了个巨大口子现在一嘴血含泪继续观看"
"设_狐狸燃","男","四川","384218829","5","","10000","1356","","刻晴：我的金丝虾球（难过）,香菱：锅巴，坏!,锅巴：卢卢卢"
"回顾草木枯","女","安徽","131588632","6","","10000","2164","5","看了辣肉窝窝头介绍才知道中间那些菜是要塞进窝窝头里一起吃的，第一次在河南吃到窝窝头，一口菜一口窝窝头还感觉自己很北方哈哈哈哈……"
