"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"Element477B","男","河北","611889595","5","","10000","15594","","宵宫厨精神状态,前半段：嗯是好对，虽然宵宫人气不高，但是我们无所谓，我们只要静静等待复刻就好，虽然活动没露面，但是静静等待就好，终有一日，宵宫将。。。。,后半段：哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈啊啊啊啊啊啊啊啊啊啊呜呜呜呜呜呜呜呜咔咔咔咔咔咔咔咔咔咔咔噜噜噜噜噜噜噜噜呜呜呜呜呜呜呜呜呜啊哈哈哈哈（陷入支配状态，请使用解除负面效果的技能解除状态）"
"YYSAAAAAA","保密","浙江","41383646","6","","10000","12823","11","荣誉骑士哥哥姐姐，可莉为你导航：,00:01 空、夏洛蒂CV鹿喑、阮从青开场,02:15 3.7版本PV 《决斗！召唤之巅!》,04:23 版本活动：决斗！召唤之巅!（活动获取四星弓鹮穿之喙）,10:20 七圣召唤更新,11:55 绮良良、宵宫CV孙艳琦、娜娜子出场,13:20 绮良良介绍（中配：孙艳琦 日配：玲代纱弓）,18:22 宵宫传说任务第二章（宵宫:什么叫只打高端局啊！）,19:55 角色祈愿第一期：宵宫、八重神子、绮良良 第二期 ：枫原万叶、艾尔海森,20:25 卡维邀约任务,21:15 版本活动：神工天巧、离垢者肃心旅宴、溢神的猜想,26:32 联动：科颜氏（提纳里、科莱、兰那罗）,29:02彩蛋！彩蛋！彩蛋！,兑换码:7C38QBV4Q2YW、LDJ99BUM9JG2、SV289BD48KZN"
"冰夜灵丶","保密","广东","85852648","6","崩坏：星穹铁道","10000","1689","","标题：决战！召唤之巅！,前瞻额外角色：枫丹-夏洛蒂,兑换码：7C38QBV4Q2YW,              LDJ99BUM9JG2,              SV289BD48KZN,卡池：上半：宵宫+神子 四星绮良良 ,           下半：海哥+万叶,活动：决斗！召唤之巅！,（七圣召唤大活动）分为四小活动,跑图打怪,打牌,调整零件,打怪拿骰子上增益打怪,（有活动限定武器 弓系）,神工天巧复刻升级：（神工天巧·宝录之章）,第一关守护镇石,第二关捡金币,第三关打怪加增益,第四关保命捡金币,第五关打掉怪的增益在打怪,也能自行设计关卡,可以联机过关了,离垢者肃心旅宴：打BOSS战,溢神的猜想复刻：扫弱点打怪,任务：宵宫传说任务2,          卡维邀约,七圣召唤大更新：多几十种牌,有四国的神牌,打牌新模式：同一牌组赢五把 输三把就算全输,           自行加减难度打牌（比较像无相交响诗）,新角色：绮良良 单手剑 ,天赋不会惊动小动物,e技能短按草盾,长按变快递盒也加盾 ,经过敌人能挂草 快递盒状态能爬山,q技能快递盒炸开 出草炸弹 碰到敌人or时间爆炸,其他：科颜氏和原神联动,          联动角色为提纳里和柯莱,结尾放了枫丹 旅行者水下探索"
"少年治","男","浙江","7335999","6","原神","10000","4924","","既然枫丹都有水下世界了。那就把之前所有地图的水下都重新做吧。顺带把璃月到稻妻的海底填充一下[tv_doge]（2年计划）"
"五元一次方程组","男","湖北","44189246","5","","10000","789","","有的这方面的技术是不是也意味着爷能拿回被天理没收的翅膀(和专武)在天空自由飞翔了呢？[星星眼]"
"谋定の嘉","男","内蒙古","512851418","5","","10000","4921","","宵宫：巴巴托斯，我已登神[脱单doge]"
"若言-初心","男","广西","356614342","6","","10000","2627","","绮良良一耳幻听成喜羊羊，话说以后水下地图实装了会不会有那种脑袋顶着大水泡的丘丘人在水底游来游去，那也太可爱了吧(   )"
"毛绒绒乐乐","保密","福建","106433982","5","","10000","984","","WC，最后那一段画面是在潜水吗？枫丹能在水里探索？？？"
"幻墓神","保密","广东","484987600","5","","10000","4501","","知道为什么科颜氏联动的代言人是柯莱和小提吗？,因为科颜氏=“柯严师”=柯莱和她严格的老师"
"千弦百笙","男","江苏","490660372","5","","10000","555","","你最好把枫丹的活说的更明白一点，急急急"
