"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"战忽局-星尘的回忆","男","广东","29361796","6","","10000","9","","李素裳大招没有加冰蓄值？"
"dxkxjdj","保密","浙江","507425944","5","","10000","1","","我四十九抽出的伊甸。,第十抽:天殛之匙,第二十抽:黑渊白花,第三十抽:黑渊白花×2,第四十抽:黑渊白花加蛇专,第四十九抽（四十抽后面全单抽了）:伊甸"
"九月又睡着了","男","天津","13268142","6","","10000","19","","那么哪位老律者没有神之键专武呢~，是谁呢？[脱单doge]"
"空白D约定","男","山东","351198683","5","崩坏3·天穹流星","10000","1","","我的错觉吗？感觉祸斗好像变帅了[崩坏3·光辉矢愿_吃西瓜冰]"
"旭日满星","保密","河南","1169698470","5","","10000","1","","[热词系列_中秋快乐][热词系列_花好月圆]"
"lucnabley","保密","云南","1499009520","4","","10000","1","","大佬们，下个版本板鸭带李素裳的圣痕好还是安娜套好？我现在用的还是瓦尔套[辣眼睛][辣眼睛]"
"佩里斯公园","保密","陕西","180247160","3","","10000","1","","这个加强等于要重新抽武器+圣痕才能吃到么…这和重新出一个角色感觉也没啥区别了"
"双笙寂灭","保密","河北","501692858","3","","10000","1","","这次抽不到了，给识律毕业了等返厂吧"
"HanLink","保密","重庆","397824698","5","","10000","1","","刚拉的真理，已经哭了"
"没有人类的货币","保密","广东","67593106","6","","10000","1","","阿姬中秋快乐"
"凯文-乐土限定","男","山东","327390639","5","崩坏3·天穹流星","10000","0","","xdm，如果新神之键上线正式服的话，理律和奶鸭几几开"
"Y天幕Y","保密","天津","25741299","6","","10000","0","","这个武器配色 让我想到了龙辉巧"
"瓦尔特乔伊斯单推人","女","上海","353203260","5","崩坏：星穹铁道","10000","0","","[崩坏3·光辉矢愿_吃西瓜冰]"
"御命丹心QAQ","保密","广东","13643641","6","","10000","0","","The world!!"
"Ocenaus","女","陕西","65708323","6","","10000","0","","真的帅"
"闪亮亮的绮罗星","女","河北","1720929837","4","","10000","0","","咳咳[doge]"
"路鸣泽-小魔鬼","保密","河北","353259815","6","hanser","10000","0","","快半年了"
"沃坎之子","男","吉林","320843953","6","","10000","0","","啥时候出啊"
"空白D约定","男","山东","351198683","5","崩坏3·天穹流星","10000","0","","24分钟新鲜到来[崩坏3·光辉矢愿_回眸][崩坏3·光辉矢愿_比心][崩坏3·光辉矢愿_吃西瓜冰]"
"御命丹心QAQ","保密","广东","13643641","6","","10000","0","","The world!!"
"瓦尔特乔伊斯单推人","女","上海","353203260","5","崩坏：星穹铁道","10000","0","","[崩坏3·光辉矢愿_吃西瓜冰]"
"空白D约定","男","山东","351198683","5","崩坏3·天穹流星","10000","0","","24分钟新鲜到来[崩坏3·光辉矢愿_回眸][崩坏3·光辉矢愿_比心][崩坏3·光辉矢愿_吃西瓜冰]"
"Ocenaus","女","陕西","65708323","6","","10000","0","","真的帅"
