"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"千夜空照","保密","无IP","393428832","5","","10000","21","","这飞龙留在场上喷了个寂寞，就算s2雷律，也只能喷2秒吧，s0喷一秒就没了，伤害还是原来的百分之50，这两秒内怎么也打不了两次心斩啊[笑哭]"
"听猫中毒","男","无IP","3398803","6","","10000","8","","好强啊，是新角色吗？"
"b站yyds","男","无IP","470205901","5","","10000","9","","贝纳勒斯:坏了，我成替身了[doge]"
"贵公子vassago","男","无IP","435406507","5","","10000","1","","所以说比超限钥匙能强多少伤害"
"萘奈珂心","保密","无IP","1203003203","5","","10000","1","","这个武器，怎么说呢，也就是把雷律摆烂现状提高一下，雷律想回到神坛，有一个新武器不行，必须还得有新圣痕"
"20岁请叫我叔叔","男","无IP","220305409","5","","10000","0","","upup我是刚入坑的萌新，听说下个版本会改新手奖励，我刚入坑会跟着一起改吗？"
"咕哒子可爱捏","男","无IP","78641367","6","","10000","0","","不能把贝拉强化一下吗？配这个武器。"
"颏间km","保密","无IP","493573388","4","","10000","2","","涤罪七雷和天寄那个对雷八提升更大？[热词系列_问号]"
"小醫仙","女","无IP","35831126","6","星座系列：双鱼座","10000","16","8","雷电的女王暂时回归[崩坏3_怒]"
"你真会吹","保密","无IP","1867162","6","","10000","4","","下来口水龙在场只喷一下？"
