"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"沐潞漾","保密","无IP","11612175","6","拉文克劳","10000","0","","玩爱莉老掉帧好难受啊"
"随梦归途","男","无IP","9464838","6","","10000","0","","骗人！！前两层全是专属的世界是不存在的[笑哭][笑哭][笑哭]"
"E6-00","保密","无IP","436582498","6","","10000","1","","爱卡爱ss2能打终尽吗[妙啊]"
"云渡千梦","女","无IP","285865714","5","","10000","0","","爱莉[大哭]我的爱莉[大哭]mhy你没有心"
"废喵教jio主","男","无IP","13490644","6","hanser","10000","1","","ss2超限加毕业打的都不算轻松 诶"
"Gra64格兰德","保密","无IP","7860402","6","崩坏：星穹铁道","10000","0","","我ss毕业套爱莉希雅三专属开局还是打不过，我怀疑我们玩的不是同一个游戏"
"一沐叶子","男","无IP","381825301","5","","10000","0","","早知当初也买个爱莉皮肤玩玩了[大哭]"
"一只大白免","保密","无IP","43389060","5","","10000","0","","爱莉需要这么多专属吗？我一般都是两个 然后天慧 救世 黄金[歪嘴]"
"澜鲸心","保密","无IP","1022657933","3","","10000","0","","难度劫烧我打都打不动"
"但盼风雨来丶","男","无IP","16287499","6","","10000","0","","什么时候开飞花池子呀，我每次用爱莉刮都摁的我手疼"
"你看到罐头了吗","保密","无IP","4236342","6","七濑胡桃","10000","5","","大月卡里丢爱丽碎片 装备却放德尔塔的，SB策划在恶心人的道路上越走越远了[吐]"
"Gonqiyi","保密","无IP","407564930","5","2021拜年纪活动专属","10000","7","","我想摸摸爱莉希雅的耳朵"
