"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"璃月晨星","保密","无IP","6108452","6","","10000","8","","新版本的累消活动可以获取两张特典装备兑换卡，同时帕朵的新服装也是通过累消来兑换的。"
"楚南衣","女","无IP","21907282","5","","10000","2","","累消不是周年庆和过年才有吗，现在出干嘛，全抽帕朵了一点都没存啊"
"余墨荼","保密","无IP","628511747","5","","10000","0","","不懂就问，冰希差武器和下，识宝差下，冰c只有理律冰希，毕业猫猫，物理没c（爱丽2s啥也没有）购物节选啥"
"虫虫今天吃什么","男","无IP","23014653","6","","10000","0","","Bp是啥呢"
"呱胍顶呱呱","保密","无IP","1558207745","5","","10000","0","","那个云墨的衣服算不算累消"
"啊吗喰","男","无IP","439292805","5","","10000","5","","那个特典兑换卡是怎么获得的？"
"吾梦之乡","保密","无IP","107182387","6","夏诺雅","10000","2","","啊，我忘存水了[大哭]"
"北小衍","保密","无IP","487198530","5","洛天依8th生日纪念","10000","0","","兑换卡会过期吗"
"天使的守护之翼","男","无IP","436925164","6","魔法学院","10000","16","","皮肤自选箱需要消费多少氵？[崩坏3_？]"
"天使的守护之翼","男","无IP","436925164","6","魔法学院","10000","0","","[崩坏3_划水]"
"静谧时光x","保密","无IP","372448850","5","","10000","0","","刚好贞仪差个下"
