"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"若_兮-悲","男","浙江","25531589","6","沈剑心","10000","187","","这就是崩三老咸鱼的乐趣所在，这些跟游戏毫不相干的活动关卡的确很有意思"
"致流失的岁月","男","云南","393570238","6","崩坏3·天穹流星","10000","304","","道理我都懂，可是为什么要用原神的bgm[doge]"
"你手机要没电了啊","保密","北京","53593369","6","崩坏3·天穹流星","10000","256","","所以输掉的舰长要被吃掉全部的水晶吗[崩坏3_？]"
"仙疯队","保密","江西","582244866","5","","10000","20","","即：,克莱因：睡莲,妖精爱莉：三线射手,苏：坚果墙（可攻击）,科斯魔：高坚果,帕朵菲莉丝：向日葵,华：豌豆射手,樱：寒冰射手,凯文：寒冰菇,千劫：岩浆番石榴,格蕾修：后置火炬树桩？,梅比乌斯：大喷菇"
"夺笋呐07848","男","山西","472857166","4","","10000","39","","这个比摇塞子好玩多了[星星眼][星星眼][星星眼]"
"kingkingkwisjs","保密","福建","354473779","6","","10000","33","","猫猫是向日葵 华是豌豆射手 苏是坚果墙 千劫是樱桃炸弹 那其他人会设计成什么呢 有点期待了[吃瓜]"
"mzt2号只因","保密","浙江","514177678","4","","10000","9","","道理我都懂，可为什么是13面"
"bili_53124350492","保密","辽宁","475355774","5","","10000","41","","寒冰射手不会是凯文吧，科斯魔大嘴花"
"滑稽星神","男","江西","395128687","6","","10000","45","","克莱因的求生道具是克莱因瓶吗[热词系列_知识增加]"
"--__-_-__-","保密","海南","390499612","5","","10000","7","","你甚至可以在pvz中玩到bbb（错乱）"
"泰勒丝的女银","女","山西","328957814","5","","10000","4","","6.0什么时候开始捏"
"星守罗","男","山东","319379227","6","公主连结凯露","10000","7","","众多周知，你在崩坏三里甚至能玩到崩坏三[doge]"
"空__境","保密","山东","476256933","5","崩坏3·天穹流星","10000","5","","向日葵猫猫，豌豆射手华，高坚果苏[藏狐]还有啥离谱的东西么"
"回光返照866","保密","广东","475816190","4","","10000","3","","感觉像植物大战僵尸[doge]"
"休伯利安号舰长_","男","河北","470116936","5","","10000","3","","千劫樱桃炸弹哈哈哈"
"高等邪恶","保密","河南","28408440","6","","10000","4","","这金币还得手动捡吗"
"特仑苏纯矿泉水","男","广东","282625367","6","","10000","5","","好喔最喜欢玩塔防了[doge]"
"林夕随谈","保密","浙江","473255328","6","VirtuaReal皓月头像框","10000","3","","月轮皮肤代币换，格蕾修有消息吗"
"衬衫价格915便士","保密","陕西","476476898","5","","10000","6","","樱桃炸弹劫哥"
"-画法几何-","保密","山东","351758385","5","","10000","6","","不愧是劫哥，原地爆炸"
"泰勒丝的女银","女","山西","328957814","5","","10000","4","","6.0什么时候开始捏"
"Alshira之恶魔","保密","四川","547049148","5","","10000","3","","这波PVZ的凹分党狂喜"
"休伯利安号舰长_","男","河北","470116936","5","","10000","3","","千劫樱桃炸弹哈哈哈"
"林夕随谈","保密","浙江","473255328","6","VirtuaReal皓月头像框","10000","3","","月轮皮肤代币换，格蕾修有消息吗"
"陌_纯","保密","湖北","1192116952","5","","10000","3","","这个会被告吧?"
"回光返照866","保密","广东","475816190","4","","10000","3","","感觉像植物大战僵尸[doge]"
"纪元2024","保密","辽宁","12856799","5","","10000","2","","苏有种妹妹的感觉[嫌弃]"
"人之律者_爱莉希雅","保密","辽宁","445443123","5","","10000","2","","没有那种宝开语图鉴我不是很认可[doge]"
"扉回","保密","贵州","2045440252","4","","10000","2","","关注了崩三情报姬好几年，第一次发现b站号[藏狐][藏狐]"
"名侦探希儿","男","山西","1602723966","4","","10000","1","","英桀有养成，确定是植物大战僵尸2[doge]"
"紤緀","男","安徽","39554007","6","","10000","1","","我只希望，各种太多的设定少来点，本来就是小游戏，太废脑就让人不想玩，每次活动都是一推再推最后积攒在一块受罪。希望这个玩法跟植物大战僵尸一样简洁明了[笑哭]"
"林陌离はやし","男","辽宁","89349924","6","","10000","1","","什么时候呢能玩保卫萝卜[doge]"
"变成星星的夜晚","保密","安徽","519671315","5","","10000","1","","pvz老玩家兼舰长狂喜"
"Phoenix丨良人梦","男","浙江","7504466","6","崩坏：星穹铁道","10000","0","","俗话说得好：你永远可以在崩三里玩到各种其他类型的游戏[doge]"
"泰拉后宫王","保密","湖南","438317024","5","2021拜年纪","10000","0","","感觉猫猫产钱是真慢"
"kibo不冤","保密","河南","1122161364","4","","10000","0","","我先插个眼，有猴来了踹我[doge]"
"风清雨恋","男","四川","364806337","5","","10000","0","","这个不涉及抄袭类的吗"
"tohtoe","保密","上海","143942818","6","","10000","0","","嗯，原来你们还记得崩坏系列最早是打僵尸的啊。"
"OUYYUO","保密","湖北","629909215","5","","10000","0","","@原神 我想在提瓦特玩这个，不考虑考虑[保卫萝卜_哇]"
"黑糖不加奶","女","河南","5618506","6","","10000","0","","原神和未定，你们看看你姐,我也想要这个小游戏[酸了]"
"啊狗奈子","保密","安徽","390529227","5","","10000","0","","完了，格蕾修皮肤寄了[热]"
"史密斯shu","男","辽宁","364658279","6","hanser","10000","0","","在崩坏3这款游戏，你不仅能玩得到pvp（3v3小人打枪那个）还能玩得到pve（深渊战场主线活动）现在都能玩pvz(植物大战僵尸）。离大谱。"
"瓜皮桑-","保密","山东","15298996","6","","10000","0","","BGM好像是原神登录界面的[热]"
"安基拉曼纽","保密","广东","303057517","5","","10000","0","","全部用一个模千劫也少女"
"小伯爵的星怒","保密","黑龙江","492547598","5","","10000","0","","少女叔"
