"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"MIKU的蓝白碗苦茶子","女","无IP","162126371","6","初音未来13周年","10000","2378","","大家起得真早（×）,大家还没睡呢？（√）"
"Star_Melody","保密","无IP","17026508","6","喂，看见耳朵啦","10000","1816","3","崩坏3在过去这一年里的变化有目共睹。之前饱受诟病的氪金体验、福利、肝度、剧情都有了极大改善。更不用说还有高质量的动画短片，可以说过去的一年里崩坏3带来了太多惊喜。,空有理想的人很多，但是脚踏实地不断前行的太少太少。崩坏3运营了3年，至今仍然在不断进步。推箱子，飞机大战，崩坏弹头，炸弹人，横版跳跃，音游，再到3周年庆的大富翁，时至今日仍然充满活力不断地更新着新的玩法，这也是为什么我喜欢崩坏3。,在很多人眼里，手游就是鄙视链的底层。而崩坏3告诉了大家，手机上也有好游戏。,此生无悔崩坏3，四周年再见！"
"铠冢希美","女","无IP","231301488","6","乃琳Queen","10000","1080","","我先来，赫萝你在干什么啊赫萝！！"
"_星空乐章","保密","无IP","366091954","6","","10000","849","","三周年直播录像（x）,水晶兑换码（）"
"Unknown引信","保密","无IP","95739573","5","星座特典","10000","814","","当大伟哥连抽三次保底时，程序员，运营，策划等一众员工心里一凉[doge]"
"墨迹罗","保密","无IP","385904282","5","","10000","436","","我猜水晶码已经过期了[画风突变]"
"oregano戴斯ki","男","无IP","166734874","6","","10000","384","","空降35:01，看四位大佬为你演示蹦蹦蹦真实补给概率，[妙啊]"
"陆生--崩坏3","保密","无IP","4847394","6","崩坏3·天穹流星","10000","283","","你们的努力我们都看得到，大伟哥加油，崩坏3加油！"
"庭霜落微丶","男","无IP","19972622","6","首批购买大会员","10000","276","6","还能继续陪伴三蹦子几年俺也不知道，但是不把奥拓脑瓜子抽飞，俺是不会走的[2233娘_喝水]"
"看戏樱","男","无IP","35091970","6","","10000","250","","有没有人和我一样，,大伟哥说着说着就哭了,当时上自习,旁边人看我像个傻子[大哭]"
