"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"荧荧怪L","保密","无IP","391222897","5","星座系列：双鱼座","10000","1997","","原皮肤的小兔更好看，但听到鸭鸭说“她更喜欢刚才那套衣服”就没忍住。我还是太宠老婆了[鼓掌]"
"维夕夕","保密","无IP","138857508","5","","10000","1745","","9600+1800的集合了[无语][无语][无语]"
"荧荧怪L","保密","无IP","391222897","5","星座系列：双鱼座","10000","832","","强烈要求武器更具皮肤变色，不然那个武器和皮肤一点都不搭配。"
"这_啊","保密","无IP","419313547","4","","10000","530","","JT6Y9Y8SHF7F,8BPG9YRTHEN3,QS6HRZRAGFNT"
"伊科斯-伊达集合体","男","无IP","244152775","5","雪未来","10000","3182","","原皮真好看"
"霞你好脏啊","保密","无IP","288274281","6","赏樱大会欧皇","10000","638","","崩坏三真是太好玩了，我极境挑战玩了一下午，开摩托真是太有趣了[星星眼-圣诞]"
"丨超级棒棒糖丨","保密","无IP","310937846","6","崩坏3·天穹流星","10000","625","","[吃瓜-圣诞]首先说一下，我对这次联动的明日香非常满意，甚至超过了我的预期，人物设计相当细腻，动作表现也很丝滑，打斗手感也相当不错，满分一百我给一个亿甚至更多。,[doge-圣诞]但是啊但是，接下来我要说的话会被怼到体无完肤，被刀子捅成马蜂窝，可我还是想说。,[妙啊-圣诞]剧情设计，注意设计两个字，再一次强调剧情设计，满分一百我只给十分。,剧情里面芽衣说“居然让这么小的孩子驾驶”话说Eva的设定好像主角团都差不多大啊喂！而且崩坏三人物设定里面你们年龄差距也不大啊喂！（这次联动跟崩坏三联系不大，算外传人物也是新设定）,[捂脸-圣诞]还有就是芽衣和天父的连接数值高，剧情是还原了但是不觉得突兀吗？Eva里面人家真嗣血脉相连当然高啊。（手动填坑，前面说过人物是新设定，跟Eva原著没关系）,[辣眼睛-圣诞]在来就是剧情里说“坐在哪里就可以”原作虽然也是差不多，但台词不是这样啊，初号机是人家真嗣妈，当然护短，可天父的爆走就更突兀了啊。（还是上面括弧的话，不重复了）,[滑稽-圣诞]还有哪个“心中默念攻击”差点给看笑了，就tm离谱好嘛，原作真嗣虽然很懦弱，但也没这么离谱。（[辣眼睛]那你们联动了个寂寞是吗？还不如全部推翻重新设计剧情，或者直接搬Eva原来剧情）,[滑稽-圣诞]再一次手动填坑，当然照搬Eva剧情有人会说碇真嗣岂不是个男武神，不，我想说的是碇真嗣可以像岳父、瓦尔特、龙马那样在剧情里出现，而初号机替换天父，这样绝对香，可惜没有如果，吐槽归吐槽，明日香是真的香，剧情不看直接跳就好了（[doge-圣诞]还是会忍不住看）"
"啊良木木健","男","无IP","179687292","6","","10000","329","","我感觉这次皮肤是因为是联动限定才这么贵，毕竟是联动又加限定，但是和我又有什么关系呢"
"nice私爱","保密","无IP","146584328","6","物述有栖","10000","269","6","摩托车方向就不能换成摇杆吗？[嫌弃]有一说一摩托车手感真的稀碎。"
"你有丶太美味了","女","无IP","22700773","6","少前小剧场","10000","213","","那个警告特效是真不错。我还挺喜欢红色那套，大招要是再优化一下就好了"
"九渊三生","保密","无IP","67802463","6","#EveOneCat","10000","177","2","牙医的爸妈是雷电龙马和瓦尔特?[热词系列_知识增加][热词系列_知识增加][热词系列_知识增加]"
"_鬼畜收藏家Dio菌_","保密","无IP","384782409","5","","10000","193","","原皮那种。。。优雅又加上一点科技感的简洁，玩起来有气派又轻便，所以。。。不氪[歪嘴],(其实白丝更香[doge-圣诞])"
