"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"露西的星灵钥匙","保密","无IP","20389776","6","","10000","1835","","画重点，46岁"
"别去辣斌炫俊塔辣","男","无IP","37014216","6","","10000","1397","","发出了对抗崩坏的声音：648！(｀ω)"
"_xiruo","男","无IP","97328488","6","","10000","871","","妈耶，  德莉莎已经46了。。。[小电视_吃惊]"
"枯叶色","保密","无IP","8207310","6","星座系列：水瓶座","10000","278","","德莉莎：谁是世界第一可爱？,奥托：系卡莲。,德莉莎：进攻天命！！！"
"霁从韵","女","无IP","138341725","6","","10000","209","","德莉莎看似11岁，真实年龄46,八重桜看似17岁，真实年龄500,符华看似16岁，真实年龄5000,这游戏好可怕( _ゝ｀)"
"北红嫦娥","保密","无IP","37299208","6","星尘","10000","101","","舰长：“姓绿（托）的，你家卡莲在我飞船上，限你五天向我们极东支部投降，不然的话，我就宣布卡莲跟八重樱结为夫妻，等着喝喜酒吧！”"
"榊原鞠佳゜","保密","无IP","34671872","6","citrus","10000","64","4","哈哈哈加入逆熵，反攻天命，救出草履虫，打爆绿帽托的狗头！！！！"
"Arios_sea","保密","无IP","14861997","6","","10000","34","","小老板，算了吧.....这个有点恶性循环了.....我氪的钱都可以配一台1W多的主机，再加个VR了...有后悔药就好了，两年前我就不该上那艘舰船.....唉....."
"玩这玩那玩什么","保密","无IP","39709046","6","魔法学院","10000","30","","火八巫女那种良心a米忽悠已经不可能会出了[小电视_哭泣]一个版本一个s。。。我走还不行吗[小电视_哭泣]"
"我师丝卡蒂","女","无IP","18759981","6","明日方舟-愚夜密函","10000","27","","你们别又像上次那样说着要去逆熵结果全跑去和德利莎睡午觉了"
"我可以摸摸你的校徽么","保密","无IP","27289769","6","","10000","26","","德莉莎:王侯将相，宁有种乎？"
