"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"喜欢阿符","保密","广西","435789484","6","","10000","121","","有没有这样一种可能，这么温馨的日常才是她们平时的生活，主线那些只是她们出演的电视剧[思考]"
"咸王吉尔伽美什","保密","无IP","14547116","6","星座特典","10000","308","","我又来了，把我上集的xjb改诗修改补完,老符撩发少年狂。,左牵（娲）皇，右擎苍（玄）。,春风之旅，千串卷烤箱。,为报倾城随卡莲，亲射狐，看樱娘。,,谁说我矮谁必死，四十六，又何妨。,狗比绿托，敢动我侄女？,会挽犹大如满月，西北插，射成翔。,（奥托主教你老婆跑了孙女反了你一定要坚强）[doge]"
"时间之类","保密","无IP","86123717","6","","10000","1355","","应该说不愧是mihoyo吗，动画那么贴近实际，对于隔壁什么吃饭要爆衣，品尝味道要高潮脸，去海边就要穿比基尼的垃圾动画我真的是无法拒绝"
"林宥宵","保密","无IP","29435938","6","","10000","538","4","开饭啦"
"星野空在看着你","保密","辽宁","56647986","5","明日方舟音律系列","10000","11","","是桑格利亚汽酒哦[崩坏3·光辉矢愿_比心]"
"柑橘味柚子citrus","保密","无IP","346686174","5","","10000","5487","7","精准全歪的集合下吧，不能就我一个人难受[大哭]"
"丶小神清梦枕星河","男","无IP","37055892","6","","10000","36","","看看这个的日常 再看看现在主线剧情的发展 好令人扎心啊 就像姬子说的 当琪亚娜醒来时就会发现 那些平时的日常生活 都将不会回来了 唉～姬子的离去 琪亚娜和布洛尼亚的成长～我时常还是在想着 自己还是那休伯利安的舰长 女武神们一个也不缺席的在身边 过着像这部动漫里的日常生活～～真是太幸福了～"
"太虚山的赤鸢仙人","保密","无IP","446944294","5","","10000","43","","琪亚娜有芽衣,布洛妮娅有希儿,姬子有上仙,丽塔有幽兰戴尔,德莉莎有犹大,八重樱有卡莲,舰长有奥托和夹板[doge]"
"符弃","男","无IP","7172090","6","","10000","82","9","符琪组天下第一！！[蛆音娘_滑稽]"
"M4小馒头official","男","无IP","1538702","6","少女前线","10000","86","","“多年以后，面对空之律者，无量塔·姬子上校将会回想起，大家和她去海边烧烤那个遥远的下午。”"
"Sreed_Kira自闭中","保密","无IP","289375941","6","崩坏3·天穹流星","10000","1861","","-你知道这两集的看点是什么吗？,-新的美食？,-不是！你以为看美食！其实亮点是我泳装哒！[doge][doge][doge]"
"文輕","男","天津","476252810","5","","10000","6","","时隔四年真的泪目,为世界上所有美好而战[大哭]"
"人心善变-世事无常","男","安徽","229842349","6","刺客伍六七","10000","8","","要是能永远这样就好了。姬子阿姨不会死，草履虫不会变律者，崩坏催生出了识宝后就完蛋了。而我这个咸鱼舰长，也不用早早因为被刀的受不了而退游，现在的我估计都在最高等级的梯队里了吧（退游前84级）"
"FFFの团长大人","男","无IP","18436121","6","","10000","592","7","是我充的648还不够吗QwQ,怎么完结了QwQ,我还想看丽塔老婆和幽兰黛尔那段呢QAQ"
"受苦派的诺德","保密","无IP","358180852","5","","10000","83","","虚假的舰长:,随意进出女武神宿舍，日常戳脸,三餐芽衣承包,作为全舰最高统帅，女武神出任务随叫随到,可时常带女武神外出宴会,真实的舰长:,养圣痕攒积木苦苦装宿舍,三餐方便面，宿舍的食材需要自己开销,甲板，自己擦;宿舍卫生，承包——外面打完架回去还要搭理全舰卫生,女武神宴会的支出从舰长水晶中扣除"
"木同Kun","保密","无IP","94717313","6","","10000","413","7","我是一只没有人知道的鸽子"
"提斯墨马","男","无IP","278141060","6","明日方舟","10000","799","","都完结了，难道不该发300氵庆祝一下吗[2233娘_大笑]"
