"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"艾饺奥迪托雷","保密","无IP","392152264","6","格兰芬多","10000","9067","","“崩坏3是一个健康阳光，积极向上的故事。”,这就跟“老虚是爱的战士”一样离谱[藏狐]"
"Moon丨Halo","男","无IP","213025817","5","原神","10000","4851","","我在酒吧的角落里，静静的看完了这场直播……幸好是一个人，没有让人看到我眼角偷偷划过的泪水。我很幸运，在我人生最黑暗的2018年，遇到了这款游戏。它给身处漫无边际的黑暗中的我，带来了一束光，让我想起了自己曾经也被无数的温柔和善意所包围，指引着我一步一步走出那边废墟，走向有光的地方。作为一个年纪稍长的舰长（翻过年就33了），崩坏3在我心中的份量早已不是一款游戏那么简单了，它更像是我的一位老朋友，端着酒杯，在给我静静地讲述着一个故事，一个能让我共情的、让我从未放弃过向往着美好的故事，尽管，这个故事里充满了刀，曾不止一次让我哭成泪人……之前我从未在自己的社交媒体上暴露过玩崩坏3这件事，一方面，二次元始终还是小众文化，另一方面，我身边的人，少有玩这款游戏的，但我从未感到过孤独。今年过来，有朋友问我：为什么朋友圈里我一直在刷有关崩坏3、原神和米哈游？究其原因，是因为原神，这款火爆全球的游戏的出现，让我终于有底气告诉身边的人：老子就是个二次元，就是吹爆米哈游！当直播里蔡老师告诉我们：这五年来，为崩坏3已经谱写了300多首原创音乐的时候，我倍感欣慰。因为我觉得自己这五年的坚守和付出是值得的，崩坏3的每一首音乐都和这款游戏一起在成长，包括这款游戏本身，五年前的游戏，放在如今的市场，也没有几个能打的。也因为崩坏3的成功，米哈游才有资本为我们带来了原神。作为一名旅长，吃水不忘挖井人，我很庆幸，在有生之年，能遇到这个故事，我也会陪伴着这个故事一直走下去。,谢谢你，米哈游！作为云南人，看到你们的薪火公益计划的第一站是在我们云南昭通的小学为孩子们建立了综合楼，我感到无比自豪。作为玩家，你们这些年来方方面面的进步让我感觉自己没有选错自己支持和热爱的对象，你们一直在用心和用脑做游戏，也真诚地为热爱你们的玩家服务。“技术宅拯救世界”正在一步一步实现。,我永远是舰长，是旅行者。谢谢你，米哈游！,三蹦子，五周年，生日快乐！"
"禁闭可莉爱炸鱼","男","无IP","11639808","6","","10000","3","","五周年快乐。,五千氪咸鱼玩家，日常必清，深渊战场不打第三次。,苦痛3保级，战场22左右。,有幸去过红莲，关都打不齐。,做一个仓鼠不香吗？目前又2W水了[doge]3W奖励稳稳拿下[doge]"
"梦缘瑶dy","保密","无IP","34465441","6","","10000","9678","","五年了，我只想对你说一句[阴险], , , , , , , , ,  , , , , ,,五周年快乐！[惊喜]"
"辣条吃多不消化","保密","无IP","163993563","6","X契约","10000","166","","想入职米哈游的IP周边电商,相对于游戏感觉周边细节太少，方式太老套，,想带着团队把IP做出不是靠游戏带动的IP,让周边有自己的设计，让舰长穿出去不是社死"
"淦物菌","保密","无IP","453381071","6","良辰美景·不问天","10000","48","","小请求，可以把后崩男主脸部被侵蚀的痕迹去掉吗，颈部的就不用了，知道救芽衣肯定要付出一定代价，但是男主好歹校草，看到脸上痕迹好心痛啊[笑哭]"
"刘华强卖瓜笑嘻嘻","男","无IP","14934048","6","崩坏3·天穹流星","10000","4183","","倒放的不出意外就是:,perform invocation with numbing freeze.,Querying for a variable and seizing the time.,我tm扔到Au里面又是降噪又是拉eq的，来回听了十几遍，终于听到了一个重要的音，就是那个Freeze,一找歌词就是这句，再听一遍，完全对上了。不得不感叹制作人的脑洞大开，倒放这想法真的太神了。"
"热馊馊","保密","无IP","2505015","6","萌宠小狗","10000","3","","这发的时间怎么这么阴间[藏狐]"
"咸鱼小霍","男","无IP","100814288","6","","10000","2415","7","受邀请去拍了纪录片，崩三真的是一款陪伴着自己长大而完善的故事，一路走来之后再回首时，心中有很多很多想说的话，可真该说的时候又无言了，希望大家能跟一个家庭一样找到属于自己的成长，相伴无言，默默前行"
"厉害了我的柴","女","无IP","7829112","6","#EveOneCat","10000","3","6","在这放一只猫，路过的朋友可以向它说一句：崩坏3五周年快乐！[Cat_congrats],                          ＿＿,                    ／＞　　フ,                    | 　_　 _ l,　 　　　／` ミ＿xノ,　　 　 /　　　 　 |,　　　 /　 ヽ　　 ,　 　 │　　|　|　|,　／￣|　　 |　|　|,　| (￣ヽ＿_ヽ_)__),　＼二つ"
